depth_mm,intensity,net_od,dose_cgy,dose_gy,smoothed_dose_cgy,pdd_percent
0,37207.37,0.2159858008,194.8684449,1.948684449,194.8684449,84.92273608
0.127,37022.98,0.2181434015,197.5084988,1.975084988,197.5084988,86.07325897
0.254,36920.9,0.2193424948,198.9757172,1.989757172,198.9757172,86.71266571
0.381,36818.39,0.2205499802,200.483263,2.00483263,200.483263,87.36964694
0.508,36763.73,0.221195206,201.3251294,2.013251294,201.3251294,87.73652832
0.635,36659.82,0.2224244456,202.9289954,2.029289954,202.9289954,88.43548542
0.762,36614.79,0.2229582262,203.6254523,2.036254523,203.6254523,88.73899804
0.889,36575.15,0.223428658,204.2392541,2.042392541,204.2392541,89.00648989
1.016,36466.29,0.2247231925,205.9283143,2.059283143,205.9283143,89.74257424
1.143,36349,0.2261223064,207.7538258,2.077538258,207.7538258,90.53812344
1.27,36315.59,0.2265216696,208.2748999,2.082748999,208.2748999,90.76520504
1.397,36258.32,0.2272070963,209.1692191,2.091692191,209.1692191,91.15494507
1.524,36198.09,0.2279291184,210.1112864,2.101112864,210.1112864,91.56549351
1.651,36136.17,0.2286726532,211.0814229,2.110814229,211.0814229,91.98827433
1.778,36111.74,0.228966359,211.4646392,2.114646392,211.4646392,92.15527817
1.905,36069.61,0.2294733273,212.1261125,2.121261125,212.1261125,92.44354506
2.032,36043.24,0.2297909502,212.540535,2.12540535,212.540535,92.62414839
2.159,35919.39,0.2312858212,214.4909867,2.144909867,214.4909867,93.47414594
2.286,35849.29,0.232134215,215.5979393,2.155979393,215.5979393,93.95655057
2.413,35834.27,0.2323162122,215.8354024,2.158354024,215.8354024,94.06003586
2.54,35840.93,0.2322355037,215.7300969,2.157300969,215.7300969,94.01414422
2.667,35785.17,0.2329116892,216.6123584,2.166123584,216.6123584,94.39862958
2.794,35747.1,0.2333739587,217.2155103,2.172155103,217.2155103,94.6614803
2.921,35811.66,0.2325903213,216.1930496,2.161930496,216.1930496,94.21589681
3.048,35658.52,0.23445146,218.6213938,2.186213938,218.6213938,95.27415757
3.175,35608.87,0.2350565817,219.410934,2.19410934,219.410934,95.61823543
3.302,35555.67,0.2357059071,220.2581495,2.202581495,220.2581495,95.98744787
3.429,35535.74,0.2359494102,220.5758632,2.205758632,220.5758632,96.125906
3.556,35558.36,0.2356730514,220.2152805,2.202152805,220.2152805,95.96876579
3.683,35505.48,0.2363193856,221.0585932,2.210585932,221.0585932,96.33627745
3.81,35500.52,0.2363800594,221.1377581,2.211377581,221.1377581,96.37077712
3.937,35456.2,0.2369225854,221.8456258,2.218456258,221.8456258,96.67926246
4.064,35451.76,0.2369769733,221.9165891,2.219165891,221.9165891,96.71018793
4.191,35478.64,0.2366478102,221.4871093,2.214871093,221.4871093,96.52302271
4.318,35435.16,0.2371803758,222.1819811,2.221819811,222.1819811,96.82584448
4.445,35418.52,0.2373843641,222.4481373,2.224481373,222.4481373,96.94183412
4.572,35441.56,0.2371019443,222.0796465,2.220796465,222.0796465,96.78124759
4.699,35350.36,0.238220933,223.5396611,2.235396611,223.5396611,97.41751495
4.826,35385.15,0.2377937329,222.9822665,2.229822665,222.9822665,97.17460504
4.953,35337.23,0.2383822707,223.7501685,2.237501685,223.7501685,97.50925307
5.08,35336.23,0.2383945608,223.7662043,2.237662043,223.7662043,97.51624138
5.207,35350.27,0.2382220387,223.5411038,2.235411038,223.5411038,97.41814366
5.334,35329.26,0.238480233,223.8779861,2.238779861,223.8779861,97.56495536
5.461,35264.82,0.2392731024,224.9124925,2.249124925,224.9124925,98.01578829
5.588,35259.19,0.2393424427,225.0029651,2.250029651,225.0029651,98.05521583
5.715,35137.62,0.2408424321,226.9600951,2.269600951,226.9600951,98.90812372
5.842,35225.22,0.2397610597,225.5491608,2.255491608,225.5491608,98.29324532
5.969,35219.51,0.2398314644,225.6410223,2.256410223,225.6410223,98.33327811
6.096,35177.68,0.2403475799,226.3144305,2.263144305,226.3144305,98.62674618
6.223,35220.65,0.2398174072,225.622681,2.25622681,225.622681,98.32528506
