depth_mm,intensity,net_od,dose_cgy,dose_gy,smoothed_dose_cgy,pdd_percent
0,39460.63,0.1904507593,163.623604,1.63623604,163.623604,85.97938383
0.127,39401.71,0.1910997036,164.4176565,1.644176565,164.4176565,86.39663503
0.254,39298.28,0.1922412312,165.814437,1.65814437,165.814437,87.13060202
0.381,39230.05,0.1929959122,166.7378695,1.667378695,166.7378695,87.61583861
0.508,39243.38,0.1928483681,166.5573336,1.665573336,166.5573336,87.52097232
0.635,39240.98,0.192874929,166.5898337,1.665898337,166.5898337,87.53805014
0.762,39148.41,0.1939006459,167.8449074,1.678449074,167.8449074,88.19755441
0.889,39034.46,0.1951665981,169.3939347,1.693939347,169.3939347,89.01152264
1.016,39038.02,0.1951269916,169.345472,1.69345472,169.345472,88.98605689
1.143,38907.29,0.1965837918,171.128022,1.71128022,171.128022,89.92273444
1.27,38908.32,0.1965722948,171.1139542,1.711139542,171.1139542,89.91534222
1.397,38898.72,0.1966794632,171.2450861,1.712450861,171.2450861,89.98424818
1.524,38821.33,0.1975443639,172.3033841,1.723033841,172.3033841,90.5403526
1.651,38678.05,0.1991502034,174.2682997,1.742682997,174.2682997,91.57285785
1.778,38728.45,0.198584658,173.5762947,1.735762947,173.5762947,91.20922961
1.905,38699.83,0.1989057166,173.9691441,1.739691441,173.9691441,91.4156604
2.032,38642.42,0.1995504574,174.7580531,1.747580531,174.7580531,91.83020881
2.159,38590.06,0.2001393201,175.4785892,1.754785892,175.4785892,92.20882933
2.286,38607.17,0.1999468059,175.2430277,1.752430277,175.2430277,92.08504869
2.413,38591.46,0.2001235647,175.4593108,1.754593108,175.4593108,92.19869911
2.54,38522.3,0.2009025648,176.4125004,1.764125004,176.4125004,92.69957214
2.667,38543.68,0.2006615968,176.1176504,1.761176504,176.1176504,92.54463718
2.794,38505.5,0.2010920067,176.6443027,1.766443027,176.6443027,92.82137745
2.921,38544.85,0.200648414,176.1015198,1.761015198,176.1015198,92.53616099
3.048,38439.75,0.2018342194,177.5524789,1.775524789,177.5524789,93.29859728
3.175,38390.99,0.2023854623,178.2269833,1.782269833,178.2269833,93.65302948
3.302,38401,0.2022722399,178.0884436,1.780884436,178.0884436,93.58023095
3.429,38392.86,0.2023643086,178.2010995,1.782010995,178.2010995,93.63942831
3.556,38399.59,0.2022881865,178.107956,1.78107956,178.107956,93.59048414
3.683,38396.38,0.2023244927,178.1523805,1.781523805,178.1523805,93.61382791
3.81,38407.28,0.2022012223,178.0015461,1.780015461,178.0015461,93.53456883
3.937,38365.17,0.2026776469,178.5845023,1.785845023,178.5845023,93.84089515
4.064,38439.69,0.2018348973,177.5533084,1.775533084,177.5533084,93.29903314
4.191,38384.44,0.2024595649,178.3176557,1.783176557,178.3176557,93.70067515
4.318,38395.46,0.2023348988,178.1651135,1.781651135,178.1651135,93.6205187
4.445,38370.78,0.2026141463,178.5068025,1.785068025,178.5068025,93.80006618
4.572,38375.9,0.2025562001,178.4358992,1.784358992,178.4358992,93.76280859
4.699,38378.51,0.2025266641,178.3997587,1.783997587,178.3997587,93.74381786
4.826,38365.46,0.2026743641,178.5804854,1.785804854,178.5804854,93.83878442
4.953,38368.29,0.2026423299,178.5412881,1.785412881,178.5412881,93.8181874
5.08,38302.1,0.2033921881,179.4588194,1.794588194,179.4588194,94.30032305
5.207,38269.2,0.2037653903,179.915472,1.79915472,179.915472,94.54028055
5.334,38253.02,0.2039490463,180.1401948,1.801401948,180.1401948,94.65836573
5.461,38271.53,0.2037389493,179.8831187,1.798831187,179.8831187,94.52327981
5.588,38282.61,0.2036132348,179.7292936,1.797292936,179.7292936,94.44244927
5.715,38243.3,0.2040594135,180.2752408,1.802752408,180.2752408,94.72932843
5.842,38159.95,0.2050069769,181.4346854,1.814346854,181.4346854,95.33858241
5.969,38124.6,0.2054094781,181.9271884,1.819271884,181.9271884,95.59737825
6.096,38079.04,0.2059287829,182.5626131,1.825626131,182.5626131,95.93127522
6.223,38104.31,0.2056406721,182.2100789,1.822100789,182.2100789,95.74602889
6.35,38100.85,0.2056801093,182.2583345,1.822583345,182.2583345,95.77138579
6.477,38074.94,0.2059755462,182.6198331,1.826198331,182.6198331,95.96134261
6.604,38078.85,0.2059309499,182.5652647,1.825652647,182.5652647,95.93266851
6.731,38026.1,0.2065329879,183.3019223,1.833019223,183.3019223,96.31976039
6.858,38009.54,0.2067221602,183.5333947,1.835333947,183.5333947,96.44139231
6.985,38098.7,0.2057046169,182.2883222,1.822883222,182.2883222,95.7871434
7.112,38050.37,0.2062558897,182.9628631,1.829628631,182.9628631,96.14159479
7.239,38083.86,0.2058738139,182.4953527,1.824953527,182.4953527,95.89593185
7.366,38111.54,0.2055582759,182.1092584,1.821092584,182.1092584,95.69305066
7.493,38032.14,0.2064640108,183.2175214,1.832175214,183.2175214,96.27541024
7.62,38092.84,0.2057714213,182.3700645,1.823700645,182.3700645,95.83009658
7.747,38006.83,0.2067531256,183.5712841,1.835712841,183.5712841,96.4613021
7.874,37947.36,0.2074332065,184.4034355,1.844034355,184.4034355,96.89857314
8.001,37932.78,0.2076001016,184.6076495,1.846076495,184.6076495,97.00588157
8.128,37956.28,0.2073311322,184.2785367,1.842785367,184.2785367,96.8329425
8.255,37809.13,0.2090180897,186.3427087,1.863427087,186.3427087,97.91760409
8.382,37874.83,0.2082640817,185.4200997,1.854200997,185.4200997,97.43280024
8.509,37897.73,0.2080015765,185.0988967,1.850988967,185.0988967,97.26401753
8.636,37862.04,0.2084107639,185.599581,1.85599581,185.599581,97.52711239
8.763,37528.22,0.212256808,190.3056253,1.903056253,190.3056253,100
8.89,37893.23,0.208053148,185.1619999,1.851619999,185.1619999,97.29717638
9.017,37926.86,0.2076678853,184.69059,1.8469059,184.69059,97.04946439
9.144,37910.11,0.2078597293,184.9253315,1.849253315,184.9253315,97.17281414
9.271,37880.16,0.2082029691,185.345322,1.85345322,185.345322,97.39350677
9.398,38014.05,0.2066706323,183.4703448,1.834703448,183.4703448,96.40826146
9.525,37968.48,0.2071915626,184.1077585,1.841077585,184.1077585,96.74320358
9.652,38024.44,0.2065519471,183.3251209,1.833251209,183.3251209,96.33195057
9.779,38041.94,0.2063521176,183.0806082,1.830806082,183.0806082,96.20346637
9.906,38094.06,0.2057575124,182.3530454,1.823530454,182.3530454,95.82115356
10.033,38039.68,0.206377919,183.1121789,1.831121789,183.1121789,96.22005586
10.16,37988.11,0.206967087,183.8330887,1.838330887,183.8330887,96.59887269
10.287,38147.21,0.2051519937,181.6121289,1.816121289,181.6121289,95.43182376
10.414,38154.3,0.2050712837,181.5133716,1.815133716,181.5133716,95.37992972
10.541,38201.03,0.2045397011,180.8629237,1.808629237,180.8629237,95.03813849
10.668,38161.43,0.2049901335,181.4140757,1.814140757,181.4140757,95.32775262
10.795,38139.48,0.2052400064,181.7198217,1.817198217,181.7198217,95.48841317
10.922,38216.93,0.204358977,180.6417886,1.806417886,180.6417886,94.9219385
11.049,38212.12,0.204413641,180.7086757,1.807086757,180.7086757,94.95708572
11.176,38258.43,0.2038876298,180.0650451,1.800650451,180.0650451,94.61887681
11.303,38311.5,0.2032856177,179.3284193,1.793284193,179.3284193,94.23180162
11.43,38342.03,0.2029396712,178.9051169,1.789051169,178.9051169,94.00936868
11.557,38401.22,0.2022697518,178.0853992,1.780853992,178.0853992,93.5786312
11.684,38355.63,0.2027856533,178.7166596,1.787166596,178.7166596,93.91033995
