Depth [mm],Dose [Gy],PDD [%]
0,0.9070257892,50.9513556
0.1,0.9755012376,54.79790215
0.2,1.043976686,58.6444487
0.3,1.112452134,62.49099525
0.4,1.180927583,66.3375418
0.5,1.249403031,70.18408835
0.6,1.317878479,74.0306349
0.7,1.370685589,76.99702662
0.8,1.375468601,77.26570803
0.9,1.380251614,77.53438945
1,1.385034626,77.80307086
1.1,1.389817639,78.07175227
1.2,1.394600651,78.34043368
1.3,1.399383664,78.6091151
1.4,1.404166676,78.87779651
1.5,1.408949689,79.14647792
1.6,1.413732701,79.41515933
1.7,1.418515714,79.68384075
1.8,1.423298726,79.95252216
1.9,1.428081739,80.22120357
2,1.432864751,80.48988498
2.1,1.437647763,80.7585664
2.2,1.442430776,81.02724781
2.3,1.447213788,81.29592922
2.4,1.451996801,81.56461064
2.5,1.456779813,81.83329205
2.6,1.461562826,82.10197346
2.7,1.466224328,82.36382911
2.8,1.470513393,82.6047635
2.9,1.474802459,82.8456979
3,1.479091524,83.08663229
3.1,1.48338059,83.32756668
3.2,1.487669656,83.56850108
3.3,1.491958721,83.80943547
3.4,1.496247787,84.05036987
3.5,1.500536853,84.29130426
3.6,1.504825918,84.53223866
3.7,1.509114984,84.77317305
3.8,1.51340405,85.01410745
3.9,1.517693115,85.25504184
4,1.521982181,85.49597623
4.1,1.526271247,85.73691063
4.2,1.530560312,85.97784502
4.3,1.534849378,86.21877942
4.4,1.539138444,86.45971381
4.5,1.543427509,86.70064821
4.6,1.547716575,86.9415826
4.7,1.551779072,87.16978972
4.8,1.555147128,87.35898721
4.9,1.558515184,87.5481847
5,1.561883239,87.73738219
5.1,1.565251295,87.92657968
5.2,1.568619351,88.11577717
5.3,1.571987406,88.30497466
5.4,1.575355462,88.49417215
5.5,1.578723518,88.68336964
5.6,1.582091573,88.87256713
5.7,1.585459629,89.06176462
5.8,1.588827685,89.25096211
5.9,1.59219574,89.4401596
6,1.595563796,89.62935709
6.1,1.598931852,89.81855458
6.2,1.602299907,90.00775207
6.3,1.605667963,90.19694956
6.4,1.609036019,90.38614705
6.5,1.612404075,90.57534454
6.6,1.61577213,90.76454204
6.7,1.619338789,90.9648959
6.8,1.623514176,91.1994445
