x_mm,intensity,net_od,dose_cgy,dose_gy,normalized_percent,smoothed_percent
0,36530.33,0.2239611784,204.9340668,2.049340668,68.3113556,68.3113556
0.127,36542.79,0.2238130717,204.7408227,2.047408227,68.24694091,68.24694091
0.254,36538,0.2238700024,204.8151038,2.048151038,68.27170126,68.27170126
0.381,36453.49,0.2248756606,206.1272489,2.061272489,68.70908297,68.70908297
0.508,36457.95,0.2248225289,206.0579247,2.060579247,68.68597489,68.68597489
0.635,36448.76,0.2249320158,206.2007791,2.062007791,68.73359305,68.73359305
0.762,36473.18,0.2246411439,205.8212604,2.058212604,68.60708679,68.60708679
0.889,36436.66,0.2250762138,206.3889232,2.063889232,68.79630774,68.79630774
1.016,36373.39,0.2258309947,207.3737331,2.073737331,69.12457771,69.12457771
1.143,36354.8,0.2260530141,207.6634157,2.076634157,69.22113858,69.22113858
1.27,36390.07,0.2256318829,207.1139395,2.071139395,69.03797983,69.03797983
1.397,36301.97,0.2266845803,208.4874597,2.084874597,69.49581992,69.49581992
1.524,36255.88,0.2272363231,209.2073531,2.092073531,69.73578437,69.73578437
1.651,36237.29,0.2274590623,209.4979749,2.094979749,69.83265828,69.83265828
1.778,36172.52,0.2282360084,210.5117051,2.105117051,70.17056837,70.17056837
1.905,36199.29,0.2279147214,210.0925017,2.100925017,70.03083391,70.03083391
2.032,36189.15,0.2280363912,210.251252,2.10251252,70.08375068,70.08375068
2.159,36189.85,0.2280279908,210.2402915,2.102402915,70.08009717,70.08009717
2.286,36118.47,0.2288854288,211.3590445,2.113590445,70.45301484,70.45301484
2.413,36159.38,0.2283937986,210.7175838,2.107175838,70.23919458,70.23919458
2.54,36108.19,0.2290090548,211.5203471,2.115203471,70.50678238,70.50678238
2.667,36082.56,0.2293174314,211.9227053,2.119227053,70.64090178,70.64090178
2.794,36161.94,0.2283630526,210.6774676,2.106774676,70.22582253,70.22582253
2.921,36159.75,0.2283893547,210.7117855,2.107117855,70.23726185,70.23726185
3.048,36087.15,0.2292621891,211.8506272,2.118506272,70.61687574,70.61687574
3.175,35962.66,0.2307629668,213.8087858,2.138087858,71.26959527,71.26959527
3.302,35919.96,0.2312789295,214.4819947,2.144819947,71.49399823,71.49399823
3.429,35874.45,0.2318295224,215.2003876,2.152003876,71.73346255,71.73346255
3.556,35767.63,0.2331246096,216.890169,2.16890169,72.296723,72.296723
3.683,35731.13,0.2335680229,217.4687181,2.174687181,72.48957268,72.48957268
3.81,35664.96,0.2343730326,218.5190647,2.185190647,72.83968822,72.83968822
3.937,35600.84,0.2351545286,219.5387314,2.195387314,73.17957714,73.17957714
4.064,35538.14,0.23592008,220.5375942,2.205375942,73.5125314,73.5125314
4.191,35475.95,0.2366807397,221.5300746,2.215300746,73.8433582,73.8433582
4.318,35484.89,0.2365713106,221.3872955,2.213872955,73.79576518,73.79576518
4.445,35457.81,0.2369028653,221.8198958,2.218198958,73.93996526,73.93996526
4.572,35380.9,0.2378458978,223.0503293,2.230503293,74.35010976,74.35010976
4.699,35392.1,0.2377084415,222.8709814,2.228709814,74.29032713,74.29032713
4.826,35381.93,0.2378332549,223.0338333,2.230338333,74.3446111,74.3446111
4.953,35327.64,0.2385001477,223.9039701,2.239039701,74.6346567,74.6346567
5.08,35287.24,0.2389970826,224.5523522,2.245523522,74.85078405,74.85078405
5.207,35282.24,0.239058624,224.6326491,2.246326491,74.87754969,74.87754969
5.334,35307.12,0.2387524802,224.2332041,2.242332041,74.74440137,74.74440137
5.461,35243.2,0.2395394394,225.259999,2.25259999,75.08666634,75.08666634
5.588,35305.48,0.2387726535,224.2595254,2.242595254,74.75317514,74.75317514
5.715,35238.77,0.2395940328,225.3312304,2.253312304,75.11041014,75.11041014
5.842,35290.48,0.2389572085,224.5003258,2.245003258,74.83344194,74.83344194
5.969,35209.68,0.2399526958,225.7992005,2.257992005,75.26640017,75.26640017
6.096,35175.37,0.2403760995,226.3516418,2.263516418,75.45054727,75.45054727
6.223,35198.19,0.2400944426,225.9841464,2.259841464,75.32804879,75.32804879
6.35,35167.8,0.240469573,226.4736025,2.264736025,75.49120082,75.49120082
6.477,35216.83,0.239864513,225.6841428,2.256841428,75.2280476,75.2280476
6.604,35195.68,0.2401254134,226.024556,2.26024556,75.34151866,75.34151866
6.731,35205.48,0.2400045039,225.8667977,2.258667977,75.28893258,75.28893258
6.858,35122.85,0.2410250249,227.1983354,2.271983354,75.73277846,75.73277846
6.985,35167.54,0.2404727838,226.4777918,2.264777918,75.49259727,75.49259727
7.112,35129.22,0.2409462669,227.0955749,2.270955749,75.69852497,75.69852497
7.239,35108.62,0.2412010147,227.4279603,2.274279603,75.80932009,75.80932009
7.366,35107.5,0.2412148694,227.4460373,2.274460373,75.81534577,75.81534577
7.493,35078.01,0.2415798263,227.9222195,2.279222195,75.97407316,75.97407316
7.62,35116.08,0.2411087441,227.3075691,2.273075691,75.76918969,75.76918969
7.747,35127.83,0.2409634515,227.1179967,2.271179967,75.70599891,75.70599891
7.874,35103.55,0.2412637353,227.5097957,2.275097957,75.83659857,75.83659857
8.001,35141,0.2408006579,226.9055897,2.269055897,75.63519657,75.63519657
8.128,35139.15,0.240823522,226.9354219,2.269354219,75.64514063,75.64514063
8.255,35168.69,0.2404585823,226.4592623,2.264592623,75.48642075,75.48642075
8.382,35168.84,0.24045673,226.4568454,2.264568454,75.48561514,75.48561514
8.509,35134.85,0.2408766701,227.0047676,2.270047676,75.66825586,75.66825586
8.636,35153.34,0.2406481792,226.7066412,2.267066412,75.56888041,75.56888041
8.763,35179.99,0.2403190622,226.2772216,2.262772216,75.42574055,75.42574055
8.89,35173.83,0.2403951136,226.3764507,2.263764507,75.4588169,75.4588169
9.017,35150.75,0.240680178,226.7483921,2.267483921,75.58279735,75.58279735
9.144,35151.89,0.2406660933,226.7300149,2.267300149,75.57667162,75.57667162
9.271,35158.45,0.2405850534,226.624277,2.26624277,75.54142568,75.54142568
9.398,35196.55,0.2401146783,226.0105491,2.260105491,75.33684971,75.33684971
9.525,35239.81,0.2395812157,225.3145071,2.253145071,75.1048357,75.1048357
9.652,35188.31,0.2402163645,226.1432256,2.261432256,75.38107519,75.38107519
9.779,35191.17,0.2401810678,226.0971717,2.260971717,75.36572391,75.36572391
9.906,35188.55,0.2402134025,226.1393608,2.261393608,75.37978692,75.37978692
10.033,35221.69,0.2398045835,225.6059491,2.256059491,75.20198303,75.20198303
10.16,35167.01,0.240479329,226.4863317,2.264863317,75.4954439,75.4954439
10.287,35213.97,0.239899784,225.7301631,2.257301631,75.2433877,75.2433877
10.414,35234.09,0.2396517145,225.4064914,2.254064914,75.13549712,75.13549712
10.541,35296.74,0.238880178,224.3998193,2.243998193,74.79993978,74.79993978
10.668,35218.25,0.2398470019,225.661295,2.25661295,75.22043166,75.22043166
10.795,35256.37,0.2393771786,225.0482872,2.250482872,75.01609573,75.01609573
10.922,35310.06,0.2387163183,224.1860214,2.241860214,74.7286738,74.7286738
11.049,35276.87,0.2391247292,224.7189006,2.247189006,74.90630022,74.90630022
11.176,35228.57,0.2397197592,225.4952736,2.254952736,75.16509119,75.16509119
11.303,35284.33,0.2390328987,224.5990836,2.245990836,74.86636119,74.86636119
11.43,35290.57,0.2389561009,224.4988807,2.244988807,74.83296024,74.83296024
11.557,35271.07,0.239196139,224.8120735,2.248120735,74.93735784,74.93735784
11.684,35288.87,0.238977022,224.5261778,2.245261778,74.84205927,74.84205927
11.811,35285.77,0.2390151749,224.5759583,2.245759583,74.85865276,74.85865276
11.938,35310.39,0.2387122595,224.1807256,2.241807256,74.72690855,74.72690855
12.065,35337.6,0.2383777234,223.7442354,2.237442354,74.58141179,74.58141179
12.192,35331.76,0.2384495022,223.8378896,2.238378896,74.61262988,74.61262988
12.319,35361.6,0.2380828666,223.3595173,2.233595173,74.45317244,74.45317244
12.446,35334.97,0.2384100469,223.78641,2.2378641,74.59546998,74.59546998
12.573,35366.72,0.2380199898,223.2774779,2.232774779,74.42582598,74.42582598
12.7,35400.09,0.2376104077,222.7430706,2.227430706,74.2476902,74.2476902
12.827,35405.05,0.2375495618,222.6636812,2.226636812,74.22122705,74.22122705
12.954,35419.48,0.2373725929,222.4327788,2.224327788,74.14425959,74.14425959
13.081,35396.28,0.237657152,222.8040608,2.228040608,74.26802025,74.26802025
13.208,35389.84,0.2377361747,222.9071667,2.229071667,74.30238889,74.30238889
13.335,35407.3,0.2375219632,222.6276715,2.226276715,74.20922383,74.20922383
13.462,35464.65,0.2368190957,221.7105963,2.217105963,73.9035321,73.9035321
13.589,35489.39,0.2365162392,221.3154405,2.213154405,73.77181349,73.77181349
13.716,35454.54,0.2369429188,221.8721561,2.218721561,73.95738535,73.95738535
13.843,35473.28,0.236713427,221.5727237,2.215727237,73.85757455,73.85757455
13.97,35469.42,0.236760687,221.6343868,2.216343868,73.87812892,73.87812892
14.097,35456.05,0.2369244227,221.848023,2.21848023,73.94934101,73.94934101
14.224,35440.89,0.2371101544,222.0903588,2.220903588,74.0301196,74.0301196
14.351,35469.59,0.2367586055,221.6316709,2.216316709,73.87722363,73.87722363
14.478,35471.3,0.2367376685,221.6043531,2.216043531,73.86811771,73.86811771
14.605,35465.24,0.2368118707,221.7011694,2.217011694,73.9003898,73.9003898
14.732,35443.68,0.237075967,222.0457523,2.220457523,74.01525076,74.01525076
14.859,35516.33,0.2361866913,220.8854587,2.208854587,73.62848622,73.62848622
14.986,35508.26,0.2362853826,221.0142275,2.210142275,73.67140915,73.67140915
15.113,35499.81,0.2363887452,221.1490911,2.211490911,73.71636369,73.71636369
