x_mm,intensity,net_od,dose_cgy,dose_gy,normalized_percent,smoothed_percent
0,37348.72,0.2143390514,192.8534717,1.928534717,64.28449057,64.28449057
0.127,37318.59,0.2146895473,193.2823408,1.932823408,64.42744692,64.42744692
0.254,37297.91,0.2149302772,193.5768994,1.935768994,64.52563313,64.52563313
0.381,37213.83,0.2159104045,194.7761895,1.947761895,64.92539648,64.92539648
0.508,37200.6,0.2160648293,194.9651446,1.949651446,64.98838154,64.98838154
0.635,37160.17,0.2165370817,195.5429957,1.955429957,65.18099858,65.18099858
0.762,37151.26,0.2166412263,195.6704276,1.956704276,65.22347587,65.22347587
0.889,37130.84,0.2168799996,195.9625922,1.959625922,65.32086408,65.32086408
1.016,37084.04,0.217427733,196.6328024,1.966328024,65.54426745,65.54426745
1.143,37003.42,0.2183729088,197.7893255,1.977893255,65.92977516,65.92977516
1.27,37051.43,0.2178097996,197.1003015,1.971003015,65.70010051,65.70010051
1.397,36992.09,0.2185059049,197.9520603,1.979520603,65.98402011,65.98402011
1.524,36981.69,0.2186280201,198.1014813,1.981014813,66.0338271,66.0338271
1.651,36955.52,0.2189354563,198.4776622,1.984776622,66.15922074,66.15922074
1.778,36919.49,0.2193590808,198.9960118,1.989960118,66.33200395,66.33200395
1.905,36791.13,0.220871647,200.9029617,2.009029617,66.96765391,66.96765391
2.032,36792.76,0.2208524063,200.8778573,2.008778573,66.95928576,66.95928576
2.159,36887.67,0.2197335499,199.4542147,1.994542147,66.48473822,66.48473822
2.286,36855.96,0.220107046,199.9112269,1.999112269,66.63707563,66.63707563
2.413,36830.93,0.2204020887,200.2902997,2.002902997,66.76343324,66.76343324
2.54,36834.95,0.2203546892,200.2284546,2.002284546,66.7428182,66.7428182
2.667,36796.71,0.2208057838,200.817026,2.00817026,66.93900866,66.93900866
2.794,36895.53,0.2196410206,199.3409952,1.993409952,66.4469984,66.4469984
2.921,36876.45,0.2198656679,199.6158751,1.996158751,66.53862504,66.53862504
3.048,36867.56,0.2199703782,199.7439993,1.997439993,66.58133309,66.58133309
3.175,36788.71,0.2209002144,200.9402354,2.009402354,66.98007847,66.98007847
3.302,36764.78,0.2211828024,201.3089457,2.013089457,67.1029819,67.1029819
3.429,36752.28,0.2213304873,201.5016395,2.015016395,67.16721315,67.16721315
3.556,36650.31,0.2225371215,203.0760106,2.030760106,67.69200353,67.69200353
3.683,36610.24,0.2230121979,203.6958726,2.036958726,67.8986242,67.8986242
3.81,36653.53,0.2224989672,203.0262283,2.030262283,67.67540943,67.67540943
3.937,36610.1,0.2230138587,203.6980395,2.036980395,67.8993465,67.8993465
4.064,36587.61,0.2232807327,204.0462467,2.040462467,68.01541558,68.01541558
4.191,36540.39,0.2238415956,204.7780396,2.047780396,68.25934652,68.25934652
4.318,36483.24,0.2245213737,205.6649887,2.056649887,68.55499623,68.55499623
4.445,36492.17,0.2244150845,205.5263065,2.055263065,68.50876883,68.50876883
4.572,36502.44,0.2242928781,205.3668562,2.053668562,68.45561872,68.45561872
4.699,36484.62,0.2245049466,205.6435552,2.056435552,68.54785173,68.54785173
4.826,36487.24,0.2244737606,205.6028648,2.056028648,68.53428827,68.53428827
4.953,36487.8,0.2244670951,205.594168,2.05594168,68.53138934,68.53138934
5.08,36455.45,0.2248523104,206.0967825,2.060967825,68.6989275,68.6989275
5.207,36509.51,0.2242087696,205.2571146,2.052571146,68.41903819,68.41903819
5.334,36459.15,0.2248082345,206.0392739,2.060392739,68.67975796,68.67975796
5.461,36393.32,0.2255930977,207.0633341,2.070633341,69.02111136,69.02111136
5.588,36394.25,0.2255819999,207.048854,2.07048854,69.01628466,69.01628466
5.715,36452.39,0.2248887658,206.1443481,2.061443481,68.7147827,68.7147827
5.842,36457.64,0.2248262217,206.0627429,2.060627429,68.68758097,68.68758097
5.969,36450.55,0.2249106881,206.1729516,2.061729516,68.72431719,68.72431719
6.096,36407.82,0.2254200985,206.8376112,2.068376112,68.9458704,68.9458704
6.223,36443.93,0.2249895701,206.2758738,2.062758738,68.7586246,68.7586246
