x_mm,intensity,net_od,dose_cgy,dose_gy,normalized_percent,smoothed_percent
0,36911.5,0.2196476378,199.29132,1.9929132,66.43044001,66.43044001
0.127,36869.52857,0.2201417475,199.8975301,1.998975301,66.63251003,66.63251003
0.254,36856.91429,0.2202903595,200.0846059,2.000846059,66.69486863,66.69486863
0.381,36773.73333,0.2212716097,201.3600489,2.013600489,67.1200163,67.1200163
0.508,36698.63333,0.2221594408,202.5140644,2.025140644,67.50468815,67.50468815
0.635,36726.16667,0.2218337313,202.0907027,2.020907027,67.36356756,67.36356756
0.762,36663.46667,0.2225758054,203.0552611,2.030552611,67.68508703,67.68508703
0.889,36649.04762,0.2227466388,203.2773128,2.032773128,67.75910426,67.75910426
1.016,36651.21905,0.2227209079,203.2438674,2.032438674,67.74795581,67.74795581
1.143,36631.6,0.2229534438,203.5461209,2.035461209,67.84870698,67.84870698
1.27,36607.9619,0.2232337813,203.9105075,2.039105075,67.97016917,67.97016917
1.397,36561.10952,0.2237899653,204.6334434,2.046334434,68.2111478,68.2111478
1.524,36498.82381,0.2245304627,205.5959526,2.055959526,68.5319842,68.5319842
1.651,36481.64762,0.224734888,205.8616674,2.058616674,68.62055581,68.62055581
1.778,36492.77143,0.2246024852,205.6895684,2.056895684,68.56318945,68.56318945
1.905,36402.60952,0.2256768149,207.0859975,2.070859975,69.02866582,69.02866582
2.032,36380.61905,0.2259392474,207.427111,2.07427111,69.14237033,69.14237033
2.159,36295.87143,0.2269521042,208.7436367,2.087436367,69.58121225,69.58121225
2.286,36247.11429,0.227535895,209.5024562,2.095024562,69.83415208,69.83415208
2.413,36135.62381,0.2288737758,211.2414528,2.112414528,70.41381758,70.41381758
2.54,36110.93333,0.2291706186,211.6272934,2.116272934,70.54243112,70.54243112
2.667,36161.48571,0.2285630667,210.8375887,2.108375887,70.27919623,70.27919623
2.794,36149.41905,0.2287080099,211.0259879,2.110259879,70.34199598,70.34199598
2.921,36249.79524,0.2275037744,209.4607054,2.094607054,69.82023514,69.82023514
3.048,36277.76667,0.2271687889,209.0252866,2.090252866,69.67509553,69.67509553
3.175,36302.08571,0.2268777542,208.6469955,2.086469955,69.5489985,69.5489985
3.302,36315.99524,0.2267113816,208.430742,2.08430742,69.47691401,69.47691401
3.429,36326.58571,0.2265847511,208.2661458,2.082661458,69.42204861,69.42204861
3.556,36355.57143,0.2262383569,207.8158978,2.078158978,69.27196593,69.27196593
3.683,36322.2619,0.2266364465,208.3333403,2.083333403,69.44444676,69.44444676
3.81,36261.77619,0.227360259,209.2741621,2.092741621,69.75805404,69.75805404
3.937,36256.1619,0.2274275045,209.3615688,2.093615688,69.7871896,69.7871896
4.064,36244.1381,0.2275715556,209.5488085,2.095488085,69.84960283,69.84960283
4.191,36204.13333,0.2280511764,210.1722264,2.101722264,70.05740882,70.05740882
4.318,36219.06667,0.2278720774,209.9394309,2.099394309,69.9798103,69.9798103
4.445,36121.81429,0.2290397767,211.4572231,2.114572231,70.48574103,70.48574103
4.572,36073.8,0.229617439,212.2080768,2.122080768,70.7360256,70.7360256
4.699,36068.05238,0.2296866404,212.2980258,2.122980258,70.76600859,70.76600859
4.826,36045.3381,0.2299602287,212.6536397,2.126536397,70.88454658,70.88454658
4.953,36021.25714,0.2302504665,213.030895,2.13030895,71.01029832,71.01029832
5.08,36017.58571,0.2302947337,213.0884342,2.130884342,71.02947806,71.02947806
5.207,35994.35714,0.2305749106,213.4526121,2.134526121,71.15087069,71.15087069
5.334,35994.4381,0.2305739339,213.4513425,2.134513425,71.1504475,71.1504475
5.461,35978.29524,0.2307687508,213.7045683,2.137045683,71.23485611,71.23485611
5.588,35989.70476,0.2306310481,213.5255804,2.135255804,71.17519348,71.17519348
5.715,35972.29048,0.2308412404,213.7987914,2.137987914,71.26626379,71.26626379
5.842,35909.74762,0.2315969793,214.7811115,2.147811115,71.59370384,71.59370384
5.969,35956.20952,0.2310354296,214.0512013,2.140512013,71.35040042,71.35040042
6.096,35927.60952,0.2313810101,214.5003917,2.145003917,71.50013057,71.50013057
6.223,35915.25238,0.2315304095,214.6945831,2.146945831,71.56486105,71.56486105
6.35,35914.44286,0.2315401985,214.7073071,2.147073071,71.56910236,71.56910236
6.477,35916.85238,0.2315110624,214.6694355,2.146694355,71.5564785,71.5564785
6.604,35907.55714,0.2316234718,214.8155469,2.148155469,71.6051823,71.6051823
6.731,35878.94762,0.231969636,215.2654961,2.152654961,71.75516535,71.75516535
6.858,35875.41429,0.2320124071,215.3210906,2.153210906,71.77369686,71.77369686
6.985,35882.94762,0.231921221,215.2025655,2.152025655,71.7341885,71.7341885
7.112,35853.5,0.2322777744,215.6660188,2.156660188,71.88867292,71.88867292
7.239,35874.21905,0.2320268765,215.339898,2.15339898,71.77996601,71.77996601
7.366,35903.73333,0.2316697225,214.8756642,2.148756642,71.62522138,71.62522138
7.493,35900.77619,0.2317054938,214.9221602,2.149221602,71.64072007,71.64072007
7.62,35897.39524,0.2317463954,214.9753247,2.149753247,71.65844155,71.65844155
7.747,35881.74762,0.2319357449,215.2214439,2.152214439,71.74048131,71.74048131
7.874,35931.74286,0.2313310491,214.4354516,2.144354516,71.47848388,71.47848388
8.001,35897.43333,0.2317459345,214.9747256,2.149747256,71.65824187,71.65824187
8.128,35925.6619,0.2314045537,214.5309939,2.145309939,71.51033131,71.51033131
8.255,35907.49524,0.2316242205,214.8165201,2.148165201,71.6055067,71.6055067
