X [mm],Dose [Gy]
-100,0.02849193439
-99.9,0.02857556413
-99.8,0.02865919387
-99.7,0.02874282361
-99.6,0.02882645335
-99.5,0.02890686264
-99.4,0.02898727192
-99.3,0.0290676812
-99.2,0.02914809048
-99.1,0.02922849976
-99,0.02930890904
-98.9,0.02938931832
-98.8,0.0294697276
-98.7,0.02955013688
-98.6,0.02963054616
-98.5,0.02971095544
-98.4,0.02979136473
-98.3,0.02987177401
-98.2,0.02995218329
-98.1,0.03003259257
-98,0.03011300185
-97.9,0.03019341113
-97.8,0.03027382041
-97.7,0.03035422969
-97.6,0.03043463897
-97.5,0.03057906934
-97.4,0.03072349971
-97.3,0.03086793008
-97.2,0.03101236045
-97.1,0.03115679082
-97,0.03130122119
-96.9,0.03144565156
-96.8,0.03159008193
-96.7,0.0317345123
-96.6,0.03187894266
-96.5,0.03202337303
-96.4,0.0321678034
-96.3,0.03231223377
-96.2,0.03245666414
-96.1,0.03260109451
-96,0.03274552488
-95.9,0.03288995525
-95.8,0.03303438562
-95.7,0.03317881599
-95.6,0.03332324636
-95.5,0.03331012341
-95.4,0.03329700047
-95.3,0.03328387753
-95.2,0.03327075458
-95.1,0.03325763164
-95,0.0332445087
-94.9,0.03323138576
-94.8,0.03321826281
-94.7,0.03320513987
-94.6,0.03319201693
-94.5,0.03317889399
-94.4,0.03316577104
-94.3,0.0331526481
-94.2,0.03313952516
-94.1,0.03312640221
-94,0.03311327927
-93.9,0.03310015633
-93.8,0.03308703339
-93.7,0.03307391044
-93.6,0.0330607875
-93.5,0.03327148794
-93.4,0.03348218838
-93.3,0.03369288882
-93.2,0.03390358926
-93.1,0.0341142897
-93,0.03432499014
-92.9,0.03453569058
-92.8,0.03474639102
-92.7,0.03495709146
-92.6,0.0351677919
-92.5,0.03537849234
-92.4,0.03558919278
-92.3,0.03579989322
-92.2,0.03601059367
-92.1,0.03622129411
-92,0.03643199455
-91.9,0.03664269499
-91.8,0.03685339543
-91.7,0.03706409587
-91.6,0.03727479631
-91.5,0.03734526854
-91.4,0.03741574077
-91.3,0.03748621299
-91.2,0.03755668522
-91.1,0.03762715745
-91,0.03769762968
-90.9,0.03776810191
-90.8,0.03783857414
-90.7,0.03790904637
-90.6,0.0379795186
-90.5,0.03804999083
-90.4,0.03812046306
-90.3,0.03819093529
-90.2,0.03826140752
-90.1,0.03833187975
-90,0.03840235198
-89.9,0.0384728242
-89.8,0.03854329643
-89.7,0.03861376866
-89.6,0.03868424089
-89.5,0.03875425031
-89.4,0.03882425972
-89.3,0.03889426913
-89.2,0.03896427854
-89.1,0.03903428795
-89,0.03910429737
-88.9,0.03917430678
-88.8,0.03924431619
-88.7,0.0393143256
-88.6,0.03938433502
-88.5,0.03945434443
-88.4,0.03952435384
-88.3,0.03959436325
-88.2,0.03966437267
-88.1,0.03973438208
-88,0.03980439149
-87.9,0.0398744009
-87.8,0.03994441032
-87.7,0.04001441973
-87.6,0.04008442914
-87.5,0.0402968445
-87.4,0.04050925987
-87.3,0.04072167523
-87.2,0.04093409059
-87.1,0.04114650596
-87,0.04135892132
-86.9,0.04157133668
-86.8,0.04178375205
-86.7,0.04199616741
-86.6,0.04220858277
-86.5,0.04242099814
-86.4,0.0426334135
-86.3,0.04284582886
-86.2,0.04305824423
-86.1,0.04327065959
-86,0.04348307495
-85.9,0.04369549032
-85.8,0.04390790568
-85.7,0.04412032104
-85.6,0.04433273641
-85.5,0.04429015554
-85.4,0.04424757468
-85.3,0.04420499381
-85.2,0.04416241295
-85.1,0.04411983208
-85,0.04407725122
-84.9,0.04403467035
-84.8,0.04399208949
-84.7,0.04394950862
-84.6,0.04390692776
-84.5,0.04386434689
-84.4,0.04382176603
-84.3,0.04377918516
-84.2,0.0437366043
-84.1,0.04369402343
-84,0.04365144256
-83.9,0.0436088617
-83.8,0.04356628083
-83.7,0.04352369997
-83.6,0.0434811191
-83.5,0.04358571182
-83.4,0.04369030453
-83.3,0.04379489725
-83.2,0.04389948996
-83.1,0.04400408267
-83,0.04410867539
-82.9,0.0442132681
-82.8,0.04431786082
-82.7,0.04442245353
-82.6,0.04452704624
-82.5,0.04463163896
-82.4,0.04473623167
-82.3,0.04484082438
-82.2,0.0449454171
-82.1,0.04505000981
-82,0.04515460253
-81.9,0.04525919524
-81.8,0.04536378795
-81.7,0.04546838067
-81.6,0.04557297338
-81.5,0.0458628074
-81.4,0.04615264141
-81.3,0.04644247542
-81.2,0.04673230944
-81.1,0.04702214345
-81,0.04731197746
-80.9,0.04760181148
-80.8,0.04789164549
-80.7,0.04818147951
-80.6,0.04847131352
-80.5,0.04876114753
-80.4,0.04905098155
-80.3,0.04934081556
-80.2,0.04963064957
-80.1,0.04992048359
-80,0.0502103176
-79.9,0.05050015161
-79.8,0.05078998563
-79.7,0.05107981964
-79.6,0.05136965366
-79.5,0.05181366615
-79.4,0.05225767864
-79.3,0.05270169113
-79.2,0.05314570362
-79.1,0.05358971611
-79,0.0540337286
-78.9,0.05447774109
-78.8,0.05492175358
-78.7,0.05536576607
-78.6,0.05580977857
-78.5,0.05625379106
-78.4,0.05669780355
-78.3,0.05714181604
-78.2,0.05758582853
-78.1,0.05802984102
-78,0.05847385351
-77.9,0.058917866
-77.8,0.05936187849
-77.7,0.05980589098
-77.6,0.06024990348
-77.5,0.06057937567
-77.4,0.06090884787
-77.3,0.06123832007
-77.2,0.06156779226
-77.1,0.06189726446
-77,0.06222673666
-76.9,0.06255620885
-76.8,0.06288568105
-76.7,0.06321515325
-76.6,0.06354462544
-76.5,0.06387409764
-76.4,0.06420356984
-76.3,0.06453304204
-76.2,0.06486251423
-76.1,0.06519198643
-76,0.06552145863
-75.9,0.06585093082
-75.8,0.06618040302
-75.7,0.06650987522
-75.6,0.06683934741
-75.5,0.06719609514
-75.4,0.06755284287
-75.3,0.0679095906
-75.2,0.06826633833
-75.1,0.06862308606
-75,0.06897983379
-74.9,0.06933658152
-74.8,0.06969332925
-74.7,0.07005007698
-74.6,0.07040682471
-74.5,0.07076357244
-74.4,0.07112032017
-74.3,0.0714770679
-74.2,0.07183381562
-74.1,0.07219056335
-74,0.07254731108
-73.9,0.07290405881
-73.8,0.07326080654
-73.7,0.07361755427
-73.6,0.073974302
-73.5,0.07453235709
-73.4,0.07509041219
-73.3,0.07564846728
-73.2,0.07620652237
-73.1,0.07676457746
-73,0.07732263256
-72.9,0.07788068765
-72.8,0.07843874274
-72.7,0.07899679783
-72.6,0.07955485293
-72.5,0.08011290802
-72.4,0.08067096311
-72.3,0.0812290182
-72.2,0.0817870733
-72.1,0.08234512839
-72,0.08290318348
-71.9,0.08346123857
-71.8,0.08401929367
-71.7,0.08457734876
-71.6,0.08513540385
-71.5,0.08620389904
-71.4,0.08727239423
-71.3,0.08834088941
-71.2,0.0894093846
-71.1,0.09047787979
-71,0.09154637498
-70.9,0.09261487017
-70.8,0.09368336535
-70.7,0.09475186054
-70.6,0.09582035573
-70.5,0.09688885092
-70.4,0.0979573461
-70.3,0.09902584129
-70.2,0.1000943365
-70.1,0.1011628317
-70,0.1022313269
-69.9,0.103299822
-69.8,0.1043683172
-69.7,0.1054368124
-69.6,0.1065053076
-69.5,0.1080205109
-69.4,0.1095357141
-69.3,0.1110509174
-69.2,0.1125661206
-69.1,0.1140813238
-69,0.1155965271
-68.9,0.1171117303
-68.8,0.1186269336
-68.7,0.1201421368
-68.6,0.1216573401
-68.5,0.1231725433
-68.4,0.1246877466
-68.3,0.1262029498
-68.2,0.1277181531
-68.1,0.1292333563
-68,0.1307485596
-67.9,0.1322637628
-67.8,0.1337789661
-67.7,0.1352941693
-67.6,0.1368093726
-67.5,0.1390132601
-67.4,0.1412171477
-67.3,0.1434210352
-67.2,0.1456249228
-67.1,0.1478288103
-67,0.1500326979
-66.9,0.1522365854
-66.8,0.154440473
-66.7,0.1566443605
-66.6,0.1588482481
-66.5,0.1610521356
-66.4,0.1632560232
-66.3,0.1654599107
-66.2,0.1676637983
-66.1,0.1698676858
-66,0.1720715734
-65.9,0.174275461
-65.8,0.1764793485
-65.7,0.1786832361
-65.6,0.1808871236
-65.5,0.1834672258
-65.4,0.186047328
-65.3,0.1886274302
-65.2,0.1912075324
-65.1,0.1937876346
-65,0.1963677368
-64.9,0.198947839
-64.8,0.2015279412
-64.7,0.2041080434
-64.6,0.2066881456
-64.5,0.2092682478
-64.4,0.2118483499
-64.3,0.2144284521
-64.2,0.2170085543
-64.1,0.2195886565
-64,0.2221687587
-63.9,0.2247488609
-63.8,0.2273289631
-63.7,0.2299090653
-63.6,0.2324891675
-63.5,0.2364217379
-63.4,0.2403543083
-63.3,0.2442868786
-63.2,0.248219449
-63.1,0.2521520194
-63,0.2560845898
-62.9,0.2600171602
-62.8,0.2639497305
-62.7,0.2678823009
-62.6,0.2718148713
-62.5,0.2757474417
-62.4,0.2796800121
-62.3,0.2836125824
-62.2,0.2875451528
-62.1,0.2914777232
-62,0.2954102936
-61.9,0.299342864
-61.8,0.3032754343
-61.7,0.3072080047
-61.6,0.3111405751
-61.5,0.3167920351
-61.4,0.3224434951
-61.3,0.3280949551
-61.2,0.3337464151
-61.1,0.3393978751
-61,0.3450493351
-60.9,0.3507007951
-60.8,0.3563522551
-60.7,0.3620037151
-60.6,0.3676551751
-60.5,0.3733066351
-60.4,0.3789580951
-60.3,0.3846095551
-60.2,0.3902610151
-60.1,0.3959124751
-60,0.4015639351
-59.9,0.4072153951
-59.8,0.4128668551
-59.7,0.4185183151
-59.6,0.4241697751
-59.5,0.4309278674
-59.4,0.4376859598
-59.3,0.4444440522
-59.2,0.4512021445
-59.1,0.4579602369
-59,0.4647183292
-58.9,0.4714764216
-58.8,0.4782345139
-58.7,0.4849926063
-58.6,0.4917506986
-58.5,0.498508791
-58.4,0.5052668833
-58.3,0.5120249757
-58.2,0.518783068
-58.1,0.5255411604
-58,0.5322992527
-57.9,0.5390573451
-57.8,0.5458154374
-57.7,0.5525735298
-57.6,0.5593316222
-57.5,0.5665165746
-57.4,0.5737015271
-57.3,0.5808864795
-57.2,0.588071432
-57.1,0.5952563844
-57,0.6024413369
-56.9,0.6096262893
-56.8,0.6168112418
-56.7,0.6239961943
-56.6,0.6311811467
-56.5,0.6383660992
-56.4,0.6455510516
-56.3,0.6527360041
-56.2,0.6599209565
-56.1,0.667105909
-56,0.6742908614
-55.9,0.6814758139
-55.8,0.6886607663
-55.7,0.6958457188
-55.6,0.7030306713
-55.5,0.7104987105
-55.4,0.7179667497
-55.3,0.7254347889
-55.2,0.7329028281
-55.1,0.7403708673
-55,0.7478389065
-54.9,0.7553069457
-54.8,0.762774985
-54.7,0.7702430242
-54.6,0.7777110634
-54.5,0.7851791026
-54.4,0.7926471418
-54.3,0.800115181
-54.2,0.8075832202
-54.1,0.8150512594
-54,0.8225192987
-53.9,0.8299873379
-53.8,0.8374553771
-53.7,0.8449234163
-53.6,0.8523914555
-53.5,0.8601630083
-53.4,0.8679345611
-53.3,0.8757061138
-53.2,0.8834776666
-53.1,0.8912492194
-53,0.8990207722
-52.9,0.906792325
-52.8,0.9145638777
-52.7,0.9223354305
-52.6,0.9301069833
-52.5,0.9378785361
-52.4,0.9456500888
-52.3,0.9534216416
-52.2,0.9611931944
-52.1,0.9689647472
-52,0.9767363
-51.9,0.9845078527
-51.8,0.9922794055
-51.7,1.000050958
-51.6,1.007822511
-51.5,1.014073715
-51.4,1.020324918
-51.3,1.026576122
-51.2,1.032827326
-51.1,1.03907853
-51,1.045329733
-50.9,1.051580937
-50.8,1.057832141
-50.7,1.064083344
-50.6,1.070334548
-50.5,1.076585752
-50.4,1.082836956
-50.3,1.089088159
-50.2,1.095339363
-50.1,1.101590567
-50,1.10784177
-49.9,1.114092974
-49.8,1.120344178
-49.7,1.126595382
-49.6,1.132846585
-49.5,1.136850054
-49.4,1.140853522
-49.3,1.144856991
-49.2,1.148860459
-49.1,1.152863927
-49,1.156867396
-48.9,1.160870864
-48.8,1.164874333
-48.7,1.168877801
-48.6,1.17288127
-48.5,1.176884738
-48.4,1.180888207
-48.3,1.184891675
-48.2,1.188895143
-48.1,1.192898612
-48,1.19690208
-47.9,1.200905549
-47.8,1.204909017
-47.7,1.208912486
-47.6,1.212915954
-47.5,1.21637106
-47.4,1.219826165
-47.3,1.22328127
-47.2,1.226736376
-47.1,1.230191481
-47,1.233646586
-46.9,1.237101692
