Depth [mm],Signal,Net OD,Dose [cGy],Dose [Gy],PDD [%]
0,65502.61,-0.2556113663,0,0,0
0.127,35005.2,0.01651467556,17.90621983,0.1790621983,7.388119191
0.254,7094.3,0.7097376891,300,3,123.780216
0.381,24378.1,0.1736473847,148.6521895,1.486521895,61.33400041
0.508,22179.55,0.2146945083,267.0117544,2.670117544,110.1692421
0.635,23509.73,0.1893995974,218.6364599,2.186364599,90.20956072
0.762,24395.8,0.1733321746,148.4350405,1.484350405,61.24440458
0.889,24435.61,0.1726240538,147.9472144,1.479472144,61.04312718
1.016,24438.7,0.1725691387,147.9093833,1.479093833,61.02751801
1.143,24446.39,0.172432503,147.8152546,1.478152546,60.98868045
1.27,24538.3,0.1708027671,146.6925256,1.466925256,60.52544166
1.397,24628.21,0.1692143908,145.5982893,1.455982893,60.07395896
1.524,24714.15,0.1677015606,144.5560969,1.445560969,59.64394963
1.651,24817.99,0.1658806336,143.3016559,1.433016559,59.12636636
1.778,24977.96,0.1630902731,141.3793697,1.413793697,58.33322971
1.905,25094,0.1610773452,139.9926588,1.399926588,57.76107179
2.032,25228.97,0.1587477185,138.3877733,1.383877733,57.09889488
2.159,25412.5,0.1555998472,136.2191971,1.362191971,56.20413878
2.286,25469.32,0.1546298889,135.5509904,1.355509904,55.92843623
2.413,25569.22,0.152929759,134.3797668,1.343797668,55.44518852
2.54,25630.62,0.1518881271,133.662184,1.33662184,55.14911335
2.667,25672.32,0.1511821214,133.175815,1.33175815,54.94843713
2.794,25730.74,0.1501949624,132.4957588,1.324957588,54.66784546
2.921,25822.86,0.1486428982,131.426538,1.31426538,54.22668417
3.048,25904.29,0.1472755455,130.4845654,1.304845654,53.8380256
3.175,25989.92,0.1458422962,129.4971964,1.294971964,53.43063647
3.302,25970.3,0.1461702724,129.72314,1.2972314,53.52386096
3.429,25958.77,0.1463631284,129.855999,1.29855999,53.57867866
3.556,26001.28,0.1456525108,129.3664528,1.293664528,53.37669155
3.683,26011.43,0.1454830103,129.2496835,1.292496835,53.32851247
3.81,25941.48,0.1466524893,130.0553404,1.300553404,53.66092708
3.937,25929.61,0.1468512542,130.19227,1.3019227,53.71742434
4.064,25934.41,0.1467708665,130.1368908,1.301368908,53.69457482
4.191,25875.34,0.1477611738,130.8191159,1.308191159,53.97606138
4.318,25897.31,0.1473925834,130.5651931,1.305651931,53.87129265
4.445,25855.7,0.1480909388,131.0462918,1.310462918,54.06979433
4.572,25772.24,0.1494950719,132.0136025,1.320136025,54.46890742
4.699,25793.64,0.1491346047,131.7652758,1.317652758,54.36644765
4.826,25723.13,0.1503234263,132.5842579,1.325842579,54.70436024
4.953,25681.35,0.1510293892,133.0705974,1.330705974,54.90502429
5.08,25603.86,0.152341795,133.974717,1.33974717,55.27806468
5.207,25635.73,0.15180155,133.6025409,1.336025409,55.12450455
5.334,25536.8,0.1534807637,134.7593553,1.347593553,55.601807
5.461,25509.12,0.1539517621,135.0838272,1.350838272,55.73568435
5.588,25430.19,0.1552976339,136.0110016,1.360110016,56.11823716
5.715,25341.09,0.1568219475,137.061105,1.37061105,56.55151058
5.842,25185.9,0.1594897642,138.8989704,1.388989704,57.30981516
5.969,25281.15,0.1578504134,137.7696176,1.377696176,56.84384341
6.096,25184.29,0.1595175272,138.9180964,1.389180964,57.31770656
6.223,25153.54,0.1600481245,139.2836261,1.392836261,57.46852439
6.35,25089.07,0.1611626757,140.0514431,1.400514431,57.78532625
6.477,25029.16,0.1622009643,140.7667227,1.407667227,58.08045112
6.604,24990.36,0.1628747264,141.2308791,1.412308791,58.27196238
6.731,24887.11,0.1646727715,142.4695567,1.424695567,58.78304165
6.858,24785.97,0.1664413192,143.6879135,1.436879135,59.28573654
6.985,24697.8,0.1679889694,144.7540935,1.447540935,59.72564319
7.112,24682.13,0.1682646035,144.9439785,1.449439785,59.80398986
7.239,24595.93,0.1697839905,145.9906879,1.459906879,60.23586292
7.366,24517.43,0.1711722949,146.9470941,1.469470941,60.63047683
7.493,24496.66,0.1715403644,147.2006582,1.472006582,60.73509752
7.62,24420.28,0.1728965997,148.1349719,1.481349719,61.12059605
7.747,24347.56,0.1741917941,149.0272345,1.490272345,61.48874425
7.874,24301.21,0.1750193404,149.5973332,1.495973332,61.72396737
8.001,24242.71,0.1760660725,153.9056955,1.539056955,63.50160074
8.128,24211.03,0.176633973,158.7043009,1.587043009,65.48150878
8.255,24166.14,0.1774399517,165.514603,1.65514603,68.29144433
8.382,24062.41,0.1793081164,181.3000887,1.813000887,74.80454709
8.509,23999.94,0.1804370829,190.8395501,1.908395501,78.74053573
8.636,24019.2,0.1800887005,187.8958129,1.878958129,77.52594764
8.763,23971.11,0.180959094,195.250403,1.95250403,80.56045682
8.89,23916.68,0.1819463461,201.0057012,2.010057012,82.93509702
9.017,23832.56,0.1834765438,204.625403,2.04625403,84.42858858
9.144,23779.73,0.1844403196,206.9052267,2.069052267,85.36924546
9.271,23767.49,0.184663919,207.4341538,2.074341538,85.58748117
9.398,23742.55,0.1851198776,208.5127295,2.085127295,86.03250228
9.525,23684.08,0.1861907195,211.0458193,2.110458193,87.07765696
9.652,23622.58,0.1873199104,213.7169345,2.137169345,88.179761
9.779,23644.59,0.1869154512,212.7601811,2.127601811,87.78500386
9.906,23571.64,0.1882574392,215.9346704,2.159346704,89.09480045
10.033,23539.22,0.188855171,217.3486124,2.173486124,89.67819393
10.16,23463.14,0.1902611069,220.6743713,2.206743713,91.05040443
10.287,23471.29,0.1901102795,220.3175871,2.203175871,90.90319502
10.414,23327.34,0.1927820195,226.6376214,2.266376214,93.51084574
10.541,23351.06,0.1923406391,225.5935305,2.255935305,93.08005309
10.668,23284.16,0.1935866639,228.5410177,2.285410177,94.29618842
10.795,23215.69,0.1948656429,231.5664583,2.315664583,95.54448739
10.922,23237.07,0.1944658726,230.6207967,2.306207967,95.15430674
11.049,23155.01,0.196002266,234.2551543,2.342551543,96.65384531
11.176,23119.51,0.1966686136,235.8314078,2.358314078,97.30420863
11.303,23117.72,0.1967022396,235.9109506,2.359109506,97.33702803
11.43,23088.18,0.1972575393,237.2245189,2.372245189,97.87900726
11.557,23092.28,0.1971804241,237.042102,2.37042102,97.8037419
11.684,23075.39,0.197498189,237.7937789,2.377937789,98.11388436
11.811,23085,0.19731736,237.3660255,2.373660255,97.93739301
11.938,23118.89,0.1966802603,235.8589582,2.358589582,97.31557596
12.065,23114.5,0.1967627354,236.0540542,2.360540542,97.3960727
12.192,23161.34,0.195883557,233.9743467,2.339743467,96.53798388
12.319,23189.53,0.1953552923,232.7247301,2.327247301,96.02239118
12.446,23224.75,0.1946961911,231.165618,2.31165618,95.37910038
12.573,23254.59,0.194138552,229.8465157,2.298465157,94.83483784
12.7,23222.07,0.194746309,231.2841726,2.312841726,95.42801609
12.827,23291.34,0.1934527637,228.2242751,2.282242751,94.1655002
12.954,23241.72,0.1943789741,230.4152372,2.304152372,95.06949272
13.081,23227.97,0.1946359824,231.0231936,2.310231936,95.32033599
13.208,23203.11,0.19510104,232.123293,2.32123293,95.77423778
13.335,23224.36,0.194703484,231.1828695,2.311828695,95.38621836
13.462,23193.48,0.1952813229,232.5497544,2.325497544,95.95019608
13.589,23190.99,0.1953279502,232.6600521,2.326600521,95.99570497
13.716,23188.28,0.195378703,232.7801084,2.327801084,96.04524029
13.843,23169.02,0.1957395744,233.6337542,2.336337542,96.39745516
13.97,23194.2,0.1952678412,232.5178633,2.325178633,95.93703779
14.097,23184.64,0.1954468821,232.9413869,2.329413869,96.11178391
14.224,23146.47,0.1961624714,234.6341223,2.346341223,96.81020778
14.351,23134.56,0.1963859949,235.1628698,2.351628698,97.02836936
14.478,23163.09,0.1958507442,233.8967278,2.338967278,96.50595826
14.605,23144.04,0.1962080676,234.7419807,2.347419807,96.85471022
14.732,23119.91,0.1966610997,235.8136337,2.358136337,97.29687503
14.859,23098.53,0.1970628968,236.7640897,2.367640897,97.68903383
14.986,23142.98,0.1962279588,234.7890336,2.347890336,96.87412427
15.113,23104.18,0.1969566795,236.5128313,2.365128313,97.58536445
