Depth [mm],Dose [Gy],PDD [%]
0,0.7648447403,51.40988693
0.09523809524,0.8198367049,55.10623278
0.1904761905,0.8748286694,58.80257862
0.2857142857,0.9298206339,62.49892447
0.380952381,0.9848125985,66.19527031
0.4761904762,1.039804563,69.89161616
0.5714285714,1.094796528,73.587962
0.6666666667,1.149788492,77.28430785
0.7619047619,1.158621658,77.87803888
0.8571428571,1.162794731,78.15853663
0.9523809524,1.166967805,78.43903439
1.047619048,1.171140878,78.71953215
1.142857143,1.175313952,79.0000299
1.238095238,1.179487025,79.28052766
1.333333333,1.183660098,79.56102542
1.428571429,1.187833172,79.84152317
1.523809524,1.192006245,80.12202093
1.619047619,1.196179319,80.40251869
1.714285714,1.200352392,80.68301644
1.80952381,1.204525466,80.9635142
1.904761905,1.208698539,81.24401196
2,1.212871613,81.52450972
2.095238095,1.217044686,81.80500747
2.19047619,1.221217759,82.08550523
2.285714286,1.225390833,82.36600299
2.380952381,1.229563906,82.64650074
2.476190476,1.23373698,82.9269985
2.571428571,1.237910053,83.20749626
2.666666667,1.242083127,83.48799401
2.761904762,1.244852887,83.67416653
2.857142857,1.247480972,83.85081617
2.952380952,1.250109057,84.02746581
3.047619048,1.252737142,84.20411545
3.142857143,1.255365227,84.38076509
3.238095238,1.257993312,84.55741473
3.333333333,1.260621397,84.73406437
3.428571429,1.263249482,84.91071401
3.523809524,1.265877567,85.08736366
3.619047619,1.268505651,85.2640133
3.714285714,1.271133736,85.44066294
3.80952381,1.273761821,85.61731258
3.904761905,1.276389906,85.79396222
4,1.279017991,85.97061186
4.095238095,1.281646076,86.1472615
4.19047619,1.284274161,86.32391114
4.285714286,1.286902246,86.50056078
4.380952381,1.289530331,86.67721043
4.476190476,1.292158416,86.85386007
4.571428571,1.294786501,87.03050971
4.666666667,1.297414586,87.20715935
4.761904762,1.300013696,87.38186141
4.857142857,1.30260988,87.55636684
4.952380952,1.305206065,87.73087228
5.047619048,1.30780225,87.90537771
5.142857143,1.310398435,88.07988315
5.238095238,1.312994619,88.25438858
5.333333333,1.315590804,88.42889401
5.428571429,1.318186989,88.60339945
5.523809524,1.320783174,88.77790488
5.619047619,1.323379358,88.95241032
5.714285714,1.325975543,89.12691575
5.80952381,1.328571728,89.30142119
5.904761905,1.331167912,89.47592662
6,1.333764097,89.65043206
6.095238095,1.336360282,89.82493749
6.19047619,1.338956467,89.99944293
6.285714286,1.341552651,90.17394836
6.380952381,1.344148836,90.34845379
6.476190476,1.346745021,90.52295923
6.571428571,1.349341206,90.69746466
6.666666667,1.35193739,90.8719701
6.761904762,1.355096443,91.08430935
6.857142857,1.358312322,91.30046822
6.952380952,1.361528201,91.51662709
7.047619048,1.36474408,91.73278596
7.142857143,1.367959959,91.94894482
7.238095238,1.371175838,92.16510369
7.333333333,1.374391717,92.38126256
7.428571429,1.377607596,92.59742143
7.523809524,1.380823475,92.8135803
7.619047619,1.384039354,93.02973917
7.714285714,1.387255233,93.24589804
7.80952381,1.390471112,93.46205691
7.904761905,1.393686991,93.67821578
8,1.39690287,93.89437465
8.095238095,1.400118749,94.11053352
8.19047619,1.403334628,94.32669239
8.285714286,1.406550507,94.54285126
8.380952381,1.409766386,94.75901012
8.476190476,1.412982265,94.97516899
8.571428571,1.416198144,95.19132786
8.666666667,1.419414023,95.40748673
8.761904762,1.421642353,95.55726644
8.857142857,1.423770983,95.70034466
8.952380952,1.425899613,95.84342288
9.047619048,1.428028243,95.98650109
9.142857143,1.430156873,96.12957931
9.238095238,1.432285503,96.27265753
9.333333333,1.434414133,96.41573574
9.428571429,1.436542762,96.55881396
9.523809524,1.438671392,96.70189217
9.619047619,1.440800022,96.84497039
9.714285714,1.442928652,96.98804861
9.80952381,1.445057282,97.13112682
9.904761905,1.447185912,97.27420504
10,1.449314542,97.41728325
10.0952381,1.451443172,97.56036147
10.19047619,1.453571801,97.70343969
10.28571429,1.455700431,97.8465179
10.38095238,1.457829061,97.98959612
10.47619048,1.459957691,98.13267434
10.57142857,1.462086321,98.27575255
10.66666667,1.464214951,98.41883077
10.76190476,1.465423583,98.50007035
10.85714286,1.466539335,98.57506683
10.95238095,1.467655087,98.65006331
11.04761905,1.468770838,98.72505979
11.14285714,1.46988659,98.80005628
11.23809524,1.471002342,98.87505276
11.33333333,1.472118093,98.95004924
11.42857143,1.473233845,99.02504572
11.52380952,1.474349596,99.10004221
11.61904762,1.475465348,99.17503869
11.71428571,1.4765811,99.25003517
11.80952381,1.477696851,99.32503166
11.9047619,1.478812603,99.40002814
12,1.479928355,99.47502462
12.0952381,1.481044106,99.5500211
12.19047619,1.482159858,99.62501759
12.28571429,1.48327561,99.70001407
12.38095238,1.484391361,99.77501055
12.47619048,1.485507113,99.85000703
12.57142857,1.486622864,99.92500352
12.66666667,1.487738616,100
12.76190476,1.486258967,99.90054376
12.85714286,1.484517292,99.78347515
12.95238095,1.482775617,99.66640654
13.04761905,1.481033942,99.54933793
13.14285714,1.479292268,99.43226933
13.23809524,1.477550593,99.31520072
13.33333333,1.475808918,99.19813211
13.42857143,1.474067243,99.0810635
13.52380952,1.472325568,98.96399489
13.61904762,1.470583893,98.84692628
13.71428571,1.468842218,98.72985767
13.80952381,1.467100543,98.61278906
13.9047619,1.465358868,98.49572046
14,1.463617194,98.37865185
14.0952381,1.461875519,98.26158324
14.19047619,1.460133844,98.14451463
14.28571429,1.458392169,98.02744602
14.38095238,1.456650494,97.91037741
14.47619048,1.454908819,97.7933088
14.57142857,1.453167144,97.67624019
14.66666667,1.451425469,97.55917159
14.76190476,1.447644404,97.3050231
14.85714286,1.443657447,97.03703533
14.95238095,1.439670489,96.76904756
15.04761905,1.435683531,96.50105979
15.14285714,1.431696574,96.23307202
15.23809524,1.427709616,95.96508425
15.33333333,1.423722659,95.69709648
15.42857143,1.419735701,95.42910871
15.52380952,1.415748744,95.16112094
15.61904762,1.411761786,94.89313317
15.71428571,1.407774829,94.6251454
15.80952381,1.403787871,94.35715763
15.9047619,1.399800914,94.08916986
16,1.395813956,93.82118209
16.0952381,1.391826999,93.55319432
16.19047619,1.387840041,93.28520655
16.28571429,1.383853083,93.01721878
16.38095238,1.379866126,92.74923101
16.47619048,1.375879168,92.48124324
16.57142857,1.371892211,92.21325547
16.66666667,1.367905253,91.9452677
16.76190476,1.361922968,91.54316177
16.85714286,1.355739239,91.12751555
16.95238095,1.34955551,90.71186934
17.04761905,1.34337178,90.29622313
17.14285714,1.337188051,89.88057691
17.23809524,1.331004322,89.4649307
17.33333333,1.324820593,89.04928448
17.42857143,1.318636863,88.63363827
17.52380952,1.312453134,88.21799205
17.61904762,1.306269405,87.80234584
17.71428571,1.300085676,87.38669962
17.80952381,1.293901946,86.97105341
17.9047619,1.287718217,86.55540719
18,1.281534488,86.13976098
18.0952381,1.275350759,85.72411477
18.19047619,1.269167029,85.30846855
18.28571429,1.2629833,84.89282234
18.38095238,1.256799571,84.47717612
18.47619048,1.250615842,84.06152991
18.57142857,1.244432112,83.64588369
18.66666667,1.238248383,83.23023748
18.76190476,1.230167738,82.68708797
18.85714286,1.221895585,82.131066
18.95238095,1.213623431,81.57504403
19.04761905,1.205351278,81.01902206
19.14285714,1.197079124,80.46300009
19.23809524,1.18880697,79.90697812
19.33333333,1.180534817,79.35095615
19.42857143,1.172262663,78.79493418
19.52380952,1.16399051,78.23891221
19.61904762,1.155718356,77.68289024
19.71428571,1.147446203,77.12686828
19.80952381,1.139174049,76.57084631
19.9047619,1.130901896,76.01482434
20,1.122629742,75.45880237
20.0952381,1.114357589,74.9027804
20.19047619,1.106085435,74.34675843
20.28571429,1.097813281,73.79073646
20.38095238,1.089541128,73.23471449
20.47619048,1.081268974,72.67869252
20.57142857,1.072996821,72.12267055
20.66666667,1.064724667,71.56664858
20.76190476,1.054604118,70.88638465
20.85714286,1.044296959,70.19357753
20.95238095,1.0339898,69.5007704
21.04761905,1.02368264,68.80796327
