Depth [mm],Signal,Net OD,Dose [cGy],Dose [Gy],PDD [%]
0,16375.26,0.3539383461,300,3,141.9254418
0.127,21563.44,0.2344085056,271.2592423,2.712592423,128.328626
0.254,20387.89,0.2587542686,300,3,141.9254418
0.381,22514.55,0.2156632792,231.9667294,2.319667294,109.7399352
0.508,24016.63,0.187614483,146.0363422,1.460363422,69.08757464
0.635,24220.22,0.1839484667,141.765523,1.41765523,67.06711494
0.762,24278.04,0.1829129277,140.5591454,1.405591454,66.49639605
0.889,24447.79,0.1798869439,137.0339483,1.370339483,64.82867886
1.016,24568.63,0.1777456104,134.5393472,1.345393472,63.64852096
1.143,24631.5,0.1766356902,133.2463173,1.332463173,63.03680818
1.27,24738.84,0.1747472186,131.0462941,1.310462941,61.99601062
1.397,24835.85,0.1730475221,129.0661894,1.290661894,61.05925315
1.524,24980.64,0.1705229896,126.1251707,1.261251707,59.66790192
1.651,25079.94,0.1688000572,124.1179966,1.241179966,58.71833834
1.778,25256.19,0.1657587143,120.5749066,1.205749066,57.04215628
1.905,25381.34,0.1636120035,118.0740411,1.180740411,55.85903481
2.032,25467.76,0.1621358018,116.3543021,1.163543021,55.04545246
2.159,25555.3,0.1606455667,114.6182148,1.146182148,54.2241359
2.286,25639.99,0.1592086989,112.9442989,1.129442989,53.43223173
2.413,25661.65,0.158841973,112.5170722,1.125170722,53.23011729
2.54,25657.48,0.1589125513,112.5992942,1.125992942,53.26901525
2.667,25658.95,0.1588876699,112.570308,1.12570308,53.2553023
2.794,25598.05,0.1599196673,113.7725597,1.137725597,53.82406934
2.921,25512.38,0.1613755754,115.468657,1.15468657,54.62646718
3.048,25483.77,0.1618628736,116.0363475,1.160363475,54.89503293
3.175,25374.03,0.1637371013,118.2197769,1.182197769,55.92798024
3.302,25329.8,0.1644947897,119.1024653,1.191024653,56.34556669
3.429,25261.63,0.1656651805,120.465942,1.20465942,56.99060678
3.556,25183.09,0.1670175328,122.0413993,1.220413993,57.7359317
3.683,25100.77,0.1684395061,123.6979634,1.236979634,58.51962702
3.81,25028.16,0.1696976277,125.1636443,1.251636443,59.21301836
3.937,24951.28,0.1710337205,126.7201597,1.267201597,59.94938218
4.064,24862.05,0.1725896148,128.5327385,1.285327385,60.80688567
4.191,24759.93,0.1743771378,130.6151591,1.306151591,61.79204718
4.318,24712.06,0.1752176006,131.5942776,1.315942776,62.25525331
4.445,24619.21,0.1768524375,133.4988226,1.334988226,63.1562646
4.572,24605.4,0.1770961208,133.7827077,1.337827077,63.29056631
4.699,24537.94,0.1782884501,135.1717422,1.351717422,63.94769745
4.826,24469.87,0.1794948882,136.5772131,1.365772131,64.61260436
4.953,24421.93,0.1803465682,137.5693994,1.375693994,65.08199265
5.08,24274.77,0.1829714266,140.6272952,1.406272952,66.52863668
5.207,24260.3,0.1832303833,140.9289735,1.409289735,66.67135607
5.334,24157.59,0.1850729441,143.0755117,1.430755117,67.6868507
5.461,24093.49,0.1862268372,144.4197689,1.444197689,68.32279834
5.588,24079.21,0.186484316,144.7197254,1.447197254,68.46470322
5.715,23966.32,0.1885251966,147.0973013,1.470973013,69.58949827
5.842,23957.78,0.1886799778,147.2776177,1.472776177,69.67480317
5.969,23855.05,0.1905462192,149.4517432,1.494517432,70.70334893
6.096,23818.02,0.1912208947,150.6786394,1.506786394,71.28377488
6.223,23774.91,0.1920076688,153.2952154,1.532952154,72.52163723
