Depth [mm],Dose [Gy],PDD [%]
0,1.400739027,78.43645437
0.09523809524,1.404870848,78.66782181
0.1904761905,1.409002669,78.89918926
0.2857142857,1.413134491,79.13055671
0.380952381,1.417266312,79.36192416
0.4761904762,1.421398133,79.5932916
0.5714285714,1.425529955,79.82465905
0.6666666667,1.429661776,80.0560265
0.7619047619,1.433793597,80.28739394
0.8571428571,1.437925419,80.51876139
0.9523809524,1.44205724,80.75012884
1.047619048,1.446189061,80.98149629
1.142857143,1.450320883,81.21286373
1.238095238,1.454452704,81.44423118
1.333333333,1.458584525,81.67559863
1.428571429,1.462716346,81.90696608
1.523809524,1.466848168,82.13833352
1.619047619,1.470979989,82.36970097
1.714285714,1.474268575,82.55385021
1.80952381,1.477259424,82.72132725
1.904761905,1.480250274,82.88880429
2,1.483241123,83.05628133
2.095238095,1.486231973,83.22375837
2.19047619,1.489222822,83.39123541
2.285714286,1.492213672,83.55871245
2.380952381,1.495204521,83.72618949
2.476190476,1.498195371,83.89366653
2.571428571,1.50118622,84.06114357
2.666666667,1.504177069,84.22862061
2.761904762,1.507167919,84.39609764
2.857142857,1.510158768,84.56357468
2.952380952,1.513149618,84.73105172
3.047619048,1.516140467,84.89852876
3.142857143,1.519131317,85.0660058
3.238095238,1.522122166,85.23348284
3.333333333,1.525113015,85.40095988
3.428571429,1.528103865,85.56843692
3.523809524,1.531094714,85.73591396
3.619047619,1.534085564,85.903391
3.714285714,1.536447917,86.03567448
3.80952381,1.538588356,86.15553152
3.904761905,1.540728795,86.27538855
4,1.542869234,86.39524559
4.095238095,1.545009672,86.51510263
4.19047619,1.547150111,86.63495967
4.285714286,1.54929055,86.75481671
4.380952381,1.551430989,86.87467375
4.476190476,1.553571428,86.99453079
4.571428571,1.555711867,87.11438783
4.666666667,1.557852305,87.23424486
4.761904762,1.559992744,87.3541019
4.857142857,1.562133183,87.47395894
4.952380952,1.564273622,87.59381598
5.047619048,1.566414061,87.71367302
5.142857143,1.5685545,87.83353006
