X [mm],Dose [Gy]
-100,0.02355242861
-99.9,0.02362298801
-99.8,0.02369354741
-99.7,0.02376410681
-99.6,0.02383466621
-99.5,0.02398384967
-99.4,0.02413303312
-99.3,0.02428221657
-99.2,0.02443140003
-99.1,0.02458058348
-99,0.02472976693
-98.9,0.02487895039
-98.8,0.02502813384
-98.7,0.02517731729
-98.6,0.02532650075
-98.5,0.0254756842
-98.4,0.02562486766
-98.3,0.02577405111
-98.2,0.02592323456
-98.1,0.02607241802
-98,0.02622160147
-97.9,0.02637078492
-97.8,0.02651996838
-97.7,0.02666915183
-97.6,0.02681833529
-97.5,0.02694207739
-97.4,0.02706581949
-97.3,0.02718956159
-97.2,0.02731330369
-97.1,0.02743704579
-97,0.02756078789
-96.9,0.02768452999
-96.8,0.02780827209
-96.7,0.02793201419
-96.6,0.0280557563
-96.5,0.0281794984
-96.4,0.0283032405
-96.3,0.0284269826
-96.2,0.0285507247
-96.1,0.0286744668
-96,0.0287982089
-95.9,0.028921951
-95.8,0.0290456931
-95.7,0.0291694352
-95.6,0.0292931773
-95.5,0.02946725329
-95.4,0.02964132927
-95.3,0.02981540525
-95.2,0.02998948123
-95.1,0.03016355721
-95,0.03033763319
-94.9,0.03051170917
-94.8,0.03068578515
-94.7,0.03085986113
-94.6,0.03103393711
-94.5,0.03120801309
-94.4,0.03138208908
-94.3,0.03155616506
-94.2,0.03173024104
-94.1,0.03190431702
-94,0.032078393
-93.9,0.03225246898
-93.8,0.03242654496
-93.7,0.03260062094
-93.6,0.03277469692
-93.5,0.03272308327
-93.4,0.03267146962
-93.3,0.03261985596
-93.2,0.03256824231
-93.1,0.03251662866
-93,0.03246501501
-92.9,0.03241340135
-92.8,0.0323617877
-92.7,0.03231017405
-92.6,0.0322585604
-92.5,0.03220694674
-92.4,0.03215533309
-92.3,0.03210371944
-92.2,0.03205210578
-92.1,0.03200049213
-92,0.03194887848
-91.9,0.03189726483
-91.8,0.03184565117
-91.7,0.03179403752
-91.6,0.03174242387
-91.5,0.0318126036
-91.4,0.03188278333
-91.3,0.03195296306
-91.2,0.03202314278
-91.1,0.03209332251
-91,0.03216350224
-90.9,0.03223368197
-90.8,0.0323038617
-90.7,0.03237404143
-90.6,0.03244422116
-90.5,0.03251440089
-90.4,0.03258458062
-90.3,0.03265476035
-90.2,0.03272494008
-90.1,0.03279511981
-90,0.03286529953
-89.9,0.03293547926
-89.8,0.03300565899
-89.7,0.03307583872
-89.6,0.03314601845
-89.5,0.03320541004
-89.4,0.03326480162
-89.3,0.03332419321
-89.2,0.03338358479
-89.1,0.03344297638
-89,0.03350236796
-88.9,0.03356175955
-88.8,0.03362115113
-88.7,0.03368054272
-88.6,0.0337399343
-88.5,0.03379932589
-88.4,0.03385871748
-88.3,0.03391810906
-88.2,0.03397750065
-88.1,0.03403689223
-88,0.03409628382
-87.9,0.0341556754
-87.8,0.03421506699
-87.7,0.03427445857
-87.6,0.03433385016
-87.5,0.03452161346
-87.4,0.03470937676
-87.3,0.03489714007
-87.2,0.03508490337
-87.1,0.03527266667
-87,0.03546042997
-86.9,0.03564819327
-86.8,0.03583595658
-86.7,0.03602371988
-86.6,0.03621148318
-86.5,0.03639924648
-86.4,0.03658700979
-86.3,0.03677477309
-86.2,0.03696253639
-86.1,0.03715029969
-86,0.03733806299
-85.9,0.0375258263
-85.8,0.0377135896
-85.7,0.0379013529
-85.6,0.0380891162
-85.5,0.03808036973
-85.4,0.03807162326
-85.3,0.03806287679
-85.2,0.03805413032
-85.1,0.03804538385
-85,0.03803663738
-84.9,0.03802789091
-84.8,0.03801914444
-84.7,0.03801039797
-84.6,0.0380016515
-84.5,0.03799290502
-84.4,0.03798415855
-84.3,0.03797541208
-84.2,0.03796666561
-84.1,0.03795791914
-84,0.03794917267
-83.9,0.0379404262
-83.8,0.03793167973
-83.7,0.03792293326
-83.6,0.03791418679
-83.5,0.03800238765
-83.4,0.03809058851
-83.3,0.03817878937
-83.2,0.03826699023
-83.1,0.03835519109
-83,0.03844339195
-82.9,0.03853159281
-82.8,0.03861979367
-82.7,0.03870799454
-82.6,0.0387961954
-82.5,0.03888439626
-82.4,0.03897259712
-82.3,0.03906079798
-82.2,0.03914899884
-82.1,0.0392371997
-82,0.03932540056
-81.9,0.03941360142
-81.8,0.03950180228
-81.7,0.03959000314
-81.6,0.03967820401
-81.5,0.03986788886
-81.4,0.04005757371
-81.3,0.04024725857
-81.2,0.04043694342
-81.1,0.04062662828
-81,0.04081631313
-80.9,0.04100599799
-80.8,0.04119568284
-80.7,0.0413853677
-80.6,0.04157505255
-80.5,0.04176473741
-80.4,0.04195442226
-80.3,0.04214410711
-80.2,0.04233379197
-80.1,0.04252347682
-80,0.04271316168
-79.9,0.04290284653
-79.8,0.04309253139
-79.7,0.04328221624
-79.6,0.0434719011
-79.5,0.04368651587
-79.4,0.04390113064
-79.3,0.04411574541
-79.2,0.04433036018
-79.1,0.04454497495
-79,0.04475958973
-78.9,0.0449742045
-78.8,0.04518881927
-78.7,0.04540343404
-78.6,0.04561804881
-78.5,0.04583266358
-78.4,0.04604727835
-78.3,0.04626189313
-78.2,0.0464765079
-78.1,0.04669112267
-78,0.04690573744
-77.9,0.04712035221
-77.8,0.04733496698
-77.7,0.04754958175
-77.6,0.04776419653
-77.5,0.04791178254
-77.4,0.04805936855
-77.3,0.04820695456
-77.2,0.04835454056
-77.1,0.04850212657
-77,0.04864971258
-76.9,0.04879729859
-76.8,0.0489448846
-76.7,0.04909247061
-76.6,0.04924005662
-76.5,0.04938764263
-76.4,0.04953522864
-76.3,0.04968281465
-76.2,0.04983040066
-76.1,0.04997798667
-76,0.05012557268
-75.9,0.05027315869
-75.8,0.0504207447
-75.7,0.05056833071
-75.6,0.05071591672
-75.5,0.05088798851
-75.4,0.0510600603
-75.3,0.05123213209
-75.2,0.05140420389
-75.1,0.05157627568
-75,0.05174834747
-74.9,0.05192041926
-74.8,0.05209249106
-74.7,0.05226456285
-74.6,0.05243663464
-74.5,0.05260870643
