x_mm,intensity,net_od,dose_cgy,dose_gy,normalized_percent,smoothed_percent
0,35122.5875,0.02314318322,15.77798852,0.1577798852,10.33407477,10.33407477
0.127,35171.6,0.02253756098,15.36510233,0.1536510233,10.0636476,10.0636476
0.254,35227.4125,0.02184894149,14.89563233,0.1489563233,9.756159858,9.756159858
0.381,35155.525,0.02273609842,15.50045629,0.1550045629,10.15230009,10.15230009
0.508,35177.35,0.0224665665,15.31670147,0.1531670147,10.0319466,10.0319466
0.635,35143.275,0.02288745542,15.60364473,0.1560364473,10.2198852,10.2198852
0.762,35008.6875,0.02455385727,16.73972308,0.1673972308,10.96397996,10.96397996
0.889,35072.8625,0.02375847372,16.1974661,0.161974661,10.60881909,10.60881909
1.016,35086.5,0.02358963834,16.08236168,0.1608236168,10.5334294,10.5334294
1.143,35041.3125,0.0241493217,16.46392879,0.1646392879,10.78334358,10.78334358
1.27,35013.7125,0.02449152494,16.69722768,0.1669722768,10.93614684,10.93614684
1.397,34989.1,0.02479691477,16.90542882,0.1690542882,11.07251189,11.07251189
1.524,34935.775,0.02545930444,17.35701651,0.1735701651,11.3682873,11.3682873
1.651,34952.2125,0.02525501424,17.21774058,0.1721774058,11.27706604,11.27706604
1.778,34977.2125,0.02494449081,17.00603957,0.1700603957,11.13840869,11.13840869
1.905,34897.225,0.02593879277,17.68391023,0.1768391023,11.58239216,11.58239216
2.032,34920.8375,0.02564503558,17.4836397,0.174836397,11.45122141,11.45122141
2.159,34849.4625,0.02653360219,18.08942473,0.1808942473,11.84799111,11.84799111
2.286,34906.3875,0.02582478081,17.60618197,0.1760618197,11.53148266,11.53148266
2.413,34849.6125,0.02653173289,18.08815032,0.1808815032,11.84715642,11.84715642
2.54,34840.175,0.02664935857,18.16834225,0.1816834225,11.89967955,11.89967955
2.667,34844.225,0.02659887689,18.1339261,0.181339261,11.87713808,11.87713808
2.794,34841.1,0.02663782828,18.16048142,0.1816048142,11.89453096,11.89453096
2.921,34788.1625,0.02729819629,18.61069083,0.1861069083,12.18940363,12.18940363
3.048,34801.9375,0.0271262636,18.4934748,0.184934748,12.11263091,12.11263091
3.175,34845.4375,0.02658376469,18.12362328,0.1812362328,11.87039006,11.87039006
3.302,34819.4875,0.02690731179,18.34420324,0.1834420324,12.01486284,12.01486284
3.429,34800.175,0.02714825845,18.50846991,0.1850846991,12.12245222,12.12245222
3.556,34795.8375,0.02720239236,18.54537599,0.1854537599,12.14662452,12.14662452
3.683,34796.225,0.02719755592,18.54207872,0.1854207872,12.14446491,12.14446491
3.81,34750.45,0.02776925349,18.93183659,0.1893183659,12.39974377,12.39974377
3.937,34770.3625,0.02752046788,18.76222567,0.1876222567,12.28865408,12.28865408
4.064,34830.7875,0.02676639267,18.24813088,0.1824813088,11.95193853,11.95193853
4.191,34787.6,0.02730521858,18.61547831,0.1861547831,12.19253928,12.19253928
4.318,34828.5,0.02679491575,18.26757664,0.1826757664,11.96467488,11.96467488
4.445,34835.1125,0.02671246891,18.21136807,0.1821136807,11.92786008,11.92786008
4.572,34819.7375,0.02690419362,18.34207741,0.1834207741,12.01347049,12.01347049
4.699,34794.575,0.02721815019,18.55611897,0.1855611897,12.15366082,12.15366082
4.826,34835.625,0.02670607955,18.20701209,0.1820701209,11.92500705,11.92500705
4.953,34839.5125,0.02665761693,18.17397244,0.1817397244,11.90336714,11.90336714
5.08,34806.8875,0.02706449678,18.45136495,0.1845136495,12.08505031,12.08505031
5.207,34837.675,0.02668052302,18.18958879,0.1818958879,11.91359535,11.91359535
5.334,34786.7125,0.02731629843,18.62303206,0.1862303206,12.19748674,12.19748674
5.461,34842.7125,0.02661772893,18.14677858,0.1814677858,11.88555604,11.88555604
5.588,34949.9375,0.0252832829,17.23701288,0.1723701288,11.28968878,11.28968878
5.715,34869.0875,0.026289104,17.92273679,0.1792273679,11.73881587,11.73881587
5.842,34901.6875,0.02588326069,17.64605095,0.1764605095,11.55759555,11.55759555
5.969,34854.35,0.02647269837,18.04790322,0.1804790322,11.82079586,11.82079586
6.096,34887.95,0.02605423509,17.76261365,0.1776261365,11.63394037,11.63394037
6.223,34917.4,0.0256877883,17.5127866,0.175127866,11.47031169,11.47031169
6.35,34893.2,0.02598888661,17.71806198,0.1771806198,11.60476046,11.60476046
6.477,34921.1125,0.02564161554,17.48130808,0.1748130808,11.44969427,11.44969427
6.604,34954.9375,0.0252211564,17.19465781,0.1719465781,11.26194757,11.26194757
6.731,34915.6625,0.02570939945,17.52752012,0.1752752012,11.47996167,11.47996167
6.858,34949.8625,0.02528421486,17.23764826,0.1723764826,11.29010493,11.29010493
6.985,34954.8875,0.02522177762,17.19508134,0.1719508134,11.26222497,11.26222497
7.112,34994.275,0.02473268597,16.86164049,0.1686164049,11.04383195,11.04383195
7.239,34988.4,0.02480560345,16.91135237,0.1691135237,11.07639163,11.07639163
7.366,34960.5875,0.02515096416,17.14680388,0.1714680388,11.23060479,11.23060479
7.493,35041.3375,0.02414901185,16.46371755,0.1646371755,10.78320522,10.78320522
7.62,34939.8875,0.02540818404,17.3221649,0.173221649,11.34546062,11.34546062
7.747,34970.7125,0.02502520554,17.06106727,0.1706106727,11.17445007,11.17445007
7.874,35003.05,0.02462379798,16.78740553,0.1678740553,10.99521043,10.99521043
8.001,34946.6125,0.02532460193,17.26518236,0.1726518236,11.30813888,11.30813888
8.128,34941.9125,0.0253830145,17.30500544,0.1730500544,11.33422172,11.33422172
8.255,35032.125,0.02426320452,16.54156902,0.1654156902,10.83419543,10.83419543
8.382,34994.125,0.02473454754,16.86290963,0.1686290963,11.04466319,11.04466319
8.509,35080.9625,0.02365818595,16.12909438,0.1612909438,10.56403781,10.56403781
8.636,35006.775,0.02457758312,16.7558983,0.167558983,10.97457421,10.97457421
8.763,35104.4375,0.02336766788,15.93103214,0.1593103214,10.43431342,10.43431342
8.89,35053.9875,0.02399225888,16.35685038,0.1635685038,10.71321066,10.71321066
9.017,35124.2875,0.02312216305,15.76365791,0.1576365791,10.32468868,10.32468868
9.144,35201.5625,0.0221677453,15.11297852,0.1511297852,9.898514624,9.898514624
9.271,35113.725,0.02325278279,15.85270861,0.1585270861,10.38301403,10.38301403
9.398,35213.7,0.02201802636,15.01090684,0.1501090684,9.831660953,9.831660953
9.525,35143.8125,0.02288081313,15.59911632,0.1559911632,10.21691924,10.21691924
9.652,35171.2875,0.0225414197,15.36773304,0.1536773304,10.06537063,10.06537063
9.779,35144.025,0.02287818714,15.59732604,0.1559732604,10.21574666,10.21574666
9.906,35220.025,0.02194002644,14.95772997,0.1495772997,9.796831818,9.796831818
10.033,35140.3,0.0229242215,15.62871021,0.1562871021,10.23630228,10.23630228
10.16,35213.1,0.02202542629,15.01595178,0.1501595178,9.834965228,9.834965228
10.287,35195.625,0.02224100458,15.16292343,0.1516292343,9.931226927,9.931226927
10.414,35187.5125,0.02234111987,15.23117756,0.1523117756,9.975931187,9.975931187
10.541,35265.05,0.0213851824,14.57946209,0.1457946209,9.54907853,9.54907853
