x_mm,intensity,net_od,dose_cgy,dose_gy,normalized_percent,smoothed_percent
0,35733.025,0.01565990313,10.67622243,0.1067622243,7.235368933,7.235368933
0.127,35741.8625,0.0155525066,10.60300427,0.1060300427,7.185748349,7.185748349
0.254,35692.675,0.01615058881,11.01075001,0.1101075001,7.462081187,7.462081187
0.381,35654.5625,0.01661457454,11.32707476,0.1132707476,7.676457222,7.676457222
0.508,35653.4,0.01662873474,11.33672855,0.1133672855,7.682999678,7.682999678
0.635,35583.8625,0.01747659893,11.91476448,0.1191476448,8.074739666,8.074739666
0.762,35482.2375,0.01871868783,12.7615652,0.127615652,8.648623893,8.648623893
0.889,35582.8625,0.01748880392,11.9230853,0.119230853,8.080378755,8.080378755
1.016,35591.7625,0.01738019159,11.84903826,0.1184903826,8.030196435,8.030196435
1.143,35621.6375,0.01701580656,11.60061682,0.1160061682,7.861839064,7.861839064
1.27,35590.2125,0.01739910527,11.86193276,0.1186193276,8.03893515,8.03893515
1.397,35549.05,0.01790168705,12.20457057,0.1220457057,8.271143776,8.271143776
1.524,35576.2,0.0175701284,11.9785287,0.119785287,8.11795323,8.11795323
1.651,35573.6625,0.0176011059,11.99964777,0.1199964777,8.132265809,8.132265809
1.778,35508.875,0.01839277323,12.53937119,0.1253937119,8.498041076,8.498041076
1.905,35572.2625,0.01761819788,12.01130031,0.1201130031,8.140162841,8.140162841
2.032,35553.575,0.01784640969,12.16688494,0.1216688494,8.245603896,8.245603896
2.159,35531.175,0.01812011669,12.35348614,0.1235348614,8.372065157,8.372065157
2.286,35547.4,0.01792184518,12.21831348,0.1221831348,8.28045747,8.28045747
2.413,35486.35,0.01866835468,12.72725032,0.1272725032,8.625368394,8.625368394
2.54,35484.7,0.01868854844,12.74101751,0.1274101751,8.634698544,8.634698544
2.667,35483.5125,0.0187030824,12.75092612,0.1275092612,8.641413693,8.641413693
2.794,35557.0125,0.01780442193,12.13825956,0.1213825956,8.226204225,8.226204225
2.921,35536.225,0.01805839536,12.3114073,0.123114073,8.343547958,8.343547958
3.048,35557.525,0.01779816228,12.13399201,0.1213399201,8.223312071,8.223312071
3.175,35540.4125,0.0180072222,12.27651972,0.1227651972,8.319904344,8.319904344
