X [mm],Dose [Gy]
-100,0.02737446015
-99.9,0.0277008867
-99.8,0.02802731326
-99.7,0.02835373981
-99.6,0.02868016637
-99.5,0.02856093258
-99.4,0.0284416988
-99.3,0.02832246501
-99.2,0.02820323123
-99.1,0.02808399745
-99,0.02796476366
-98.9,0.02784552988
-98.8,0.0277262961
-98.7,0.02760706231
-98.6,0.02748782853
-98.5,0.02736859474
-98.4,0.02724936096
-98.3,0.02713012718
-98.2,0.02701089339
-98.1,0.02689165961
-98,0.02677242582
-97.9,0.02665319204
-97.8,0.02653395826
-97.7,0.02641472447
-97.6,0.02629549069
-97.5,0.0263282912
-97.4,0.02636109172
-97.3,0.02639389223
-97.2,0.02642669274
-97.1,0.02645949326
-97,0.02649229377
-96.9,0.02652509428
-96.8,0.0265578948
-96.7,0.02659069531
-96.6,0.02662349582
-96.5,0.02665629634
-96.4,0.02668909685
-96.3,0.02672189736
-96.2,0.02675469788
-96.1,0.02678749839
-96,0.0268202989
-95.9,0.02685309942
-95.8,0.02688589993
-95.7,0.02691870044
-95.6,0.02695150096
-95.5,0.02698493985
-95.4,0.02701837874
-95.3,0.02705181764
-95.2,0.02708525653
-95.1,0.02711869542
-95,0.02715213432
-94.9,0.02718557321
-94.8,0.0272190121
-94.7,0.027252451
-94.6,0.02728588989
-94.5,0.02731932878
-94.4,0.02735276768
-94.3,0.02738620657
-94.2,0.02741964547
-94.1,0.02745308436
-94,0.02748652325
-93.9,0.02751996215
-93.8,0.02755340104
-93.7,0.02758683993
-93.6,0.02762027883
-93.5,0.02780570644
-93.4,0.02799113405
-93.3,0.02817656166
-93.2,0.02836198927
-93.1,0.02854741688
-93,0.02873284449
-92.9,0.0289182721
-92.8,0.02910369971
-92.7,0.02928912732
-92.6,0.02947455494
-92.5,0.02965998255
-92.4,0.02984541016
-92.3,0.03003083777
-92.2,0.03021626538
-92.1,0.03040169299
-92,0.0305871206
-91.9,0.03077254821
-91.8,0.03095797582
-91.7,0.03114340343
-91.6,0.03132883105
-91.5,0.03147608012
-91.4,0.0316233292
-91.3,0.03177057828
-91.2,0.03191782736
-91.1,0.03206507643
-91,0.03221232551
-90.9,0.03235957459
-90.8,0.03250682367
-90.7,0.03265407274
-90.6,0.03280132182
-90.5,0.0329485709
-90.4,0.03309581998
-90.3,0.03324306905
-90.2,0.03339031813
-90.1,0.03353756721
-90,0.03368481629
-89.9,0.03383206536
-89.8,0.03397931444
-89.7,0.03412656352
-89.6,0.0342738126
-89.5,0.03426446019
-89.4,0.03425510777
-89.3,0.03424575536
-89.2,0.03423640295
-89.1,0.03422705054
-89,0.03421769813
-88.9,0.03420834572
-88.8,0.03419899331
-88.7,0.0341896409
-88.6,0.03418028849
-88.5,0.03417093608
-88.4,0.03416158367
-88.3,0.03415223126
-88.2,0.03414287884
-88.1,0.03413352643
-88,0.03412417402
-87.9,0.03411482161
-87.8,0.0341054692
-87.7,0.03409611679
-87.6,0.03408676438
-87.5,0.03431651006
-87.4,0.03454625575
-87.3,0.03477600143
-87.2,0.03500574712
-87.1,0.0352354928
-87,0.03546523849
-86.9,0.03569498417
-86.8,0.03592472986
-86.7,0.03615447554
-86.6,0.03638422123
-86.5,0.03661396691
-86.4,0.0368437126
-86.3,0.03707345828
-86.2,0.03730320396
-86.1,0.03753294965
-86,0.03776269533
-85.9,0.03799244102
-85.8,0.0382221867
