X [mm],Dose [Gy]
-100,0.02757162513
-99.9,0.02767717909
-99.8,0.02778273305
-99.7,0.02788828702
-99.6,0.02799384098
-99.5,0.02804070499
-99.4,0.028087569
-99.3,0.028134433
-99.2,0.02818129701
-99.1,0.02822816102
-99,0.02827502503
-98.9,0.02832188904
-98.8,0.02836875304
-98.7,0.02841561705
-98.6,0.02846248106
-98.5,0.02850934507
-98.4,0.02855620908
-98.3,0.02860307308
-98.2,0.02864993709
-98.1,0.0286968011
-98,0.02874366511
-97.9,0.02879052912
-97.8,0.02883739313
-97.7,0.02888425713
-97.6,0.02893112114
-97.5,0.02913353262
-97.4,0.0293359441
-97.3,0.02953835557
-97.2,0.02974076705
-97.1,0.02994317853
-97,0.03014559001
-96.9,0.03034800148
-96.8,0.03055041296
-96.7,0.03075282444
-96.6,0.03095523592
-96.5,0.03115764739
-96.4,0.03136005887
-96.3,0.03156247035
-96.2,0.03176488182
-96.1,0.0319672933
-96,0.03216970478
-95.9,0.03237211626
-95.8,0.03257452773
-95.7,0.03277693921
-95.6,0.03297935069
-95.5,0.03306818879
-95.4,0.03315702689
-95.3,0.03324586498
-95.2,0.03333470308
-95.1,0.03342354118
-95,0.03351237928
-94.9,0.03360121737
-94.8,0.03369005547
-94.7,0.03377889357
-94.6,0.03386773167
-94.5,0.03395656977
-94.4,0.03404540786
-94.3,0.03413424596
-94.2,0.03422308406
-94.1,0.03431192216
-94,0.03440076026
-93.9,0.03448959835
-93.8,0.03457843645
-93.7,0.03466727455
-93.6,0.03475611265
-93.5,0.03479333358
-93.4,0.03483055451
-93.3,0.03486777545
-93.2,0.03490499638
-93.1,0.03494221731
-93,0.03497943825
-92.9,0.03501665918
-92.8,0.03505388011
-92.7,0.03509110105
-92.6,0.03512832198
-92.5,0.03516554291
-92.4,0.03520276384
-92.3,0.03523998478
-92.2,0.03527720571
-92.1,0.03531442664
-92,0.03535164758
-91.9,0.03538886851
-91.8,0.03542608944
-91.7,0.03546331038
-91.6,0.03550053131
-91.5,0.03563762498
-91.4,0.03577471865
-91.3,0.03591181232
-91.2,0.03604890599
-91.1,0.03618599966
-91,0.03632309333
-90.9,0.036460187
-90.8,0.03659728067
-90.7,0.03673437434
-90.6,0.03687146801
-90.5,0.03700856168
-90.4,0.03714565535
-90.3,0.03728274902
-90.2,0.03741984269
-90.1,0.03755693636
-90,0.03769403003
-89.9,0.0378311237
-89.8,0.03796821737
-89.7,0.03810531104
-89.6,0.03824240471
-89.5,0.03834430569
-89.4,0.03844620668
-89.3,0.03854810766
-89.2,0.03865000864
-89.1,0.03875190962
-89,0.0388538106
-88.9,0.03895571158
-88.8,0.03905761257
-88.7,0.03915951355
-88.6,0.03926141453
