X [mm],Dose [Gy],Central Inplane Y [mm],Directly Measured,Interpolation Method
-125,0.0162745,0,0,vertical_offset_rows
-120,0.01775,0,1,direct
-115,0.0197815,0,0,vertical_offset_rows
-110,0.020951,0,1,direct
-105,0.022354,0,0,vertical_offset_rows
-100,0.024791,0,1,direct
-95,0.028331,0,0,vertical_offset_rows
-90,0.032992,0,1,direct
-85,0.0402535,0,0,vertical_offset_rows
-80,0.052182,0,1,direct
-75,0.0759215,0,0,vertical_offset_rows
-70,0.13221,0,1,direct
-65,0.26538,0,0,vertical_offset_rows
-60,0.53124,0,1,direct
-55,0.91089,0,0,vertical_offset_rows
-50,1.2512,0,1,direct
-45,1.43965,0,0,vertical_offset_rows
-40,1.5215,0,1,direct
-35,1.5581,0,0,vertical_offset_rows
-30,1.5782,0,1,direct
-25,1.5916,0,0,vertical_offset_rows
-20,1.6034,0,1,direct
-15,1.61085,0,0,vertical_offset_rows
-10,1.6192,0,1,direct
-5,1.62265,0,0,vertical_offset_rows
0,1.6296,0,1,direct
5,1.6295,0,0,vertical_offset_rows
10,1.6331,0,1,direct
15,1.6347,0,0,vertical_offset_rows
20,1.6373,0,1,direct
25,1.63375,0,0,vertical_offset_rows
30,1.6167,0,1,direct
35,1.47705,0,0,vertical_offset_rows
40,0.55547,0,1,direct
45,0.095261,0,0,vertical_offset_rows
50,0.054002,0,1,direct
55,0.173405,0,0,vertical_offset_rows
60,0.33555,0,1,direct
65,0.180095,0,0,vertical_offset_rows
70,0.10951,0,1,direct
75,0.071982,0,0,vertical_offset_rows
80,0.053317,0,1,direct
85,0.0422555,0,0,vertical_offset_rows
90,0.034954,0,1,direct
95,0.0290885,0,0,vertical_offset_rows
100,0.024985,0,1,direct
105,0.0220055,0,0,vertical_offset_rows
110,0.019399,0,1,direct
115,0.0182305,0,0,vertical_offset_rows
120,0.016678,0,1,direct
125,0.0153025,0,0,vertical_offset_rows
