X [mm],Dose [Gy],Central Inplane Y [mm],Directly Measured,Interpolation Method
-125,0.0024045,0,0,vertical_offset_rows
-120,0.0032823,0,1,direct
-115,0.00415075,0,0,vertical_offset_rows
-110,0.0042369,0,1,direct
-105,0.0045528,0,0,vertical_offset_rows
-100,0.005246,0,1,direct
-95,0.00641205,0,0,vertical_offset_rows
-90,0.0074328,0,1,direct
-85,0.00986205,0,0,vertical_offset_rows
-80,0.014984,0,1,direct
-75,0.027977,0,0,vertical_offset_rows
-70,0.059927,0,1,direct
-65,0.122535,0,0,vertical_offset_rows
-60,0.21867,0,1,direct
-55,0.33448,0,0,vertical_offset_rows
-50,0.43922,0,1,direct
-45,0.514165,0,0,vertical_offset_rows
-40,0.55769,0,1,direct
-35,0.5781,0,0,vertical_offset_rows
-30,0.58718,0,1,direct
-25,0.591045,0,0,vertical_offset_rows
-20,0.59387,0,1,direct
-15,0.594215,0,0,vertical_offset_rows
-10,0.59563,0,1,direct
-5,0.595815,0,0,vertical_offset_rows
0,0.59806,0,1,direct
5,0.59717,0,0,vertical_offset_rows
10,0.59627,0,1,direct
15,0.593935,0,0,vertical_offset_rows
20,0.59169,0,1,direct
25,0.582885,0,0,vertical_offset_rows
30,0.5493,0,1,direct
35,0.45238,0,0,vertical_offset_rows
40,0.29173,0,1,direct
45,0.1354,0,0,vertical_offset_rows
50,0.048285,0,1,direct
55,0.0180315,0,0,vertical_offset_rows
60,0.0099996,0,1,direct
65,0.0072866,0,0,vertical_offset_rows
70,0.0059859,0,1,direct
75,0.0056134,0,0,vertical_offset_rows
80,0.0053498,0,1,direct
85,0.00525965,0,0,vertical_offset_rows
90,0.0049049,0,1,direct
95,0.00455625,0,0,vertical_offset_rows
100,0.0039243,0,1,direct
105,0.00368775,0,0,vertical_offset_rows
110,0.0032296,0,1,direct
115,0.00341705,0,0,vertical_offset_rows
120,0.0028317,0,1,direct
125,0.0020934,0,0,vertical_offset_rows
