x_mm,intensity,net_od,dose_cgy,dose_gy,normalized_percent,smoothed_percent
0,34487.4,0.03106923214,21.18161462,0.2118161462,13.69380461,13.69380461
0.127,34515.15,0.0307199212,20.94347003,0.2094347003,13.53984536,13.53984536
0.254,34519.25,0.03066833511,20.90830094,0.2090830094,13.51710872,13.51710872
0.381,34484.7375,0.03110276188,21.2044737,0.212044737,13.70858289,13.70858289
0.508,34495.375,0.03096881581,21.11315525,0.2111315525,13.64954598,13.64954598
0.635,34438.2375,0.03168876956,21.60398756,0.2160398756,13.96686654,13.96686654
0.762,34359.3625,0.03268458896,22.28289275,0.2228289275,14.40577524,14.40577524
0.889,34403.5625,0.03212627011,21.90225589,0.2190225589,14.15969547,14.15969547
1.016,34375.575,0.032479715,22.14321883,0.2214321883,14.31547677,14.31547677
1.143,34434.8,0.03173212143,21.63354293,0.2163354293,13.98597393,13.98597393
1.27,34400.1,0.03216998129,21.93205622,0.2193205622,14.17896123,14.17896123
1.397,34422.4375,0.03188806627,21.73985916,0.2173985916,14.05470682,14.05470682
1.524,34434.65,0.03173401324,21.63483268,0.2163483268,13.98680775,13.98680775
1.651,34412.7625,0.03201014914,21.8230898,0.218230898,14.108515,14.108515
1.778,34461.675,0.03139330395,21.40255231,0.2140255231,13.83663969,13.83663969
1.905,34488.525,0.03105506542,21.17195638,0.2117195638,13.68756061,13.68756061
2.032,34467.6875,0.03131753956,21.35089953,0.2135089953,13.80324643,13.80324643
2.159,34497.275,0.03094489559,21.09684752,0.2109684752,13.63900311,13.63900311
2.286,34470.35,0.03128399323,21.32802914,0.2132802914,13.78846084,13.78846084
2.413,34469.5625,0.03129391512,21.33479344,0.2133479344,13.79283393,13.79283393
2.54,34450.2875,0.03153683574,21.50040587,0.2150040587,13.89990151,13.89990151
2.667,34437.3125,0.03170043473,21.61194035,0.2161194035,13.97200798,13.97200798
2.794,34525.375,0.03059128194,20.85576953,0.2085576953,13.48314744,13.48314744
2.921,34459,0.03142701627,21.42553586,0.2142553586,13.85149843,13.85149843
3.048,34400.9625,0.03215909253,21.92463275,0.2192463275,14.174162,14.174162
3.175,34473.9625,0.03123848147,21.29700125,0.2129700125,13.76840147,13.76840147
3.302,34443.1125,0.03162729616,21.56207774,0.2156207774,13.93977205,13.93977205
3.429,34512.4,0.03075452506,20.9670614,0.209670614,13.55509706,13.55509706
3.556,34430.45,0.03178698745,21.67094813,0.2167094813,14.0101562,14.0101562
3.683,34465.0875,0.03135030092,21.37323476,0.2137323476,13.81768604,13.81768604
3.81,34521.925,0.03063468164,20.8853575,0.208853575,13.50227591,13.50227591
3.937,34511.6,0.03076459216,20.97392469,0.2097392469,13.55953414,13.55953414
4.064,34573.975,0.02998037271,20.4392789,0.204392789,13.2138884,13.2138884
4.191,34524.7375,0.03059930112,20.86123665,0.2086123665,13.4866819,13.4866819
4.318,34535.6375,0.0304622092,20.7677735,0.207677735,13.42625846,13.42625846
4.445,34555.525,0.03021219078,20.5973221,0.205973221,13.31606251,13.31606251
4.572,34544.7875,0.03034716085,20.68933867,0.2068933867,13.37555075,13.37555075
4.699,34553.8125,0.03023371404,20.6119957,0.206119957,13.32554892,13.32554892
4.826,34588.2875,0.02980062614,20.31673572,0.2031673572,13.13466486,13.13466486
4.953,34584.675,0.02984598747,20.34766105,0.2034766105,13.15465793,13.15465793
5.08,34528.3,0.03055448994,20.83068639,0.2083068639,13.46693132,13.46693132
5.207,34559.2125,0.03016584868,20.56572813,0.2056572813,13.29563717,13.29563717
5.334,34530.6625,0.0305247756,20.81042848,0.2081042848,13.45383468,13.45383468
5.461,34583.3,0.02986325427,20.35943278,0.2035943278,13.16226829,13.16226829
5.588,34593.1125,0.02974004711,20.27543565,0.2027543565,13.10796458,13.10796458
5.715,34625.675,0.02933143796,19.99686418,0.1999686418,12.92786956,12.92786956
5.842,34636.625,0.02919411868,19.90324603,0.1990324603,12.86734591,12.86734591
5.969,34567.775,0.03005825983,20.49237886,0.2049237886,13.24821725,13.24821725
6.096,34580.7375,0.02989543515,20.38137227,0.2038137227,13.17645205,13.17645205
6.223,34630.6375,0.02926919998,19.95443311,0.1995443311,12.90043809,12.90043809
6.35,34723.4,0.02810744308,19.16239914,0.1916239914,12.38839222,12.38839222
6.477,34689.7125,0.02852898581,19.44978815,0.1944978815,12.57418773,12.57418773
6.604,34724.2125,0.02809728105,19.15547113,0.1915547113,12.38391329,12.38391329
6.731,34655.8125,0.02895360107,19.73927187,0.1973927187,12.76133746,12.76133746
6.858,34678.975,0.02866343371,19.54144872,0.1954144872,12.63344581,12.63344581
6.985,34781.3625,0.0273830956,18.66857139,0.1866857139,12.06913512,12.06913512
