X [mm],Dose [Gy]
-100,0.02608712954
-99.9,0.02619479588
-99.8,0.02630246221
-99.7,0.02641012855
-99.6,0.02651779489
-99.5,0.02655582921
-99.4,0.02659386354
-99.3,0.02663189787
-99.2,0.0266699322
-99.1,0.02670796652
-99,0.02674600085
-98.9,0.02678403518
-98.8,0.0268220695
-98.7,0.02686010383
-98.6,0.02689813816
-98.5,0.02693617249
-98.4,0.02697420681
-98.3,0.02701224114
-98.2,0.02705027547
-98.1,0.0270883098
-98,0.02712634412
-97.9,0.02716437845
-97.8,0.02720241278
-97.7,0.02724044711
-97.6,0.02727848143
-97.5,0.02730060992
-97.4,0.02732273842
-97.3,0.02734486691
-97.2,0.0273669954
-97.1,0.02738912389
-97,0.02741125238
-96.9,0.02743338087
-96.8,0.02745550936
-96.7,0.02747763785
-96.6,0.02749976634
-96.5,0.02752189483
-96.4,0.02754402332
-96.3,0.02756615181
-96.2,0.0275882803
-96.1,0.02761040879
-96,0.02763253728
-95.9,0.02765466577
-95.8,0.02767679426
-95.7,0.02769892275
-95.6,0.02772105124
-95.5,0.02789732286
-95.4,0.02807359448
-95.3,0.0282498661
-95.2,0.02842613771
-95.1,0.02860240933
-95,0.02877868095
-94.9,0.02895495257
-94.8,0.02913122419
-94.7,0.0293074958
-94.6,0.02948376742
-94.5,0.02966003904
-94.4,0.02983631066
-94.3,0.03001258228
-94.2,0.0301888539
-94.1,0.03036512551
-94,0.03054139713
-93.9,0.03071766875
-93.8,0.03089394037
-93.7,0.03107021199
-93.6,0.03124648361
-93.5,0.03134348913
-93.4,0.03144049466
-93.3,0.03153750019
-93.2,0.03163450571
-93.1,0.03173151124
-93,0.03182851677
-92.9,0.03192552229
-92.8,0.03202252782
-92.7,0.03211953335
-92.6,0.03221653887
-92.5,0.0323135444
-92.4,0.03241054992
-92.3,0.03250755545
-92.2,0.03260456098
-92.1,0.0327015665
-92,0.03279857203
-91.9,0.03289557756
-91.8,0.03299258308
-91.7,0.03308958861
-91.6,0.03318659414
-91.5,0.03330207268
-91.4,0.03341755123
-91.3,0.03353302978
-91.2,0.03364850833
-91.1,0.03376398687
-91,0.03387946542
-90.9,0.03399494397
-90.8,0.03411042251
-90.7,0.03422590106
-90.6,0.03434137961
-90.5,0.03445685816
-90.4,0.0345723367
-90.3,0.03468781525
-90.2,0.0348032938
-90.1,0.03491877234
-90,0.03503425089
-89.9,0.03514972944
-89.8,0.03526520799
-89.7,0.03538068653
-89.6,0.03549616508
-89.5,0.0356022272
-89.4,0.03570828932
-89.3,0.03581435144
-89.2,0.03592041357
-89.1,0.03602647569
-89,0.03613253781
-88.9,0.03623859993
-88.8,0.03634466205
-88.7,0.03645072417
-88.6,0.03655678629
-88.5,0.03666284842
-88.4,0.03676891054
-88.3,0.03687497266
-88.2,0.03698103478
-88.1,0.0370870969
-88,0.03719315902
-87.9,0.03729922114
-87.8,0.03740528327
-87.7,0.03751134539
-87.6,0.03761740751
-87.5,0.0376901219
-87.4,0.03776283628
-87.3,0.03783555067
-87.2,0.03790826506
-87.1,0.03798097945
-87,0.03805369384
-86.9,0.03812640822
-86.8,0.03819912261
-86.7,0.038271837
-86.6,0.03834455139
-86.5,0.03841726577
-86.4,0.03848998016
-86.3,0.03856269455
-86.2,0.03863540894
-86.1,0.03870812332
-86,0.03878083771
-85.9,0.0388535521
-85.8,0.03892626649
-85.7,0.03899898087
-85.6,0.03907169526
-85.5,0.03909878736
-85.4,0.03912587947
-85.3,0.03915297157
-85.2,0.03918006367
-85.1,0.03920715577
-85,0.03923424788
-84.9,0.03926133998
-84.8,0.03928843208
-84.7,0.03931552418
-84.6,0.03934261629
-84.5,0.03936970839
-84.4,0.03939680049
-84.3,0.03942389259
-84.2,0.0394509847
-84.1,0.0394780768
-84,0.0395051689
-83.9,0.039532261
-83.8,0.0395593531
-83.7,0.03958644521
-83.6,0.03961353731
-83.5,0.03974617487
-83.4,0.03987881243
-83.3,0.04001145
-83.2,0.04014408756
-83.1,0.04027672512
-83,0.04040936268
-82.9,0.04054200025
-82.8,0.04067463781
-82.7,0.04080727537
-82.6,0.04093991293
-82.5,0.0410725505
-82.4,0.04120518806
-82.3,0.04133782562
-82.2,0.04147046318
-82.1,0.04160310075
-82,0.04173573831
-81.9,0.04186837587
-81.8,0.04200101344
-81.7,0.042133651
-81.6,0.04226628856
-81.5,0.04245943631
-81.4,0.04265258407
-81.3,0.04284573182
-81.2,0.04303887957
-81.1,0.04323202732
-81,0.04342517508
-80.9,0.04361832283
-80.8,0.04381147058
-80.7,0.04400461833
-80.6,0.04419776609
-80.5,0.04439091384
-80.4,0.04458406159
-80.3,0.04477720934
-80.2,0.0449703571
-80.1,0.04516350485
-80,0.0453566526
-79.9,0.04554980035
-79.8,0.04574294811
-79.7,0.04593609586
-79.6,0.04612924361
-79.5,0.04628964457
-79.4,0.04645004553
-79.3,0.04661044649
-79.2,0.04677084744
-79.1,0.0469312484
-79,0.04709164936
-78.9,0.04725205032
-78.8,0.04741245128
-78.7,0.04757285223
-78.6,0.04773325319
-78.5,0.04789365415
-78.4,0.04805405511
-78.3,0.04821445607
-78.2,0.04837485702
-78.1,0.04853525798
-78,0.04869565894
-77.9,0.0488560599
-77.8,0.04901646086
-77.7,0.04917686181
-77.6,0.04933726277
-77.5,0.049426898
-77.4,0.04951653322
-77.3,0.04960616845
-77.2,0.04969580368
-77.1,0.0497854389
-77,0.04987507413
-76.9,0.04996470935
-76.8,0.05005434458
-76.7,0.05014397981
-76.6,0.05023361503
-76.5,0.05032325026
-76.4,0.05041288548
-76.3,0.05050252071
-76.2,0.05059215594
-76.1,0.05068179116
-76,0.05077142639
-75.9,0.05086106161
-75.8,0.05095069684
-75.7,0.05104033207
-75.6,0.05112996729
-75.5,0.05143081289
-75.4,0.05173165849
-75.3,0.0520325041
-75.2,0.0523333497
-75.1,0.0526341953
-75,0.0529350409
-74.9,0.0532358865
-74.8,0.0535367321
-74.7,0.0538375777
-74.6,0.05413842331
-74.5,0.05443926891
-74.4,0.05474011451
-74.3,0.05504096011
-74.2,0.05534180571
-74.1,0.05564265131
-74,0.05594349692
-73.9,0.05624434252
-73.8,0.05654518812
-73.7,0.05684603372
-73.6,0.05714687932
-73.5,0.05745738466
-73.4,0.05776788999
-73.3,0.05807839532
-73.2,0.05838890066
-73.1,0.05869940599
-73,0.05900991133
-72.9,0.05932041666
-72.8,0.059630922
-72.7,0.05994142733
-72.6,0.06025193266
-72.5,0.060562438
-72.4,0.06087294333
-72.3,0.06118344867
-72.2,0.061493954
-72.1,0.06180445933
-72,0.06211496467
-71.9,0.06242547
-71.8,0.06273597534
-71.7,0.06304648067
-71.6,0.06335698601
-71.5,0.06387368314
-71.4,0.06439038027
-71.3,0.06490707741
-71.2,0.06542377454
-71.1,0.06594047168
-71,0.06645716881
-70.9,0.06697386594
-70.8,0.06749056308
-70.7,0.06800726021
-70.6,0.06852395734
-70.5,0.06904065448
-70.4,0.06955735161
-70.3,0.07007404875
-70.2,0.07059074588
-70.1,0.07110744301
-70,0.07162414015
-69.9,0.07214083728
-69.8,0.07265753441
-69.7,0.07317423155
-69.6,0.07369092868
-69.5,0.07450237115
-69.4,0.07531381362
-69.3,0.07612525609
-69.2,0.07693669856
-69.1,0.07774814102
-69,0.07855958349
-68.9,0.07937102596
-68.8,0.08018246843
-68.7,0.0809939109
-68.6,0.08180535337
-68.5,0.08261679584
-68.4,0.0834282383
-68.3,0.08423968077
-68.2,0.08505112324
-68.1,0.08586256571
