X [mm],Dose [Gy]
-100,0.02686046681
-99.9,0.02685047246
-99.8,0.0268404781
-99.7,0.02683048374
-99.6,0.02682048938
-99.5,0.02690562054
-99.4,0.02699075171
-99.3,0.02707588287
-99.2,0.02716101403
-99.1,0.02724614519
-99,0.02733127635
-98.9,0.02741640751
-98.8,0.02750153867
-98.7,0.02758666983
-98.6,0.02767180099
-98.5,0.02775693216
-98.4,0.02784206332
-98.3,0.02792719448
-98.2,0.02801232564
-98.1,0.0280974568
-98,0.02818258796
-97.9,0.02826771912
-97.8,0.02835285028
-97.7,0.02843798144
-97.6,0.02852311261
-97.5,0.02858220662
-97.4,0.02864130064
-97.3,0.02870039466
-97.2,0.02875948868
-97.1,0.0288185827
-97,0.02887767671
-96.9,0.02893677073
-96.8,0.02899586475
-96.7,0.02905495877
-96.6,0.02911405279
-96.5,0.0291731468
-96.4,0.02923224082
-96.3,0.02929133484
-96.2,0.02935042886
-96.1,0.02940952288
-96,0.02946861689
-95.9,0.02952771091
-95.8,0.02958680493
-95.7,0.02964589895
-95.6,0.02970499297
-95.5,0.02979285353
-95.4,0.02988071409
-95.3,0.02996857466
-95.2,0.03005643522
-95.1,0.03014429579
-95,0.03023215635
-94.9,0.03032001691
-94.8,0.03040787748
-94.7,0.03049573804
-94.6,0.03058359861
-94.5,0.03067145917
-94.4,0.03075931973
-94.3,0.0308471803
-94.2,0.03093504086
-94.1,0.03102290142
-94,0.03111076199
-93.9,0.03119862255
-93.8,0.03128648312
-93.7,0.03137434368
-93.6,0.03146220424
-93.5,0.0314652326
-93.4,0.03146826096
-93.3,0.03147128931
-93.2,0.03147431767
-93.1,0.03147734603
-93,0.03148037438
-92.9,0.03148340274
-92.8,0.03148643109
-92.7,0.03148945945
-92.6,0.03149248781
-92.5,0.03149551616
-92.4,0.03149854452
-92.3,0.03150157288
-92.2,0.03150460123
-92.1,0.03150762959
-92,0.03151065795
-91.9,0.0315136863
-91.8,0.03151671466
-91.7,0.03151974302
-91.6,0.03152277137
-91.5,0.03173463004
-91.4,0.03194648871
-91.3,0.03215834738
-91.2,0.03237020605
-91.1,0.03258206472
-91,0.03279392339
-90.9,0.03300578206
-90.8,0.03321764073
-90.7,0.0334294994
-90.6,0.03364135807
-90.5,0.03385321674
-90.4,0.03406507541
-90.3,0.03427693408
-90.2,0.03448879275
-90.1,0.03470065142
-90,0.03491251009
-89.9,0.03512436876
-89.8,0.03533622743
-89.7,0.0355480861
-89.6,0.03575994477
-89.5,0.03582606823
-89.4,0.03589219168
-89.3,0.03595831514
-89.2,0.03602443859
-89.1,0.03609056205
-89,0.0361566855
-88.9,0.03622280896
-88.8,0.03628893241
-88.7,0.03635505587
-88.6,0.03642117932
-88.5,0.03648730278
-88.4,0.03655342623
-88.3,0.03661954969
-88.2,0.03668567314
-88.1,0.0367517966
-88,0.03681792005
-87.9,0.03688404351
-87.8,0.03695016696
-87.7,0.03701629042
-87.6,0.03708241387
-87.5,0.03705389811
-87.4,0.03702538235
-87.3,0.03699686659
-87.2,0.03696835083
-87.1,0.03693983507
-87,0.03691131931
-86.9,0.03688280355
-86.8,0.03685428779
-86.7,0.03682577203
-86.6,0.03679725627
-86.5,0.03676874051
-86.4,0.03674022475
-86.3,0.03671170898
-86.2,0.03668319322
-86.1,0.03665467746
-86,0.0366261617
-85.9,0.03659764594
-85.8,0.03656913018
-85.7,0.03654061442
-85.6,0.03651209866
-85.5,0.03668494848
-85.4,0.03685779831
-85.3,0.03703064813
-85.2,0.03720349795
-85.1,0.03737634777
-85,0.03754919759
-84.9,0.03772204742
-84.8,0.03789489724
-84.7,0.03806774706
-84.6,0.03824059688
-84.5,0.03841344671
-84.4,0.03858629653
-84.3,0.03875914635
-84.2,0.03893199617
-84.1,0.039104846
-84,0.03927769582
-83.9,0.03945054564
-83.8,0.03962339546
-83.7,0.03979624529
-83.6,0.03996909511
-83.5,0.04007755058
-83.4,0.04018600605
-83.3,0.04029446152
-83.2,0.04040291699
-83.1,0.04051137246
-83,0.04061982793
-82.9,0.0407282834
-82.8,0.04083673887
-82.7,0.04094519434
-82.6,0.04105364981
-82.5,0.04116210528
-82.4,0.04127056076
-82.3,0.04137901623
-82.2,0.0414874717
-82.1,0.04159592717
-82,0.04170438264
-81.9,0.04181283811
-81.8,0.04192129358
-81.7,0.04202974905
-81.6,0.04213820452
-81.5,0.04223663948
-81.4,0.04233507443
-81.3,0.04243350939
-81.2,0.04253194435
-81.1,0.04263037931
-81,0.04272881427
-80.9,0.04282724922
-80.8,0.04292568418
-80.7,0.04302411914
-80.6,0.0431225541
-80.5,0.04322098905
-80.4,0.04331942401
-80.3,0.04341785897
-80.2,0.04351629393
-80.1,0.04361472888
-80,0.04371316384
-79.9,0.0438115988
-79.8,0.04391003376
-79.7,0.04400846872
-79.6,0.04410690367
-79.5,0.04441373081
-79.4,0.04472055795
-79.3,0.04502738508
-79.2,0.04533421222
-79.1,0.04564103936
-79,0.0459478665
-78.9,0.04625469363
-78.8,0.04656152077
-78.7,0.04686834791
-78.6,0.04717517505
-78.5,0.04748200218
-78.4,0.04778882932
-78.3,0.04809565646
-78.2,0.04840248359
-78.1,0.04870931073
-78,0.04901613787
-77.9,0.04932296501
-77.8,0.04962979214
-77.7,0.04993661928
-77.6,0.05024344642
-77.5,0.05041755963
-77.4,0.05059167285
-77.3,0.05076578606
-77.2,0.05093989928
-77.1,0.0511140125
-77,0.05128812571
-76.9,0.05146223893
-76.8,0.05163635214
-76.7,0.05181046536
-76.6,0.05198457857
-76.5,0.05215869179
-76.4,0.05233280501
-76.3,0.05250691822
-76.2,0.05268103144
-76.1,0.05285514465
-76,0.05302925787
-75.9,0.05320337108
-75.8,0.0533774843
-75.7,0.05355159752
-75.6,0.05372571073
-75.5,0.05401186994
-75.4,0.05429802915
-75.3,0.05458418836
-75.2,0.05487034756
-75.1,0.05515650677
-75,0.05544266598
-74.9,0.05572882519
-74.8,0.0560149844
-74.7,0.0563011436
-74.6,0.05658730281
-74.5,0.05687346202
-74.4,0.05715962123
-74.3,0.05744578044
-74.2,0.05773193965
-74.1,0.05801809885
-74,0.05830425806
-73.9,0.05859041727
-73.8,0.05887657648
-73.7,0.05916273569
-73.6,0.05944889489
-73.5,0.05955928066
-73.4,0.05966966643
-73.3,0.0597800522
-73.2,0.05989043797
-73.1,0.06000082374
-73,0.06011120951
-72.9,0.06022159528
-72.8,0.06033198105
-72.7,0.06044236682
-72.6,0.06055275259
-72.5,0.06066313836
-72.4,0.06077352413
-72.3,0.0608839099
-72.2,0.06099429567
-72.1,0.06110468144
-72,0.06121506721
-71.9,0.06132545298
-71.8,0.06143583875
-71.7,0.06154622452
-71.6,0.06165661029
-71.5,0.06209494168
-71.4,0.06253327308
-71.3,0.06297160448
-71.2,0.06340993587
-71.1,0.06384826727
-71,0.06428659867
-70.9,0.06472493006
-70.8,0.06516326146
-70.7,0.06560159286
-70.6,0.06603992425
-70.5,0.06647825565
-70.4,0.06691658705
-70.3,0.06735491845
-70.2,0.06779324984
-70.1,0.06823158124
-70,0.06866991264
