X [mm],Dose [Gy]
-100.0,0.0073190209578856
-99.9,0.007410338723484194
-99.8,0.007501656489082803
-99.7,0.007592974254681398
-99.6,0.007684292020280005
-99.5,0.007907725300040793
-99.4,0.008131158579801578
-99.3,0.008354591859562397
-99.2,0.008578025139323183
-99.1,0.008801458419084002
-99.0,0.009024891698844788
-98.9,0.009248324978605576
-98.8,0.009471758258366391
-98.7,0.00969519153812718
-98.6,0.009918624817887998
-98.5,0.010142058097648782
-98.4,0.01036549137740957
-98.3,0.010588924657170389
-98.2,0.010812357936931173
-98.1,0.011035791216691994
-98.0,0.01125922449645278
-97.9,0.011482657776213568
-97.8,0.011706091055974385
-97.7,0.011929524335735173
-97.6,0.01215295761549599
-97.5,0.012327821341133081
-97.4,0.012502685066770172
-97.3,0.012677548792407284
-97.2,0.012852412518044375
-97.1,0.013027276243681496
-97.0,0.013202139969318584
-96.9,0.013377003694955675
-96.8,0.013551867420592788
-96.7,0.013726731146229881
-96.6,0.013901594871866997
-96.5,0.014076458597504088
-96.4,0.014251322323141177
-96.3,0.014426186048778293
-96.2,0.014601049774415384
-96.1,0.014775913500052501
-96.0,0.01495077722568959
-95.9,0.015125640951326683
-95.8,0.015300504676963799
-95.7,0.01547536840260089
-95.6,0.015650232128238004
-95.5,0.0157278830694037
-95.4,0.015805534010569396
-95.3,0.0158831849517351
-95.2,0.015960835892900795
-95.1,0.0160384868340665
-95.0,0.016116137775232197
-94.9,0.01619378871639789
-94.8,0.016271439657563596
-94.7,0.016349090598729292
-94.6,0.016426741539894995
-94.5,0.01650439248106069
-94.4,0.016582043422226387
-94.3,0.016659694363392093
-94.2,0.016737345304557786
-94.1,0.016814996245723496
-94.0,0.01689264718688919
-93.9,0.016970298128054884
-93.8,0.01704794906922059
-93.7,0.017125600010386283
-93.6,0.01720325095155199
-93.5,0.01723596687881919
-93.4,0.01726868280608639
-93.3,0.017301398733353592
-93.2,0.017334114660620792
-93.1,0.017366830587888
-93.0,0.017399546515155195
-92.9,0.017432262442422398
-92.8,0.0174649783696896
-92.7,0.0174976942969568
-92.6,0.017530410224224004
-92.5,0.017563126151491203
-92.4,0.017595842078758403
-92.3,0.017628558006025606
-92.2,0.017661273933292806
-92.1,0.017693989860560012
-92.0,0.017726705787827212
-91.9,0.01775942171509441
-91.8,0.01779213764236161
-91.7,0.017824853569628814
-91.6,0.017857569496896018
-91.5,0.01798179256068131
-91.4,0.018106015624466603
-91.3,0.01823023868825191
-91.2,0.018354461752037202
-91.1,0.018478684815822516
-91.0,0.018602907879607812
-90.9,0.018727130943393105
-90.8,0.01885135400717841
-90.7,0.0189755770709637
-90.6,0.019099800134749014
-90.5,0.019224023198534307
-90.4,0.0193482462623196
-90.3,0.01947246932610491
-90.2,0.019596692389890202
-90.1,0.019720915453675512
-90.0,0.019845138517460805
-89.9,0.019969361581246094
-89.8,0.020093584645031408
-89.7,0.020217807708816704
-89.6,0.02034203077260201
-89.5,0.020456655551186604
-89.4,0.020571280329771197
-89.3,0.020685905108355804
-89.2,0.0208005298869404
-89.1,0.02091515466552501
-89.0,0.0210297794441096
-88.9,0.0211444042226942
-88.8,0.021259029001278806
-88.7,0.021373653779863395
-88.6,0.021488278558448006
-88.5,0.021602903337032603
-88.4,0.021717528115617196
-88.3,0.021832152894201803
-88.2,0.0219467776727864
-88.1,0.022061402451371007
-88.0,0.022176027229955597
-87.9,0.02229065200854019
-87.8,0.022405276787124805
-87.7,0.022519901565709398
-87.6,0.022634526344294005
-87.5,0.022853170554375694
-87.4,0.023071814764457375
-87.3,0.023290458974539092
-87.2,0.023509103184620777
-87.1,0.023727747394702493
-87.0,0.023946391604784182
-86.9,0.024165035814865864
-86.8,0.02438368002494758
-86.7,0.02460232423502927
-86.6,0.02482096844511098
-86.5,0.025039612655192667
-86.4,0.02525825686527435
-86.3,0.02547690107535607
-86.2,0.025695545285437753
-86.1,0.02591418949551947
-86.0,0.02613283370560115
-85.9,0.02635147791568284
-85.8,0.026570122125764557
-85.7,0.02678876633584624
-85.6,0.027007410545927958
-85.5,0.027073050190437854
-85.4,0.027138689834947754
-85.3,0.027204329479457657
-85.2,0.027269969123967567
-85.1,0.027335608768477473
-85.0,0.027401248412987366
-84.9,0.027466888057497266
-84.8,0.027532527702007176
-84.7,0.027598167346517072
-84.6,0.02766380699102698
-84.5,0.027729446635536874
-84.4,0.027795086280046778
-84.3,0.027860725924556684
-84.2,0.02792636556906658
-84.1,0.02799200521357649
-84.0,0.028057644858086386
-83.9,0.028123284502596282
-83.8,0.0281889241471062
-83.7,0.028254563791616095
-83.6,0.028320203436126
-83.5,0.028590910949897286
-83.4,0.028861618463668567
-83.3,0.029132325977439893
-83.2,0.029403033491211178
-83.1,0.029673741004982497
-83.0,0.029944448518753778
-82.9,0.030215156032525062
-82.8,0.03048586354629639
-82.7,0.030756571060067673
-82.6,0.031027278573838992
-82.5,0.03129798608761028
-82.4,0.031568693601381564
-82.3,0.031839401115152884
-82.2,0.03211010862892417
-82.1,0.032380816142695494
-82.0,0.03265152365646678
-81.9,0.032922231170238056
-81.8,0.03319293868400938
-81.7,0.033463646197780667
-81.6,0.033734353711551986
-81.5,0.03404002761587638
-81.4,0.03434570152020075
-81.3,0.03465137542452518
-81.2,0.03495704932884956
-81.1,0.03526272323317399
-81.0,0.03556839713749836
-80.9,0.03587407104182275
-80.8,0.03617974494614717
-80.7,0.036485418850471546
-80.6,0.03679109275479597
-80.5,0.03709676665912036
-80.4,0.03740244056344474
-80.3,0.03770811446776916
-80.2,0.03801378837209354
-80.1,0.03831946227641797
-80.0,0.03862513618074234
-79.9,0.03893081008506673
-79.8,0.039236483989391155
-79.7,0.039542157893715534
-79.6,0.03984783179803996
-79.5,0.04030408551433283
-79.4,0.0407603392306257
-79.3,0.04121659294691864
-79.2,0.04167284666321151
-79.1,0.04212910037950445
-79.0,0.04258535409579732
-78.9,0.04304160781209019
-78.8,0.04349786152838313
-78.7,0.043954115244676004
-78.6,0.044410368960968935
-78.5,0.04486662267726181
-78.4,0.04532287639355468
-78.3,0.04577913010984762
-78.2,0.04623538382614048
-78.1,0.046691637542433426
-78.0,0.047147891258726295
-77.9,0.04760414497501918
-77.8,0.04806039869131211
-77.7,0.048516652407604985
-77.6,0.04897290612389791
-77.5,0.049238015165598
-77.4,0.04950312420729809
-77.3,0.04976823324899821
-77.2,0.05003334229069831
-77.1,0.05029845133239842
-77.0,0.050563560374098517
-76.9,0.050828669415798604
-76.8,0.051093778457498726
-76.7,0.051358887499198806
-76.6,0.051623996540898935
-76.5,0.051889105582599016
-76.4,0.05215421462429911
-76.3,0.05241932366599923
-76.2,0.05268443270769932
-76.1,0.05294954174939945
-76.0,0.053214650791099535
-75.9,0.05347975983279962
-75.8,0.05374486887449975
-75.7,0.05400997791619983
-75.6,0.054275086957899954
-75.5,0.05462931867419984
-75.4,0.05498355039049971
-75.3,0.05533778210679964
-75.2,0.05569201382309951
-75.1,0.05604624553939945
-75.0,0.05640047725569932
-74.9,0.056754708971999204
-74.8,0.05710894068829913
-74.7,0.05746317240459901
-74.6,0.05781740412089894
-74.5,0.05817163583719881
-74.4,0.05852586755349869
-74.3,0.05888009926979862
-74.2,0.05923433098609849
-74.1,0.05958856270239843
-74.0,0.059942794418698306
-73.9,0.06029702613499818
-73.8,0.06065125785129811
-73.7,0.06100548956759799
-73.6,0.06135972128389791
-73.5,0.061931176180109085
-73.4,0.06250263107632024
-73.3,0.0630740859725315
-73.2,0.06364554086874266
-73.1,0.0642169957649539
-73.0,0.06478845066116508
-72.9,0.06535990555737625
-72.8,0.0659313604535875
-72.7,0.06650281534979867
-72.6,0.06707427024600991
-72.5,0.06764572514222109
-72.4,0.06821718003843226
-72.3,0.06878863493464352
-72.2,0.06936008983085466
-72.1,0.06993154472706592
-72.0,0.07050299962327708
-71.9,0.07107445451948825
-71.8,0.07164590941569951
-71.7,0.07221736431191067
-71.6,0.07278881920812191
-71.5,0.07391364678303086
-71.4,0.07503847435793978
-71.3,0.07616330193284887
-71.2,0.07728812950775782
-71.1,0.0784129570826669
-71.0,0.07953778465757584
-70.9,0.08066261223248478
-70.8,0.08178743980739386
-70.7,0.0829122673823028
-70.6,0.0840370949572119
-70.5,0.08516192253212085
-70.4,0.08628675010702977
-70.3,0.08741157768193886
-70.2,0.08853640525684779
-70.1,0.08966123283175689
-70.0,0.09078606040666583
-69.9,0.09191088798157476
-69.8,0.09303571555648386
-69.7,0.09416054313139278
-69.6,0.09528537070630189
-69.5,0.09638483524109884
-69.4,0.09748429977589573
-69.3,0.09858376431069284
-69.2,0.09968322884548977
-69.1,0.10078269338028685
-69.0,0.10188215791508379
-68.9,0.10298162244988072
-68.8,0.10408108698467781
-68.7,0.10518055151947477
-68.6,0.10628001605427183
-68.5,0.10737948058906878
-68.4,0.1084789451238657
-68.3,0.10957840965866279
-68.2,0.11067787419345973
-68.1,0.11177733872825682
-68.0,0.11287680326305374
-67.9,0.11397626779785068
-67.8,0.11507573233264778
-67.69999999999999,0.11617519686744487
-67.6,0.1172746614022418
-67.5,0.11897705508590449
-67.4,0.1206794487695672
-67.3,0.12238184245323012
-67.19999999999999,0.12408423613689307
-67.1,0.1257866298205558
-67.0,0.12748902350421848
-66.9,0.12919141718788119
-66.8,0.13089381087154411
-66.69999999999999,0.13259620455520707
-66.6,0.13429859823886975
-66.5,0.13600099192253248
-66.4,0.13770338560619516
-66.3,0.13940577928985812
-66.19999999999999,0.14110817297352107
-66.1,0.14281056665718375
-66.0,0.14451296034084643
-65.9,0.14621535402450916
-65.8,0.14791774770817212
-65.69999999999999,0.14962014139183505
-65.6,0.15132253507549775
-65.5,0.15374221963946733
-65.4,0.15616190420343687
-65.3,0.15858158876740674
-65.19999999999999,0.16100127333137665
-65.1,0.16342095789534622
-65.0,0.16584064245931576
-64.9,0.16826032702328533
-64.8,0.17068001158725524
-64.69999999999999,0.17309969615122514
-64.6,0.17551938071519468
-64.5,0.17793906527916423
-64.4,0.180358749843134
-64.3,0.18277843440710373
-64.2,0.18519811897107347
-64.10000000000001,0.187617803535043
-64.0,0.1900374880990127
-63.900000000000006,0.19245717266298246
-63.800000000000004,0.1948768572269522
-63.7,0.19729654179092188
-63.60000000000001,0.1997162263548915
-63.50000000000001,0.2034167442142789
-63.400000000000006,0.20711726207366643
-63.300000000000004,0.210817779933054
-63.2,0.21451829779244155
-63.10000000000001,0.21821881565182882
-63.00000000000001,0.22191933351121634
-62.900000000000006,0.22561985137060392
-62.800000000000004,0.22932036922999147
-62.7,0.23302088708937901
-62.60000000000001,0.23672140494876628
-62.50000000000001,0.2404219228081538
-62.400000000000006,0.2441224406675413
-62.300000000000004,0.24782295852692887
-62.2,0.25152347638631645
-62.10000000000001,0.2552239942457037
-62.00000000000001,0.2589245121050912
-61.900000000000006,0.2626250299644788
-61.800000000000004,0.26632554782386636
-61.7,0.2700260656832539
-61.6,0.2737265835426414
-61.50000000000001,0.2789733351055886
-61.400000000000006,0.2842200866685362
-61.300000000000004,0.28946683823148367
-61.2,0.29471358979443135
-61.1,0.29996034135737887
-61.00000000000001,0.3052070929203261
-60.900000000000006,0.3104538444832737
-60.800000000000004,0.31570059604622125
-60.7,0.3209473476091688
-60.6,0.32619409917211634
-60.50000000000001,0.3314408507350636
-60.400000000000006,0.3366876022980112
-60.300000000000004,0.3419343538609587
-60.2,0.3471811054239063
-60.1,0.35242785698685386
-60.00000000000001,0.35767460854980104
-59.900000000000006,0.3629213601127486
-59.800000000000004,0.3681681116756962
-59.7,0.37341486323864376
-59.6,0.37866161480159133
-59.50000000000001,0.3864340106924357
-59.400000000000006,0.39420640658328066
-59.300000000000004,0.4019788024741255
-59.2,0.4097511983649705
-59.1,0.4175235942558153
-59.00000000000001,0.4252959901466597
-58.900000000000006,0.43306838603750464
-58.800000000000004,0.4408407819283495
-58.7,0.4486131778191945
-58.6,0.4563855737100394
-58.50000000000001,0.46415796960088374
-58.400000000000006,0.4719303654917286
-58.300000000000004,0.47970276138257356
-58.2,0.4874751572734185
-58.1,0.4952475531642634
-58.00000000000001,0.5030199490551077
-57.900000000000006,0.5107923449459527
-57.800000000000004,0.5185647408367976
-57.7,0.5263371367276425
-57.6,0.5341095326184874
-57.50000000000001,0.5439451810856433
-57.400000000000006,0.5537808295527996
-57.300000000000004,0.5636164780199561
-57.2,0.5734521264871125
-57.1,0.583287774954269
-57.00000000000001,0.5931234234214245
-56.900000000000006,0.6029590718885811
-56.800000000000004,0.6127947203557376
-56.7,0.622630368822894
-56.6,0.6324660172900504
-56.50000000000001,0.6423016657572062
-56.400000000000006,0.6521373142243626
-56.300000000000004,0.6619729626915192
-56.2,0.6718086111586755
-56.1,0.6816442596258321
-56.00000000000001,0.6914799080929876
-55.900000000000006,0.7013155565601442
-55.800000000000004,0.7111512050273007
-55.7,0.720986853494457
-55.6,0.7308225019616135
-55.50000000000001,0.7423504731482068
-55.400000000000006,0.7538784443348006
-55.300000000000004,0.7654064155213947
-55.2,0.7769343867079885
-55.1,0.7884623578945825
-55.00000000000001,0.7999903290811756
-54.900000000000006,0.8115183002677698
-54.800000000000004,0.8230462714543636
-54.7,0.8345742426409576
-54.6,0.8461022138275516
-54.50000000000001,0.8576301850141448
