X [mm],Dose [Gy]
-100.0,0.00721067972993379
-99.9,0.007302998530241085
-99.8,0.007395317330548394
-99.7,0.007487636130855689
-99.6,0.007579954931162996
-99.5,0.007762446890277586
-99.4,0.007944938849392177
-99.3,0.008127430808506792
-99.2,0.008309922767621382
-99.1,0.008492414726735998
-99.0,0.008674906685850588
-98.9,0.008857398644965177
-98.8,0.009039890604079793
-98.7,0.009222382563194383
-98.6,0.009404874522308999
-98.5,0.00958736648142359
-98.4,0.00976985844053818
-98.3,0.009952350399652796
-98.2,0.010134842358767385
-98.1,0.010317334317882001
-98.0,0.010499826276996591
-97.9,0.01068231823611118
-97.8,0.010864810195225798
-97.7,0.011047302154340386
-97.6,0.011229794113455004
-97.5,0.011429405931533942
-97.4,0.011629017749612879
-97.3,0.011828629567691845
-97.2,0.012028241385770782
-97.1,0.012227853203849748
-97.0,0.012427465021928687
-96.9,0.012627076840007625
-96.8,0.012826688658086591
-96.7,0.013026300476165528
-96.6,0.013225912294244494
-96.5,0.013425524112323433
-96.4,0.013625135930402371
-96.3,0.013824747748481338
-96.2,0.014024359566560275
-96.1,0.014223971384639243
-96.0,0.01442358320271818
-95.9,0.014623195020797116
-95.8,0.014822806838876084
-95.7,0.01502241865695502
-95.6,0.015222030475033987
-95.5,0.015292674219472434
-95.4,0.015363317963910885
-95.3,0.015433961708349337
-95.2,0.015504605452787788
-95.1,0.015575249197226245
-95.0,0.015645892941664692
-94.9,0.01571653668610314
-94.8,0.0157871804305416
-94.7,0.015857824174980044
-94.6,0.0159284679194185
-94.5,0.01599911166385695
-94.4,0.0160697554082954
-94.3,0.016140399152733857
-94.2,0.0162110428971723
-94.1,0.01628168664161076
-94.0,0.016352330386049205
-93.9,0.016422974130487655
-93.8,0.016493617874926113
-93.7,0.01656426161936456
-93.6,0.016634905363803017
-93.5,0.016694997379754842
-93.4,0.01675508939570666
-93.3,0.01681518141165849
-93.2,0.016875273427610315
-93.1,0.016935365443562143
-93.0,0.016995457459513964
-92.9,0.017055549475465788
-92.8,0.017115641491417616
-92.7,0.01717573350736944
-92.6,0.017235825523321268
-92.5,0.01729591753927309
-92.4,0.01735600955522491
-92.3,0.01741610157117674
-92.2,0.017476193587128562
-92.1,0.01753628560308039
-92.0,0.017596377619032214
-91.9,0.01765646963498404
-91.8,0.01771656165093587
-91.7,0.017776653666887687
-91.6,0.01783674568283952
-91.5,0.017974119843466637
-91.4,0.018111494004093752
-91.3,0.018248868164720888
-91.2,0.018386242325348003
-91.1,0.01852361648597514
-91.0,0.018660990646602253
-90.9,0.01879836480722937
-90.8,0.01893573896785651
-90.7,0.019073113128483626
-90.6,0.01921048728911076
-90.5,0.019347861449737876
-90.4,0.01948523561036499
-90.3,0.019622609770992127
-90.2,0.019759983931619245
-90.1,0.019897358092246378
-90.0,0.020034732252873496
-89.9,0.02017210641350061
-89.8,0.02030948057412775
-89.7,0.020446854734754865
-89.6,0.020584228895382
-89.5,0.02073098358608297
-89.4,0.020877738276783936
-89.3,0.021024492967484924
-89.2,0.02117124765818589
-89.1,0.02131800234888688
-89.0,0.021464757039587844
-88.9,0.021611511730288815
-88.8,0.0217582664209898
-88.7,0.021905021111690764
-88.6,0.022051775802391756
-88.5,0.02219853049309272
-88.4,0.022345285183793688
-88.3,0.022492039874494676
-88.2,0.022638794565195644
-88.1,0.022785549255896632
-88.0,0.0229323039465976
-87.9,0.023079058637298568
-87.8,0.023225813327999553
-87.7,0.023372568018700524
-87.6,0.02351932270940151
-87.5,0.023630693089715604
-87.4,0.02374206347002969
-87.3,0.023853433850343796
-87.2,0.02396480423065789
-87.1,0.024076174610971994
-87.0,0.02418754499128609
-86.9,0.02429891537160018
-86.8,0.024410285751914285
-86.7,0.024521656132228373
-86.6,0.024633026512542483
-86.5,0.024744396892856575
-86.4,0.024855767273170667
-86.3,0.024967137653484774
-86.2,0.025078508033798866
-86.1,0.02518987841411297
-86.0,0.02530124879442706
-85.9,0.025412619174741156
-85.8,0.025523989555055263
-85.7,0.025635359935369348
-85.6,0.025746730315683454
-85.5,0.02598660177076557
-85.4,0.02622647322584768
-85.3,0.026466344680929833
-85.2,0.026706216136011943
-85.1,0.02694608759109409
