X [mm],Dose [Gy]
-100.0,0.007436253680667912
-99.9,0.0074322654507535625
-99.8,0.007428277220839213
-99.7,0.007424288990924862
-99.6,0.007420300761010513
-99.5,0.0074771366528677595
-99.4,0.0075339725447250054
-99.3,0.00759080843658226
-99.2,0.007647644328439508
-99.1,0.007704480220296762
-99.0,0.007761316112154009
-98.9,0.007818152004011257
-98.8,0.007874987895868511
-98.7,0.007931823787725759
-98.6,0.007988659679583014
-98.5,0.00804549557144026
-98.4,0.008102331463297507
-98.3,0.008159167355154762
-98.2,0.008216003247012008
-98.1,0.008272839138869264
-98.0,0.00832967503072651
-97.9,0.00838651092258376
-97.8,0.008443346814441012
-97.7,0.00850018270629826
-97.6,0.008557018598155514
-97.5,0.00856273131007719
-97.4,0.008568444021998863
-97.3,0.00857415673392054
-97.2,0.008579869445842214
-97.1,0.00858558215776389
-97.0,0.008591294869685566
-96.9,0.008597007581607242
-96.8,0.008602720293528916
-96.7,0.008608433005450594
-96.6,0.008614145717372266
-96.5,0.008619858429293942
-96.4,0.008625571141215618
-96.3,0.008631283853137293
-96.2,0.008636996565058968
-96.1,0.008642709276980645
-96.0,0.008648421988902318
-95.9,0.008654134700823993
-95.8,0.00865984741274567
-95.7,0.008665560124667343
-95.6,0.008671272836589021
-95.5,0.008707407713202843
-95.4,0.008743542589816664
-95.3,0.008779677466430491
-95.2,0.008815812343044314
-95.1,0.008851947219658141
-95.0,0.008888082096271965
-94.9,0.008924216972885788
-94.8,0.008960351849499615
-94.7,0.008996486726113436
-94.6,0.009032621602727265
-94.5,0.009068756479341088
-94.4,0.00910489135595491
-94.3,0.009141026232568737
-94.2,0.00917716110918256
-94.1,0.009213295985796387
-94.0,0.009249430862410209
-93.9,0.009285565739024032
-93.8,0.009321700615637859
-93.7,0.009357835492251682
-93.6,0.00939397036886551
-93.5,0.009420153392452285
-93.4,0.00944633641603906
-93.3,0.009472519439625836
-93.2,0.009498702463212612
-93.1,0.009524885486799391
-93.0,0.009551068510386165
-92.9,0.00957725153397294
-92.8,0.00960343455755972
-92.7,0.009629617581146492
-92.6,0.009655800604733271
-92.5,0.009681983628320047
-92.4,0.009708166651906821
-92.3,0.0097343496754936
-92.2,0.009760532699080374
-92.1,0.009786715722667153
-92.0,0.009812898746253927
-91.9,0.009839081769840703
-91.8,0.00986526479342748
-91.7,0.009891447817014254
-91.6,0.009917630840601033
-91.5,0.010001608627079052
-91.4,0.010085586413557073
-91.3,0.010169564200035104
-91.2,0.010253541986513124
-91.1,0.010337519772991155
-91.0,0.010421497559469176
-90.9,0.010505475345947195
-90.8,0.010589453132425227
-90.7,0.010673430918903246
-90.6,0.010757408705381277
-90.5,0.010841386491859298
-90.4,0.010925364278337318
-90.3,0.011009342064815348
-90.2,0.011093319851293368
-90.1,0.0111772976377714
-90.0,0.01126127542424942
-89.9,0.011345253210727439
-89.8,0.01142923099720547
-89.7,0.01151320878368349
-89.6,0.011597186570161521
-89.5,0.011680728902397243
-89.4,0.011764271234632964
-89.3,0.011847813566868693
-89.2,0.011931355899104414
-89.1,0.012014898231340146
-89.0,0.012098440563575869
-88.9,0.012181982895811587
-88.8,0.012265525228047318
-88.7,0.012349067560283039
-88.6,0.012432609892518773
-88.5,0.012516152224754492
-88.4,0.012599694556990212
-88.3,0.012683236889225943
-88.2,0.012766779221461664
-88.1,0.012850321553697395
-88.0,0.012933863885933115
-87.9,0.013017406218168838
-87.8,0.013100948550404569
-87.7,0.01318449088264029
-87.6,0.013268033214876022
-87.5,0.013335596674539993
-87.4,0.013403160134203965
-87.3,0.013470723593867941
-87.2,0.013538287053531915
-87.1,0.013605850513195895
-87.0,0.013673413972859866
-86.9,0.013740977432523838
-86.8,0.013808540892187818
-86.7,0.013876104351851788
-86.6,0.013943667811515771
-86.5,0.014011231271179739
-86.4,0.014078794730843709
-86.3,0.014146358190507689
-86.2,0.014213921650171662
-86.1,0.014281485109835642
-86.0,0.01434904856949961
-85.9,0.014416612029163582
-85.8,0.014484175488827565
-85.7,0.014551738948491533
-85.6,0.014619302408155515
-85.5,0.01465078002438354
-85.4,0.014682257640611557
-85.3,0.014713735256839586
-85.2,0.014745212873067612
-85.1,0.014776690489295637
-85.0,0.01480816810552366
-84.9,0.014839645721751681
-84.8,0.014871123337979708
-84.7,0.01490260095420773
-84.6,0.014934078570435758
-84.5,0.014965556186663781
-84.4,0.014997033802891805
-84.3,0.01502851141911983
-84.2,0.015059989035347852
-84.1,0.015091466651575881
-84.0,0.015122944267803902
-83.9,0.015154421884031927
-83.8,0.015185899500259954
-83.7,0.015217377116487976
-83.6,0.015248854732716003
-83.5,0.015420638459595595
-83.4,0.015592422186475186
-83.3,0.0157642059133548
-83.2,0.015935989640234394
-83.1,0.01610777336711401
-83.0,0.0162795570939936
-82.9,0.01645134082087319
-82.8,0.016623124547752808
-82.7,0.016794908274632397
-82.6,0.016966692001512015
-82.5,0.017138475728391604
-82.4,0.017310259455271197
-82.3,0.017482043182150814
-82.2,0.017653826909030404
-82.1,0.017825610635910018
-82.0,0.01799739436278961
-81.9,0.018169178089669204
-81.8,0.018340961816548818
-81.7,0.01851274554342841
-81.6,0.018684529270308028
-81.5,0.018916390229744715
-81.4,0.0191482511891814
-81.3,0.019380112148618123
-81.2,0.019611973108054813
-81.1,0.01984383406749153
-81.0,0.02007569502692822
-80.9,0.020307555986364908
-80.8,0.020539416945801626
-80.7,0.020771277905238316
-80.6,0.021003138864675037
-80.5,0.02123499982411172
-80.4,0.021466860783548414
-80.3,0.021698721742985132
-80.2,0.021930582702421823
-80.1,0.022162443661858544
-80.0,0.02239430462129523
-79.9,0.02262616558073192
-79.8,0.02285802654016864
-79.7,0.023089887499605326
-79.6,0.023321748459042047
-79.5,0.023403449521155868
-79.4,0.02348515058326969
-79.3,0.023566851645383517
-79.2,0.02364855270749734
-79.1,0.02373025376961117
-79.0,0.023811954831724994
-78.9,0.023893655893838812
-78.8,0.023975356955952647
-78.7,0.024057058018066464
-78.6,0.02413875908018029
-78.5,0.024220460142294113
-78.4,0.024302161204407934
-78.3,0.024383862266521766
-78.2,0.024465563328635583
-78.1,0.024547264390749418
-78.0,0.024628965452863236
-77.9,0.024710666514977053
-77.8,0.024792367577090888
-77.7,0.024874068639204706
-77.6,0.02495576970131854
-77.5,0.025231430562225547
-77.4,0.025507091423132556
-77.3,0.025782752284039607
-77.2,0.026058413144946616
-77.1,0.026334074005853664
-77.0,0.026609734866760673
-76.9,0.026885395727667686
-76.8,0.027161056588574733
-76.7,0.02743671744948174
-76.6,0.027712378310388787
-76.5,0.027988039171295793
-76.4,0.028263700032202806
-76.3,0.02853936089310985
-76.2,0.028815021754016863
-76.1,0.02909068261492391
-76.0,0.02936634347583092
-75.9,0.02964200433673793
-75.8,0.02991766519764498
-75.7,0.030193326058551982
-75.6,0.030468986919459033
-75.5,0.030894360732843313
-75.4,0.031319734546227586
-75.3,0.03174510835961192
-75.2,0.03217048217299619
-75.1,0.032595855986380526
-75.0,0.0330212297997648
-74.9,0.03344660361314908
-74.8,0.03387197742653342
-74.7,0.03429735123991769
-74.6,0.03472272505330202
-74.5,0.035148098866686295
-74.4,0.03557347268007058
-74.3,0.0359988464934549
-74.2,0.03642422030683917
-74.1,0.03684959412022351
-74.0,0.03727496793360779
-73.9,0.037700341746992064
-73.8,0.0381257155603764
