x_aligned_mm,mcc_dose_gy,csv_dose_gy,dose_difference_gy,dose_difference_percent_of_mcc,dose_ratio_csv_to_mcc,mcc_relative,csv_relative,region
-99.0,0.00820193,0.0009731537395452764,-0.007228776260454723,-88.13506406973387,0.11864935930266125,0.004901766871765129,0.0005551968783860336,tail
-98.0,0.008318560000000001,0.0009021635227945902,-0.007416396477205411,-89.15481137607243,0.10845188623927579,0.004971469133336975,0.0005146960354726152,tail
-97.0,0.00843519,0.0008081789235503363,-0.007627011076449664,-90.41896005246667,0.09581039947533324,0.005041171394908821,0.0004610765979712455,tail
-96.0,0.008551820000000002,0.0008700892420201493,-0.007681730757979852,-89.8256833981521,0.101743166018479,0.005110873656480667,0.0004963972406996869,tail
-95.0,0.008668450000000001,0.0010065931039706503,-0.007661856896029351,-88.38785360738483,0.11612146392615175,0.005180575918052512,0.0005742744711545263,tail
-94.0,0.008874980000000001,0.001145583357636235,-0.007729396642363766,-87.09198941703266,0.1290801058296734,0.005304005636670649,0.0006535702204543987,tail
-93.0,0.009081510000000001,0.0012857633150537362,-0.007795746684946265,-85.84196554258338,0.1415803445741662,0.005427435355288785,0.0007335447112340879,tail
-92.0,0.009288040000000001,0.0012796225221708964,-0.008008417477829105,-86.22290039479917,0.1377709960520084,0.005550865073906922,0.0007300413089443726,tail
-91.0,0.00949457,0.0012034692913606435,-0.008291100708639358,-87.32465723712983,0.12675342762870181,0.005674294792525058,0.0006865948992901082,tail
-90.0,0.0097011,0.0012349325940931573,-0.008466167405906843,-87.27017973123503,0.12729820268764958,0.005797724511143194,0.0007045451231354883,tail
-89.0,0.00992868,0.0013178889069364098,-0.008610791093063591,-86.72644392873565,0.13273556071264356,0.005933734463029678,0.0007518727796623079,tail
-88.0,0.01015626,0.0016958235600281833,-0.008460436439971818,-83.30267677247154,0.1669732322752847,0.0060697444149161615,0.0009674894197715132,tail
-87.0,0.01038384,0.002214901234148689,-0.00816893876585131,-78.6697287886881,0.21330271211311896,0.0062057543668026455,0.0012636299909892222,tail
-86.0,0.01061142,0.0023204738213449864,-0.008290946178655013,-78.13229689009589,0.21867703109904107,0.006341764318689129,0.0013238605264870459,tail
-85.0,0.010839,0.0022281899926089826,-0.008610810007391017,-79.44284534911908,0.20557154650880918,0.006477774270575613,0.0012712114007038151,tail
-84.0,0.011193,0.002677398760475415,-0.008515601239524585,-76.07970373916363,0.2392029626083637,0.006689337338366347,0.0015274908512453256,tail
-83.0,0.011547,0.003385704182302168,-0.008161295817697832,-70.67892801331803,0.2932107198668198,0.006900900406157081,0.0019315883161801761,tail
-82.0,0.011901,0.0042904246267345455,-0.007610575373265455,-63.94904103239605,0.36050958967603947,0.007112463473947815,0.0024477431087369913,tail
-81.0,0.012255,0.005289126919605791,-0.0069658730803942095,-56.841069607459886,0.4315893039254011,0.007324026541738549,0.003017515769424889,tail
-80.0,0.012609,0.006737959671546402,-0.005871040328453599,-46.56229937706082,0.5343770062293919,0.0075355896095292835,0.00384409371748553,tail
-79.0,0.0131006,0.008402173569087653,-0.004698426430912348,-35.86420798217141,0.6413579201782859,0.007829387361297433,0.004793549413266236,tail
-78.0,0.0135922,0.00935297236512507,-0.00423922763487493,-31.188679057657556,0.6881132094234245,0.008123185113065583,0.005335992505330841,tail
-77.0,0.0140838,0.009962411986828075,-0.0041213880131719255,-29.263323912381072,0.7073667608761893,0.008416982864833732,0.005683685744111774,tail
-76.0,0.0145754,0.010529660206129776,-0.004045739793870224,-27.757315709141597,0.722426842908584,0.008710780616601882,0.006007308238511785,tail
-75.0,0.015067,0.011076720427928538,-0.0039902795720714625,-26.4835705320997,0.735164294679003,0.009004578368370032,0.0063194132174987285,tail
-74.0,0.015528400000000001,0.01140962067188253,-0.004118779328117472,-26.524170733092085,0.7347582926690791,0.009280327519439649,0.006509337140869323,tail
-73.0,0.015989800000000002,0.011640048353847764,-0.004349751646152238,-27.203289885753655,0.7279671011424634,0.009556076670509266,0.006640799133483775,tail
-72.0,0.0164512,0.012376199463574681,-0.004075000536425318,-24.77023278803563,0.7522976721196437,0.009831825821578885,0.007060782925902613,tail
-71.0,0.0169126,0.013354332178931191,-0.003558267821068809,-21.0391531820584,0.789608468179416,0.010107574972648503,0.007618820374812733,tail
-70.0,0.017374,0.013852275887257959,-0.0035217241127420418,-20.270082380235074,0.7972991761976492,0.01038332412371812,0.00790290374339144,tail
-69.0,0.0180045,0.014120455854084711,-0.0038840441459152882,-21.57262987539386,0.7842737012460613,0.01076013348598382,0.008055903906035274,tail
-68.0,0.018635,0.014259828255584889,-0.00437517174441511,-23.47824923217124,0.7652175076782877,0.01113694284824952,0.008135417675650155,tail
-67.0,0.0192655,0.01433756803386863,-0.004927931966131371,-25.579050458754615,0.7442094954124538,0.01151375221051522,0.0081797692312941,tail
-66.0,0.019896,0.015252820652031032,-0.004643179347968969,-23.33725044214399,0.7666274955785601,0.011890561572780919,0.008701932766087533,tail
-65.0,0.0205265,0.016568811481247298,-0.003957688518752701,-19.28087359633986,0.8071912640366014,0.01226737093504662,0.009452722667698477,tail
-64.0,0.0219208,0.017603478570098464,-0.004317321429901537,-19.69509064405285,0.8030490935594715,0.01310065450968114,0.010043013712736592,tail
-63.0,0.023315100000000002,0.018503536173491222,-0.004811563826508779,-20.637114258608282,0.7936288574139172,0.013933938084315664,0.010556508293772443,tail
-62.0,0.0247094,0.01982243808524196,-0.004886961914758039,-19.777744157114455,0.8022225584288555,0.014767221658950185,0.011308959005870143,tail
