profile,csv_file,mcc_file,alignment_method,csv_shift_mm,field_center_shift_mm,common_x_min_mm,common_x_max_mm,n_points,mcc_norm_dose_gy,csv_norm_dose_gy,norm_dose_diff_gy,norm_dose_percent_diff_of_mcc,mcc_fwhm_mm,csv_fwhm_mm,mcc_left_penumbra_mm,csv_left_penumbra_mm,mcc_right_penumbra_mm,csv_right_penumbra_mm,raw_svg,point_csv,profile_ge10_mean_diff_gy,profile_ge10_mean_abs_diff_gy,profile_ge10_rms_diff_gy,profile_ge10_max_abs_diff_gy,profile_ge10_mean_percent_diff_of_mcc,profile_ge10_mean_abs_percent_diff_of_mcc,profile_ge10_mean_csv_to_mcc_ratio,high_dose_ge80_mean_diff_gy,high_dose_ge80_mean_abs_diff_gy,high_dose_ge80_rms_diff_gy,high_dose_ge80_max_abs_diff_gy,high_dose_ge80_mean_percent_diff_of_mcc,high_dose_ge80_mean_abs_percent_diff_of_mcc,high_dose_ge80_mean_csv_to_mcc_ratio,penumbra_20_80_mean_diff_gy,penumbra_20_80_mean_abs_diff_gy,penumbra_20_80_rms_diff_gy,penumbra_20_80_max_abs_diff_gy,penumbra_20_80_mean_percent_diff_of_mcc,penumbra_20_80_mean_abs_percent_diff_of_mcc,penumbra_20_80_mean_csv_to_mcc_ratio,csv_to_mcc_norm_dose_ratio,fwhm_diff_mm,left_penumbra_diff_mm,right_penumbra_diff_mm
12MeV_10_one2cm_two5mmin,12MeV_10_one2cm_two5mmin.csv,12MeV_10_one2cm_two5mmin.mcc,field-center,0.5045110867165548,0.5045110867165548,-99.0,100.0,200,1.9058930720186018,2.01057654051846,0.10468346849985832,5.492620233357802,69.7297774169021,67.93703462425651,12.719735919431592,12.245794583905472,10.933414636105933,10.07561468230874,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/12MeV_10_one2cm_two5mmin/raw_gy_comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/12MeV_10_one2cm_two5mmin/point_by_point_raw_gy_comparison.csv,0.0455901814482403,0.07214733389059705,0.0791479339578484,0.13956519991692917,0.9691587996453238,5.749398141550474,1.0096915879964534,0.08920117476191904,0.08920117476191904,0.09134779262414136,0.13956519991692917,4.82914779703338,4.82914779703338,1.0482914779703336,-0.03255637806128366,0.04811226820415135,0.05689879864688196,0.11777943620954923,-5.279606932581705,6.332181435481219,0.947203930674183,1.054926202333578,-1.7927427926455834,-0.4739413355261206,-0.8577999537971941
12MeV_10_one2cm_two5mmout,12MeV_10_one2cm_two5mmout.csv,12MeV_10_one2cm_two5mmout.mcc,field-center,0.3335512083614329,0.3335512083614329,-99.0,100.0,200,1.9099237610032118,1.9994664565911195,0.08954269558790773,4.688286381696948,74.3421313475555,73.5567834418916,12.75233406916184,12.052747195323583,10.701247084370282,9.95353113693502,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/12MeV_10_one2cm_two5mmout/raw_gy_comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/12MeV_10_one2cm_two5mmout/point_by_point_raw_gy_comparison.csv,0.05519264774664002,0.06639134470009941,0.07224349670082753,0.10158459988325319,2.1352520933819883,4.742723501039328,1.02135252093382,0.08369760526180779,0.08369760526180779,0.08414535312877033,0.10158459988325319,4.520198454479166,4.520198454479166,1.0452019845447915,0.009958602284778018,0.03828422189727223,0.04636563718610624,0.09527795203409872,-0.5800489644414264,4.14766634214838,0.9941995103555857,1.0468828638169694,-0.7853479056638974,-0.6995868738382569,-0.7477159474352622
12MeV_10_one_2cmoff,12MeV_10_one_2cmoff.csv,12MeV_10_one_2cmoff.mcc,field-center,0.5195390417251389,0.5195390417251389,-99.0,100.0,200,1.9133792961467362,1.9956786575264251,0.08229936137968896,4.301257024439835,74.61677043131715,73.63063991646018,12.75834579032464,11.85653971868728,10.91571370353514,10.029574680072665,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/12MeV_10_one_2cmoff/raw_gy_comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/12MeV_10_one_2cmoff/point_by_point_raw_gy_comparison.csv,0.0462664276605815,0.06279443426758112,0.06774610386016425,0.09909719467091405,1.1618384260893124,4.887616930052451,1.011618384260893,0.0776366400207781,0.0776366400207781,0.07838482433109122,0.09909719467091405,4.1892162561581525,4.1892162561581525,1.0418921625615816,-0.007933780859049265,0.037449087552223766,0.04384336130372792,0.0744333289719259,-2.585454472129436,4.70413016635599,0.9741454552787054,1.0430125702443984,-0.986130514856967,-0.9018060716373597,-0.8861390234624746
12MeV_10_one_onaxis,12MeV_10_one_onaxis.csv,12MeV_10_one_onaxis.mcc,field-center,0.6280825136777572,0.6280825136777572,-99.0,100.0,200,1.888386847474462,1.9637326365652774,0.07534578909081535,3.989955193321918,54.4985858411443,53.20001423681603,12.551861871812186,11.71348536242143,10.743187668211473,9.986826037000913,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/12MeV_10_one_onaxis/raw_gy_comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/12MeV_10_one_onaxis/point_by_point_raw_gy_comparison.csv,0.03429752379801513,0.06303533568526726,0.06766907755555773,0.09843639300633411,-0.2202514948608083,5.670824194832761,0.9977974850513918,0.07998304981411129,0.07998304981411129,0.08088088936717622,0.09843639300633411,4.401593186918945,4.401593186918945,1.0440159318691895,-0.02435106583947142,0.04267376919741088,0.04664945681209505,0.07668009501564177,-4.2487687524993065,5.564244336102221,0.957512312475007,1.0398995519332193,-1.2985716043282665,-0.8383765093907556,-0.7563616312105594
12MeV_10_two_2cmoff,12MeV_10_two_2cmoff.csv,12MeV_10_two_2cmoff.mcc,field-center,0.492908551789526,0.492908551789526,-99.0,100.0,200,1.9140743938881628,2.0001456602684575,0.08607126638029472,4.496756586636819,74.59491192342841,73.41232676564886,12.761259493456954,12.121786034812558,10.750188617505696,9.987041141944289,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/12MeV_10_two_2cmoff/raw_gy_comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/12MeV_10_two_2cmoff/point_by_point_raw_gy_comparison.csv,0.046103908024104925,0.06403990751301064,0.06864250557431692,0.09571689254573545,1.122889013195568,4.9254964796856955,1.0112288901319553,0.07838790005449137,0.07838790005449137,0.07932728104028969,0.09571689254573545,4.2219238948851565,4.2219238948851565,1.0422192389488516,-0.010343220876411666,0.03904518092258318,0.04317988045614503,0.06552227777460573,-2.813670896296579,4.82753310127478,0.9718632910370341,1.0449675658663682,-1.182585157779556,-0.639473458644396,-0.7631474755614072
12MeV_10_two_onaxis,12MeV_10_two_onaxis.csv,12MeV_10_two_onaxis.mcc,field-center,0.6759274434341691,0.6759274434341691,-99.0,100.0,200,1.8882303175424342,1.9896617760109445,0.10143145846851032,5.371773640438375,54.46050655467437,52.91627615416077,12.52272332252609,11.842681229527557,10.540299880146936,9.756691850115875,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/12MeV_10_two_onaxis/raw_gy_comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/12MeV_10_two_onaxis/point_by_point_raw_gy_comparison.csv,0.03226807647625713,0.06432332298347297,0.06979118787774068,0.1102418304259527,-0.556916642888276,5.925776377341815,0.9944308335711172,0.08016614738958211,0.08016614738958211,0.08266769612631557,0.1102418304259527,4.386091455131637,4.386091455131637,1.0438609145513162,-0.02745498836620414,0.04673964982882573,0.05081531758105825,0.08351010632080502,-4.86566732487624,6.2069267855621035,0.9513433267512377,1.0537177364043837,-1.544230400513598,-0.6800420929985336,-0.7836080300310613
6MeV_10_one_2cmoff,6MeV_10_one_2cmoff.csv,6MeV_10_one_2cmoff.mcc,field-center,0.4755630172684615,0.4755630172684615,-99.0,100.0,200,1.9296707606279218,1.9907461463710305,0.06107538574310878,3.1650676887094784,74.36360002331057,72.40093465723304,12.563736671242133,11.615634032782182,8.01275013478443,6.694014080406358,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/6MeV_10_one_2cmoff/raw_gy_comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/6MeV_10_one_2cmoff/point_by_point_raw_gy_comparison.csv,0.013227615345913454,0.06202442108506289,0.07491128790831209,0.2494358864174256,-2.516538141399369,6.564428769551079,0.9748346185860063,0.05231016215210074,0.05231016215210074,0.05302623034820626,0.06623413025964098,2.7867341663061564,2.7867341663061564,1.0278673416630615,-0.07919962626845066,0.09003232132468544,0.11898949221830186,0.2494358864174256,-11.21516536708555,11.962973200550753,0.8878483463291444,1.0316506768870948,-1.9626653660775304,-0.9481026384599502,-1.3187360543780713
6MeV_10_one_onaxis,6MeV_10_one_onaxis.csv,6MeV_10_one_onaxis.mcc,field-center,0.39101273465234243,0.39101273465234243,-99.0,100.0,200,1.9011349050418662,1.97457918860559,0.07344428356372368,3.8631810593213167,54.03997257636676,52.27920446285515,12.35597522775312,11.534752028997971,7.959974115479218,6.582349695592825,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/6MeV_10_one_onaxis/raw_gy_comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/6MeV_10_one_onaxis/point_by_point_raw_gy_comparison.csv,0.01045348802499972,0.06607600098224457,0.08062803802846821,0.24683098110599122,-3.425023302783898,7.6464725628476815,0.9657497669721609,0.059511281336546526,0.05963203311420277,0.06135011375586665,0.07543378748904006,3.214559772583687,3.2215063167737727,1.0321455977258367,-0.06257545906220915,0.08100215844979812,0.11362489712897679,0.24683098110599122,-9.244874739576852,10.539803543492171,0.9075512526042314,1.038631810593213,-1.7607681135116096,-0.821223198755149,-1.3776244198863932
6MeV_10_two_2cmoff,6MeV_10_two_2cmoff.csv,6MeV_10_two_2cmoff.mcc,field-center,0.5640057492812733,0.5640057492812733,-99.0,100.0,200,1.9286853213634547,1.9851227694620392,0.05643744809858453,2.9262133886458437,74.2793934474305,72.39108934642144,12.562222122427876,11.364364401524924,8.0043736172437,6.76595155487443,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/6MeV_10_two_2cmoff/raw_gy_comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/6MeV_10_two_2cmoff/point_by_point_raw_gy_comparison.csv,0.01772926868566588,0.06622816114410404,0.07581014784628891,0.2328599377387049,-2.4143564358987106,6.928066824157762,0.9758564356410127,0.0586330599118044,0.0586330599118044,0.0595224657962096,0.07504367459343464,3.1266104444932354,3.1266104444932354,1.0312661044449323,-0.07065294773680011,0.08641084813488202,0.11069948579383575,0.2328599377387049,-9.964157086576824,11.026963200208193,0.9003584291342318,1.0292621338864585,-1.888304101009055,-1.1978577209029524,-1.2384220623692705
6MeV_10_two_onaxis,6MeV_10_two_onaxis.csv,6MeV_10_two_onaxis.mcc,field-center,0.5463429931204118,0.5463429931204118,-99.0,100.0,200,1.9020283534873188,1.978957410011173,0.07692905652385429,4.044579902439777,53.929529528040355,52.04160631760226,12.359225778314517,11.364181971335142,8.025723876293796,6.801762830192173,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/6MeV_10_two_onaxis/raw_gy_comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/raw_gy_comparison_results/6MeV_10_two_onaxis/point_by_point_raw_gy_comparison.csv,0.012037622936420867,0.07012882774906323,0.07987476815851759,0.2212008401319845,-3.624101478102046,8.135398419099959,0.9637589852189795,0.06483830633948054,0.06483830633948054,0.06643331745620817,0.08336426334149416,3.504170258992249,3.504170258992249,1.0350417025899223,-0.06760343267343291,0.08378867572864859,0.10577328857110224,0.2212008401319845,-10.153512941878946,11.270405202760676,0.8984648705812107,1.0404457990243978,-1.887923210438096,-0.9950438069793748,-1.223961046101623
