X [mm],Dose [Gy]
-100.0,0.009449066227405925
-99.9,0.009461506722061575
-99.8,0.009473947216717226
-99.7,0.009486387711372876
-99.6,0.009498828206028527
-99.5,0.009516216743877674
-99.4,0.009533605281726825
-99.3,0.009550993819575974
-99.2,0.009568382357425124
-99.1,0.009585770895274275
-99.0,0.009603159433123423
-98.9,0.009620547970972573
-98.8,0.009637936508821724
-98.7,0.009655325046670873
-98.6,0.009672713584520024
-98.5,0.009690102122369173
-98.4,0.009707490660218322
-98.3,0.009724879198067471
-98.2,0.00974226773591662
-98.1,0.009759656273765772
-98.0,0.00977704481161492
-97.9,0.009794433349464069
-97.8,0.009811821887313221
-97.7,0.009829210425162369
-97.6,0.009846598963011521
-97.5,0.009808093491318573
-97.4,0.009769588019625623
-97.3,0.009731082547932668
-97.2,0.00969257707623972
-97.1,0.009654071604546765
-97.0,0.009615566132853815
-96.9,0.009577060661160867
-96.8,0.00953855518946791
-96.7,0.009500049717774963
-96.6,0.009461544246082008
-96.5,0.009423038774389058
-96.4,0.00938453330269611
-96.3,0.009346027831003155
-96.2,0.009307522359310209
-96.1,0.009269016887617252
-96.0,0.009230511415924304
-95.9,0.009192005944231356
-95.8,0.009153500472538401
-95.7,0.009114995000845451
-95.6,0.009076489529152496
-95.5,0.009158680069236967
-95.4,0.009240870609321437
-95.3,0.009323061149405924
-95.2,0.009405251689490395
-95.1,0.009487442229574879
-95.0,0.009569632769659348
-94.9,0.009651823309743821
-94.8,0.009734013849828306
-94.7,0.009816204389912776
-94.6,0.009898394929997258
-94.5,0.009980585470081729
-94.4,0.0100627760101662
-94.3,0.010144966550250684
-94.2,0.010227157090335157
-94.1,0.010309347630419638
-94.0,0.01039153817050411
-93.9,0.010473728710588583
-93.8,0.010555919250673064
-93.7,0.010638109790757536
-93.6,0.010720300330842019
-93.5,0.01074820153766264
-93.4,0.010776102744483268
-93.3,0.010804003951303896
-93.2,0.010831905158124518
-93.1,0.010859806364945145
-93.0,0.010887707571765768
-92.9,0.010915608778586395
-92.8,0.010943509985407024
-92.7,0.010971411192227646
-92.6,0.010999312399048274
-92.5,0.011027213605868896
-92.4,0.01105511481268952
-92.3,0.01108301601951015
-92.2,0.011110917226330772
-92.1,0.0111388184331514
-92.0,0.011166719639972025
-91.9,0.011194620846792647
-91.8,0.011222522053613276
-91.7,0.011250423260433899
-91.6,0.011278324467254528
-91.5,0.011314083693401126
-91.4,0.01134984291954772
-91.3,0.011385602145694321
-91.2,0.01142136137184092
-91.1,0.011457120597987524
-91.0,0.011492879824134118
-90.9,0.011528639050280717
-90.8,0.01156439827642732
-90.7,0.011600157502573915
-90.6,0.011635916728720518
-90.5,0.011671675954867114
-90.4,0.011707435181013711
-90.3,0.011743194407160313
-90.2,0.011778953633306909
-90.1,0.011814712859453513
-90.0,0.011850472085600111
-89.9,0.011886231311746705
-89.8,0.01192199053789331
-89.7,0.011957749764039903
-89.6,0.011993508990186507
-89.5,0.012117785865629725
-89.4,0.012242062741072944
-89.3,0.012366339616516179
-89.2,0.012490616491959398
-89.1,0.012614893367402635
-89.0,0.012739170242845852
-88.9,0.01286344711828907
-88.8,0.012987723993732306
-88.7,0.013112000869175525
-88.6,0.013236277744618762
-88.5,0.013360554620061981
-88.4,0.013484831495505197
-88.3,0.013609108370948433
-88.2,0.013733385246391653
-88.1,0.01385766212183489
-88.0,0.01398193899727811
-87.9,0.014106215872721328
-87.8,0.01423049274816456
-87.7,0.01435476962360778
-87.6,0.014479046499051018
-87.5,0.014539277912447612
-87.4,0.014599509325844208
-87.3,0.014659740739240812
-87.2,0.014719972152637407
-87.1,0.014780203566034012
-87.0,0.014840434979430604
-86.9,0.014900666392827201
-86.8,0.014960897806223807
-86.7,0.015021129219620403
-86.6,0.015081360633017005
-86.5,0.015141592046413603
-86.4,0.015201823459810198
-86.3,0.015262054873206803
-86.2,0.015322286286603396
-86.1,0.015382517700000002
-86.0,0.015442749113396598
-85.9,0.015502980526793192
-85.8,0.015563211940189796
-85.7,0.015623443353586392
-85.6,0.015683674766982996
-85.5,0.015902930415293736
-85.4,0.016122186063604473
-85.3,0.016341441711915244
-85.2,0.016560697360225984
-85.1,0.016779953008536755
-85.0,0.01699920865684749
-84.9,0.01721846430515823
-84.8,0.017437719953469002
-84.7,0.017656975601779742
-84.6,0.017876231250090514
-84.5,0.01809548689840125
-84.4,0.01831474254671199
-84.3,0.018533998195022758
-84.2,0.018753253843333498
-84.1,0.01897250949164427
-84.0,0.019191765139955012
-83.9,0.019411020788265752
-83.8,0.01963027643657652
-83.7,0.019849532084887257
-83.6,0.020068787733198028
-83.5,0.020262716299184167
-83.4,0.020456644865170306
-83.3,0.020650573431156467
-83.2,0.02084450199714261
-83.1,0.021038430563128773
-83.0,0.021232359129114912
-82.9,0.02142628769510105
-82.8,0.021620216261087215
-82.7,0.02181414482707336
-82.6,0.022008073393059522
-82.5,0.022202001959045658
-82.4,0.022395930525031794
-82.3,0.02258985909101796
-82.2,0.0227837876570041
-82.1,0.022977716222990267
-82.0,0.023171644788976407
-81.9,0.023365573354962543
-81.8,0.023559501920948706
-81.7,0.02375343048693485
-81.6,0.023947359052921013
-81.5,0.02422759671157157
-81.4,0.02450783437022213
-81.3,0.024788072028872732
-81.2,0.025068309687523296
-81.1,0.025348547346173894
-81.0,0.02562878500482445
-80.9,0.02590902266347501
-80.8,0.026189260322125613
-80.7,0.02646949798077617
-80.6,0.02674973563942677
-80.5,0.027029973298077336
-80.4,0.027310210956727893
-80.3,0.027590448615378488
-80.2,0.027870686274029045
-80.1,0.028150923932679654
-80.0,0.028431161591330214
-79.9,0.028711399249980774
-79.8,0.028991636908631373
-79.7,0.029271874567281937
-79.6,0.02955211222593253
-79.5,0.02988851786608816
-79.4,0.030224923506243794
-79.3,0.030561329146399474
-79.2,0.030897734786555105
-79.1,0.031234140426710782
-79.0,0.031570546066866406
-78.9,0.03190695170702205
-78.8,0.032243357347177724
-78.7,0.03257976298733335
-78.6,0.032916168627489036
-78.5,0.03325257426764466
-78.4,0.03358897990780029
-78.3,0.033925385547955975
-78.2,0.03426179118811161
-78.1,0.034598196828267286
-78.0,0.03493460246842292
-77.9,0.03527100810857854
-77.8,0.035607413748734225
-77.7,0.03594381938888985
-77.6,0.036280225029045536
-77.5,0.0366878505608099
-77.4,0.037095476092574284
-77.3,0.037503101624338724
-77.2,0.037910727156103094
-77.1,0.03831835268786753
-77.0,0.038725978219631904
-76.9,0.03913360375139629
-76.8,0.03954122928316072
-76.7,0.03994885481492509
-76.6,0.040356480346689524
-76.5,0.04076410587845391
-76.4,0.04117173141021828
-76.3,0.04157935694198271
-76.2,0.04198698247374709
-76.1,0.04239460800551152
-76.0,0.042802233537275906
-75.9,0.04320985906904027
-75.8,0.0436174846008047
-75.7,0.04402511013256909
-75.6,0.04443273566433352
-75.5,0.04489356920828796
-75.4,0.04535440275224241
-75.3,0.045815236296196916
-75.2,0.04627606984015137
-75.1,0.04673690338410588
-75.0,0.047197736928060306
-74.9,0.04765857047201476
-74.8,0.04811940401596927
-74.7,0.04858023755992372
-74.6,0.04904107110387822
-74.5,0.049501904647832676
-74.4,0.04996273819178712
-74.3,0.050423571735741614
-74.2,0.050884405279696066
-74.1,0.05134523882365057
-74.0,0.05180607236760502
-73.9,0.05226690591155946
-73.8,0.05272773945551398
-73.7,0.05318857299946843
-73.6,0.05364940654342293
-73.5,0.054209283923615584
-73.4,0.05476916130380821
-73.3,0.05532903868400094
-73.2,0.055888916064193585
-73.1,0.05644879344438631
-73.0,0.05700867082457896
-72.9,0.05756854820477161
-72.8,0.05812842558496433
-72.7,0.05868830296515698
-72.6,0.05924818034534969
-72.5,0.05980805772554234
-72.4,0.060367935105734995
-72.3,0.06092781248592772
-72.2,0.06148768986612037
-72.1,0.06204756724631309
-72.0,0.06260744462650573
-71.9,0.06316732200669838
-71.8,0.06372719938689109
-71.7,0.06428707676708374
-71.6,0.06484695414727647
-71.5,0.06593921487142328
-71.4,0.06703147559557009
-71.3,0.06812373631971705
-71.2,0.06921599704386386
-71.1,0.07030825776801083
-71.0,0.07140051849215763
-70.9,0.07249277921630447
-70.8,0.07358503994045143
-70.7,0.07467730066459824
-70.6,0.07576956138874522
-70.5,0.07686182211289203
-70.4,0.07795408283703882
-70.3,0.0790463435611858
-70.2,0.0801386042853326
-70.1,0.08123086500947958
-70.0,0.08232312573362639
-69.9,0.0834153864577732
-69.8,0.08450764718192015
-69.7,0.08559990790606697
-69.6,0.08669216863021394
-69.5,0.08783418294251913
-69.4,0.08897619725482435
-69.3,0.09011821156712971
-69.2,0.09126022587943491
-69.1,0.09240224019174027
-69.0,0.09354425450404547
-68.9,0.09468626881635067
-68.8,0.09582828312865604
-68.7,0.09697029744096124
-68.6,0.0981123117532666
-68.5,0.09925432606557179
-68.4,0.100396340377877
-68.3,0.10153835469018235
-68.2,0.10268036900248756
-68.1,0.10382238331479293
-68.0,0.10496439762709812
-67.9,0.10610641193940332
-67.8,0.10724842625170868
-67.69999999999999,0.10839044056401403
-67.6,0.10953245487631924
-67.5,0.1111156970145649
-67.4,0.11269893915281058
-67.3,0.11428218129105647
-67.19999999999999,0.11586542342930234
-67.1,0.11744866556754799
-67.0,0.11903190770579364
-66.9,0.1206151498440393
-66.8,0.12219839198228521
-66.69999999999999,0.12378163412053107
-66.6,0.12536487625877674
-66.5,0.1269481183970224
-66.4,0.12853136053526806
-66.3,0.13011460267351393
-66.19999999999999,0.1316978448117598
-66.1,0.13328108695000548
-66.0,0.13486432908825113
-65.9,0.1364475712264968
-65.8,0.13803081336474268
-65.69999999999999,0.13961405550298855
-65.6,0.14119729764123423
-65.5,0.143453412123725
-65.4,0.14570952660621586
-65.3,0.147965641088707
-65.19999999999999,0.15022175557119816
-65.1,0.15247787005368899
-65.0,0.15473398453617979
-64.9,0.15699009901867061
-64.8,0.15924621350116178
-64.69999999999999,0.16150232798365288
-64.6,0.1637584424661437
-64.5,0.1660145569486345
-64.4,0.16827067143112553
-64.3,0.17052678591361647
-64.2,0.1727829003961075
-64.10000000000001,0.1750390148785983
-64.0,0.17729512936108932
-63.900000000000006,0.17955124384358026
-63.800000000000004,0.18180735832607123
-63.7,0.18406347280856225
-63.60000000000001,0.18631958729105308
-63.50000000000001,0.19010060816063112
-63.400000000000006,0.1938816290302094
-63.300000000000004,0.1976626498997876
-63.2,0.2014436707693658
-63.10000000000001,0.2052246916389438
-63.00000000000001,0.20900571250852198
-62.900000000000006,0.21278673337810022
-62.800000000000004,0.21656775424767846
-62.7,0.22034877511725667
-62.60000000000001,0.22412979598683463
-62.50000000000001,0.22791081685641285
-62.400000000000006,0.23169183772599106
-62.300000000000004,0.2354728585955693
-62.2,0.23925387946514753
-62.10000000000001,0.24303490033472547
-62.00000000000001,0.24681592120430368
-61.900000000000006,0.2505969420738819
-61.800000000000004,0.2543779629434601
-61.7,0.25815898381303837
-61.6,0.2619400046826166
-61.50000000000001,0.2668498555318859
-61.400000000000006,0.2717597063811556
-61.300000000000004,0.2766695572304253
-61.2,0.281579408079695
-61.1,0.2864892589289646
-61.00000000000001,0.29139910977823397
-60.900000000000006,0.2963089606275036
-60.800000000000004,0.3012188114767734
-60.7,0.306128662326043
-60.6,0.3110385131753127
-60.50000000000001,0.31594836402458204
-60.400000000000006,0.32085821487385174
-60.300000000000004,0.32576806572312134
-60.2,0.33067791657239104
-60.1,0.3355877674216607
-60.00000000000001,0.34049761827093006
-59.900000000000006,0.3454074691201997
-59.800000000000004,0.3503173199694694
-59.7,0.3552271708187391
-59.6,0.36013702166800876
-59.50000000000001,0.36767779521189686
-59.400000000000006,0.37521856875578546
-59.300000000000004,0.38275934229967407
-59.2,0.39030011584356267
-59.1,0.3978408893874513
-59.00000000000001,0.40538166293133937
-58.900000000000006,0.412922436475228
-58.800000000000004,0.42046321001911674
-58.7,0.42800398356300523
-58.6,0.4355447571068939
-58.50000000000001,0.44308553065078193
-58.400000000000006,0.4506263041946706
-58.300000000000004,0.45816707773855914
-58.2,0.46570785128244785
-58.1,0.4732486248263364
-58.00000000000001,0.4807893983702245
-57.900000000000006,0.488330171914113
-57.800000000000004,0.4958709454580017
-57.7,0.5034117190018904
-57.6,0.510952492545779
-57.50000000000001,0.5205770633947322
-57.400000000000006,0.5302016342436862
-57.300000000000004,0.53982620509264
-57.2,0.5494507759415941
-57.1,0.5590753467905478
-57.00000000000001,0.568699917639501
-56.900000000000006,0.5783244884884551
-56.800000000000004,0.5879490593374089
-56.7,0.5975736301863629
-56.6,0.6071982010353169
-56.50000000000001,0.6168227718842701
-56.400000000000006,0.626447342733224
-56.300000000000004,0.6360719135821779
-56.2,0.6456964844311318
-56.1,0.6553210552800858
-56.00000000000001,0.664945626129039
-55.900000000000006,0.6745701969779929
-55.800000000000004,0.6841947678269469
-55.7,0.6938193386759008
-55.6,0.7034439095248547
-55.50000000000001,0.7151646114281786
-55.400000000000006,0.7268853133315034
-55.300000000000004,0.7386060152348282
-55.2,0.750326717138153
-55.1,0.7620474190414777
-55.00000000000001,0.7737681209448016
-54.900000000000006,0.7854888228481264
