X [mm],Dose [Gy]
-100.0,0.0009749051286865049
-99.9,0.00097261176069063
-99.8,0.0009703183926947548
-99.7,0.0009680250246988801
-99.6,0.0009657316567030046
-99.5,0.0009563331967785798
-99.4,0.000946934736854155
-99.3,0.0009375362769297287
-99.2,0.0009281378170053037
-99.1,0.0009187393570808777
-99.0,0.0009093408971564527
-98.9,0.000899942437232028
-98.8,0.0008905439773076018
-98.7,0.0008811455173831768
-98.6,0.0008717470574587508
-98.5,0.0008623485975343258
-98.4,0.0008529501376099009
-98.3,0.0008435516776854747
-98.2,0.0008341532177610499
-98.1,0.0008247547578366237
-98.0,0.0008153562979121989
-97.9,0.000805957837987774
-97.8,0.0007965593780633476
-97.7,0.0007871609181389228
-97.6,0.0007777624582144966
-97.5,0.0007914128444095459
-97.4,0.0008050632306045953
-97.3,0.0008187136167996465
-97.2,0.0008323640029946958
-97.1,0.000846014389189747
-97.0,0.0008596647753847963
-96.9,0.0008733151615798455
-96.8,0.000886965547774897
-96.7,0.0009006159339699461
-96.6,0.0009142663201649975
-96.5,0.0009279167063600467
-96.4,0.0009415670925550959
-96.3,0.0009552174787501472
-96.2,0.0009688678649451965
-96.1,0.0009825182511402479
-96.0,0.0009961686373352971
-95.9,0.0010098190235303464
-95.8,0.0010234694097253976
-95.7,0.001037119795920447
-95.6,0.0010507701821154982
-95.5,0.0010647881778572473
-95.4,0.0010788061735989968
-95.3,0.001092824169340748
-95.2,0.0011068421650824974
-95.1,0.0011208601608242489
-95.0,0.001134878156565998
-94.9,0.0011488961523077475
-94.8,0.0011629141480494988
-94.7,0.0011769321437912483
-94.6,0.0011909501395329994
-94.5,0.0012049681352747487
-94.4,0.0012189861310164985
-94.3,0.0012330041267582495
-94.2,0.0012470221224999988
-94.1,0.00126104011824175
-94.0,0.0012750581139834994
-93.9,0.0012890761097252487
-93.8,0.001303094105467
-93.7,0.0013171121012087496
-93.6,0.0013311300969505008
-93.5,0.0013235147738694755
-93.4,0.001315899450788451
-93.3,0.001308284127707425
-93.2,0.0013006688046264
-93.1,0.001293053481545374
-93.0,0.0012854381584643496
-92.9,0.0012778228353833244
-92.8,0.0012702075123022987
-92.7,0.0012625921892212737
-92.6,0.0012549768661402477
-92.5,0.0012473615430592228
-92.4,0.0012397462199781979
-92.3,0.0012321308968971719
-92.2,0.0012245155738161474
-92.1,0.0012169002507351214
-92.0,0.0012092849276540965
-91.9,0.0012016696045730716
-91.8,0.0011940542814920458
-91.7,0.0011864389584110208
-91.6,0.0011788236353299948
-91.5,0.0011871192666143193
-91.4,0.0011954148978986442
-91.3,0.0012037105291829704
-91.2,0.0012120061604672953
-91.1,0.001220301791751621
-91.0,0.0012285974230359458
-90.9,0.0012368930543202707
-90.8,0.0012451886856045965
-90.7,0.0012534843168889212
-90.6,0.001261779948173247
-90.5,0.001270075579457572
-90.4,0.001278371210741897
-90.3,0.0012866668420262227
-90.2,0.0012949624733105476
-90.1,0.0013032581045948734
-90.0,0.0013115537358791985
-89.9,0.001319849367163523
-89.8,0.001328144998447849
-89.7,0.0013364406297321737
-89.6,0.0013447362610164997
-89.5,0.0013966440284285473
-89.4,0.0014485517958405952
-89.3,0.0015004595632526498
-89.2,0.0015523673306646977
-89.1,0.001604275098076753
-89.0,0.0016561828654888002
-88.9,0.001708090632900848
-88.8,0.001759998400312903
-88.7,0.0018119061677249505
-88.6,0.0018638139351370058
-88.5,0.0019157217025490534
-88.4,0.0019676294699611007
-88.3,0.002019537237373156
-88.2,0.002071445004785204
-88.1,0.002123352772197259
-88.0,0.002175260539609306
-87.9,0.002227168307021354
-87.8,0.0022790760744334088
-87.7,0.0023309838418454566
-87.6,0.0023828916092575115
-87.5,0.002373663226383911
-87.4,0.0023644348435103114
-87.3,0.002355206460636711
-87.2,0.002345978077763111
-87.1,0.0023367496948895096
-87.0,0.0023275213120159096
-86.9,0.0023182929291423095
-86.8,0.0023090645462687086
-86.7,0.0022998361633951086
-86.6,0.0022906077805215077
-86.5,0.0022813793976479073
-86.4,0.0022721510147743077
-86.3,0.002262922631900706
-86.2,0.0022536942490271063
-86.1,0.002244465866153506
-86.0,0.002235237483279906
-85.9,0.002226009100406306
-85.8,0.002216780717532704
-85.7,0.002207552334659105
-85.6,0.0021983239517855036
-85.5,0.0022691544939681743
-85.4,0.0023399850361508455
-85.3,0.002410815578333527
-85.2,0.0024816461205161987
-85.1,0.00255247666269888
-85.0,0.0026233072048815506
-84.9,0.002694137747064222
-84.8,0.002764968289246903
-84.7,0.002835798831429575
-84.6,0.002906629373612256
-84.5,0.002977459915794927
-84.4,0.0030482904579775985
-84.3,0.0031191210001602796
-84.2,0.0031899515423429513
-84.1,0.0032607820845256324
-84.0,0.003331612626708303
-83.9,0.003402443168890975
-83.8,0.0034732737110736564
-83.7,0.0035441042532563275
-83.6,0.003614934795439009
-83.5,0.0037148050247261272
-83.4,0.003814675254013246
-83.3,0.003914545483300379
-83.2,0.004014415712587498
-83.1,0.004114285941874631
-83.0,0.004214156171161749
-82.9,0.004314026400448868
-82.8,0.004413896629736002
-82.7,0.00451376685902312
-82.6,0.004613637088310253
-82.5,0.004713507317597372
-82.4,0.004813377546884489
-82.3,0.0049132477761716226
-82.2,0.0050131180054587415
-82.1,0.005112988234745875
-82.0,0.005212858464032995
-81.9,0.005312728693320112
-81.8,0.005412598922607245
-81.7,0.005512469151894364
-81.6,0.005612339381181497
-81.5,0.0057787607709356105
-81.4,0.005945182160689728
-81.3,0.006111603550443867
-81.2,0.006278024940197983
-81.1,0.0064444463299521216
-81.0,0.006610867719706237
-80.9,0.006777289109460352
-80.8,0.006943710499214491
-80.7,0.007110131888968608
-80.6,0.007276553278722747
-80.5,0.007442974668476862
-80.4,0.0076093960582309765
-80.3,0.007775817447985116
-80.2,0.007942238837739233
-80.1,0.008108660227493372
-80.0,0.008275081617247488
-79.9,0.008441503007001602
-79.8,0.008607924396755742
-79.7,0.008774345786509858
-79.6,0.008940767176263997
-79.5,0.00900171113843429
-79.4,0.00906265510060459
-79.3,0.009123599062774894
-79.2,0.00918454302494519
-79.1,0.0092454869871155
-79.0,0.009306430949285795
-78.9,0.009367374911456092
-78.8,0.009428318873626398
-78.7,0.009489262835796694
-78.6,0.009550206797967
-78.5,0.009611150760137297
-78.4,0.009672094722307593
-78.3,0.009733038684477899
-78.2,0.009793982646648196
-78.1,0.009854926608818503
-78.0,0.009915870570988802
-77.9,0.009976814533159097
-77.8,0.010037758495329402
-77.7,0.0100987024574997
-77.6,0.010159646419670005
-77.5,0.010214352441849876
-77.4,0.010269058464029753
-77.3,0.010323764486209632
-77.2,0.010378470508389505
-77.1,0.010433176530569386
-77.0,0.010487882552749257
-76.9,0.010542588574929132
-76.8,0.010597294597109012
-76.7,0.010652000619288886
-76.6,0.010706706641468767
-76.5,0.010761412663648637
-76.4,0.010816118685828513
-76.3,0.010870824708008393
-76.2,0.010925530730188265
-76.1,0.010980236752368146
-76.0,0.01103494277454802
-75.9,0.011089648796727894
-75.8,0.011144354818907772
-75.7,0.011199060841087646
-75.6,0.011253766863267525
-75.5,0.011276809631464045
-75.4,0.011299852399660571
-75.3,0.011322895167857098
-75.2,0.011345937936053617
-75.1,0.011368980704250145
-75.0,0.011392023472446666
-74.9,0.01141506624064319
-74.8,0.011438109008839714
-74.7,0.011461151777036237
-74.6,0.011484194545232763
-74.5,0.011507237313429284
-74.4,0.011530280081625807
-74.3,0.011553322849822332
-74.2,0.011576365618018853
-74.1,0.011599408386215378
-74.0,0.011622451154411902
-73.9,0.011645493922608424
-73.8,0.011668536690804948
-73.7,0.011691579459001471
-73.6,0.011714622227197997
-73.5,0.011812435498733643
-73.4,0.01191024877026929
-73.3,0.012008062041804947
-73.2,0.012105875313340593
-73.1,0.01220368858487625
-73.0,0.012301501856411897
-72.9,0.012399315127947544
-72.8,0.012497128399483207
-72.7,0.012594941671018847
-72.6,0.012692754942554507
-72.5,0.012790568214090154
-72.4,0.012888381485625797
-72.3,0.012986194757161456
-72.2,0.013084008028697103
-72.1,0.01318182130023276
-72.0,0.013279634571768409
-71.9,0.013377447843304054
-71.8,0.013475261114839713
-71.7,0.013573074386375358
-71.6,0.013670887657911017
-71.5,0.013697705654593691
-71.4,0.013724523651276365
-71.3,0.013751341647959043
-71.2,0.013778159644641713
-71.1,0.01380497764132439
-71.0,0.013831795638007065
-70.9,0.01385861363468974
-70.8,0.01388543163137242
-70.7,0.013912249628055092
-70.6,0.01393906762473777
-70.5,0.013965885621420444
-70.4,0.01399270361810312
-70.3,0.014019521614785794
-70.2,0.014046339611468466
-70.1,0.014073157608151143
-70.0,0.014099975604833821
-69.9,0.014126793601516493
-69.8,0.01415361159819917
-69.7,0.014180429594881845
-69.6,0.014207247591564522
-69.5,0.014215021569392894
-69.4,0.014222795547221268
-69.3,0.014230569525049643
-69.2,0.014238343502878016
-69.1,0.01424611748070639
-69.0,0.014253891458534763
-68.9,0.014261665436363136
-68.8,0.014269439414191513
-68.7,0.014277213392019886
-68.6,0.014284987369848259
-68.5,0.014292761347676633
-68.4,0.014300535325505006
-68.3,0.01430830930333338
-68.2,0.014316083281161756
-68.1,0.014323857258990127
-68.0,0.014331631236818503
-67.9,0.014339405214646878
-67.8,0.01434717919247525
-67.69999999999999,0.014354953170303624
-67.6,0.014362727148131998
-67.5,0.014494326231053616
-67.4,0.014625925313975236
-67.3,0.014757524396896872
-67.19999999999999,0.01488912347981851
-67.1,0.015020722562740129
-67.0,0.015152321645661746
-66.9,0.015283920728583363
-66.8,0.015415519811505005
-66.69999999999999,0.01554711889442664
-66.6,0.01567871797734826
-66.5,0.015810317060269877
-66.4,0.0159419161431915
-66.3,0.016073515226113135
-66.19999999999999,0.01620511430903477
-66.1,0.01633671339195639
-66.0,0.01646831247487801
-65.9,0.01659991155779963
-65.8,0.016731510640721266
-65.69999999999999,0.0168631097236429
-65.6,0.01699470880656452
-65.5,0.01708471456690379
-65.4,0.017174720327243063
-65.3,0.017264726087582345
-65.19999999999999,0.017354731847921627
-65.1,0.0174447376082609
-65.0,0.017534743368600166
-64.9,0.017624749128939434
-64.8,0.017714754889278723
-64.69999999999999,0.017804760649618005
-64.6,0.017894766409957272
-64.5,0.017984772170296547
-64.4,0.01807477793063582
-64.3,0.018164783690975097
-64.2,0.01825478945131437
-64.10000000000001,0.018344795211653643
-64.0,0.01843480097199292
-63.900000000000006,0.018524806732332193
-63.800000000000004,0.01861481249267147
-63.7,0.018704818253010746
-63.60000000000001,0.018794824013350017
-63.50000000000001,0.018946755320416012
-63.400000000000006,0.019098686627482014
-63.300000000000004,0.019250617934548016
-63.2,0.01940254924161402
-63.10000000000001,0.01955448054868001
-63.00000000000001,0.01970641185574601
-62.900000000000006,0.01985834316281201
-62.800000000000004,0.020010274469878013
-62.7,0.020162205776944015
-62.60000000000001,0.020314137084010003
-62.50000000000001,0.020466068391076005
-62.400000000000006,0.020617999698142007
-62.300000000000004,0.020769931005208006
-62.2,0.020921862312274008
-62.10000000000001,0.021073793619339996
-62.00000000000001,0.021225724926406
-61.900000000000006,0.021377656233472
-61.800000000000004,0.021529587540538
-61.7,0.021681518847604
-61.6,0.021833450154670003
-61.50000000000001,0.022028834943116367
-61.400000000000006,0.022224219731562744
-61.300000000000004,0.022419604520009125
-61.2,0.022614989308455506
-61.1,0.022810374096901884
-61.00000000000001,0.02300575888534825
-60.900000000000006,0.023201143673794628
-60.800000000000004,0.023396528462241002
-60.7,0.02359191325068738
-60.6,0.02378729803913376
-60.50000000000001,0.023982682827580128
-60.400000000000006,0.02417806761602651
-60.300000000000004,0.024373452404472883
-60.2,0.024568837192919264
-60.1,0.02476422198136564
-60.00000000000001,0.024959606769812008
-59.900000000000006,0.025154991558258382
-59.800000000000004,0.025350376346704763
-59.7,0.02554576113515114
-59.6,0.02574114592359752
-59.50000000000001,0.025882225099236288
-59.400000000000006,0.026023304274875064
-59.300000000000004,0.02616438345051384
-59.2,0.026305462626152614
-59.1,0.026446541801791387
-59.00000000000001,0.026587620977430157
-58.900000000000006,0.026728700153068937
-58.800000000000004,0.026869779328707714
-58.7,0.02701085850434649
-58.6,0.027151937679985264
-58.50000000000001,0.027293016855624026
-58.400000000000006,0.027434096031262803
-58.300000000000004,0.02757517520690158
-58.2,0.02771625438254036
-58.1,0.02785733355817914
-58.00000000000001,0.027998412733817906
-57.900000000000006,0.028139491909456676
-57.800000000000004,0.02828057108509545
-57.7,0.028421650260734233
-57.6,0.02856272943637301
-57.50000000000001,0.028866137463785038
-57.400000000000006,0.029169545491197095
-57.300000000000004,0.029472953518609152
-57.2,0.02977636154602121
-57.1,0.030079769573433265
-57.00000000000001,0.030383177600845294
-56.900000000000006,0.030686585628257348
-56.800000000000004,0.03098999365566941
-56.7,0.03129340168308146
-56.6,0.031596809710493515
-56.50000000000001,0.03190021773790555
-56.400000000000006,0.0322036257653176
-56.300000000000004,0.03250703379272966
-56.2,0.032810441820141714
-56.1,0.033113849847553764
-56.00000000000001,0.03341725787496581
-55.900000000000006,0.03372066590237786
-55.800000000000004,0.03402407392978991
-55.7,0.03432748195720197
-55.6,0.03463088998461402
-55.50000000000001,0.03500594540609484
-55.400000000000006,0.0353810008275757
-55.300000000000004,0.035756056249056554
-55.2,0.036131111670537404
-55.1,0.03650616709201827
-55.00000000000001,0.03688122251349909
-54.900000000000006,0.03725627793497994
-54.800000000000004,0.0376313333564608
-54.7,0.03800638877794165
-54.6,0.03838144419942251
-54.50000000000001,0.038756499620903336
-54.400000000000006,0.039131555042384185
