x_aligned_mm,mcc_dose_gy,csv_dose_gy,mcc_relative,csv_relative,difference_percent_points,abs_difference_percent_points,region
-99.0,0.0077694800000000005,0.0006868139740019042,0.004423867861748178,0.00037097433411975583,-0.40528935276284217,0.40528935276284217,tail
-98.0,0.00789016,0.0007872598669061543,0.0044925819035573815,0.0004252289789664478,-0.4067352924590934,0.4067352924590934,tail
-97.0,0.00801084,0.0008676891334744298,0.004561295945366584,0.0004686718830690712,-0.4092624062297513,0.4092624062297513,tail
-96.0,0.008131520000000001,0.0009068732113786801,0.004630009987175788,0.0004898366929868519,-0.4140173294188936,0.4140173294188936,tail
-95.0,0.008252200000000001,0.0008875443535671704,0.004698724028984992,0.00047939644216589183,-0.42193275868191005,0.42193275868191005,tail
-94.0,0.0084545,0.0007476468728331695,0.00481391172088093,0.0004038324951222292,-0.44100792257587007,0.44100792257587007,tail
-93.0,0.008656800000000001,0.0007360412880534526,0.004929099412776868,0.00039756387763816806,-0.45315355351387004,0.45315355351387004,tail
-92.0,0.0088591,0.000988787116138455,0.0050442871046728075,0.0005340815066098816,-0.45102055980629263,0.45102055980629263,tail
-91.0,0.0090614,0.0012476807173921118,0.005159474796568746,0.000673919781555456,-0.44855550150132895,0.44855550150132895,tail
-90.0,0.0092637,0.0015192420909241097,0.005274662488464684,0.0008206004018283334,-0.44540620866363506,0.44540620866363506,tail
-89.0,0.00949936,0.001640312129063913,0.005408845046409305,0.0008859949314694012,-0.4522850114939904,0.4522850114939904,tail
-88.0,0.00973502,0.0014512877778511623,0.005543027604353926,0.0007838956942989957,-0.47591319100549306,0.47591319100549306,tail
-87.0,0.009970679999999999,0.0014564737428318876,0.005677210162298548,0.0007866968311108796,-0.48905133311876686,0.48905133311876686,tail
-86.0,0.01020634,0.0018618390885658885,0.005811392720243169,0.0010056500628464915,-0.48057426573966777,0.48057426573966777,tail
-85.0,0.010442,0.0021675923605597894,0.00594557527818779,0.0011707990271606036,-0.47747762510271863,0.47747762510271863,tail
-84.0,0.0107916,0.002268090326006784,0.006144634186179981,0.0012250817983669824,-0.4919552387812999,0.4919552387812999,tail
-83.0,0.0111412,0.002912531104652036,0.006343693094172171,0.001573168759010093,-0.4770524335162078,0.4770524335162078,tail
-82.0,0.011490799999999999,0.004677791324907287,0.0065427520021643605,0.0025266529039839254,-0.40160990981804345,0.40160990981804345,tail
-81.0,0.0118404,0.006405167077327758,0.006741810910156551,0.0034596742078384962,-0.3282136702318055,0.3282136702318055,tail
-80.0,0.01219,0.008054480123423264,0.006940869818148741,0.004350530876734127,-0.2590338941414614,0.2590338941414614,tail
-79.0,0.0126903,0.009319424903133536,0.007225735869832073,0.0050337756345788165,-0.21919602352532566,0.21919602352532566,tail
-78.0,0.0131906,0.00979236100978229,0.007510601921515405,0.005289226402743771,-0.22213755187716344,0.22213755187716344,tail
-77.0,0.013690899999999999,0.010337292918036275,0.007795467973198737,0.005583564840016989,-0.2211903133181748,0.2211903133181748,tail
-76.0,0.0141912,0.011030575520877018,0.00808033402488207,0.005958033126454245,-0.2122300898427825,0.2122300898427825,tail
-75.0,0.0146915,0.011499484419688169,0.008365200076565401,0.0062113086465863,-0.21538914299791015,0.21538914299791015,tail
-74.0,0.015137399999999999,0.011506060875528423,0.008619091286730498,0.00621486084036592,-0.24042304463645775,0.24042304463645775,tail
-73.0,0.0155833,0.011987901097945572,0.008872982496895594,0.006475121059915299,-0.2397861436980295,0.2397861436980295,tail
