profile,csv_file,mcc_file,alignment_method,csv_shift_mm,field_center_shift_mm,common_x_min_mm,common_x_max_mm,n_points,mcc_norm_dose_gy,csv_norm_dose_gy,mcc_fwhm_mm,csv_fwhm_mm,mcc_left_penumbra_mm,csv_left_penumbra_mm,mcc_right_penumbra_mm,csv_right_penumbra_mm,comparison_svg,point_csv,profile_ge10_mean_diff_percent_points,profile_ge10_mean_abs_diff_percent_points,profile_ge10_rms_diff_percent_points,profile_ge10_max_abs_diff_percent_points,high_dose_ge80_mean_diff_percent_points,high_dose_ge80_mean_abs_diff_percent_points,high_dose_ge80_rms_diff_percent_points,high_dose_ge80_max_abs_diff_percent_points,penumbra_20_80_mean_diff_percent_points,penumbra_20_80_mean_abs_diff_percent_points,penumbra_20_80_rms_diff_percent_points,penumbra_20_80_max_abs_diff_percent_points,csv_to_mcc_norm_dose_ratio,fwhm_diff_mm,left_penumbra_diff_mm,right_penumbra_diff_mm,left_50_position_diff_mm,right_50_position_diff_mm,left_80_position_diff_mm,right_80_position_diff_mm
12MeV_10_one2cm_two5mmin,12MeV_10_one2cm_two5mmin.csv,12MeV_10_one2cm_two5mmin.mcc,field-center,0.5045110867165548,0.5045110867165548,-99.0,100.0,200,1.9058930720186018,2.01057654051846,69.7297774169021,67.93703462425651,12.719735919431592,12.245794583905472,10.933414636105933,10.07561468230874,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/12MeV_10_one2cm_two5mmin/comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/12MeV_10_one2cm_two5mmin/point_by_point_comparison.csv,-1.6880747325768681,1.8683163418710063,2.636638480450228,8.246734416152785,-0.5935213497144975,0.8621366487013872,1.0705241200236888,2.8165345152579846,-4.255649246016109,4.255649246016109,4.62644399977195,8.246734416152785,1.054926202333578,-1.7927427926455834,-0.4739413355261206,-0.8577999537971941,0.6406394893624068,-1.1521033032831802,0.40753525790998424,-0.40753525718241335
12MeV_10_one2cm_two5mmout,12MeV_10_one2cm_two5mmout.csv,12MeV_10_one2cm_two5mmout.mcc,field-center,0.3335512083614329,0.3335512083614329,-99.0,100.0,200,1.9099237610032118,1.9994664565911195,74.3421313475555,73.5567834418916,12.75233406916184,12.052747195323583,10.701247084370282,9.95353113693502,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/12MeV_10_one2cm_two5mmout/comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/12MeV_10_one2cm_two5mmout/point_by_point_comparison.csv,-0.7120669567118392,0.9055834877584333,1.3690729904658396,4.1378141140224365,-0.15774984369457914,0.3448655091145242,0.4448992954966897,1.2186906647657425,-1.7821156519054673,2.064736451630045,2.3786480061054736,4.1378141140224365,1.0468828638169694,-0.7853479056638974,-0.6995868738382569,-0.7477159474352622,0.3377914613147013,-0.4475564443492104,-0.039299866108173376,0.03929986660967444
12MeV_10_one_2cmoff,12MeV_10_one_2cmoff.csv,12MeV_10_one_2cmoff.mcc,field-center,0.5195390417251389,0.5195390417251389,-99.0,100.0,200,1.9133792961467362,1.9956786575264251,74.61677043131715,73.63063991646018,12.75834579032464,11.85653971868728,10.91571370353514,10.029574680072665,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/12MeV_10_one_2cmoff/comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/12MeV_10_one_2cmoff/point_by_point_comparison.csv,-0.8612190362936646,1.075631095237399,1.6320329829519407,4.91878941507461,-0.1020269967292956,0.40032377634796473,0.5053359611994487,1.1884871509609818,-2.47440395966034,2.5522674615134875,2.9139612188347876,4.91878941507461,1.0430125702443984,-0.986130514856967,-0.9018060716373597,-0.8861390234624746,0.49527825724933194,-0.4908522576076457,-0.028092896986727567,0.028092898865711646
12MeV_10_one_onaxis,12MeV_10_one_onaxis.csv,12MeV_10_one_onaxis.mcc,field-center,0.6280825136777572,0.6280825136777572,-99.0,100.0,200,1.888386847474462,1.9637326365652774,54.4985858411443,53.20001423681603,12.551861871812186,11.71348536242143,10.743187668211473,9.986826037000913,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/12MeV_10_one_onaxis/comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/12MeV_10_one_onaxis/point_by_point_comparison.csv,-1.0226617019663127,1.561675033106833,2.176348960832996,5.136629869644987,0.39095656245728144,0.5491829686017657,0.638112883554566,1.3099826778986134,-3.1639481883676943,3.1639481883676943,3.518550136059826,5.136629869644987,1.0398995519332193,-1.2985716043282665,-0.8383765093907556,-0.7563616312105594,0.6768106440354202,-0.621760960292839,0.06584913097295697,-0.06584913095713674
12MeV_10_two_2cmoff,12MeV_10_two_2cmoff.csv,12MeV_10_two_2cmoff.mcc,field-center,0.492908551789526,0.492908551789526,-99.0,100.0,200,1.9140743938881628,2.0001456602684575,74.59491192342841,73.41232676564886,12.761259493456954,12.121786034812558,10.750188617505696,9.987041141944289,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/12MeV_10_two_2cmoff/comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/12MeV_10_two_2cmoff/point_by_point_comparison.csv,-1.040645392168169,1.1780540061361284,1.753862922610378,4.70282171987057,-0.24554837453351286,0.45275184004075275,0.5748141496503315,1.7575849901788176,-2.7348352862234058,2.7348352862234058,3.0822642953890407,4.70282171987057,1.0449675658663682,-1.182585157779556,-0.639473458644396,-0.7631474755614072,0.5756464075262571,-0.6069387502533026,0.17011874133177685,-0.17011873997989468
12MeV_10_two_onaxis,12MeV_10_two_onaxis.csv,12MeV_10_two_onaxis.mcc,field-center,0.6759274434341691,0.6759274434341691,-99.0,100.0,200,1.8882303175424342,1.9896617760109445,54.46050655467437,52.91627615416077,12.52272332252609,11.842681229527557,10.540299880146936,9.756691850115875,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/12MeV_10_two_onaxis/comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/12MeV_10_two_onaxis/point_by_point_comparison.csv,-2.0546176364669773,2.0909027633561226,2.715937828001813,6.088222179062496,-0.8639611245729615,0.9272491365889128,1.1915150903973284,3.200381086970361,-3.9952668539801857,3.9952668539801857,4.241489712874546,6.088222179062496,1.0537177364043837,-1.544230400513598,-0.6800420929985336,-0.7836080300310613,0.7859217524736408,-0.7583086480399575,0.35403172997684607,-0.3540317257073138
6MeV_10_one_2cmoff,6MeV_10_one_2cmoff.csv,6MeV_10_one_2cmoff.mcc,field-center,0.4755630172684615,0.4755630172684615,-99.0,100.0,200,1.9296707606279218,1.9907461463710305,74.36360002331057,72.40093465723304,12.563736671242133,11.615634032782182,8.01275013478443,6.694014080406358,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/6MeV_10_one_2cmoff/comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/6MeV_10_one_2cmoff/point_by_point_comparison.csv,-1.784031963478725,1.823441516748174,3.538763402004081,13.850791822954944,-0.3498051229901452,0.39706963084175495,0.511936570627323,1.649962309609998,-5.489443717852135,5.518050879675291,6.952298790493206,13.850791822954944,1.0316506768870948,-1.9626653660775304,-0.9481026384599502,-1.3187360543780713,0.5917170043648312,-1.3709483617126992,0.02183345800012404,-0.021833457301482895
6MeV_10_one_onaxis,6MeV_10_one_onaxis.csv,6MeV_10_one_onaxis.mcc,field-center,0.39101273465234243,0.39101273465234243,-99.0,100.0,200,1.9011349050418662,1.97457918860559,54.03997257636676,52.27920446285515,12.35597522775312,11.534752028997971,7.959974115479218,6.582349695592825,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/6MeV_10_one_onaxis/comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/6MeV_10_one_onaxis/point_by_point_comparison.csv,-2.2326755947416785,2.2371081822510743,3.9417493783636197,14.095910419618408,-0.5836254309256713,0.5910474379181483,0.8674256897293003,3.5323900898118987,-5.077400107188644,5.077400107188644,6.789757238576384,14.095910419618408,1.038631810593213,-1.7607681135116096,-0.821223198755149,-1.3776244198863932,0.4171158757017537,-1.3436522378098568,0.11025540605089645,-0.11025540606364936
6MeV_10_two_2cmoff,6MeV_10_two_2cmoff.csv,6MeV_10_two_2cmoff.mcc,field-center,0.5640057492812733,0.5640057492812733,-99.0,100.0,200,1.9286853213634547,1.9851227694620392,74.2793934474305,72.39108934642144,12.562222122427876,11.364364401524924,8.0043736172437,6.76595155487443,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/6MeV_10_two_2cmoff/comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/6MeV_10_two_2cmoff/point_by_point_comparison.csv,-1.3729097197354379,1.800308170855193,3.3540840617809913,12.77997117794457,0.19588276602805801,0.4007531123513805,0.49760931097358874,1.3267674399970453,-5.033531708088357,5.139761303334873,6.4430793359539695,12.77997117794457,1.0292621338864585,-1.888304101009055,-1.1978577209029524,-1.2384220623692705,0.6476947063743594,-1.240609394634685,-0.07423493869720232,0.07423493865805142
6MeV_10_two_onaxis,6MeV_10_two_onaxis.csv,6MeV_10_two_onaxis.mcc,field-center,0.5463429931204118,0.5463429931204118,-99.0,100.0,200,1.9020283534873188,1.978957410011173,53.929529528040355,52.04160631760226,12.359225778314517,11.364181971335142,8.025723876293796,6.801762830192173,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/6MeV_10_two_onaxis/comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/6MeV_10_two_onaxis/point_by_point_comparison.csv,-2.271168636635022,2.302449714497785,3.8046274535616704,12.527552146314031,-0.4786828391616577,0.5310604579086105,0.7601773747216165,2.63823480386568,-5.398421787325843,5.398421787325843,6.54496267136869,12.527552146314031,1.0404457990243978,-1.887923210438096,-0.9950438069793748,-1.223961046101623,0.6958957514889477,-1.1920274589491475,0.16756348546263666,-0.16756348711859648
9MeV_10_one_2cmoff,9MeV_10_one_2cmoff.csv,9MeV_10_one_2cmoff.mcc,field-center,0.9695009008413962,0.9695009008413962,-99.0,100.0,200,1.912286549819645,1.9937808385147122,75.28904140194138,73.23514548616903,12.728550394330114,11.684719780128724,10.493174030748268,8.82814925316272,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/9MeV_10_one_2cmoff/comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/9MeV_10_one_2cmoff/point_by_point_comparison.csv,-1.8430249786714332,1.9808945768187345,3.187515108379151,8.967876687652431,-0.2641806274268108,0.4688308121767113,0.6321681046072356,2.013289880702973,-5.523814381967388,5.523814381967388,5.921997916463387,8.967876687652431,1.0426161490822352,-2.053895915772344,-1.04383061420139,-1.665024777585547,0.9631539974692629,-1.0907419183030918,0.24253852954029043,-0.2425385265019493
9MeV_10_one_onaxis,9MeV_10_one_onaxis.csv,9MeV_10_one_onaxis.mcc,field-center,0.8298982252309308,0.8298982252309308,-99.0,100.0,200,1.8892639898325234,1.9724930310726354,54.51397041614871,52.802711661858474,12.590803861644972,11.597705994912346,10.080047547846203,8.915956637858915,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/9MeV_10_one_onaxis/comparison.svg,/Users/parkernew/Code/work/RS Project/Octavius_Raystation_comparison_copper/comparison_results/9MeV_10_one_onaxis/point_by_point_comparison.csv,-1.6543503964604782,1.9602294883192406,2.8517685212369037,6.907897755824327,0.05032557385671425,0.476071002830458,0.6108685205207811,1.7392909412511925,-4.327415968551506,4.327415968551506,4.6765253076292215,6.907897755824327,1.0440536852912174,-1.7112587542902347,-0.9930978667326258,-1.1640909099872871,0.813013334045479,-0.8982454202447616,0.16403526633224175,-0.1640352640251579
