x_aligned_mm,mcc_dose_gy,csv_dose_gy,dose_difference_gy,dose_difference_percent_of_mcc,dose_ratio_csv_to_mcc,mcc_relative,csv_relative,region
-99.0,0.0154045,0.007377148342162228,-0.008027351657837772,-52.110433041239716,0.4788956695876029,0.00810279163206504,0.003736061022385144,tail
-98.0,0.015389,0.007664244293199729,-0.007724755706800271,-50.196606061474235,0.4980339393852576,0.00809463860728027,0.0038814570402780713,tail
-97.0,0.0153735,0.007995318137317648,-0.007378181862682352,-47.99285694657919,0.5200714305342081,0.008086485582495499,0.004049125091287824,tail
-96.0,0.015358,0.008492847451398899,-0.006865152548601101,-44.7008239914123,0.552991760085877,0.008078332557710729,0.004301092354465857,tail
-95.0,0.0153425,0.008890088490039484,-0.006452411509960516,-42.055802574290475,0.5794419742570952,0.008070179532925957,0.004502269922290377,tail
-94.0,0.0156836,0.008907740356689483,-0.006775859643310516,-43.20347141798131,0.5679652858201869,0.008249598678350826,0.004511209481033758,tail
-93.0,0.0160247,0.009019346995364124,-0.007005353004635876,-43.715969750671626,0.5628403024932838,0.008429017823775694,0.004567731214534584,tail
-92.0,0.0163658,0.009486570618782875,-0.0068792293812171244,-42.03417725511203,0.5796582274488797,0.008608436969200562,0.004804350554044941,tail
-91.0,0.0167069,0.010010104624561868,-0.006696795375438132,-40.084009453807305,0.599159905461927,0.00878785611462543,0.005069487555791982,tail
-90.0,0.017048,0.010746772332368119,-0.006301227667631882,-36.96168270548968,0.6303831729451032,0.0089672752600503,0.005442563354451885,tail
-89.0,0.0179321,0.011435687930589203,-0.006496412069410797,-36.22783761751717,0.6377216238248283,0.00943231327374167,0.00579145571703552,tail
-88.0,0.0188162,0.011943862722782953,-0.006872337277217049,-36.52351312813984,0.6347648687186016,0.009897351287433038,0.0060488142444251524,tail
-87.0,0.0197003,0.012583358959890356,-0.007116941040109645,-36.1260541215598,0.6387394587844021,0.010362389301124408,0.00637267881303686,tail
-86.0,0.020584400000000003,0.013719904311865361,-0.006864495688134641,-33.34804846453936,0.6665195153546064,0.010827427314815776,0.006948267454167841,tail
-85.0,0.0214685,0.014650044529425804,-0.006818455470574197,-31.760278876373278,0.6823972112362673,0.011292465328507147,0.007419324894116496,tail
-84.0,0.0227148,0.014798945327694565,-0.007915854672305435,-34.84888562657578,0.6515111437342422,0.011948021121362654,0.007494733770664977,tail
-83.0,0.0239611,0.015099493577116206,-0.008861606422883793,-36.98330386703363,0.6301669613296638,0.012603576914218161,0.007646942530463506,tail
-82.0,0.0252074,0.015974024479691176,-0.009233375520308826,-36.62962273105844,0.6337037726894156,0.013259132707073667,0.008089837354647564,tail
-81.0,0.0264537,0.017099481052297263,-0.009354218947702737,-35.36072060884767,0.6463927939115233,0.013914688499929174,0.008659810227399688,tail
-80.0,0.0277,0.019174686405603537,-0.008525313594396462,-30.777305394933077,0.6922269460506693,0.014570244292784681,0.00971077104238313,tail
-79.0,0.0298741,0.021239629462829118,-0.008634470537170882,-28.902864143759583,0.7109713585624041,0.015713824369208623,0.01075653465072127,tail
-78.0,0.0320482,0.02326572992898537,-0.008782470071014629,-27.40394178460765,0.7259605821539235,0.016857404445632565,0.011782626932989801,tail
-77.0,0.0342223,0.025477811747933895,-0.008744488252066102,-25.552017988463966,0.7444798201153604,0.018000984522056507,0.012902907057339059,tail
-76.0,0.0363964,0.028393829369965165,-0.008002570630034837,-21.987258712495844,0.7801274128750416,0.01914456459848045,0.01437968633206164,tail
-75.0,0.0385705,0.031358561679632094,-0.007211938320367907,-18.698068006294722,0.8130193199370528,0.02028814467490439,0.015881136528019882,tail
-74.0,0.043502,0.03450767813452583,-0.008994321865474171,-20.67565138493442,0.7932434861506558,0.02288212156045918,0.0174759656810191,tail
-73.0,0.048433500000000004,0.03824002865169827,-0.010193471348301737,-21.04632402841367,0.7895367597158632,0.02547609844601397,0.019366166154471953,tail
-72.0,0.053365,0.044179908751010744,-0.00918509124898926,-17.211826569829025,0.8278817343017097,0.02807007533156876,0.022374341331030514,tail
-71.0,0.0582965,0.05002538595919264,-0.00827111404080736,-14.188011357126689,0.8581198864287332,0.03066405221712355,0.025334707388727017,tail
-70.0,0.063228,0.055513550060530124,-0.007714449939469882,-12.201002624580694,0.8779899737541931,0.03325802910267834,0.028114116861391987,tail
-69.0,0.0760564,0.06194972866661489,-0.014106671333385105,-18.54764534396199,0.8145235465603801,0.0400057880155144,0.03137363597474285,tail
-68.0,0.0888848,0.07197412373480236,-0.01691067626519764,-19.025385966101787,0.8097461403389822,0.04675354692835046,0.03645036074021883,tail
-67.0,0.10171319999999999,0.08294176811279347,-0.01877143188720652,-18.455256433979585,0.8154474356602042,0.05350130584118652,0.04200478187525381,tail
-66.0,0.1145416,0.09747959278270596,-0.017062007217294034,-14.895904385213786,0.8510409561478621,0.060249064754022585,0.04936727447813535,tail
-65.0,0.12736999999999998,0.11327094837707768,-0.014099051622922298,-11.069366116763995,0.8893063388323601,0.06699682366685865,0.05736460154685792,tail
-64.0,0.162854,0.133806894140034,-0.029047105859966005,-17.836286403751828,0.8216371359624817,0.08566146440639553,0.06776476472160424,tail
-63.0,0.198338,0.15707190845542846,-0.04126609154457153,-20.80594315994491,0.7919405684005509,0.10432610514593244,0.0795470292413796,low_dose
-62.0,0.23382199999999997,0.19066639416290337,-0.0431556058370966,-18.456606237692178,0.8154339376230783,0.12299074588546932,0.09656052047097101,low_dose
-61.0,0.269306,0.22778332389656433,-0.04152267610343566,-15.418399925525485,0.8458160007447452,0.1416553866250062,0.11535790775624481,low_dose
-60.0,0.30479,0.2782326357597205,-0.02655736424027949,-8.713331881058922,0.9128666811894107,0.1603200273645431,0.1409073069164692,low_dose
-59.0,0.386423,0.33321098856724446,-0.05321201143275556,-13.770404823924961,0.8622959517607504,0.20325911589713846,0.16875038007594503,penumbra_or_shoulder
-58.0,0.468056,0.40533167326181946,-0.06272432673818057,-13.401030376318339,0.8659896962368167,0.24619820442973384,0.20527496471187712,penumbra_or_shoulder
-57.0,0.549689,0.48257282181396954,-0.06711617818603044,-12.20984560106359,0.877901543989364,0.2891372929623292,0.24439274180477574,penumbra_or_shoulder
-56.0,0.6313219999999999,0.5791948264768071,-0.05212717352319285,-8.256828294149871,0.9174317170585012,0.3320763814949246,0.2933257019111112,penumbra_or_shoulder
-55.0,0.712955,0.6806532030934276,-0.03230179690657242,-4.5306922465755095,0.9546930775342449,0.37501547002751995,0.3447079798172551,penumbra_or_shoulder
-54.0,0.825784,0.8004171534903152,-0.025366846509684793,-3.0718500854563415,0.9692814991454366,0.43436370444306516,0.40536087795777614,penumbra_or_shoulder
-53.0,0.9386129999999999,0.9214554366870051,-0.017157563312994784,-1.827969920829435,0.9817203007917057,0.4937119388586104,0.4666591454038971,penumbra_or_shoulder
-52.0,1.051442,1.0473170447458677,-0.0041249552541322565,-0.3923141033107158,0.9960768589668928,0.5530601732741557,0.5304001231196318,penumbra_or_shoulder
-51.0,1.1642709999999998,1.1707913658000566,0.006520365800056771,0.5600384961969139,1.0056003849619692,0.6124084076897008,0.592932090318873,penumbra_or_shoulder
-50.0,1.2771,1.285229851972988,0.00812985197298799,0.6365869527044077,1.006365869527044,0.6717566421052461,0.6508879762277818,penumbra_or_shoulder
-49.0,1.35143,1.3927802135169607,0.041350213516960777,3.059737723519589,1.030597377235196,0.7108543409602167,0.7053554608263218,penumbra_or_shoulder
-48.0,1.42576,1.4742591573105979,0.04849915731059795,3.4016354302686254,1.0340163543026863,0.7499520398151873,0.746619414312622,penumbra_or_shoulder
-47.0,1.5000900000000001,1.5529908302875814,0.0529008302875813,3.5265104285463735,1.0352651042854637,0.7890497386701579,0.7864920481534468,penumbra_or_shoulder
-46.0,1.5744200000000002,1.62132413665645,0.04690413665644977,2.9791375018387574,1.0297913750183876,0.8281474375251285,0.8210985641965558,high_dose
-45.0,1.6487500000000002,1.6833352394951349,0.0345852394951347,2.097664260508549,1.0209766426050855,0.8672451363800991,0.8525032823241058,high_dose
-44.0,1.67846,1.7214169249354911,0.04295692493549108,2.559305847949375,1.0255930584794937,0.882872643886909,0.871789257614491,high_dose
-43.0,1.70817,1.7594741446336004,0.051304144633600446,3.0034566017199955,1.0300345660172,0.8985001513937189,0.8910628425472809,high_dose
-42.0,1.73788,1.7974387619731504,0.059558761973150354,3.4270928932463893,1.0342709289324639,0.9141276589005286,0.9102895302175585,high_dose
-41.0,1.76759,1.8303461078369525,0.06275610783695251,3.5503769447073426,1.0355037694470735,0.9297551664073385,0.9269550283924081,high_dose
-40.0,1.7973,1.8441117795262276,0.046811779526227726,2.6045612600137833,1.0260456126001378,0.9453826739141483,0.9339264741408038,high_dose
-39.0,1.80876,1.8596353459388142,0.050875345938814265,2.812719539287372,1.0281271953928737,0.9514106522388889,0.941788182854319,high_dose
-38.0,1.82022,1.881812509689039,0.061592509689039066,3.3837947989275508,1.0338379479892754,0.9574386305636294,0.9530195195756819,high_dose
-37.0,1.83168,1.9006939187119383,0.0690139187119383,3.76779343072689,1.0376779343072688,0.9634666088883699,0.9625817640943395,high_dose
-36.0,1.84314,1.9071009601925444,0.06396096019254438,3.470217139910391,1.0347021713991038,0.9694945872131104,0.965826527088692,high_dose
-35.0,1.8546,1.9138787566034383,0.05927875660343829,3.1963095332383418,1.0319630953323835,0.975522565537851,0.9692590541050841,high_dose
-34.0,1.86028,1.922059853214488,0.06177985321448798,3.3209975495349076,1.033209975495349,0.9785102546202704,0.9734022642929858,high_dose
-33.0,1.86596,1.929356064397936,0.06339606439793588,3.397503933521398,1.033975039335214,0.9814979437026897,0.9770973357419057,high_dose
-32.0,1.87164,1.9333030014484485,0.061663001448448496,3.2945973289974835,1.0329459732899748,0.9844856327851091,0.979096210779832,high_dose
-31.0,1.87732,1.9387458532972377,0.0614258532972376,3.2719969582829562,1.0327199695828295,0.9874733218675285,0.9818526724503478,high_dose
-30.0,1.883,1.9498507135627747,0.06685071356277472,3.55022376860195,1.0355022376860195,0.9904610109499479,0.987476584790566,high_dose
-29.0,1.88661,1.9580982603951753,0.07148826039517542,3.7892442208604544,1.0378924422086044,0.992359876722401,0.991653447830546,high_dose
-28.0,1.89022,1.9555309314563443,0.06531093145634426,3.455202646059414,1.034552026460594,0.9942587424948541,0.9903532574134456,high_dose
-27.0,1.89383,1.9556046517623107,0.061774651762310784,3.261890019817554,1.0326189001981756,0.9961576082673074,0.9903905921055115,high_dose
-26.0,1.89744,1.9656746920928674,0.06823469209286737,3.596144915932381,1.0359614491593239,0.9980564740397605,0.9954904333216381,high_dose
-25.0,1.90105,1.9744407866903666,0.0733907866903667,3.8605395276487573,1.0386053952764875,0.9999553398122136,0.9999299081464942,high_dose
-24.0,1.9034,1.978271472049279,0.07487147204927891,3.933564781405848,1.0393356478140585,1.0011914435699047,1.0018699090241585,high_dose
-23.0,1.90575,1.9811837874890401,0.07543378748904006,3.958220516281782,1.0395822051628179,1.0024275473275959,1.0033448133767247,high_dose
-22.0,1.9081,1.9806200906466087,0.0725200906466088,3.8006441301089464,1.0380064413010894,1.0036636510852872,1.0030593364276692,high_dose
-21.0,1.91045,1.9800439412094384,0.0695939412094384,3.642803591271083,1.036428035912711,1.0048997548429783,1.0027675530236433,high_dose
-20.0,1.9128,1.9794206589433758,0.06662065894337577,3.482886812179829,1.0348288681217983,1.0061358586006695,1.0024518998102097,high_dose
-19.0,1.91259,1.978681679131581,0.0660916791315811,3.4556114552298762,1.0345561145522988,1.0060253982648757,1.0020776530764959,high_dose
-18.0,1.91238,1.9775047863594435,0.06512478635944352,3.4054312615402544,1.0340543126154025,1.005914937929082,1.0014816310081336,high_dose
-17.0,1.9121700000000001,1.977500802529724,0.0653308025297239,3.416579202148548,1.0341657920214855,1.0058044775932884,1.0014796134492825,high_dose
-16.0,1.91196,1.9819362562346179,0.06997625623461778,3.659922604793917,1.036599226047939,1.0056940172574946,1.0037258914058662,high_dose
-15.0,1.91175,1.9840571270620229,0.0723071270620228,3.7822480482292558,1.0378224804822926,1.0055835569217009,1.0047999789074684,high_dose
-14.0,1.9059000000000001,1.9774173467155105,0.07151734671551035,3.7524186324314157,1.037524186324314,1.0025064475674486,1.0014373483354317,high_dose
-13.0,1.90005,1.9702569449737484,0.07020694497374835,3.69500513006228,1.036950051300623,0.9994293382131962,0.9978110558154449,high_dose
-12.0,1.8942,1.9611260013767666,0.06692600137676652,3.5332067034508774,1.0353320670345088,0.9963522288589438,0.9931868079505468,high_dose
-11.0,1.88835,1.9509724736108882,0.06262247361088824,3.31625353408469,1.033162535340847,0.9932751195046915,0.9880446856064697,high_dose
-10.0,1.8825,1.9369484846544385,0.05444848465443841,2.8923497824402875,1.0289234978244028,0.9901980101504392,0.9809424184310757,high_dose
-9.0,1.85366,1.9188748504919053,0.06521485049190523,3.5181667885105803,1.0351816678851058,0.9750281240347746,0.97178926100552,high_dose
-8.0,1.82482,1.8854733879877432,0.06065338798774311,3.32380114135877,1.0332380114135877,0.95985823791911,0.954873523871802,high_dose
-7.0,1.79598,1.848189263938401,0.052209263938401085,2.9070069788305597,1.0290700697883055,0.9446883518034452,0.9359914631955364,high_dose
-6.0,1.76714,1.7962093414562073,0.02906934145620732,1.6449936878915832,1.016449936878916,0.9295184656877806,0.9096669061546506,high_dose
-5.0,1.7383,1.7357038367803905,-0.0025961632196094264,-0.1493507000868335,0.9985064929991316,0.914348579572116,0.879024678673997,high_dose
-4.0,1.617,1.6429291693196406,0.02592916931964062,1.6035355176030068,1.0160353551760302,0.8505445856112935,0.8320401525551607,high_dose
-3.0,1.4957,1.5317799246814994,0.03607992468149934,2.412243409874931,1.0241224340987494,0.786740591650471,0.7757500603271389,penumbra_or_shoulder
-2.0,1.3743999999999998,1.3510832628024552,-0.02331673719754468,-1.6965029974930648,0.9830349700250693,0.7229365976896487,0.6842385813640446,penumbra_or_shoulder
-1.0,1.2530999999999999,1.1625068309883946,-0.0905931690116053,-7.229524300662781,0.9277047569933722,0.6591326037288262,0.5887364951969005,penumbra_or_shoulder
0.0,1.1318,0.9441056232275314,-0.18769437677246847,-16.583705316528405,0.8341629468347159,0.5953286097680037,0.4781300383775648,penumbra_or_shoulder
1.0,0.9736459999999999,0.7363108143390775,-0.23733518566092238,-24.375921604045246,0.7562407839595475,0.5121393528769904,0.3728950545959345,penumbra_or_shoulder
2.0,0.8154919999999999,0.5686610188940087,-0.24683098110599122,-30.267737893932896,0.697322621060671,0.4289500959859771,0.28799099178979304,penumbra_or_shoulder
3.0,0.657338,0.41788461983236835,-0.23945338016763162,-36.42774039651315,0.6357225960348685,0.3457608390949638,0.2116322415650853,penumbra_or_shoulder
4.0,0.49918399999999996,0.3309736979036309,-0.16821030209636906,-33.697054011420455,0.6630294598857954,0.2625715822039505,0.16761733325942638,penumbra_or_shoulder
5.0,0.34103,0.25227362094483147,-0.08875637905516853,-26.025973977412114,0.7397402602258789,0.17938232531293719,0.12776070081189414,low_dose
6.0,0.29541,0.20465143250078155,-0.09075856749921846,-30.722916454831743,0.6927708354516826,0.15538613236575896,0.10364306161116917,low_dose
7.0,0.24979,0.1610515201770425,-0.08873847982295752,-35.525233125008015,0.6447476687499198,0.1313899394185807,0.08156245194236753,low_dose
8.0,0.20417,0.13267584473759883,-0.07149415526240116,-35.01697372895193,0.6498302627104806,0.10739374647140248,0.0671919594327802,low_dose
9.0,0.15855,0.10670028092097689,-0.05184971907902311,-32.702440289513156,0.6729755971048684,0.08339755352422425,0.054036972301083855,tail
10.0,0.11293,0.0898090929158707,-0.023120907084129297,-20.473662520259715,0.7952633747974028,0.059401360577046,0.04548264938378702,tail
11.0,0.10089100000000001,0.07423543036542685,-0.026655569634573162,-26.420165955906036,0.7357983404409396,0.053068827326474347,0.03759557013150255,tail
12.0,0.088852,0.06364857603572688,-0.025203423964273122,-28.36562369364012,0.7163437630635988,0.0467362940759027,0.03223399517376373,tail
13.0,0.076813,0.05364380392659793,-0.02316919607340208,-30.16311831773538,0.6983688168226462,0.04040376082533104,0.02716720820119661,tail
14.0,0.064774,0.04584220170114795,-0.018931798298852047,-29.22746518487672,0.7077253481512328,0.03407122757475939,0.023216188019038547,tail
15.0,0.052735000000000004,0.03881271823429427,-0.013922281765705737,-26.400458453978832,0.7359954154602117,0.027738694324187737,0.0196561973600578,tail
16.0,0.048909400000000006,0.03470568925143802,-0.014203710748561985,-29.04086075184317,0.7095913924815683,0.025726422606986397,0.01757624584099183,tail
17.0,0.0450838,0.030918828470362803,-0.014164971529637197,-31.419204968607787,0.6858079503139222,0.023714150889785058,0.015658439351929506,tail
18.0,0.0412582,0.028343798105931576,-0.012914401894068426,-31.30141861270832,0.6869858138729168,0.02170187917258372,0.014354348647798432,tail
19.0,0.037432599999999996,0.026124743846759797,-0.0113078561532402,-30.208577959426275,0.6979142204057373,0.01968960745538238,0.013230537421600493,tail
20.0,0.033607,0.02525305222245353,-0.008353947777546469,-24.857761113894334,0.7514223888610566,0.01767733573818104,0.012789080513041746,tail
21.0,0.0322702,0.024450293760780503,-0.007819906239219496,-24.23259304007876,0.7576740695992124,0.01697417680061445,0.012382533909945051,tail
22.0,0.0309334,0.023908445978961752,-0.0070249540210382475,-22.709931727641475,0.7729006827235853,0.016271017863047858,0.01210812213403578,tail
23.0,0.029596599999999997,0.02341331206657416,-0.006183287933425836,-20.891886005236536,0.7910811399476346,0.015567858925481268,0.011857367990953148,tail
24.0,0.028259799999999998,0.023094989241424172,-0.005164810758575826,-18.27617590561797,0.8172382409438204,0.014864699987914677,0.011696157527991274,tail
25.0,0.026923,0.022905012107511915,-0.004017987892488084,-14.923997669234796,0.850760023307652,0.014161541050348087,0.011599946074427634,tail
26.0,0.026311599999999997,0.02320082091868065,-0.003110779081319348,-11.822842705572251,0.8817715729442774,0.013839943672708788,0.011749754607240964,tail
27.0,0.0257002,0.02325253597921134,-0.002447664020788661,-9.523910400653152,0.9047608959934685,0.01351834629506949,0.011775945028384421,tail
28.0,0.025088799999999998,0.022380360941067597,-0.0027084390589324006,-10.795410936084629,0.8920458906391537,0.013196748917430192,0.011334243301162401,tail
