x_aligned_mm,mcc_dose_gy,csv_dose_gy,dose_difference_gy,dose_difference_percent_of_mcc,dose_ratio_csv_to_mcc,mcc_relative,csv_relative,region
-99.0,0.0154254,0.007450797199414425,-0.007974602800585574,-51.69786715797045,0.48302132842029544,0.008109973740253627,0.0037650113952540083,tail
-98.0,0.0154358,0.008019156117986925,-0.007416643882013074,-48.04832844435063,0.5195167155564937,0.008115441587239678,0.004052212582958847,tail
-97.0,0.0154462,0.008560083868384338,-0.006886116131615662,-44.58129592790242,0.5541870407209759,0.00812090943422573,0.004325552346442872,tail
-96.0,0.0154566,0.00861721098760109,-0.0068393890123989096,-44.24898756776335,0.5575101243223665,0.008126377281211782,0.004354419627228075,tail
-95.0,0.015467,0.008690661729819627,-0.006776338270180373,-43.81158770401741,0.5618841229598259,0.008131845128197833,0.004391535505440998,tail
-94.0,0.0157896,0.009052010495957871,-0.00673758950404213,-42.67105882379623,0.5732894117620377,0.008301453535669006,0.004574131029887483,tail
-93.0,0.0161122,0.009408019395632747,-0.006704180604367253,-41.6093432577007,0.583906567422993,0.008471061943140177,0.004754028231249115,tail
-92.0,0.0164348,0.00966984963150051,-0.00676495036849949,-41.16235286404149,0.5883764713595852,0.00864067035061135,0.004886335391849546,tail
-91.0,0.016757400000000002,0.009962690807268861,-0.006794709192731141,-40.5475144875168,0.594524855124832,0.008810278758082522,0.005034312894693683,tail
-90.0,0.01708,0.010802468672049106,-0.006277531327950895,-36.75369629947831,0.632463037005217,0.008979887165553695,0.005458666577361115,tail
-89.0,0.017985900000000003,0.011642012885116603,-0.006343887114883399,-35.27144660474815,0.6472855339525184,0.009456168183309847,0.005882902191943015,tail
-88.0,0.0188918,0.012477436207473854,-0.0064143637925261465,-33.953163766957864,0.6604683623304213,0.009932449201066,0.0063050554521046544,tail
-87.0,0.0197977,0.013304285745076,-0.0064934142549240015,-32.79883145478516,0.6720116854521484,0.010408730218822155,0.006722876236634564,tail
-86.0,0.0207036,0.013979920341715748,-0.0067236796582842515,-32.47589626096067,0.6752410373903933,0.010885011236578307,0.007064285603618331,tail
-85.0,0.0216095,0.014636192354860513,-0.006973307645139487,-32.2696390251486,0.677303609748514,0.01136129225433446,0.0073959107360364465,tail
-84.0,0.022854,0.014950968517140756,-0.007903031482859244,-34.58051755867351,0.6541948244132649,0.012015593751848018,0.007554972351353607,tail
-83.0,0.0240985,0.015341028738865782,-0.008757471261134216,-36.34031687090158,0.6365968312909842,0.012669895249361575,0.007752076250483414,tail
-82.0,0.025343,0.017058866007661794,-0.008284133992338207,-32.68805584318434,0.6731194415681566,0.013324196746875135,0.008620127912487757,tail
-81.0,0.0265875,0.018808938921264028,-0.007778561078735972,-29.256459158386356,0.7074354084161364,0.013978498244388692,0.009504468780436176,tail
-80.0,0.027832,0.021127548515631034,-0.006704451484368965,-24.089003608684123,0.7591099639131588,0.01463279974190225,0.010676100662273348,tail
-79.0,0.0300029,0.02336558680356115,-0.00663731319643885,-22.122238838375125,0.7787776116162487,0.015774160224788697,0.011807018526704538,tail
-78.0,0.0321738,0.024182597424699394,-0.007991202575300609,-24.837608785100326,0.7516239121489967,0.016915520707675144,0.012219867543568236,tail
-77.0,0.0343447,0.025103681068419717,-0.009241018931580282,-26.906681181027295,0.7309331881897271,0.01805688119056159,0.012685306384778631,tail
-76.0,0.036515599999999995,0.027860289677489963,-0.008655310322510032,-23.7030483478569,0.7629695165214311,0.019198241673448038,0.014078266432895423,tail
-75.0,0.0386865,0.030697229775770562,-0.007989270224229437,-20.65131305294983,0.7934868694705016,0.020339602156334485,0.015511819314796293,tail
-74.0,0.043614799999999995,0.034950967909613544,-0.008663832090386452,-19.86443154705846,0.8013556845294154,0.022930678146849605,0.017661303741456576,tail
-73.0,0.0485431,0.039207732619771146,-0.009335367380228853,-19.231090268707298,0.807689097312927,0.025521754137364728,0.01981231754732396,tail
-72.0,0.053471399999999995,0.043517876738416894,-0.009953523261583101,-18.614667395248865,0.8138533260475114,0.028112830127879847,0.021990304853590152,tail
-71.0,0.0583997,0.04787709770912423,-0.010522602290875767,-18.018247167152857,0.8198175283284714,0.03070390611839497,0.024193091507135528,tail
-70.0,0.063328,0.05310188196361898,-0.010226118036381016,-16.147861982663304,0.838521380173367,0.03329498210891009,0.026833261643220085,tail
-69.0,0.0762294,0.05857565108533173,-0.017653748914668276,-23.15871424236354,0.7684128575763646,0.040077951446010465,0.02959924796208778,tail
-68.0,0.0891308,0.06844074015177425,-0.02069005984822575,-23.213142761229285,0.7678685723877071,0.04686092078311085,0.03458424107843121,tail
-67.0,0.1020322,0.07861562832179524,-0.023416571678204767,-22.950178157684306,0.7704982184231569,0.05364389012021122,0.039725780819786,tail
-66.0,0.1149336,0.09425441073408117,-0.02067918926591883,-17.99229230261545,0.8200770769738455,0.060426859457311605,0.047628316939650056,tail
-65.0,0.127835,0.11018945453561614,-0.017645545464383863,-13.803375808177622,0.8619662419182238,0.06720982879441198,0.055680558852953796,tail
-64.0,0.163406,0.13134962933406283,-0.03205637066593717,-19.617621547517942,0.8038237845248206,0.08591144275026154,0.06637314611703606,tail
-63.0,0.19897700000000001,0.15319784937581388,-0.04577915062418614,-23.007257433867295,0.769927425661327,0.1046130567061111,0.07741341405369048,low_dose
-62.0,0.23454800000000003,0.18718105108755878,-0.047366948912441253,-20.1949916061707,0.798050083938293,0.12331467066196067,0.09458568948510215,low_dose
-61.0,0.270119,0.22198203289035637,-0.04813696710964363,-17.82065204952026,0.8217934795047974,0.14201628461781024,0.1121712027592868,low_dose
-60.0,0.30569,0.271206116242924,-0.034483883757076006,-11.280671188810889,0.8871932881118911,0.16071789857365978,0.13704494845161566,low_dose
-59.0,0.38746400000000003,0.3214930257471599,-0.06597097425284015,-17.02634935189854,0.8297365064810146,0.20371094851956073,0.16245575782519986,penumbra_or_shoulder
-58.0,0.46923800000000004,0.39052488842765765,-0.0787131115723424,-16.77466692218925,0.8322533307781075,0.24670399846546165,0.1973387029210764,penumbra_or_shoulder
-57.0,0.5510120000000001,0.46098329016734424,-0.09002870983265582,-16.338792954174465,0.8366120704582554,0.28969704841136257,0.23294250186250423,penumbra_or_shoulder
-56.0,0.6327860000000001,0.5566014114214914,-0.07618458857850863,-12.039550271104073,0.8796044972889593,0.3326900983572635,0.28125992434488467,penumbra_or_shoulder
-55.0,0.7145600000000001,0.6533226266483712,-0.06123737335162893,-8.569941411725948,0.9143005858827405,0.37568314830316446,0.3301347585063402,penumbra_or_shoulder
-54.0,0.8274680000000001,0.7694989943810796,-0.05796900561892049,-7.0055888105546655,0.9299441118944534,0.43504503940903894,0.388840603889871,penumbra_or_shoulder
-53.0,0.940376,0.8864391363433993,-0.053936863656600664,-5.735669950806982,0.9426433004919301,0.4944069305149134,0.4479323970587091,penumbra_or_shoulder
-52.0,1.0532839999999999,1.0168498841511133,-0.03643411584888656,-3.4590970572881163,0.9654090294271188,0.5537688216207879,0.5138311107692672,penumbra_or_shoulder
-51.0,1.166192,1.1466587462098072,-0.01953325379019266,-1.6749603658910936,0.983250396341089,0.6131307127266623,0.5794256816286578,penumbra_or_shoulder
-50.0,1.2791,1.2658522125472582,-0.013247787452741688,-1.035711629484926,0.9896428837051507,0.6724926038325368,0.6396561169753074,penumbra_or_shoulder
-49.0,1.3532,1.3832687882773742,0.030068788277374248,2.22205056734956,1.0222205056734956,0.7114510136081533,0.6989886600285977,penumbra_or_shoulder
-48.0,1.4273,1.4693465310463674,0.04204653104636735,2.9458790055606636,1.0294587900556067,0.7504094233837697,0.7424851710366377,penumbra_or_shoulder
-47.0,1.5013999999999998,1.5543195620330665,0.05291956203306669,3.5246810998445914,1.0352468109984458,0.7893678331593862,0.7854234528595999,penumbra_or_shoulder
-46.0,1.5755,1.6198089073766675,0.044308907376667594,2.8123711441870896,1.0281237114418709,0.8283262429350027,0.8185163051930068,high_dose
-45.0,1.6496,1.6837762786296373,0.03417627862963735,2.0717918664911097,1.0207179186649111,0.867284652710619,0.8508400787766982,high_dose
-44.0,1.67924,1.7209007527450282,0.04166075274502812,2.480929036053698,1.024809290360537,0.8828680166208657,0.869599691251219,high_dose
-43.0,1.70888,1.7578593400441263,0.048979340044126296,2.866166146489297,1.028661661464893,0.8984513805311123,0.8882754783662582,high_dose
-42.0,1.73852,1.7918921989923737,0.053372198992373665,3.0699790046921325,1.0306997900469212,0.9140347444413588,0.9054728464228327,high_dose
-41.0,1.76816,1.8253642377557402,0.05720423775574024,3.2352410277203556,1.0323524102772035,0.9296181083516054,0.9223868227388654,high_dose
-40.0,1.7978,1.8489451498382288,0.05114514983822871,2.8448742818015744,1.0284487428180158,0.945201472261852,0.9343026487001505,high_dose
-39.0,1.8092700000000002,1.8720858155336404,0.06281581553364024,3.4718873100001786,1.0347188731000019,0.9512318765820453,0.9459960108606231,high_dose
-38.0,1.82074,1.887461901952534,0.06672190195253402,3.664548587526721,1.0366454858752672,0.9572622809022385,0.9537658023382511,high_dose
-37.0,1.8322100000000001,1.902901031494179,0.07069103149417888,3.85823849308643,1.0385823849308642,0.9632926852224318,0.9615674505513666,high_dose
