crossplane_x_mm,directly_measured_at_y_-130_mm,directly_measured_at_y_-125_mm,directly_measured_at_y_-120_mm,directly_measured_at_y_-115_mm,directly_measured_at_y_-110_mm,directly_measured_at_y_-105_mm,directly_measured_at_y_-100_mm,directly_measured_at_y_-95_mm,directly_measured_at_y_-90_mm,directly_measured_at_y_-85_mm,directly_measured_at_y_-80_mm,directly_measured_at_y_-75_mm,directly_measured_at_y_-70_mm,directly_measured_at_y_-65_mm,directly_measured_at_y_-60_mm,directly_measured_at_y_-55_mm,directly_measured_at_y_-50_mm,directly_measured_at_y_-45_mm,directly_measured_at_y_-40_mm,directly_measured_at_y_-35_mm,directly_measured_at_y_-30_mm,directly_measured_at_y_-25_mm,directly_measured_at_y_-20_mm,directly_measured_at_y_-15_mm,directly_measured_at_y_-10_mm,directly_measured_at_y_-5_mm,directly_measured_at_y_0_mm,directly_measured_at_y_5_mm,directly_measured_at_y_10_mm,directly_measured_at_y_15_mm,directly_measured_at_y_20_mm,directly_measured_at_y_25_mm,directly_measured_at_y_30_mm,directly_measured_at_y_35_mm,directly_measured_at_y_40_mm,directly_measured_at_y_45_mm,directly_measured_at_y_50_mm,directly_measured_at_y_55_mm,directly_measured_at_y_60_mm,directly_measured_at_y_65_mm,directly_measured_at_y_70_mm,directly_measured_at_y_75_mm,directly_measured_at_y_80_mm,directly_measured_at_y_85_mm,directly_measured_at_y_90_mm,directly_measured_at_y_95_mm,directly_measured_at_y_100_mm,directly_measured_at_y_105_mm,directly_measured_at_y_110_mm,directly_measured_at_y_115_mm,directly_measured_at_y_120_mm,directly_measured_at_y_125_mm,directly_measured_at_y_130_mm
-125,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
-120,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
-115,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
-110,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
-105,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
-100,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
-95,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
-90,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
-85,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
-80,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
