scan_number,inplane_y_mm,crossplane_x_mm,dose_gy
1,-130.0,-130.0,0.0041094
1,-130.0,-120.0,0.0047785
1,-130.0,-110.0,0.0054387
1,-130.0,-100.0,0.0058919
1,-130.0,-90.0,0.0065613
1,-130.0,-80.0,0.0069547
1,-130.0,-70.0,0.0075637
1,-130.0,-60.0,0.0078665
1,-130.0,-50.0,0.0081589
1,-130.0,-40.0,0.0089503
1,-130.0,-30.0,0.0093937
1,-130.0,-20.0,0.0095447
1,-130.0,-10.0,0.0099783
1,-130.0,0.0,0.0099807
1,-130.0,10.0,0.0098716
1,-130.0,20.0,0.0095463
1,-130.0,30.0,0.0095007
1,-130.0,40.0,0.0091335
1,-130.0,50.0,0.008564
1,-130.0,60.0,0.0081685
1,-130.0,70.0,0.0077619
1,-130.0,80.0,0.0073243
1,-130.0,90.0,0.0067396
1,-130.0,100.0,0.0062223
1,-130.0,110.0,0.00545
1,-130.0,120.0,0.0048986
1,-130.0,130.0,0.0045242
2,-125.0,-125.0,0.004525
2,-125.0,-115.0,0.0052798
2,-125.0,-105.0,0.005948
2,-125.0,-95.0,0.0065076
2,-125.0,-85.0,0.0071625
2,-125.0,-75.0,0.0074603
2,-125.0,-65.0,0.0075062
2,-125.0,-55.0,0.0082822
2,-125.0,-45.0,0.0087521
2,-125.0,-35.0,0.0092664
2,-125.0,-25.0,0.0095686
2,-125.0,-15.0,0.010008
2,-125.0,-5.0,0.010028
2,-125.0,5.0,0.010274
2,-125.0,15.0,0.010073
2,-125.0,25.0,0.0096349
2,-125.0,35.0,0.0092609
2,-125.0,45.0,0.0087933
2,-125.0,55.0,0.0084249
2,-125.0,65.0,0.0079935
2,-125.0,75.0,0.0076257
2,-125.0,85.0,0.0072509
2,-125.0,95.0,0.0066632
2,-125.0,105.0,0.0058813
2,-125.0,115.0,0.005113
2,-125.0,125.0,0.0046408
3,-120.0,-130.0,0.0046926
3,-120.0,-120.0,0.0050963
3,-120.0,-110.0,0.0058593
3,-120.0,-100.0,0.0068792
3,-120.0,-90.0,0.0075108
3,-120.0,-80.0,0.0077173
3,-120.0,-70.0,0.0080079
3,-120.0,-60.0,0.0085894
3,-120.0,-50.0,0.0088624
3,-120.0,-40.0,0.0094246
3,-120.0,-30.0,0.01028
3,-120.0,-20.0,0.010557
3,-120.0,-10.0,0.010934
3,-120.0,0.0,0.01072
3,-120.0,10.0,0.010824
3,-120.0,20.0,0.010432
3,-120.0,30.0,0.010043
3,-120.0,40.0,0.0093979
3,-120.0,50.0,0.0089629
3,-120.0,60.0,0.0085648
3,-120.0,70.0,0.0081005
3,-120.0,80.0,0.0078943
3,-120.0,90.0,0.0074892
3,-120.0,100.0,0.0067161
3,-120.0,110.0,0.0059906
3,-120.0,120.0,0.0052648
3,-120.0,130.0,0.0047367
4,-115.0,-125.0,0.0050251
4,-115.0,-115.0,0.0058233
4,-115.0,-105.0,0.0067309
4,-115.0,-95.0,0.0078419
4,-115.0,-85.0,0.0081598
4,-115.0,-75.0,0.0085398
4,-115.0,-65.0,0.0086307
4,-115.0,-55.0,0.0092646
4,-115.0,-45.0,0.0098936
4,-115.0,-35.0,0.010533
4,-115.0,-25.0,0.011226
4,-115.0,-15.0,0.01149
4,-115.0,-5.0,0.011637
4,-115.0,5.0,0.011682
4,-115.0,15.0,0.011566
4,-115.0,25.0,0.011189
4,-115.0,35.0,0.010739
4,-115.0,45.0,0.0097916
4,-115.0,55.0,0.0092757
4,-115.0,65.0,0.0087866
4,-115.0,75.0,0.0086382
4,-115.0,85.0,0.008196
4,-115.0,95.0,0.0076148
4,-115.0,105.0,0.0066554
4,-115.0,115.0,0.0059118
4,-115.0,125.0,0.0051314
5,-110.0,-130.0,0.0050932
5,-110.0,-120.0,0.005789
5,-110.0,-110.0,0.0069035
5,-110.0,-100.0,0.007837
5,-110.0,-90.0,0.0087029
5,-110.0,-80.0,0.0093141
5,-110.0,-70.0,0.0094305
5,-110.0,-60.0,0.0096748
5,-110.0,-50.0,0.010173
5,-110.0,-40.0,0.011072
5,-110.0,-30.0,0.011689
5,-110.0,-20.0,0.012243
5,-110.0,-10.0,0.012517
5,-110.0,0.0,0.012674
5,-110.0,10.0,0.012618
5,-110.0,20.0,0.012374
5,-110.0,30.0,0.011611
5,-110.0,40.0,0.01115
5,-110.0,50.0,0.01011
5,-110.0,60.0,0.0096461
5,-110.0,70.0,0.0095335
5,-110.0,80.0,0.0090732
5,-110.0,90.0,0.008582
5,-110.0,100.0,0.0077343
5,-110.0,110.0,0.0066956
5,-110.0,120.0,0.0060347
5,-110.0,130.0,0.0052737
6,-105.0,-125.0,0.0057254
6,-105.0,-115.0,0.0066913
6,-105.0,-105.0,0.007883
6,-105.0,-95.0,0.0090748
6,-105.0,-85.0,0.010016
6,-105.0,-75.0,0.010191
6,-105.0,-65.0,0.010542
6,-105.0,-55.0,0.010774
6,-105.0,-45.0,0.011661
6,-105.0,-35.0,0.012583
6,-105.0,-25.0,0.013292
6,-105.0,-15.0,0.013611
6,-105.0,-5.0,0.013822
6,-105.0,5.0,0.013896
6,-105.0,15.0,0.013517
6,-105.0,25.0,0.013314
6,-105.0,35.0,0.012326
6,-105.0,45.0,0.011678
6,-105.0,55.0,0.010847
6,-105.0,65.0,0.010364
6,-105.0,75.0,0.0099854
6,-105.0,85.0,0.0095747
6,-105.0,95.0,0.0088552
6,-105.0,105.0,0.0077653
6,-105.0,115.0,0.0065915
6,-105.0,125.0,0.0058153
7,-100.0,-130.0,0.0057355
7,-100.0,-120.0,0.0065358
7,-100.0,-110.0,0.0080176
7,-100.0,-100.0,0.0094313
7,-100.0,-90.0,0.010521
7,-100.0,-80.0,0.011192
7,-100.0,-70.0,0.011372
7,-100.0,-60.0,0.011598
7,-100.0,-50.0,0.012495
7,-100.0,-40.0,0.013609
7,-100.0,-30.0,0.0144
7,-100.0,-20.0,0.014867
7,-100.0,-10.0,0.01525
7,-100.0,0.0,0.01543
7,-100.0,10.0,0.015608
7,-100.0,20.0,0.015182
7,-100.0,30.0,0.014391
7,-100.0,40.0,0.01367
7,-100.0,50.0,0.012542
7,-100.0,60.0,0.01182
7,-100.0,70.0,0.011026
7,-100.0,80.0,0.01067
7,-100.0,90.0,0.0099719
7,-100.0,100.0,0.0089664
7,-100.0,110.0,0.0077922
