crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
-125,0.0044464,0.004624,0.00480675,0.0049895,0.00540845,0.0058274,0.00614125,0.0064551,0.0067679,0.0070807,0.00752725,0.0079738,0.0082933,0.0086128,0.009,0.0093872,0.0097651,0.010143,0.010598,0.011053,0.0113915,0.01173,0.0118305,0.011931,0.012091,0.012251,0.012395,0.012539,0.0122825,0.012026,0.0119905,0.011955,0.0115635,0.011172,0.010621,0.01007,0.0098543,0.0096386,0.00915605,0.0086735,0.00817285,0.0076722,0.0074417,0.0072112,0.00682235,0.0064335,0.0059989,0.0055643,0.00520345,0.0048426,0.00461205,0.0043815,0.004428
-120,0.0048142,0.0049392,0.0050642,0.00541155,0.0057589,0.00623,0.0067011,0.0069639,0.0072267,0.00763645,0.0080462,0.00854285,0.0090395,0.0093006,0.0095617,0.01003735,0.010513,0.0109295,0.011346,0.0116625,0.011979,0.0123885,0.012798,0.012954,0.01311,0.0131295,0.013149,0.013173,0.013197,0.0130875,0.012978,0.0126485,0.012319,0.011919,0.011519,0.011121,0.010723,0.0101437,0.0095644,0.00920485,0.0088453,0.008384,0.0079227,0.00758825,0.0072538,0.0068428,0.0064318,0.00600955,0.0055873,0.00520615,0.004825,0.00473335,0.0046417
-115,0.0050848,0.0053112,0.00556635,0.0058215,0.00626275,0.006704,0.0071575,0.007611,0.00799445,0.0083779,0.008766,0.0091541,0.00953685,0.0099196,0.0103508,0.010782,0.0113135,0.011845,0.0122085,0.012572,0.012948,0.013324,0.0135655,0.013807,0.0139665,0.014126,0.014294,0.014462,0.014307,0.014152,0.0139185,0.013685,0.013232,0.012779,0.012281,0.011783,0.011306,0.010829,0.0103524,0.0098758,0.0095098,0.0091438,0.00877335,0.0084029,0.00780135,0.0071998,0.0068202,0.0064406,0.00606,0.0056794,0.0052243,0.0047692,0.0048533
-110,0.0053554,0.0056562,0.005957,0.00638145,0.0068059,0.0073836,0.0079613,0.0083329,0.0087045,0.00903255,0.0093606,0.0098638,0.010367,0.010677,0.010987,0.0114575,0.011928,0.0125245,0.013121,0.0134735,0.013826,0.014265,0.014704,0.01485,0.014996,0.0151885,0.015381,0.015424,0.015467,0.015165,0.014863,0.0146395,0.014416,0.013979,0.013542,0.012843,0.012144,0.011606,0.011068,0.0106995,0.010331,0.00982985,0.0093287,0.00884565,0.0083626,0.0077809,0.0071992,0.0069091,0.006619,0.0061514,0.0056838,0.00537435,0.0050649
-105,0.00572215,0.005998,0.0063587,0.0067194,0.00729835,0.0078773,0.00860065,0.009324,0.0097665,0.010209,0.010535,0.010861,0.0113135,0.011766,0.012157,0.012548,0.01316,0.013772,0.0143735,0.014975,0.015341,0.015707,0.016048,0.016389,0.01659,0.016791,0.016877,0.016963,0.016779,0.016595,0.016253,0.015911,0.015565,0.015219,0.014556,0.013893,0.0132755,0.012658,0.012252,0.011846,0.011222,0.010598,0.01026195,0.0099259,0.0093168,0.0087077,0.0080968,0.0074859,0.0069089,0.0063319,0.0060367,0.0057415,0.00548605
-100,0.0060889,0.0064306,0.0067723,0.00730845,0.0078446,0.00866595,0.0094873,0.01038765,0.011288,0.0117685,0.012249,0.01275,0.013251,0.013739,0.014227,0.0147705,0.015314,0.0160495,0.016785,0.0173135,0.017842,0.0182835,0.018725,0.01913,0.019535,0.019588,0.019641,0.019537,0.019433,0.019239,0.019045,0.018669,0.018293,0.017626,0.016959,0.016202,0.015445,0.0147295,0.014014,0.0135645,0.013115,0.0126285,0.012142,0.011371,0.0106,0.0096548,0.0087096,0.00798535,0.0072611,0.0068681,0.0064751,0.00619115,0.0059072
-95,0.006338,0.0064826,0.00716045,0.0078383,0.0085167,0.0091951,0.01022755,0.01126,0.01266,0.01406,0.0146515,0.015243,0.015759,0.016275,0.016936,0.017597,0.0184335,0.01927,0.0201485,0.021027,0.021571,0.022115,0.0225525,0.02299,0.0231465,0.023303,0.023218,0.023133,0.023082,0.023031,0.022583,0.022135,0.0214505,0.020766,0.020007,0.019248,0.01831,0.017372,0.0166625,0.015953,0.0152965,0.01464,0.0139365,0.013233,0.0118325,0.010432,0.00939615,0.0083603,0.0077721,0.0071839,0.0068095,0.0064351,0.00613885
-90,0.0065871,0.0070243,0.0074615,0.0080776,0.0086937,0.00959885,0.010504,0.0127085,0.014913,0.0158905,0.016868,0.017511,0.018154,0.019005,0.019856,0.0209215,0.021987,0.02301,0.024033,0.0252185,0.026404,0.026979,0.027554,0.0278765,0.028199,0.0282655,0.028332,0.0282865,0.028241,0.02781,0.027379,0.0266895,0.026,0.0251265,0.024253,0.0229635,0.021674,0.020471,0.019268,0.0184535,0.017639,0.016844,0.016049,0.0145855,0.013122,0.011409,0.009696,0.00893085,0.0081657,0.00744405,0.0067224,0.00654645,0.0063705
-85,0.00679285,0.0071253,0.0076376,0.0081499,0.00916045,0.010171,0.0115965,0.013022,0.0151155,0.017209,0.0182515,0.019294,0.020294,0.021294,0.0226095,0.023925,0.025642,0.027359,0.0289325,0.030506,0.0313955,0.032285,0.03301,0.033735,0.034154,0.034573,0.0345285,0.034484,0.0340615,0.033639,0.0330275,0.032416,0.0313105,0.030205,0.02854,0.026875,0.025309,0.023743,0.02208,0.020417,0.019155,0.017893,0.017017,0.016141,0.013824,0.011507,0.01034005,0.0091731,0.00843885,0.0077046,0.00724445,0.0067843,0.0064033
-80,0.0069986,0.0073357,0.0076728,0.00857055,0.0094683,0.01031465,0.011161,0.0139325,0.016704,0.017877,0.01905,0.0203055,0.021561,0.0234655,0.02537,0.028002,0.030634,0.03324,0.035846,0.0377065,0.039567,0.040702,0.041837,0.042512,0.043187,0.043361,0.043535,0.043349,0.043163,0.042514,0.041865,0.040791,0.039717,0.037789,0.035861,0.0333095,0.030758,0.0278755,0.024993,0.022783,0.020573,0.0194585,0.018344,0.0166585,0.014973,0.0125615,0.01015,0.0094884,0.0088268,0.0080585,0.0072902,0.00686315,0.0064361
