crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
-125,0.00441825,0.0045832,0.0047865,0.0049898,0.00533805,0.0056863,0.00601935,0.0063524,0.00679095,0.0072295,0.0075847,0.0079399,0.0082285,0.0085171,0.0089617,0.0094063,0.00979265,0.010179,0.010543,0.010907,0.011303,0.011699,0.011859,0.012019,0.0120395,0.01206,0.0122515,0.012443,0.0122695,0.012096,0.0119755,0.011855,0.011492,0.011129,0.0106305,0.010132,0.00982215,0.0095123,0.0090978,0.0086833,0.00815355,0.0076238,0.007359,0.0070942,0.0067723,0.0064504,0.00604975,0.0056491,0.00522955,0.00481,0.0045926,0.0043752,0.00444575
-120,0.0047724,0.0049222,0.005072,0.00535715,0.0056423,0.00613475,0.0066272,0.0070313,0.0074354,0.0076727,0.00791,0.00841205,0.0089141,0.0092635,0.0096129,0.00997645,0.01034,0.0108695,0.011399,0.0117145,0.01203,0.0123845,0.012739,0.0129465,0.013154,0.0132315,0.013309,0.013267,0.013225,0.0131185,0.013012,0.0126445,0.012277,0.011854,0.011431,0.0110735,0.010716,0.0101195,0.009523,0.0092333,0.0089436,0.00836205,0.0077805,0.0074866,0.0071927,0.00679985,0.006407,0.0059315,0.005456,0.00514805,0.0048401,0.00482445,0.0048088
-115,0.0050792,0.0051257,0.00545645,0.0057872,0.0062589,0.0067306,0.0071384,0.0075462,0.00796345,0.0083807,0.0087184,0.0090561,0.009469,0.0098819,0.01039245,0.010903,0.011363,0.011823,0.012258,0.012693,0.013023,0.013353,0.013587,0.013821,0.0140125,0.014204,0.014302,0.0144,0.0142305,0.014061,0.0139305,0.0138,0.013293,0.012786,0.0123085,0.011831,0.011312,0.010793,0.0103289,0.0098648,0.00945995,0.0090551,0.00866245,0.0082698,0.00764125,0.0070127,0.00673465,0.0064566,0.0060166,0.0055766,0.00513925,0.0047019,0.0048908
-110,0.005386,0.00566135,0.0059367,0.0064045,0.0068723,0.00740725,0.0079422,0.00829185,0.0086415,0.0090663,0.0094911,0.00989255,0.010294,0.0106475,0.011001,0.0115585,0.012116,0.0126255,0.013135,0.0135315,0.013928,0.014342,0.014756,0.0148945,0.015033,0.0151955,0.015358,0.015411,0.015464,0.0151465,0.014829,0.014631,0.014433,0.0139345,0.013436,0.0127005,0.011965,0.011538,0.011111,0.010714,0.010317,0.0098089,0.0093008,0.00880085,0.0083009,0.0076986,0.0070963,0.00681965,0.006543,0.00610855,0.0056741,0.00532345,0.0049728
-105,0.00573645,0.0059281,0.00633005,0.006732,0.0073029,0.0078738,0.0085617,0.0092496,0.0096973,0.010145,0.010534,0.010923,0.0113705,0.011818,0.012205,0.012592,0.0132155,0.013839,0.014381,0.014923,0.0153495,0.015776,0.016105,0.016434,0.016541,0.016648,0.016803,0.016958,0.016762,0.016566,0.0162625,0.015959,0.015566,0.015173,0.0145065,0.01384,0.013278,0.012716,0.0122215,0.011727,0.0111265,0.010526,0.010179,0.009832,0.0091823,0.0085326,0.00796865,0.0074047,0.0068781,0.0063515,0.00600425,0.005657,0.00533895
-100,0.0060869,0.0064566,0.0068263,0.0073273,0.0078283,0.00856955,0.0093108,0.0102939,0.011277,0.011854,0.012431,0.012764,0.013097,0.013654,0.014211,0.014748,0.015285,0.0160085,0.016732,0.017305,0.017878,0.0183465,0.018815,0.019156,0.019497,0.019511,0.019525,0.019526,0.019527,0.01928,0.019033,0.0185865,0.01814,0.017542,0.016944,0.0162095,0.015475,0.0146915,0.013908,0.013544,0.01318,0.0126175,0.012055,0.011286,0.010517,0.0096094,0.0087018,0.007991,0.0072802,0.0068542,0.0064282,0.00606665,0.0057051
-95,0.00633255,0.0065651,0.0071785,0.0077919,0.00842215,0.0090524,0.0101582,0.011264,0.012723,0.014182,0.014633,0.015084,0.015689,0.016294,0.016955,0.017616,0.0184205,0.019225,0.0201375,0.02105,0.0216615,0.022273,0.0226175,0.022962,0.023072,0.023182,0.023198,0.023214,0.0231545,0.023095,0.0225665,0.022038,0.0214375,0.020837,0.020071,0.019305,0.0182995,0.017294,0.016593,0.015892,0.015285,0.014678,0.013914,0.01315,0.0117595,0.010369,0.00935515,0.0083413,0.00774735,0.0071534,0.0067087,0.006264,0.0059759
-90,0.0065782,0.0070152,0.0074522,0.00798895,0.0085257,0.00956635,0.010607,0.0127515,0.014896,0.015823,0.01675,0.01743,0.01811,0.0190585,0.020007,0.0209685,0.02193,0.0230445,0.024159,0.025218,0.026277,0.02687,0.027463,0.02791,0.028357,0.0283785,0.0284,0.0283135,0.028227,0.027819,0.027411,0.0267295,0.026048,0.025067,0.024086,0.0229265,0.021767,0.020518,0.019269,0.018395,0.017521,0.016764,0.016007,0.014606,0.013205,0.01139875,0.0095925,0.0088701,0.0081477,0.00744465,0.0067416,0.00649415,0.0062467
-85,0.00678235,0.0071605,0.0076386,0.0081167,0.00908585,0.010055,0.0115635,0.013072,0.015169,0.017266,0.0182215,0.019177,0.0202,0.021223,0.022625,0.024027,0.025742,0.027457,0.0289545,0.030452,0.031378,0.032304,0.0330625,0.033821,0.0341735,0.034526,0.0344905,0.034455,0.0340815,0.033708,0.0330305,0.032353,0.0312845,0.030216,0.0285915,0.026967,0.025276,0.023585,0.022026,0.020467,0.019221,0.017975,0.0169955,0.016016,0.013775,0.011534,0.01042455,0.0093151,0.00849015,0.0076652,0.0071899,0.0067146,0.00636965
-80,0.0069865,0.00734545,0.0077044,0.00851715,0.0093299,0.01025295,0.011176,0.0139705,0.016765,0.017791,0.018817,0.0201975,0.021578,0.023532,0.025486,0.0280575,0.030629,0.0332395,0.03585,0.0377535,0.039657,0.0407435,0.04183,0.042535,0.04324,0.0434985,0.043757,0.0434495,0.043142,0.042527,0.041912,0.0408815,0.039851,0.037798,0.035745,0.033229,0.030713,0.0278905,0.025068,0.0228065,0.020545,0.019405,0.018265,0.01659,0.014915,0.012528,0.010141,0.00945415,0.0087673,0.0080009,0.0072345,0.00686355,0.0064926
