scan_number,inplane_y_mm,crossplane_x_mm,dose_gy
1,-130.0,-130.0,0.0040641
1,-130.0,-120.0,0.0047724
1,-130.0,-110.0,0.005386
1,-130.0,-100.0,0.0060869
1,-130.0,-90.0,0.0065782
1,-130.0,-80.0,0.0069865
1,-130.0,-70.0,0.0076804
1,-130.0,-60.0,0.0079276
1,-130.0,-50.0,0.0083086
1,-130.0,-40.0,0.0088883
1,-130.0,-30.0,0.0094262
1,-130.0,-20.0,0.0096738
1,-130.0,-10.0,0.01
1,-130.0,0.0,0.010051
1,-130.0,10.0,0.010008
1,-130.0,20.0,0.0095585
1,-130.0,30.0,0.009552
1,-130.0,40.0,0.0091178
1,-130.0,50.0,0.0085799
1,-130.0,60.0,0.0080875
1,-130.0,70.0,0.0078684
1,-130.0,80.0,0.0073008
1,-130.0,90.0,0.0067076
1,-130.0,100.0,0.0063541
1,-130.0,110.0,0.0055018
1,-130.0,120.0,0.0049439
1,-130.0,130.0,0.0044461
2,-125.0,-125.0,0.0045832
2,-125.0,-115.0,0.0051257
2,-125.0,-105.0,0.0059281
2,-125.0,-95.0,0.0065651
2,-125.0,-85.0,0.0071605
2,-125.0,-75.0,0.0075761
2,-125.0,-65.0,0.007512
2,-125.0,-55.0,0.0082572
2,-125.0,-45.0,0.0086385
2,-125.0,-35.0,0.0093492
2,-125.0,-25.0,0.0097027
2,-125.0,-15.0,0.010132
2,-125.0,-5.0,0.0099928
2,-125.0,5.0,0.010508
2,-125.0,15.0,0.010115
2,-125.0,25.0,0.0095308
2,-125.0,35.0,0.0094287
2,-125.0,45.0,0.0087945
2,-125.0,55.0,0.0083887
2,-125.0,65.0,0.0079933
2,-125.0,75.0,0.0075755
2,-125.0,85.0,0.0072214
2,-125.0,95.0,0.0066039
2,-125.0,105.0,0.0058774
2,-125.0,115.0,0.0052275
2,-125.0,125.0,0.0047454
3,-120.0,-130.0,0.0046645
3,-120.0,-120.0,0.005072
3,-120.0,-110.0,0.0059367
3,-120.0,-100.0,0.0068263
3,-120.0,-90.0,0.0074522
3,-120.0,-80.0,0.0077044
3,-120.0,-70.0,0.0080347
3,-120.0,-60.0,0.0085927
3,-120.0,-50.0,0.0088235
3,-120.0,-40.0,0.0094922
3,-120.0,-30.0,0.010285
3,-120.0,-20.0,0.010601
3,-120.0,-10.0,0.010898
3,-120.0,0.0,0.010785
3,-120.0,10.0,0.010842
3,-120.0,20.0,0.010539
3,-120.0,30.0,0.010206
3,-120.0,40.0,0.0095431
3,-120.0,50.0,0.0089327
3,-120.0,60.0,0.0085339
3,-120.0,70.0,0.0080068
3,-120.0,80.0,0.0078461
3,-120.0,90.0,0.0074266
3,-120.0,100.0,0.0068297
3,-120.0,110.0,0.0060469
3,-120.0,120.0,0.0052515
3,-120.0,130.0,0.0046729
4,-115.0,-125.0,0.0049898
4,-115.0,-115.0,0.0057872
4,-115.0,-105.0,0.006732
4,-115.0,-95.0,0.0077919
4,-115.0,-85.0,0.0081167
4,-115.0,-75.0,0.008648
4,-115.0,-65.0,0.0087182
4,-115.0,-55.0,0.0093247
4,-115.0,-45.0,0.0098594
4,-115.0,-35.0,0.010505
4,-115.0,-25.0,0.011093
4,-115.0,-15.0,0.011538
4,-115.0,-5.0,0.011722
4,-115.0,5.0,0.01161
4,-115.0,15.0,0.011534
4,-115.0,25.0,0.011277
4,-115.0,35.0,0.010711
4,-115.0,45.0,0.0097392
4,-115.0,55.0,0.0092354
4,-115.0,65.0,0.0088713
4,-115.0,75.0,0.0086635
4,-115.0,85.0,0.0082637
4,-115.0,95.0,0.0077139
4,-115.0,105.0,0.006726
4,-115.0,115.0,0.0059422
4,-115.0,125.0,0.0051399
5,-110.0,-130.0,0.0050405
5,-110.0,-120.0,0.0056423
5,-110.0,-110.0,0.0068723
5,-110.0,-100.0,0.0078283
5,-110.0,-90.0,0.0085257
5,-110.0,-80.0,0.0093299
5,-110.0,-70.0,0.0094259
5,-110.0,-60.0,0.0096461
5,-110.0,-50.0,0.010297
5,-110.0,-40.0,0.011028
5,-110.0,-30.0,0.011751
5,-110.0,-20.0,0.012242
5,-110.0,-10.0,0.012385
5,-110.0,0.0,0.0127
5,-110.0,10.0,0.012642
5,-110.0,20.0,0.012418
5,-110.0,30.0,0.011586
5,-110.0,40.0,0.011152
5,-110.0,50.0,0.010252
5,-110.0,60.0,0.0096546
5,-110.0,70.0,0.0094426
5,-110.0,80.0,0.0091025
5,-110.0,90.0,0.0086276
5,-110.0,100.0,0.0076603
5,-110.0,110.0,0.0066598
5,-110.0,120.0,0.0060499
5,-110.0,130.0,0.0053402
6,-105.0,-125.0,0.0056863
6,-105.0,-115.0,0.0067306
6,-105.0,-105.0,0.0078738
6,-105.0,-95.0,0.0090524
6,-105.0,-85.0,0.010055
6,-105.0,-75.0,0.010115
6,-105.0,-65.0,0.01057
6,-105.0,-55.0,0.010902
6,-105.0,-45.0,0.011728
6,-105.0,-35.0,0.012586
6,-105.0,-25.0,0.013286
6,-105.0,-15.0,0.013556
6,-105.0,-5.0,0.013853
6,-105.0,5.0,0.01401
6,-105.0,15.0,0.013576
6,-105.0,25.0,0.013227
6,-105.0,35.0,0.012298
6,-105.0,45.0,0.011594
6,-105.0,55.0,0.01087
6,-105.0,65.0,0.010375
6,-105.0,75.0,0.010048
6,-105.0,85.0,0.0096747
6,-105.0,95.0,0.0089052
6,-105.0,105.0,0.0078256
6,-105.0,115.0,0.0067074
6,-105.0,125.0,0.0058148
7,-100.0,-130.0,0.0057288
7,-100.0,-120.0,0.0066272
7,-100.0,-110.0,0.0079422
7,-100.0,-100.0,0.0093108
7,-100.0,-90.0,0.010607
7,-100.0,-80.0,0.011176
7,-100.0,-70.0,0.011476
7,-100.0,-60.0,0.011725
7,-100.0,-50.0,0.012449
7,-100.0,-40.0,0.013521
7,-100.0,-30.0,0.014449
7,-100.0,-20.0,0.014966
7,-100.0,-10.0,0.015299
7,-100.0,0.0,0.015428
7,-100.0,10.0,0.015742
7,-100.0,20.0,0.015219
7,-100.0,30.0,0.014456
7,-100.0,40.0,0.013408
7,-100.0,50.0,0.012439
7,-100.0,60.0,0.0118
7,-100.0,70.0,0.011148
7,-100.0,80.0,0.010804
7,-100.0,90.0,0.01013
7,-100.0,100.0,0.0090383
7,-100.0,110.0,0.0077958
