crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
-125,0.00442435,0.0045045,0.00473465,0.0049648,0.00541975,0.0058747,0.0061379,0.0064011,0.0068025,0.0072039,0.0076202,0.0080365,0.0082538,0.0084711,0.00893035,0.0093896,0.0098383,0.010287,0.010613,0.010939,0.0112695,0.0116,0.0118565,0.012113,0.0121775,0.012242,0.01229,0.012338,0.0121855,0.012033,0.011963,0.011893,0.0114805,0.011068,0.0105935,0.010119,0.0098795,0.00964,0.0091449,0.0086498,0.0081573,0.0076648,0.0074108,0.0071568,0.0067273,0.0062978,0.00591695,0.0055361,0.0052633,0.0049905,0.00465575,0.004321,0.00443805
-120,0.0046271,0.0049058,0.0051845,0.0054409,0.0056973,0.0060912,0.0064851,0.00692995,0.0073748,0.0077189,0.008063,0.0084902,0.0089174,0.0093175,0.0097176,0.0100793,0.010441,0.010881,0.011321,0.011678,0.012035,0.0124305,0.012826,0.0129795,0.013133,0.013144,0.013155,0.013204,0.013253,0.0131005,0.012948,0.0125415,0.012135,0.01184,0.011545,0.0111165,0.010688,0.01006295,0.0094379,0.0092386,0.0090393,0.0084603,0.0078813,0.0075236,0.0071659,0.00688525,0.0066046,0.00606435,0.0055241,0.0051078,0.0046915,0.0047087,0.0047259
-115,0.00503375,0.005215,0.0054928,0.0057706,0.0061867,0.0066028,0.00716535,0.0077279,0.0080511,0.0083743,0.0086575,0.0089407,0.00948385,0.010027,0.0104665,0.010906,0.0113185,0.011731,0.012245,0.012759,0.0130705,0.013382,0.0135515,0.013721,0.0140105,0.0143,0.014352,0.014404,0.0142505,0.014097,0.0139115,0.013726,0.01322,0.012714,0.012233,0.011752,0.011231,0.01071,0.0103115,0.009913,0.00951,0.009107,0.0086587,0.0082104,0.00768355,0.0071567,0.00675125,0.0063458,0.0059165,0.0054872,0.00516425,0.0048413,0.00488155
-110,0.0054404,0.00564455,0.0058487,0.00638085,0.006913,0.0074522,0.0079914,0.00830665,0.0086219,0.009072,0.0095221,0.00994055,0.010359,0.0106765,0.010994,0.0114605,0.011927,0.012499,0.013071,0.013536,0.014001,0.014256,0.014511,0.0148185,0.015126,0.015252,0.015378,0.015351,0.015324,0.0150775,0.014831,0.0146375,0.014444,0.013901,0.013358,0.012741,0.012124,0.0116335,0.011143,0.010735,0.010327,0.0098094,0.0092918,0.0088295,0.0083672,0.00783125,0.0072953,0.0068564,0.0064175,0.00608465,0.0057518,0.0053945,0.0050372
-105,0.0057011,0.0059123,0.00634265,0.006773,0.007352,0.007931,0.0085719,0.0092128,0.0097084,0.010204,0.010522,0.01084,0.0113285,0.011817,0.0122,0.012583,0.01323,0.013877,0.0144505,0.015024,0.0153525,0.015681,0.0160035,0.016326,0.016504,0.016682,0.0167595,0.016837,0.016679,0.016521,0.0162525,0.015984,0.0155735,0.015163,0.0145135,0.013864,0.0132685,0.012673,0.012301,0.011929,0.011243,0.010557,0.01021945,0.0098819,0.00926315,0.0086444,0.00799645,0.0073485,0.0067761,0.0062037,0.00597075,0.0057378,0.00534435
-100,0.0059618,0.006378,0.0067942,0.00736485,0.0079355,0.0086597,0.0093839,0.01037345,0.011363,0.0118635,0.012364,0.012841,0.013318,0.013746,0.014174,0.014698,0.015222,0.016047,0.016872,0.017364,0.017856,0.0182245,0.018593,0.019013,0.019433,0.0194585,0.019484,0.019522,0.01956,0.0193005,0.019041,0.0186275,0.018214,0.0175865,0.016959,0.0162025,0.015446,0.0147865,0.014127,0.0136625,0.013198,0.012608,0.012018,0.0112825,0.010547,0.00959915,0.0086513,0.00794355,0.0072358,0.00687175,0.0065077,0.0060796,0.0056515
-95,0.00627625,0.0065065,0.00716605,0.0078256,0.00844175,0.0090579,0.01018945,0.011321,0.0127205,0.01412,0.0146705,0.015221,0.0157455,0.01627,0.0169095,0.017549,0.018412,0.019275,0.0200975,0.02092,0.021529,0.022138,0.0225255,0.022913,0.0230335,0.023154,0.0232065,0.023259,0.023166,0.023073,0.0225825,0.022092,0.021423,0.020754,0.0200495,0.019345,0.0183615,0.017378,0.016626,0.015874,0.015292,0.01471,0.0139585,0.013207,0.011731,0.010255,0.0093238,0.0083926,0.00780345,0.0072143,0.0067788,0.0063433,0.00597305
-90,0.0065907,0.0070262,0.0074617,0.0080237,0.0085857,0.00957785,0.01057,0.0127435,0.014917,0.015823,0.016729,0.0174535,0.018178,0.019059,0.01994,0.020991,0.022042,0.0230715,0.024101,0.025203,0.026305,0.0269235,0.027542,0.027887,0.028232,0.028251,0.02827,0.0282575,0.028245,0.027838,0.027431,0.026715,0.025999,0.0250455,0.024092,0.0229065,0.021721,0.0205165,0.019312,0.0184355,0.017559,0.016819,0.016079,0.014619,0.013159,0.0113489,0.0095388,0.00891345,0.0082881,0.0074996,0.0067111,0.00650285,0.0062946
-85,0.0068189,0.0071901,0.0076492,0.0081083,0.0090456,0.0099829,0.01150995,0.013037,0.0151415,0.017246,0.018174,0.019102,0.020178,0.021254,0.022609,0.023964,0.025697,0.02743,0.0289325,0.030435,0.0314325,0.03243,0.0331005,0.033771,0.0341435,0.034516,0.0345815,0.034647,0.0341605,0.033674,0.033027,0.03238,0.0313185,0.030257,0.0286145,0.026972,0.0252335,0.023495,0.0219475,0.0204,0.0191915,0.017983,0.017019,0.016055,0.0138025,0.01155,0.0103837,0.0092174,0.00840015,0.0075829,0.00712835,0.0066738,0.00639565
-80,0.0070471,0.00734705,0.007647,0.0084804,0.0093138,0.0103074,0.011301,0.014025,0.016749,0.0178235,0.018898,0.0202225,0.021547,0.023513,0.025479,0.028043,0.030607,0.033215,0.035823,0.0376925,0.039562,0.0406675,0.041773,0.0424235,0.043074,0.0434125,0.043751,0.0433875,0.043024,0.0424055,0.041787,0.0408585,0.03993,0.0378705,0.035811,0.033227,0.030643,0.0278265,0.02501,0.0227565,0.020503,0.0193625,0.018222,0.0166175,0.015013,0.012547,0.010081,0.00943735,0.0087937,0.00804685,0.0073,0.00689835,0.0064967
