scan_number,inplane_y_mm,crossplane_x_mm,dose_gy
1,-130.0,-130.0,0.0040272
1,-130.0,-120.0,0.0047958
1,-130.0,-110.0,0.0054163
1,-130.0,-100.0,0.0059595
1,-130.0,-90.0,0.0066614
1,-130.0,-80.0,0.0070063
1,-130.0,-70.0,0.0075786
1,-130.0,-60.0,0.0079406
1,-130.0,-50.0,0.0084178
1,-130.0,-40.0,0.0088742
1,-130.0,-30.0,0.0094162
1,-130.0,-20.0,0.0096233
1,-130.0,-10.0,0.010071
1,-130.0,0.0,0.0099758
1,-130.0,10.0,0.0099626
1,-130.0,20.0,0.0096008
1,-130.0,30.0,0.0095887
1,-130.0,40.0,0.0090849
1,-130.0,50.0,0.0085466
1,-130.0,60.0,0.0081591
1,-130.0,70.0,0.0078221
1,-130.0,80.0,0.0073494
1,-130.0,90.0,0.0068418
1,-130.0,100.0,0.0062183
1,-130.0,110.0,0.0055436
1,-130.0,120.0,0.0049371
1,-130.0,130.0,0.0044082
2,-125.0,-125.0,0.004667
2,-125.0,-115.0,0.0051694
2,-125.0,-105.0,0.005975
2,-125.0,-95.0,0.0064946
2,-125.0,-85.0,0.0070335
2,-125.0,-75.0,0.0076517
2,-125.0,-65.0,0.0077148
2,-125.0,-55.0,0.0083409
2,-125.0,-45.0,0.0087671
2,-125.0,-35.0,0.0092899
2,-125.0,-25.0,0.0096802
2,-125.0,-15.0,0.010121
2,-125.0,-5.0,0.010032
2,-125.0,5.0,0.010344
2,-125.0,15.0,0.010191
2,-125.0,25.0,0.0096614
2,-125.0,35.0,0.0093805
2,-125.0,45.0,0.0087627
2,-125.0,55.0,0.008442
2,-125.0,65.0,0.0079646
2,-125.0,75.0,0.0076484
2,-125.0,85.0,0.0072286
2,-125.0,95.0,0.0066163
2,-125.0,105.0,0.0060687
2,-125.0,115.0,0.0051277
2,-125.0,125.0,0.0046582
3,-120.0,-130.0,0.0048108
3,-120.0,-120.0,0.0051044
3,-120.0,-110.0,0.0058509
3,-120.0,-100.0,0.0068198
3,-120.0,-90.0,0.0075413
3,-120.0,-80.0,0.0079018
3,-120.0,-70.0,0.0081539
3,-120.0,-60.0,0.0086365
3,-120.0,-50.0,0.0089138
3,-120.0,-40.0,0.0093623
3,-120.0,-30.0,0.010353
3,-120.0,-20.0,0.010545
3,-120.0,-10.0,0.010949
3,-120.0,0.0,0.01084
3,-120.0,10.0,0.010883
3,-120.0,20.0,0.010683
3,-120.0,30.0,0.010192
3,-120.0,40.0,0.0094712
3,-120.0,50.0,0.0090502
3,-120.0,60.0,0.0085701
3,-120.0,70.0,0.0080958
3,-120.0,80.0,0.0078763
3,-120.0,90.0,0.0074567
3,-120.0,100.0,0.0069044
3,-120.0,110.0,0.0060005
3,-120.0,120.0,0.0052661
3,-120.0,130.0,0.0046772
4,-115.0,-125.0,0.0049634
4,-115.0,-115.0,0.0058588
4,-115.0,-105.0,0.0067598
4,-115.0,-95.0,0.0078666
4,-115.0,-85.0,0.0082494
4,-115.0,-75.0,0.0085964
4,-115.0,-65.0,0.0087441
4,-115.0,-55.0,0.0092828
4,-115.0,-45.0,0.0098893
4,-115.0,-35.0,0.010594
4,-115.0,-25.0,0.011096
4,-115.0,-15.0,0.011482
4,-115.0,-5.0,0.011748
4,-115.0,5.0,0.01165
4,-115.0,15.0,0.011526
4,-115.0,25.0,0.011264
4,-115.0,35.0,0.010727
4,-115.0,45.0,0.0098583
4,-115.0,55.0,0.0092321
4,-115.0,65.0,0.0087754
4,-115.0,75.0,0.0086496
4,-115.0,85.0,0.0082743
4,-115.0,95.0,0.0077188
4,-115.0,105.0,0.0066735
4,-115.0,115.0,0.0059866
4,-115.0,125.0,0.0052016
5,-110.0,-130.0,0.0049508
5,-110.0,-120.0,0.0057555
5,-110.0,-110.0,0.0068685
5,-110.0,-100.0,0.0079802
5,-110.0,-90.0,0.0085967
5,-110.0,-80.0,0.0093275
5,-110.0,-70.0,0.009481
5,-110.0,-60.0,0.0096804
5,-110.0,-50.0,0.010277
5,-110.0,-40.0,0.011058
5,-110.0,-30.0,0.011851
5,-110.0,-20.0,0.012339
5,-110.0,-10.0,0.012432
5,-110.0,0.0,0.012783
5,-110.0,10.0,0.012678
5,-110.0,20.0,0.012431
5,-110.0,30.0,0.011718
5,-110.0,40.0,0.01127
5,-110.0,50.0,0.010151
5,-110.0,60.0,0.009772
5,-110.0,70.0,0.0094284
5,-110.0,80.0,0.0091329
5,-110.0,90.0,0.0085408
5,-110.0,100.0,0.0076558
5,-110.0,110.0,0.0065977
5,-110.0,120.0,0.0059477
5,-110.0,130.0,0.005266
6,-105.0,-125.0,0.0056996
6,-105.0,-115.0,0.0067615
6,-105.0,-105.0,0.0079523
6,-105.0,-95.0,0.0091131
6,-105.0,-85.0,0.010053
6,-105.0,-75.0,0.010192
6,-105.0,-65.0,0.010651
6,-105.0,-55.0,0.010902
6,-105.0,-45.0,0.011698
6,-105.0,-35.0,0.012641
6,-105.0,-25.0,0.01339
6,-105.0,-15.0,0.013618
6,-105.0,-5.0,0.013767
6,-105.0,5.0,0.013983
6,-105.0,15.0,0.013667
6,-105.0,25.0,0.013379
6,-105.0,35.0,0.012359
6,-105.0,45.0,0.01168
6,-105.0,55.0,0.010829
6,-105.0,65.0,0.01057
6,-105.0,75.0,0.010092
6,-105.0,85.0,0.009606
6,-105.0,95.0,0.0088637
6,-105.0,105.0,0.0077168
6,-105.0,115.0,0.0066908
6,-105.0,125.0,0.0059507
7,-100.0,-130.0,0.0057367
7,-100.0,-120.0,0.0067134
7,-100.0,-110.0,0.0080366
7,-100.0,-100.0,0.0093547
7,-100.0,-90.0,0.010644
7,-100.0,-80.0,0.011181
7,-100.0,-70.0,0.011478
7,-100.0,-60.0,0.011763
7,-100.0,-50.0,0.01256
7,-100.0,-40.0,0.01361
7,-100.0,-30.0,0.014487
7,-100.0,-20.0,0.014845
7,-100.0,-10.0,0.015277
7,-100.0,0.0,0.015445
7,-100.0,10.0,0.015692
7,-100.0,20.0,0.015317
7,-100.0,30.0,0.014571
7,-100.0,40.0,0.01364
7,-100.0,50.0,0.01249
7,-100.0,60.0,0.011806
7,-100.0,70.0,0.01108
7,-100.0,80.0,0.010746
7,-100.0,90.0,0.01005
7,-100.0,100.0,0.0089657
7,-100.0,110.0,0.0078887
7,-100.0,120.0,0.0066151
7,-100.0,130.0,0.0057789
8,-95.0,-125.0,0.0065472
8,-95.0,-115.0,0.0076014
8,-95.0,-105.0,0.009237
8,-95.0,-95.0,0.011292
8,-95.0,-85.0,0.013012
8,-95.0,-75.0,0.013279
8,-95.0,-65.0,0.013474
8,-95.0,-55.0,0.014824
8,-95.0,-45.0,0.01577
8,-95.0,-35.0,0.016829
8,-95.0,-25.0,0.017458
8,-95.0,-15.0,0.018228
8,-95.0,-5.0,0.018588
8,-95.0,5.0,0.018865
8,-95.0,15.0,0.018476
8,-95.0,25.0,0.017846
8,-95.0,35.0,0.016975
8,-95.0,45.0,0.015294
8,-95.0,55.0,0.014284
8,-95.0,65.0,0.013286
8,-95.0,75.0,0.012542
8,-95.0,85.0,0.012061
8,-95.0,95.0,0.010618
8,-95.0,105.0,0.0090876
8,-95.0,115.0,0.0074235
8,-95.0,125.0,0.0064749
9,-90.0,-130.0,0.0064059
9,-90.0,-120.0,0.0073326
9,-90.0,-110.0,0.0086976
9,-90.0,-100.0,0.011363
9,-90.0,-90.0,0.014965
9,-90.0,-80.0,0.016796
9,-90.0,-70.0,0.01723
9,-90.0,-60.0,0.018652
9,-90.0,-50.0,0.020377
9,-90.0,-40.0,0.021716
9,-90.0,-30.0,0.02304
9,-90.0,-20.0,0.024399
