scan_number,inplane_y_mm,crossplane_x_mm,dose_gy
1,-130.0,-130.0,0.0028508
1,-130.0,-120.0,0.0034872
1,-130.0,-110.0,0.0041543
1,-130.0,-100.0,0.0046563
1,-130.0,-90.0,0.0053861
1,-130.0,-80.0,0.0059721
1,-130.0,-70.0,0.0067478
1,-130.0,-60.0,0.0070928
1,-130.0,-50.0,0.0076427
1,-130.0,-40.0,0.0081869
1,-130.0,-30.0,0.0084445
1,-130.0,-20.0,0.008434
1,-130.0,-10.0,0.0086586
1,-130.0,0.0,0.008648
1,-130.0,10.0,0.0085365
1,-130.0,20.0,0.0084123
1,-130.0,30.0,0.008265
1,-130.0,40.0,0.0080733
1,-130.0,50.0,0.0075166
1,-130.0,60.0,0.0072088
1,-130.0,70.0,0.0067371
1,-130.0,80.0,0.0061989
1,-130.0,90.0,0.0056227
1,-130.0,100.0,0.0048079
1,-130.0,110.0,0.0041352
1,-130.0,120.0,0.0036077
1,-130.0,130.0,0.0030643
2,-125.0,-125.0,0.0030557
2,-125.0,-115.0,0.0035072
2,-125.0,-105.0,0.003763
2,-125.0,-95.0,0.0041798
2,-125.0,-85.0,0.0045963
2,-125.0,-75.0,0.0051036
2,-125.0,-65.0,0.0051683
2,-125.0,-55.0,0.006056
2,-125.0,-45.0,0.0061883
2,-125.0,-35.0,0.0067889
2,-125.0,-25.0,0.0069317
2,-125.0,-15.0,0.0070313
2,-125.0,-5.0,0.0068051
2,-125.0,5.0,0.0071457
2,-125.0,15.0,0.0070544
2,-125.0,25.0,0.0065012
2,-125.0,35.0,0.0064482
2,-125.0,45.0,0.0060542
2,-125.0,55.0,0.0058776
2,-125.0,65.0,0.0052877
2,-125.0,75.0,0.0050255
2,-125.0,85.0,0.0046306
2,-125.0,95.0,0.0041761
2,-125.0,105.0,0.0037892
2,-125.0,115.0,0.0032411
2,-125.0,125.0,0.0030508
3,-120.0,-130.0,0.0030212
3,-120.0,-120.0,0.0030514
3,-120.0,-110.0,0.0035003
3,-120.0,-100.0,0.0039895
3,-120.0,-90.0,0.0044252
3,-120.0,-80.0,0.0045058
3,-120.0,-70.0,0.0047909
3,-120.0,-60.0,0.0056207
3,-120.0,-50.0,0.0057103
3,-120.0,-40.0,0.0062327
3,-120.0,-30.0,0.006755
3,-120.0,-20.0,0.0067789
3,-120.0,-10.0,0.0068785
3,-120.0,0.0,0.0067597
3,-120.0,10.0,0.006822
3,-120.0,20.0,0.0066441
3,-120.0,30.0,0.0061659
3,-120.0,40.0,0.0057055
3,-120.0,50.0,0.0055245
3,-120.0,60.0,0.0049938
3,-120.0,70.0,0.0043754
3,-120.0,80.0,0.00437
3,-120.0,90.0,0.0042766
3,-120.0,100.0,0.0039411
3,-120.0,110.0,0.003546
3,-120.0,120.0,0.0029891
3,-120.0,130.0,0.0029114
4,-115.0,-125.0,0.0030557
4,-115.0,-115.0,0.0035101
4,-115.0,-105.0,0.0038212
4,-115.0,-95.0,0.004572
4,-115.0,-85.0,0.0043841
4,-115.0,-75.0,0.0049106
4,-115.0,-65.0,0.0052827
4,-115.0,-55.0,0.0058816
4,-115.0,-45.0,0.0064718
4,-115.0,-35.0,0.006974
4,-115.0,-25.0,0.0071381
4,-115.0,-15.0,0.0073087
4,-115.0,-5.0,0.0074353
4,-115.0,5.0,0.0071297
4,-115.0,15.0,0.0073197
4,-115.0,25.0,0.0067376
4,-115.0,35.0,0.0065094
4,-115.0,45.0,0.0059094
4,-115.0,55.0,0.0052274
4,-115.0,65.0,0.0047899
4,-115.0,75.0,0.004609
4,-115.0,85.0,0.0043195
4,-115.0,95.0,0.0039441
4,-115.0,105.0,0.0036027
4,-115.0,115.0,0.0033744
4,-115.0,125.0,0.0029831
5,-110.0,-130.0,0.0030395
5,-110.0,-120.0,0.0035502
5,-110.0,-110.0,0.0038986
5,-110.0,-100.0,0.0044613
5,-110.0,-90.0,0.0044541
5,-110.0,-80.0,0.0051128
5,-110.0,-70.0,0.0055211
5,-110.0,-60.0,0.005918
5,-110.0,-50.0,0.00664
5,-110.0,-40.0,0.0074596
5,-110.0,-30.0,0.0080115
5,-110.0,-20.0,0.0081083
5,-110.0,-10.0,0.0081577
5,-110.0,0.0,0.0082141
5,-110.0,10.0,0.0082156
5,-110.0,20.0,0.0078231
5,-110.0,30.0,0.007406
5,-110.0,40.0,0.0070385
5,-110.0,50.0,0.0061034
5,-110.0,60.0,0.0054908
5,-110.0,70.0,0.0051923
5,-110.0,80.0,0.0047017
5,-110.0,90.0,0.0042835
5,-110.0,100.0,0.0042362
5,-110.0,110.0,0.0036939
5,-110.0,120.0,0.0034471
5,-110.0,130.0,0.00316
6,-105.0,-125.0,0.0034591
6,-105.0,-115.0,0.0038868
6,-105.0,-105.0,0.0050852
6,-105.0,-95.0,0.005272
6,-105.0,-85.0,0.0059299
6,-105.0,-75.0,0.0061803
6,-105.0,-65.0,0.0071926
6,-105.0,-55.0,0.0076661
6,-105.0,-45.0,0.0087436
6,-105.0,-35.0,0.009347
6,-105.0,-25.0,0.0097306
6,-105.0,-15.0,0.0098583
6,-105.0,-5.0,0.0099142
6,-105.0,5.0,0.010008
6,-105.0,15.0,0.0094368
6,-105.0,25.0,0.0093163
6,-105.0,35.0,0.0085193
6,-105.0,45.0,0.0079279
6,-105.0,55.0,0.0070757
6,-105.0,65.0,0.0063537
6,-105.0,75.0,0.0057469
6,-105.0,85.0,0.0054921
6,-105.0,95.0,0.005074
6,-105.0,105.0,0.0046622
6,-105.0,115.0,0.0040342
6,-105.0,125.0,0.0035348
7,-100.0,-130.0,0.0036067
7,-100.0,-120.0,0.0040949
7,-100.0,-110.0,0.0054064
7,-100.0,-100.0,0.0062341
7,-100.0,-90.0,0.0065925
7,-100.0,-80.0,0.0073295
7,-100.0,-70.0,0.0080067
7,-100.0,-60.0,0.0087949
7,-100.0,-50.0,0.010136
7,-100.0,-40.0,0.011005
7,-100.0,-30.0,0.011437
7,-100.0,-20.0,0.011684
7,-100.0,-10.0,0.012091
7,-100.0,0.0,0.011868
7,-100.0,10.0,0.012147
7,-100.0,20.0,0.011687
7,-100.0,30.0,0.010898
7,-100.0,40.0,0.010478
7,-100.0,50.0,0.0093771
