crossplane_x_mm_at_y0,dose_gy,relative_to_80_percent_midpoint,percent_of_80_percent_midpoint,directly_measured,interpolation_method
-125.0,0.00923325,0.00478732839293488,0.47873283929348803,0,vertical_offset_rows
-120.0,0.01019,0.005283391690250608,0.5283391690250607,1,direct
-115.0,0.0116325,0.00603131048447892,0.603131048447892,0,vertical_offset_rows
-110.0,0.01381,0.007160317884431884,0.7160317884431884,1,direct
-105.0,0.0148605,0.007704989422273716,0.7704989422273716,0,vertical_offset_rows
-100.0,0.01553,0.008052117070617463,0.8052117070617463,1,direct
-95.0,0.0154285,0.007999490548874534,0.7999490548874534,0,vertical_offset_rows
-90.0,0.017309,0.008974507042840803,0.8974507042840804,1,direct
-85.0,0.0216415,0.011220855865020465,1.1220855865020465,0,vertical_offset_rows
-80.0,0.028087,0.014562769617671131,1.4562769617671132,1,direct
-75.0,0.0388455,0.02014092167847203,2.014092167847203,0,vertical_offset_rows
-70.0,0.063724,0.0330401228723778,3.30401228723778,1,direct
-65.0,0.12838,0.06656347646657243,6.656347646657243,0,vertical_offset_rows
-60.0,0.30696,0.15915504546018908,15.915504546018907,1,direct
-55.0,0.71662,0.3715587981420403,37.15587981420403,0,vertical_offset_rows
-50.0,1.2817,0.6645459400779395,66.45459400779396,1,direct
-45.0,1.6524,0.8567494042168896,85.67494042168896,0,vertical_offset_rows
-40.0,1.8008,0.933693008420343,93.36930084203429,1,direct
-35.0,1.858,0.9633505162400029,96.33505162400029,0,vertical_offset_rows
-30.0,1.887,0.9783866653094109,97.83866653094108,1,direct
-25.0,1.9059,0.9881860865994734,98.81860865994734,0,vertical_offset_rows
-20.0,1.9202,0.9956004635543884,99.56004635543884,1,direct
-15.0,1.92825,0.9997742911408964,99.97742911408965,0,vertical_offset_rows
-10.0,1.937,1.004311060256666,100.43110602566661,1,direct
-5.0,1.93835,1.005011018920242,100.5011018920242,0,vertical_offset_rows
0.0,1.9433,1.0075775340200204,100.75775340200204,1,direct
5.0,1.9313500000000001,1.0013816036276264,100.13816036276265,0,vertical_offset_rows
10.0,1.894,0.9820160806020266,98.20160806020266,1,direct
15.0,1.762,0.9135756779412729,91.35756779412729,0,vertical_offset_rows
20.0,1.2071,0.6258667428166349,62.58667428166349,1,direct
25.0,0.382135,0.19813237326338726,19.813237326338726,0,vertical_offset_rows
30.0,0.12119,0.06283554847315713,6.283554847315713,1,direct
35.0,0.0521275,0.0270274779522609,2.70274779522609,0,vertical_offset_rows
40.0,0.029532,0.015311984631646805,1.5311984631646804,1,direct
45.0,0.0212095,0.010996869092676179,1.0996869092676178,0,vertical_offset_rows
50.0,0.016667,0.008641637811718046,0.8641637811718046,1,direct
55.0,0.012344500000000001,0.006400473868527835,0.6400473868527835,0,vertical_offset_rows
60.0,0.0095397,0.004946219009566607,0.4946219009566607,1,direct
65.0,0.0078393,0.004064582186200353,0.4064582186200353,0,vertical_offset_rows
70.0,0.007129,0.0036963002315796452,0.3696300231579645,1,direct
75.0,0.00675185,0.0035007525204924996,0.35007525204924994,0,vertical_offset_rows
80.0,0.0062348,0.0032326683523429336,0.32326683523429334,1,direct
85.0,0.00614285,0.003184993390034931,0.3184993390034931,0,vertical_offset_rows
90.0,0.0054066,0.002803256674436598,0.28032566744365983,1,direct
95.0,0.00446915,0.0023172001935705105,0.23172001935705105,0,vertical_offset_rows
100.0,0.0038507,0.0019965413524679113,0.19965413524679113,1,direct
105.0,0.0039219,0.0020334576908728028,0.20334576908728028,0,vertical_offset_rows
110.0,0.0036058,0.0018695636660162555,0.18695636660162554,1,direct
115.0,0.0027525,0.0014271379418463984,0.14271379418463984,0,vertical_offset_rows
120.0,0.0020792,0.0010780400394866598,0.10780400394866597,1,direct
125.0,0.0021337,0.001106297629979168,0.1106297629979168,0,vertical_offset_rows
