scan_number,inplane_y_mm,crossplane_x_mm,dose_gy
1,-130.0,-130.0,0.0040502
1,-130.0,-120.0,0.0046088
1,-130.0,-110.0,0.0052313
1,-130.0,-100.0,0.0056948
1,-130.0,-90.0,0.0062509
1,-130.0,-80.0,0.0066277
1,-130.0,-70.0,0.0071695
1,-130.0,-60.0,0.0074393
1,-130.0,-50.0,0.007722
1,-130.0,-40.0,0.0085203
1,-130.0,-30.0,0.0088083
1,-130.0,-20.0,0.0087443
1,-130.0,-10.0,0.0090313
1,-130.0,0.0,0.0090524
1,-130.0,10.0,0.008875
1,-130.0,20.0,0.0085673
1,-130.0,30.0,0.0085399
1,-130.0,40.0,0.0083678
1,-130.0,50.0,0.0079326
1,-130.0,60.0,0.0075935
1,-130.0,70.0,0.007198
1,-130.0,80.0,0.006803
1,-130.0,90.0,0.0062561
1,-130.0,100.0,0.0058264
1,-130.0,110.0,0.0052901
1,-130.0,120.0,0.0047497
1,-130.0,130.0,0.0041246
2,-125.0,-125.0,0.00429
2,-125.0,-115.0,0.0049503
2,-125.0,-105.0,0.0054036
2,-125.0,-95.0,0.0059779
2,-125.0,-85.0,0.0064785
2,-125.0,-75.0,0.00675
2,-125.0,-65.0,0.0067359
2,-125.0,-55.0,0.0072628
2,-125.0,-45.0,0.0076902
2,-125.0,-35.0,0.0081692
2,-125.0,-25.0,0.0082733
2,-125.0,-15.0,0.0086471
2,-125.0,-5.0,0.0085168
2,-125.0,5.0,0.008776
2,-125.0,15.0,0.0085271
2,-125.0,25.0,0.008122
2,-125.0,35.0,0.0079616
2,-125.0,45.0,0.0076843
2,-125.0,55.0,0.007262
2,-125.0,65.0,0.0069308
2,-125.0,75.0,0.0066273
2,-125.0,85.0,0.0063401
2,-125.0,95.0,0.0058707
2,-125.0,105.0,0.0052985
2,-125.0,115.0,0.0045846
2,-125.0,125.0,0.0044772
3,-120.0,-130.0,0.0044187
3,-120.0,-120.0,0.0046534
3,-120.0,-110.0,0.0053207
3,-120.0,-100.0,0.0061871
3,-120.0,-90.0,0.0065277
3,-120.0,-80.0,0.0066875
3,-120.0,-70.0,0.0068779
3,-120.0,-60.0,0.0075227
3,-120.0,-50.0,0.0077756
3,-120.0,-40.0,0.0080637
3,-120.0,-30.0,0.0088177
3,-120.0,-20.0,0.0090107
3,-120.0,-10.0,0.0091522
3,-120.0,0.0,0.0088898
3,-120.0,10.0,0.0091325
3,-120.0,20.0,0.0088188
3,-120.0,30.0,0.0084079
3,-120.0,40.0,0.0078844
3,-120.0,50.0,0.0074965
3,-120.0,60.0,0.0072773
3,-120.0,70.0,0.0066789
3,-120.0,80.0,0.0067785
3,-120.0,90.0,0.0062802
3,-120.0,100.0,0.0059914
3,-120.0,110.0,0.0053896
3,-120.0,120.0,0.0047309
3,-120.0,130.0,0.0044252
4,-115.0,-125.0,0.0046571
4,-115.0,-115.0,0.0052662
4,-115.0,-105.0,0.0060497
4,-115.0,-95.0,0.0069112
4,-115.0,-85.0,0.0069361
4,-115.0,-75.0,0.0074519
4,-115.0,-65.0,0.0074768
4,-115.0,-55.0,0.0080965
4,-115.0,-45.0,0.0087854
4,-115.0,-35.0,0.0091354
4,-115.0,-25.0,0.0095088
4,-115.0,-15.0,0.0096577
4,-115.0,-5.0,0.0096856
4,-115.0,5.0,0.0097038
4,-115.0,15.0,0.0096565
4,-115.0,25.0,0.0093526
4,-115.0,35.0,0.0089668
4,-115.0,45.0,0.0080695
4,-115.0,55.0,0.0077412
4,-115.0,65.0,0.0072832
4,-115.0,75.0,0.007173
4,-115.0,85.0,0.0068587
4,-115.0,95.0,0.0065203
4,-115.0,105.0,0.0059479
