crossplane_x_mm_at_y0,dose_gy,relative_to_80_percent_midpoint,percent_of_80_percent_midpoint,directly_measured,interpolation_method
-125.0,0.00519005,0.003107861557848708,0.3107861557848708,0,vertical_offset_rows
-120.0,0.0054897,0.0032872954199134985,0.32872954199134985,1,direct
-115.0,0.006193,0.0037084395386859565,0.37084395386859564,0,vertical_offset_rows
-110.0,0.0066766,0.0039980247737753365,0.39980247737753366,1,direct
-105.0,0.0071503,0.004281681775143904,0.4281681775143904,0,vertical_offset_rows
-100.0,0.0077527,0.004642405814883032,0.4642405814883032,1,direct
-95.0,0.00825705,0.004944416388326639,0.4944416388326639,0,vertical_offset_rows
-90.0,0.0091602,0.005485232982766204,0.5485232982766204,1,direct
-85.0,0.010371,0.006210273931166165,0.6210273931166165,0,vertical_offset_rows
-80.0,0.012259,0.007340830018529169,0.7340830018529169,1,direct
-75.0,0.0146345,0.00876330670578066,0.876330670578066,0,vertical_offset_rows
-70.0,0.016992,0.010175004786267039,1.017500478626704,1,direct
-65.0,0.020179500000000003,0.012083716400922538,1.2083716400922537,0,vertical_offset_rows
-60.0,0.02708,0.016215815066626144,1.6215815066626145,1,direct
-55.0,0.037326,0.022351237561923462,2.2351237561923463,0,vertical_offset_rows
-50.0,0.056888,0.034065187869653915,3.4065187869653917,1,direct
-45.0,0.09793299999999999,0.05864340535154719,5.864340535154719,0,vertical_offset_rows
-40.0,0.20307,0.12160064865508755,12.160064865508755,1,direct
-35.0,0.46919500000000003,0.28095935561985425,28.095935561985424,0,vertical_offset_rows
-30.0,0.96112,0.5755296963380989,57.552969633809894,1,direct
-25.0,1.40245,0.8398031698740707,83.98031698740706,0,vertical_offset_rows
-20.0,1.6099,0.9640266128420025,96.40266128420025,1,direct
-15.0,1.6708,1.0004942323973027,100.04942323973027,0,vertical_offset_rows
-10.0,1.661,0.9946258798251856,99.46258798251856,1,direct
-5.0,1.4992999999999999,0.8977980623852502,89.77980623852501,0,vertical_offset_rows
0.0,0.98741,0.591272450330034,59.1272450330034,1,direct
5.0,0.37742,0.22600343140494972,22.60034314049497,0,vertical_offset_rows
10.0,0.13938,0.08346234505119468,8.346234505119469,1,direct
15.0,0.066912,0.04006767421484817,4.006767421484817,0,vertical_offset_rows
20.0,0.039812,0.023839882918483015,2.3839882918483015,1,direct
25.0,0.027774,0.01663139023856996,1.6631390238569959,0,vertical_offset_rows
30.0,0.021031,0.012593604382061094,1.2593604382061094,1,direct
35.0,0.01507,0.00902408910834771,0.902408910834771,0,vertical_offset_rows
40.0,0.011722,0.007019268250036619,0.701926825003662,1,direct
45.0,0.00972085,0.005820956642925138,0.5820956642925138,0,vertical_offset_rows
50.0,0.009053,0.005421040391365084,0.5421040391365084,1,direct
55.0,0.00887755,0.005315978915979576,0.5315978915979576,0,vertical_offset_rows
60.0,0.0084013,0.0050307949453192845,0.5030794945319285,1,direct
65.0,0.0070343,0.004212219642657618,0.42122196426576175,0,vertical_offset_rows
70.0,0.006196,0.003710235973146809,0.3710235973146809,1,direct
75.0,0.0053339500000000005,0.0031940305308209203,0.31940305308209205,0,vertical_offset_rows
80.0,0.0043505,0.002605129373979211,0.26051293739792114,1,direct
85.0,0.0031335499999999997,0.0018764057349345033,0.1876405734934503,0,vertical_offset_rows
90.0,0.0025825,0.001546430665050296,0.1546430665050296,1,direct
95.0,0.0021629,0.001295169365125764,0.1295169365125764,0,vertical_offset_rows
100.0,0.0017554,0.0010511536841933359,0.10511536841933358,1,direct
105.0,0.00198035,0.0011858563281829057,0.11858563281829057,0,vertical_offset_rows
110.0,0.0020637,0.00123576726562025,0.123576726562025,1,direct
115.0,0.00238515,0.0014282552181005667,0.14282552181005667,0,vertical_offset_rows
120.0,0.0029993,0.0017960152928113658,0.1796015292811366,1,direct
125.0,0.0035442,0.0021223076720508264,0.21223076720508263,0,vertical_offset_rows
