scan_number,inplane_y_mm,crossplane_x_mm,dose_gy
1,-130.0,-130.0,0.0056069
1,-130.0,-120.0,0.0063329
1,-130.0,-110.0,0.0072307
1,-130.0,-100.0,0.0079768
1,-130.0,-90.0,0.0087925
1,-130.0,-80.0,0.009463
1,-130.0,-70.0,0.010406
1,-130.0,-60.0,0.011024
1,-130.0,-50.0,0.011714
1,-130.0,-40.0,0.012669
1,-130.0,-30.0,0.013255
1,-130.0,-20.0,0.013163
1,-130.0,-10.0,0.01335
1,-130.0,0.0,0.01345
1,-130.0,10.0,0.013217
1,-130.0,20.0,0.012801
1,-130.0,30.0,0.01259
1,-130.0,40.0,0.012094
1,-130.0,50.0,0.011196
1,-130.0,60.0,0.010501
1,-130.0,70.0,0.0096672
1,-130.0,80.0,0.0090826
1,-130.0,90.0,0.0082091
1,-130.0,100.0,0.0075515
1,-130.0,110.0,0.0065988
1,-130.0,120.0,0.0059047
1,-130.0,130.0,0.0055161
2,-125.0,-125.0,0.005698
2,-125.0,-115.0,0.0061944
2,-125.0,-105.0,0.0067761
2,-125.0,-95.0,0.0070395
2,-125.0,-85.0,0.0076168
2,-125.0,-75.0,0.0082678
2,-125.0,-65.0,0.0084153
2,-125.0,-55.0,0.0092786
2,-125.0,-45.0,0.0098426
2,-125.0,-35.0,0.010575
2,-125.0,-25.0,0.010712
2,-125.0,-15.0,0.01105
2,-125.0,-5.0,0.010926
2,-125.0,5.0,0.011308
2,-125.0,15.0,0.011042
2,-125.0,25.0,0.01022
2,-125.0,35.0,0.0099941
2,-125.0,45.0,0.0093667
2,-125.0,55.0,0.0086927
2,-125.0,65.0,0.00801
2,-125.0,75.0,0.0074547
2,-125.0,85.0,0.0073433
2,-125.0,95.0,0.006849
2,-125.0,105.0,0.0062472
2,-125.0,115.0,0.0056385
2,-125.0,125.0,0.0054222
3,-120.0,-130.0,0.0055384
3,-120.0,-120.0,0.0058105
3,-120.0,-110.0,0.0062519
3,-120.0,-100.0,0.0068297
3,-120.0,-90.0,0.0071194
3,-120.0,-80.0,0.0071577
3,-120.0,-70.0,0.0077881
3,-120.0,-60.0,0.008744
3,-120.0,-50.0,0.0090906
3,-120.0,-40.0,0.0098729
3,-120.0,-30.0,0.010576
3,-120.0,-20.0,0.010801
3,-120.0,-10.0,0.01109
3,-120.0,0.0,0.010935
3,-120.0,10.0,0.010982
3,-120.0,20.0,0.010669
3,-120.0,30.0,0.0098811
3,-120.0,40.0,0.0093072
