file,energy,field_cm,plates,offset,axis,normalization_x_mm,profile_y_mm,normalization_dose_gy,peak_relative_dose,peak_position_mm,fwhm_mm,left_50_mm,right_50_mm,left_penumbra_mm,right_penumbra_mm,flatness_percent,symmetry_percent
12MeV_10_one2cm_two5mmin.mcc,12MeV,10,,one2cm_two5mmin,crossplane_x_at_y0,-17.918653224027437,0.0,1.9058930720186018,1.0043060799694843,-10.0,69.7297774169021,-53.36143432087718,16.368343096024923,12.719735919431592,10.933414636105933,7.196460573476701,4.751264228958741
12MeV_10_one2cm_two5mmout.mcc,12MeV,10,,one2cm_two5mmout,crossplane_x_at_y0,-15.52626687693509,0.0,1.9099237610032118,1.003809701279891,-10.0,74.3421313475555,-53.34048332688641,21.001648020669094,12.75233406916184,10.701247084370282,7.2664456660092664,5.150569024245177
12MeV_10_one_2cmoff.mcc,12MeV,10,one,2cmoff,crossplane_x_at_y0,-15.421826322807416,0.0,1.9133792961467362,1.003878323481501,-10.0,74.61677043131715,-53.333489441437486,21.28328098987967,12.75834579032464,10.91571370353514,7.283288650580867,5.062281651749845
12MeV_10_one_onaxis.mcc,12MeV,10,one,onaxis,crossplane_x_at_y0,-25.61184018769208,0.0,1.888386847474462,1.0024958617625628,-20.0,54.4985858411443,-53.4387614816091,1.0598243595351962,12.551861871812186,10.743187668211473,7.999714754332173,6.159890753937014
12MeV_10_two_2cmoff.mcc,12MeV,10,two,2cmoff,crossplane_x_at_y0,-15.409458249598263,0.0,1.9140743938881628,1.004088454522366,-10.0,74.59491192342841,-53.33207522288784,21.262836700540582,12.761259493456954,10.750188617505696,7.3162560201019025,5.088105916863849
12MeV_10_two_onaxis.mcc,12MeV,10,two,onaxis,crossplane_x_at_y0,-25.632455476350692,0.0,1.8882303175424342,1.0021023295837832,-20.0,54.46050655467437,-53.45430627790424,1.006200276770132,12.52272332252609,10.540299880146936,7.976090274904781,6.295761281477718
6MeV_10_one_2cmoff.mcc,6MeV,10,one,2cmoff,crossplane_x_at_y0,-14.680514952195143,0.0,1.9296707606279218,1.0068038753760284,0.0,74.36360002331057,-52.79664877206079,21.56695125124977,12.563736671242133,8.01275013478443,8.080442824956199,7.909352178877915
6MeV_10_one_onaxis.mcc,6MeV,10,one,onaxis,crossplane_x_at_y0,-24.96387019495046,0.0,1.9011349050418662,1.0061358586006695,-20.0,54.03997257636676,-52.8940480504043,1.14592452596246,12.35597522775312,7.959974115479218,7.413906866392446,11.545105031193392
6MeV_10_two_2cmoff.mcc,6MeV,10,two,2cmoff,crossplane_x_at_y0,-14.751244935168737,0.0,1.9286853213634547,1.0075775340200204,0.0,74.2793934474305,-52.80807442590671,21.47131902152378,12.562222122427876,8.0043736172437,8.090218872542206,7.51238893513646
6MeV_10_two_onaxis.mcc,6MeV,10,two,onaxis,crossplane_x_at_y0,-25.033146188741487,0.0,1.9020283534873188,1.0060312699816742,-20.0,53.929529528040355,-52.90578013299625,1.023749395044103,12.359225778314517,8.025723876293796,7.406471892453209,11.354114531799686
9MeV_10_one_2cmoff.mcc,9MeV,10,one,2cmoff,crossplane_x_at_y0,-14.867427359567998,0.0,1.912286549819645,1.0028308781342763,0.0,75.28904140194138,-53.12848416475153,22.160557237189856,12.728550394330114,10.493174030748268,7.328949209458522,4.524159724072208
9MeV_10_one_onaxis.mcc,9MeV,10,one,onaxis,crossplane_x_at_y0,-25.32913786121118,0.0,1.8892639898325234,1.0022950790312057,-20.0,54.51397041614871,-53.21332408639108,1.3006463297576285,12.590803861644972,10.080047547846203,6.8713491548381604,7.167137567367721
9MeV_10_two_2cmoff.mcc,9MeV,10,two,2cmoff,crossplane_x_at_y0,-14.923654938046326,0.0,1.912342377524964,1.0031153534769994,-10.0,75.20523006287749,-53.133656215057805,22.071573847819685,12.738395146747486,10.469433889284566,7.358023309501486,4.26204021804616
9MeV_10_two_onaxis.mcc,9MeV,10,two,onaxis,crossplane_x_at_y0,-25.38643639503725,0.0,1.8927184515566053,1.0017337752694786,-20.0,54.391695489858826,-53.21273589367395,1.178959596184872,12.573497101825971,9.953638489704277,7.144370823502822,7.073260095761668
9MeV_6_one_2cmoff.mcc,9MeV,6,one,2cmoff,crossplane_x_at_y0,-4.65890247800697,0.0,1.7512083182174465,1.005134558629613,0.0,51.21787434502377,-30.851748583320003,20.366125761703767,12.244804877503885,9.292496893521578,11.378628490073556,6.762565534561126
9MeV_6_one_onaxis.mcc,9MeV,6,one,onaxis,crossplane_x_at_y0,-14.438010555371195,0.0,1.6732599110831397,1.000352658252882,-15.0,32.79357303123213,-31.255836215963285,1.5377368152688462,11.830384086584008,9.593930128391404,8.882456254472126,6.303901102292764
9MeV_6_two_2cmoff.mcc,9MeV,6,two,2cmoff,crossplane_x_at_y0,-4.604315925462539,0.0,1.7562640302121815,1.0060560198266622,0.0,51.216611045171945,-30.841645744305062,20.374965300866887,12.27025521203069,9.187566512793964,11.485132896916166,7.259881332464402
9MeV_6_two_onaxis.mcc,9MeV,6,two,onaxis,crossplane_x_at_y0,-14.578900218392592,0.0,1.6699746444280494,1.0004942323973027,-15.0,32.53141828111557,-31.28203158800605,1.24938669310952,11.787093212581532,9.316870723310231,8.731798584560316,5.972032846468389
Trial.mcc,Trial,,,,crossplane_x_at_y0,-0.17686207396956988,0.0,1.8310930713734554,1.0001130082516172,0.0,105.01018124357304,-52.69498145158448,52.315199791988555,11.075730270753006,11.016534354525618,3.34650112866817,0.44748278118117435
