scan_number,inplane_y_mm,crossplane_x_mm,dose_gy
1,-130.0,-130.0,0.004157
1,-130.0,-120.0,0.0046363
1,-130.0,-110.0,0.0054251
1,-130.0,-100.0,0.0059893
1,-130.0,-90.0,0.0065816
1,-130.0,-80.0,0.0070381
1,-130.0,-70.0,0.0076086
1,-130.0,-60.0,0.0078943
1,-130.0,-50.0,0.0082208
1,-130.0,-40.0,0.0088606
1,-130.0,-30.0,0.0094729
1,-130.0,-20.0,0.0095761
1,-130.0,-10.0,0.0099473
1,-130.0,0.0,0.010024
1,-130.0,10.0,0.0099542
1,-130.0,20.0,0.0096223
1,-130.0,30.0,0.0094318
1,-130.0,40.0,0.0091819
1,-130.0,50.0,0.0084746
1,-130.0,60.0,0.008242
1,-130.0,70.0,0.0078621
1,-130.0,80.0,0.0072437
1,-130.0,90.0,0.0067549
1,-130.0,100.0,0.0062301
1,-130.0,110.0,0.0055646
1,-130.0,120.0,0.0048341
1,-130.0,130.0,0.0045633
2,-125.0,-125.0,0.0045413
2,-125.0,-115.0,0.0051474
2,-125.0,-105.0,0.0060039
2,-125.0,-95.0,0.0066644
2,-125.0,-85.0,0.0072081
2,-125.0,-75.0,0.0075087
2,-125.0,-65.0,0.0074478
2,-125.0,-55.0,0.0082625
2,-125.0,-45.0,0.0086475
2,-125.0,-35.0,0.0092224
2,-125.0,-25.0,0.0095738
2,-125.0,-15.0,0.010194
2,-125.0,-5.0,0.0099341
2,-125.0,5.0,0.010345
2,-125.0,15.0,0.010133
2,-125.0,25.0,0.0095361
2,-125.0,35.0,0.0094605
2,-125.0,45.0,0.0087367
2,-125.0,55.0,0.0083668
2,-125.0,65.0,0.0079404
2,-125.0,75.0,0.0075145
2,-125.0,85.0,0.0073314
2,-125.0,95.0,0.0065207
2,-125.0,105.0,0.0060068
2,-125.0,115.0,0.0051171
2,-125.0,125.0,0.0047658
3,-120.0,-130.0,0.004678
3,-120.0,-120.0,0.0050125
3,-120.0,-110.0,0.0058579
3,-120.0,-100.0,0.0068216
3,-120.0,-90.0,0.0073745
3,-120.0,-80.0,0.0075933
3,-120.0,-70.0,0.0080741
3,-120.0,-60.0,0.008563
3,-120.0,-50.0,0.0087242
3,-120.0,-40.0,0.0094358
3,-120.0,-30.0,0.010116
3,-120.0,-20.0,0.010651
3,-120.0,-10.0,0.010843
3,-120.0,0.0,0.010714
3,-120.0,10.0,0.010855
3,-120.0,20.0,0.010564
3,-120.0,30.0,0.010101
3,-120.0,40.0,0.0094233
3,-120.0,50.0,0.009008
3,-120.0,60.0,0.0085994
3,-120.0,70.0,0.0080141
3,-120.0,80.0,0.0078702
3,-120.0,90.0,0.0073095
3,-120.0,100.0,0.0068468
3,-120.0,110.0,0.0060568
3,-120.0,120.0,0.0052436
3,-120.0,130.0,0.0045854
4,-115.0,-125.0,0.0049281
4,-115.0,-115.0,0.0058869
4,-115.0,-105.0,0.0066245
4,-115.0,-95.0,0.0078045
4,-115.0,-85.0,0.0080845
4,-115.0,-75.0,0.008675
4,-115.0,-65.0,0.0086635
4,-115.0,-55.0,0.0093753
4,-115.0,-45.0,0.0098787
4,-115.0,-35.0,0.010578
4,-115.0,-25.0,0.011171
4,-115.0,-15.0,0.01139
4,-115.0,-5.0,0.011651
4,-115.0,5.0,0.01162
4,-115.0,15.0,0.011508
4,-115.0,25.0,0.011319
4,-115.0,35.0,0.010778
4,-115.0,45.0,0.0098782
4,-115.0,55.0,0.0091618
4,-115.0,65.0,0.0087913
4,-115.0,75.0,0.0086749
4,-115.0,85.0,0.0081443
4,-115.0,95.0,0.0076607
4,-115.0,105.0,0.0066648
4,-115.0,115.0,0.0057746
4,-115.0,125.0,0.0051515
5,-110.0,-130.0,0.0049719
5,-110.0,-120.0,0.0057431
5,-110.0,-110.0,0.0067767
5,-110.0,-100.0,0.0078092
5,-110.0,-90.0,0.0086688
