crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
-125,0.00444395,0.004525,0.00477505,0.0050251,0.00537525,0.0057254,0.00605085,0.0063763,0.0067538,0.0071313,0.0075618,0.0079923,0.008297,0.0086017,0.00902325,0.0094448,0.0097719,0.010099,0.010508,0.010917,0.0112975,0.011678,0.0118595,0.012041,0.0121435,0.012246,0.0123235,0.012401,0.012227,0.012053,0.011957,0.011861,0.011455,0.011049,0.010567,0.010085,0.009829,0.009573,0.0091302,0.0086874,0.00815745,0.0076275,0.00740425,0.007181,0.00676965,0.0063583,0.00599165,0.005625,0.0052939,0.0049628,0.0046121,0.0042614,0.00441925
-120,0.0047785,0.0049374,0.0050963,0.00544265,0.005789,0.0061624,0.0065358,0.006919,0.0073022,0.00765805,0.0080139,0.00846585,0.0089178,0.0092674,0.009617,0.01004,0.010463,0.010903,0.011343,0.0116545,0.011966,0.0123785,0.012791,0.012938,0.013085,0.013135,0.013185,0.01321,0.013235,0.0130835,0.012932,0.012572,0.012212,0.0118695,0.011527,0.0111215,0.010716,0.0100642,0.0094124,0.00914095,0.0088695,0.008362,0.0078545,0.0074879,0.0071213,0.00679555,0.0064698,0.0060299,0.00559,0.00518975,0.0047895,0.0047804,0.0047713
-115,0.0051086,0.0052798,0.00555155,0.0058233,0.0062573,0.0066913,0.00715835,0.0076254,0.00796925,0.0083131,0.00868155,0.00905,0.00950395,0.0099579,0.01038545,0.010813,0.0112515,0.01169,0.0121405,0.012591,0.0129835,0.013376,0.0135625,0.013749,0.0139735,0.014198,0.014299,0.0144,0.0142795,0.014159,0.013965,0.013771,0.013266,0.012761,0.0122545,0.011748,0.011231,0.010714,0.0102986,0.0098832,0.00952875,0.0091743,0.0086936,0.0082129,0.0076707,0.0071285,0.0067887,0.0064489,0.00604315,0.0056374,0.00520785,0.0047783,0.00492265
-110,0.0054387,0.005649,0.0058593,0.0063814,0.0069035,0.00746055,0.0080176,0.0083345,0.0086514,0.00905485,0.0094583,0.00986215,0.010266,0.010631,0.010996,0.011449,0.011902,0.01243,0.012958,0.013424,0.01389,0.014242,0.014594,0.0147755,0.014957,0.015171,0.015385,0.015384,0.015383,0.015169,0.014955,0.014679,0.014403,0.0139235,0.013444,0.012786,0.012128,0.011612,0.011096,0.010655,0.010214,0.00976965,0.0093253,0.0087954,0.0082655,0.0076986,0.0071317,0.0068199,0.0065081,0.0060901,0.0056721,0.00537305,0.005074
-105,0.0056653,0.005948,0.00633945,0.0067309,0.00730695,0.007883,0.0085395,0.009196,0.0096945,0.010193,0.010487,0.010781,0.0112705,0.01176,0.012123,0.012486,0.013147,0.013808,0.014416,0.015024,0.015401,0.015778,0.0160565,0.016335,0.0165225,0.01671,0.0167515,0.016793,0.0167145,0.016636,0.0162485,0.015861,0.015493,0.015125,0.0144965,0.013868,0.01325,0.012632,0.012195,0.011758,0.011176,0.010594,0.01022925,0.0098645,0.00921435,0.0085642,0.0079899,0.0074156,0.00687735,0.0063391,0.00605075,0.0057624,0.0054145
-100,0.0058919,0.00638555,0.0068792,0.0073581,0.007837,0.00863415,0.0094313,0.01037315,0.011315,0.0118295,0.012344,0.012765,0.013186,0.013682,0.014178,0.0147305,0.015283,0.0160115,0.01674,0.0172185,0.017697,0.0182355,0.018774,0.0191525,0.019531,0.0194835,0.019436,0.0194715,0.019507,0.019312,0.019117,0.018644,0.018171,0.0175615,0.016952,0.016244,0.015536,0.0147465,0.013957,0.0135335,0.01311,0.0125925,0.012075,0.0113285,0.010582,0.00956615,0.0085503,0.0079064,0.0072625,0.00687915,0.0064958,0.0061254,0.005755
-95,0.0062266,0.0065076,0.00717475,0.0078419,0.00845835,0.0090748,0.0101639,0.011253,0.0126915,0.01413,0.0145965,0.015063,0.0156095,0.016156,0.016858,0.01756,0.0184265,0.019293,0.020108,0.020923,0.0215225,0.022122,0.0225395,0.022957,0.0230295,0.023102,0.023157,0.023212,0.0231625,0.023113,0.022554,0.021995,0.0213675,0.02074,0.0199915,0.019243,0.0183165,0.01739,0.0166395,0.015889,0.0152725,0.014656,0.0139275,0.013199,0.011679,0.010159,0.00927295,0.0083869,0.00782495,0.007263,0.0067727,0.0062824,0.00603595
-90,0.0065613,0.00703605,0.0075108,0.00810685,0.0087029,0.00961195,0.010521,0.0126855,0.01485,0.01583,0.01681,0.01746,0.01811,0.0190415,0.019973,0.0209835,0.021994,0.023046,0.024098,0.025156,0.026214,0.0268555,0.027497,0.027825,0.028153,0.0282175,0.028282,0.0282765,0.028271,0.027787,0.027303,0.026619,0.025935,0.02496,0.023985,0.0227665,0.021548,0.020437,0.019326,0.018415,0.017504,0.016743,0.015982,0.014574,0.013166,0.011327,0.009488,0.0088466,0.0082052,0.0074747,0.0067442,0.00653055,0.0063169
-85,0.006758,0.0071625,0.00766115,0.0081598,0.0090879,0.010016,0.011499,0.012982,0.015063,0.017144,0.0181245,0.019105,0.0201295,0.021154,0.0225235,0.023893,0.0256345,0.027376,0.0288635,0.030351,0.031297,0.032243,0.033002,0.033761,0.03407,0.034379,0.0344295,0.03448,0.034031,0.033582,0.032923,0.032264,0.0312365,0.030209,0.028558,0.026907,0.025216,0.023525,0.0219575,0.02039,0.0191465,0.017903,0.0169785,0.016054,0.013773,0.011492,0.010321,0.00915,0.00841995,0.0076899,0.0071881,0.0066863,0.00635155
-80,0.0069547,0.007336,0.0077173,0.0085157,0.0093141,0.01025305,0.011192,0.0139445,0.016697,0.0177835,0.01887,0.0201875,0.021505,0.0234485,0.025392,0.027936,0.03048,0.033133,0.035786,0.0376705,0.039555,0.040632,0.041709,0.0423945,0.04308,0.043336,0.043592,0.043295,0.042998,0.042376,0.041754,0.040739,0.039724,0.037717,0.03571,0.03314,0.03057,0.0277235,0.024877,0.0226955,0.020514,0.019351,0.018188,0.016531,0.014874,0.012474,0.010074,0.00940205,0.0087301,0.00800485,0.0072796,0.0068329,0.0063862
-75,0.0072592,0.0074603,0.00800005,0.0085398,0.0093654,0.010191,0.011688,0.013185,0.015857,0.018529,0.019789,0.021049,0.0234045,0.02576,0.0301085,0.034457,0.039267,0.044077,0.0478125,0.051548,0.0537955,0.056043,0.057015,0.057987,0.058681,0.059375,0.059317,0.059259,0.0587175,0.058176,0.0572955,0.056415,0.054419,0.052423,0.0486165,0.04481,0.0397865,0.034763,0.0303645,0.025966,0.0231335,0.020301,0.018889,0.017477,0.0147335,0.01199,0.01071635,0.0094427,0.0087008,0.0079589,0.00740225,0.0068456,0.006564
-70,0.0075637,0.0077858,0.0080079,0.0087192,0.0094305,0.01040125,0.011372,0.014284,0.017196,0.018839,0.020482,0.0230275,0.025573,0.031826,0.038079,0.0476775,0.057276,0.065517,0.073758,0.0784095,0.083061,0.0852285,0.087396,0.0883595,0.089323,0.0898475,0.090372,0.090319,0.090266,0.0892925,0.088319,0.0865455,0.084772,0.0803395,0.075907,0.0672945,0.058682,0.048674,0.038666,0.0321535,0.025641,0.022359,0.019077,0.017385,0.015693,0.013307,0.010921,0.00963995,0.0083589,0.0078725,0.0073861,0.00706395,0.0067418
-65,0.0077151,0.0075062,0.00806845,0.0086307,0.00958635,0.010542,0.011913,0.013284,0.016521,0.019758,0.021778,0.023798,0.0319655,0.040133,0.059238,0.078343,0.1005865,0.12283,0.134705,0.14658,0.15141,0.15624,0.158455,0.16067,0.162005,0.16334,0.16365,0.16396,0.16383,0.1637,0.1625,0.1613,0.156885,0.15247,0.14089,0.12931,0.105515,0.08172,0.061135,0.04055,0.031786,0.023022,0.0207445,0.018467,0.0152535,0.01204,0.01093695,0.0098339,0.0088916,0.0079493,0.00684705,0.0057448,0.0063224
