scan_number,inplane_y_mm,crossplane_x_mm,dose_gy
1,-130.0,-130.0,0.0042216
1,-130.0,-120.0,0.0046271
1,-130.0,-110.0,0.0054404
1,-130.0,-100.0,0.0059618
1,-130.0,-90.0,0.0065907
1,-130.0,-80.0,0.0070471
1,-130.0,-70.0,0.0076235
1,-130.0,-60.0,0.0079749
1,-130.0,-50.0,0.0083404
1,-130.0,-40.0,0.0088515
1,-130.0,-30.0,0.0094153
1,-130.0,-20.0,0.0096703
1,-130.0,-10.0,0.0099473
1,-130.0,0.0,0.010003
1,-130.0,10.0,0.0099696
1,-130.0,20.0,0.0097148
1,-130.0,30.0,0.0097258
1,-130.0,40.0,0.0091118
1,-130.0,50.0,0.0084352
1,-130.0,60.0,0.0081357
1,-130.0,70.0,0.0077986
1,-130.0,80.0,0.0072528
1,-130.0,90.0,0.0067397
1,-130.0,100.0,0.0062947
1,-130.0,110.0,0.0055584
1,-130.0,120.0,0.0049175
1,-130.0,130.0,0.0043954
2,-125.0,-125.0,0.0045045
2,-125.0,-115.0,0.005215
2,-125.0,-105.0,0.0059123
2,-125.0,-95.0,0.0065065
2,-125.0,-85.0,0.0071901
2,-125.0,-75.0,0.0076426
2,-125.0,-65.0,0.0076376
2,-125.0,-55.0,0.00823
2,-125.0,-45.0,0.0087161
2,-125.0,-35.0,0.0092194
2,-125.0,-25.0,0.0095858
2,-125.0,-15.0,0.010025
2,-125.0,-5.0,0.010115
2,-125.0,5.0,0.010367
2,-125.0,15.0,0.010126
2,-125.0,25.0,0.0097036
2,-125.0,35.0,0.009282
2,-125.0,45.0,0.0088636
2,-125.0,55.0,0.0084778
2,-125.0,65.0,0.0079584
2,-125.0,75.0,0.0076012
2,-125.0,85.0,0.0072262
2,-125.0,95.0,0.0067357
2,-125.0,105.0,0.0060098
2,-125.0,115.0,0.0051659
2,-125.0,125.0,0.0046706
3,-120.0,-130.0,0.0045763
3,-120.0,-120.0,0.0051845
3,-120.0,-110.0,0.0058487
3,-120.0,-100.0,0.0067942
3,-120.0,-90.0,0.0074617
3,-120.0,-80.0,0.007647
3,-120.0,-70.0,0.008083
3,-120.0,-60.0,0.0085778
3,-120.0,-50.0,0.0087508
3,-120.0,-40.0,0.0094567
3,-120.0,-30.0,0.010197
3,-120.0,-20.0,0.0106
3,-120.0,-10.0,0.01109
3,-120.0,0.0,0.010695
3,-120.0,10.0,0.010831
3,-120.0,20.0,0.010564
3,-120.0,30.0,0.010137
3,-120.0,40.0,0.0094957
3,-120.0,50.0,0.0089478
3,-120.0,60.0,0.0086054
3,-120.0,70.0,0.0080022
3,-120.0,80.0,0.0079063
3,-120.0,90.0,0.0074605
3,-120.0,100.0,0.0066879
3,-120.0,110.0,0.00621
3,-120.0,120.0,0.0052405
3,-120.0,130.0,0.0046848
