crossplane_x_mm_at_y0,dose_gy,relative_to_80_percent_midpoint,percent_of_80_percent_midpoint,directly_measured,interpolation_method
-125.0,0.009358149999999999,0.0048496096800237695,0.4849609680023769,0,vertical_offset_rows
-120.0,0.010148,0.005258928210477629,0.5258928210477629,1,direct
-115.0,0.011681,0.006053364251733266,0.6053364251733265,0,vertical_offset_rows
-110.0,0.0139,0.007203301352546218,0.7203301352546219,1,direct
-105.0,0.014861,0.007701313769797795,0.7701313769797795,0,vertical_offset_rows
-100.0,0.015323,0.007940732850724152,0.7940732850724151,1,direct
-95.0,0.0154395,0.00800110584407463,0.800110584407463,0,vertical_offset_rows
-90.0,0.017188,0.008907218967450677,0.8907218967450676,1,direct
-85.0,0.0215305,0.01115760286122276,1.115760286122276,0,vertical_offset_rows
-80.0,0.028008,0.014514393113821187,1.4514393113821187,1,direct
-75.0,0.0388195,0.02011716236368115,2.0117162363681147,0,vertical_offset_rows
-70.0,0.063682,0.03300148465703945,3.300148465703945,1,direct
-65.0,0.12809500000000001,0.06638179041398619,6.638179041398619,0,vertical_offset_rows
-60.0,0.30617,0.15866437231000546,15.866437231000546,1,direct
-55.0,0.715665,0.37087414837913596,37.0874148379136,0,vertical_offset_rows
-50.0,1.2811,0.663895637607695,66.3895637607695,1,direct
-45.0,1.6522999999999999,0.8562600593390012,85.62600593390012,0,vertical_offset_rows
-40.0,1.8013,0.9334753040533456,93.34753040533455,1,direct
-35.0,1.8587,0.9632213110775293,96.32213110775292,0,vertical_offset_rows
-30.0,1.888,0.978405248460954,97.8405248460954,1,direct
-25.0,1.90675,0.9881219319401081,98.81219319401082,0,vertical_offset_rows
-20.0,1.921,0.9955066113842652,99.55066113842652,1,direct
-15.0,1.92915,0.9997301298032042,99.97301298032042,0,vertical_offset_rows
-10.0,1.9373,1.0039536482221432,100.39536482221432,1,direct
-5.0,1.9384,1.0045236936529203,100.45236936529203,0,vertical_offset_rows
0.0,1.9428,1.0068038753760284,100.68038753760284,1,direct
5.0,1.9325,1.0014661772514797,100.14661772514796,0,vertical_offset_rows
10.0,1.9002,0.9847275705113903,98.47275705113903,1,direct
15.0,1.77385,0.919250079439864,91.9250079439864,0,vertical_offset_rows
20.0,1.2263,0.6354970106926208,63.54970106926208,1,direct
25.0,0.39199,0.20313828037299225,20.313828037299224,0,vertical_offset_rows
30.0,0.1265,0.06555522453935947,6.5555224539359465,1,direct
35.0,0.056703500000000004,0.029385064621878027,2.9385064621878025,0,vertical_offset_rows
40.0,0.033839,0.017536152120058383,1.7536152120058384,1,direct
45.0,0.024987000000000002,0.012948841071659884,1.2948841071659885,0,vertical_offset_rows
50.0,0.020028,0.010378972625093213,1.0378972625093215,1,direct
55.0,0.014404,0.007464485804465881,0.7464485804465881,0,vertical_offset_rows
60.0,0.010963,0.005681280052371525,0.5681280052371525,1,direct
65.0,0.008954750000000001,0.004640558473864263,0.46405584738642636,0,vertical_offset_rows
70.0,0.0080427,0.004167913078282264,0.4167913078282264,1,direct
75.0,0.007747250000000001,0.004014804057806741,0.40148040578067407,0,vertical_offset_rows
80.0,0.0073351,0.003801218399356962,0.3801218399356962,1,direct
85.0,0.0070158,0.003635749757495954,0.3635749757495954,0,vertical_offset_rows
90.0,0.0063805,0.0033065226100662697,0.330652261006627,1,direct
95.0,0.00525045,0.00272090457456664,0.272090457456664,0,vertical_offset_rows
100.0,0.0045039,0.0023340251051606415,0.23340251051606414,1,direct
105.0,0.00452495,0.002344933701813238,0.23449337018132382,0,vertical_offset_rows
110.0,0.004299,0.0022278411881004457,0.22278411881004456,1,direct
115.0,0.00319145,0.001653883172775801,0.1653883172775801,0,vertical_offset_rows
120.0,0.0024903,0.0012905310329673274,0.12905310329673272,1,direct
125.0,0.0025266999999999998,0.0013093943544948583,0.13093943544948583,0,vertical_offset_rows
