crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
-125,0.00314335,0.0029375,0.0030113,0.0030851,0.00330175,0.0035184,0.00371155,0.0039047,0.0042394,0.0045741,0.00490825,0.0052424,0.0054039,0.0055654,0.00597745,0.0063895,0.0067407,0.0070919,0.00753255,0.0079732,0.0083444,0.0087156,0.00883415,0.0089527,0.00899335,0.009034,0.0092555,0.009477,0.0092696,0.0090622,0.00893985,0.0088175,0.0084992,0.0081809,0.00764875,0.0071166,0.0068385,0.0065604,0.00626615,0.0059719,0.00541945,0.004867,0.0046998,0.0045326,0.00425625,0.0039799,0.00371385,0.0034478,0.0031044,0.002761,0.0027528,0.0027446,0.0031279
-120,0.0034811,0.00333025,0.0031794,0.0032991,0.0034188,0.00375175,0.0040847,0.00428575,0.0044868,0.00468815,0.0048895,0.0055259,0.0061623,0.0063534,0.0065445,0.00687295,0.0072014,0.0078163,0.0084312,0.00864185,0.0088525,0.00918945,0.0095264,0.0098097,0.010093,0.0101035,0.010114,0.010087,0.01006,0.01001595,0.0099719,0.00959015,0.0092084,0.0087948,0.0083812,0.00804535,0.0077095,0.00708865,0.0064678,0.0062132,0.0059586,0.0054195,0.0048804,0.00463555,0.0043907,0.00414955,0.0039084,0.00351505,0.0031217,0.00294325,0.0027648,0.00307725,0.0033897
-115,0.00386205,0.0034557,0.00349965,0.0035436,0.00379235,0.0040411,0.00436195,0.0046828,0.0050122,0.0053416,0.0057771,0.0062126,0.0066817,0.0071508,0.0076419,0.008133,0.0086017,0.0090704,0.00942095,0.0097715,0.01018625,0.010601,0.0107865,0.010972,0.0111735,0.011375,0.0116035,0.011832,0.011712,0.011592,0.0113145,0.011037,0.010566,0.010095,0.00964125,0.0091875,0.0085762,0.0079649,0.0076429,0.0073209,0.0068774,0.0064339,0.0058955,0.0053571,0.004837,0.0043169,0.0040477,0.0037785,0.00348545,0.0031924,0.00299685,0.0028013,0.0035665
-110,0.004243,0.0039219,0.0036008,0.00379595,0.0039911,0.0047174,0.0054437,0.00555505,0.0056664,0.0061982,0.00673,0.00762635,0.0085227,0.00881435,0.009106,0.009519,0.009932,0.010627,0.011322,0.0117245,0.012127,0.012464,0.012801,0.013062,0.013323,0.0135735,0.013824,0.0138255,0.013827,0.013567,0.013307,0.0131515,0.012996,0.0124305,0.011865,0.011099,0.010333,0.00989815,0.0094633,0.00897865,0.008494,0.0074946,0.0064952,0.0060634,0.0056316,0.0050835,0.0045354,0.00410565,0.0036759,0.0035413,0.0034067,0.003575,0.0037433
-105,0.0044556,0.003902,0.00382795,0.0037539,0.00434455,0.0049352,0.00548225,0.0060293,0.00649255,0.0069558,0.00775095,0.0085461,0.00907055,0.009595,0.0099255,0.010256,0.0109965,0.011737,0.012289,0.012841,0.0131325,0.013424,0.013835,0.014246,0.014489,0.014732,0.0148875,0.015043,0.014778,0.014513,0.0141555,0.013798,0.01346,0.013122,0.012425,0.011728,0.0110735,0.010419,0.00992825,0.0094375,0.00869285,0.0079482,0.0073549,0.0067616,0.00621165,0.0056617,0.0049951,0.0043285,0.0038657,0.0034029,0.0036082,0.0038135,0.0041339
-100,0.0046682,0.0043999,0.0041316,0.0042572,0.0043828,0.0053091,0.0062354,0.00671475,0.0071941,0.00783325,0.0084724,0.00895945,0.0094465,0.00996475,0.010483,0.0108565,0.01123,0.0119465,0.012663,0.013144,0.013625,0.014033,0.014441,0.014951,0.015461,0.0154405,0.01542,0.015378,0.015336,0.0152115,0.015087,0.014572,0.014057,0.0135405,0.013024,0.0122825,0.011541,0.010849,0.010157,0.00969855,0.0092401,0.0085849,0.0079297,0.0073015,0.0066733,0.00622465,0.005776,0.0047733,0.0037706,0.0038781,0.0039856,0.00425505,0.0045245
-95,0.005005,0.0043278,0.00439865,0.0044695,0.00486945,0.0052694,0.00616135,0.0070533,0.0076474,0.0082415,0.0088006,0.0093597,0.00985535,0.010351,0.0107375,0.011124,0.011652,0.01218,0.012913,0.013646,0.0141105,0.014575,0.014978,0.015381,0.0153495,0.015318,0.0153425,0.015367,0.015413,0.015459,0.014874,0.014289,0.0138295,0.01337,0.01287,0.01237,0.01154,0.01071,0.0101689,0.0096278,0.0091146,0.0086014,0.00794525,0.0072891,0.0069778,0.0066665,0.00569145,0.0047164,0.0043527,0.003989,0.00406925,0.0041495,0.00490155
-90,0.0053418,0.0048993,0.0044568,0.00438255,0.0043083,0.0054987,0.0066891,0.0073739,0.0080587,0.00872115,0.0093836,0.0101263,0.010869,0.0115775,0.012286,0.0126585,0.013031,0.0136015,0.014172,0.014977,0.015782,0.016117,0.016452,0.0168455,0.017239,0.0171435,0.017048,0.017095,0.017142,0.0168,0.016458,0.015822,0.015186,0.0146155,0.014045,0.013282,0.012519,0.0116295,0.01074,0.01020625,0.0096725,0.00918455,0.0086966,0.0078489,0.0070012,0.0064498,0.0058984,0.0051444,0.0043904,0.00406885,0.0037473,0.00451295,0.0052786
-85,0.0056086,0.0047151,0.00450835,0.0043016,0.0051745,0.0060474,0.00697785,0.0079083,0.0086496,0.0093909,0.01045345,0.011516,0.0127655,0.014015,0.0145645,0.015114,0.015857,0.0166,0.0174685,0.018337,0.0189255,0.019514,0.0200795,0.020645,0.021017,0.021389,0.0214685,0.021548,0.021099,0.02065,0.019942,0.019234,0.0186345,0.018035,0.0168655,0.015696,0.0146435,0.013591,0.0125725,0.011554,0.0105872,0.0096204,0.0090888,0.0085572,0.0079677,0.0073782,0.00627735,0.0051765,0.00464285,0.0041092,0.00428375,0.0044583,0.0054449
-80,0.0058754,0.00518755,0.0044997,0.0048191,0.0051385,0.0061864,0.0072343,0.00839515,0.009556,0.0100945,0.010633,0.012125,0.013617,0.0149815,0.016346,0.0175765,0.018807,0.0204425,0.022078,0.023131,0.024184,0.025086,0.025988,0.0266195,0.027251,0.0274755,0.0277,0.0274535,0.027207,0.0265,0.025793,0.0250075,0.024222,0.0228235,0.021425,0.019769,0.018113,0.0162725,0.014432,0.012996,0.01156,0.01078,0.01,0.0094199,0.0088398,0.0075764,0.006313,0.00559355,0.0048741,0.00455775,0.0042414,0.0049263,0.0056112
