crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
-125,0.00312635,0.0029464,0.0029786,0.0030108,0.00326985,0.0035289,0.0037218,0.0039147,0.00419825,0.0044818,0.0048457,0.0052096,0.00550495,0.0058003,0.0060395,0.0062787,0.0067286,0.0071785,0.00760675,0.008035,0.0082947,0.0085544,0.00874655,0.0089387,0.00912565,0.0093126,0.009402,0.0094914,0.0092866,0.0090818,0.00906435,0.0090469,0.0085886,0.0081303,0.0076179,0.0071055,0.00685055,0.0065956,0.0062728,0.00595,0.0054441,0.0049382,0.00475745,0.0045767,0.0043369,0.0040971,0.00371935,0.0033416,0.00314025,0.0029389,0.0028873,0.0028357,0.0032527
-120,0.0033696,0.00325765,0.0031457,0.00336615,0.0035866,0.0038154,0.0040442,0.00426245,0.0044807,0.00481935,0.005158,0.0055834,0.0060088,0.00627205,0.0065353,0.00697925,0.0074232,0.00789425,0.0083653,0.0086245,0.0088837,0.0092651,0.0096465,0.00991475,0.010183,0.0101035,0.010024,0.0101185,0.010213,0.0101285,0.010044,0.00958515,0.0091263,0.0087976,0.0084689,0.00812415,0.0077794,0.0071276,0.0064758,0.0061926,0.0059094,0.00549875,0.0050881,0.0046731,0.0042581,0.00406175,0.0038654,0.0036146,0.0033638,0.0030871,0.0028104,0.0031585,0.0035066
-115,0.00380575,0.0034885,0.0035005,0.0035125,0.00375895,0.0040054,0.0043741,0.0047428,0.0050869,0.005431,0.00579695,0.0061629,0.00671615,0.0072694,0.00772035,0.0081713,0.00857515,0.008979,0.00944225,0.0099055,0.01028475,0.010664,0.0108115,0.010959,0.011217,0.011475,0.011714,0.011953,0.011747,0.011541,0.011323,0.011105,0.010657,0.010209,0.0097211,0.0092332,0.0086419,0.0080506,0.00768805,0.0073255,0.0068143,0.0063031,0.00580535,0.0053076,0.00487595,0.0044443,0.00418835,0.0039324,0.0035568,0.0031812,0.00306475,0.0029483,0.00365745
-110,0.0042419,0.00390095,0.00356,0.00374005,0.0039201,0.0046547,0.0053893,0.0055763,0.0057633,0.00629545,0.0068276,0.0076799,0.0085322,0.00887095,0.0092097,0.00963235,0.010055,0.0107365,0.011418,0.011792,0.012166,0.012512,0.012858,0.0131585,0.013459,0.0136415,0.013824,0.0138635,0.013903,0.013706,0.013509,0.0132225,0.012936,0.012364,0.011792,0.0111035,0.010415,0.00988375,0.0093525,0.0088365,0.0083205,0.00752595,0.0067314,0.00623485,0.0057383,0.00523615,0.004734,0.0042218,0.0037096,0.0035931,0.0034766,0.00364245,0.0038083
-105,0.00445955,0.0039076,0.0038855,0.0038634,0.00447875,0.0050941,0.0055825,0.0060709,0.0064779,0.0068849,0.0077162,0.0085475,0.0090544,0.0095613,0.00998865,0.010416,0.0110355,0.011655,0.0122325,0.01281,0.0131825,0.013555,0.013968,0.014381,0.014558,0.014735,0.0148555,0.014976,0.014806,0.014636,0.014336,0.014036,0.0136095,0.013183,0.012497,0.011811,0.011172,0.010533,0.0100551,0.0095772,0.00882485,0.0080725,0.00738985,0.0067072,0.0061675,0.0056278,0.0050671,0.0045064,0.00404575,0.0035851,0.00366075,0.0037364,0.00419225
-100,0.0046772,0.0043974,0.0041176,0.00423945,0.0043613,0.0053669,0.0063725,0.00677845,0.0071844,0.0078866,0.0085888,0.00903715,0.0094855,0.00996775,0.01045,0.010899,0.011348,0.012014,0.01268,0.013239,0.013798,0.014225,0.014652,0.0150345,0.015417,0.015416,0.015415,0.0154355,0.015456,0.0152565,0.015057,0.014585,0.014113,0.013551,0.012989,0.012282,0.011575,0.0108545,0.010134,0.0096052,0.0090764,0.0085409,0.0080054,0.00734515,0.0066849,0.0062913,0.0058977,0.00494775,0.0039978,0.00391965,0.0038415,0.00420885,0.0045762
-95,0.00505395,0.0043153,0.00438885,0.0044624,0.00490805,0.0053537,0.00620415,0.0070546,0.00768425,0.0083139,0.0088229,0.0093319,0.00987445,0.010417,0.010797,0.011177,0.0117165,0.012256,0.012959,0.013662,0.0141335,0.014605,0.0149435,0.015282,0.015351,0.01542,0.015467,0.015514,0.015487,0.01546,0.0149485,0.014437,0.013936,0.013435,0.012901,0.012367,0.011576,0.010785,0.0102268,0.0096686,0.00911615,0.0085637,0.0079169,0.0072701,0.0069419,0.0066137,0.0057214,0.0048291,0.0043848,0.0039405,0.00406395,0.0041874,0.00490685
-90,0.0054307,0.0048959,0.0043611,0.00448705,0.004613,0.00565505,0.0066971,0.00743695,0.0081768,0.008819,0.0094612,0.0101451,0.010829,0.0116025,0.012376,0.012782,0.013188,0.0136565,0.014125,0.01488,0.015635,0.0161135,0.016592,0.0169165,0.017241,0.0171605,0.01708,0.017217,0.017354,0.016886,0.016418,0.01583,0.015242,0.014705,0.014168,0.0133005,0.012433,0.011624,0.010815,0.01030215,0.0097893,0.0092138,0.0086383,0.0078965,0.0071547,0.0066157,0.0060767,0.00523285,0.004389,0.00404605,0.0037031,0.0044703,0.0052375
-85,0.0056694,0.0047586,0.00457535,0.0043921,0.00517985,0.0059676,0.0069387,0.0079098,0.00864685,0.0093839,0.01043345,0.011483,0.012812,0.014141,0.0146095,0.015078,0.015844,0.01661,0.0175755,0.018541,0.0190345,0.019528,0.020151,0.020774,0.021241,0.021708,0.0216095,0.021511,0.021073,0.020635,0.0200565,0.019478,0.018696,0.017914,0.0168075,0.015701,0.0146355,0.01357,0.0126165,0.011663,0.0107025,0.009742,0.0091771,0.0086122,0.0079419,0.0072716,0.0062363,0.005201,0.0046519,0.0041028,0.0043285,0.0045542,0.00540985
-80,0.0059081,0.0051524,0.0043967,0.0048314,0.0052661,0.0062324,0.0071987,0.0083262,0.0094537,0.01016885,0.010884,0.012249,0.013614,0.0149,0.016186,0.0175015,0.018817,0.0204155,0.022014,0.0231455,0.024277,0.0251295,0.025982,0.026713,0.027444,0.027638,0.027832,0.027561,0.02729,0.0266045,0.025919,0.0250545,0.02419,0.0227785,0.021367,0.019752,0.018137,0.016318,0.014499,0.013007,0.011515,0.010847,0.010179,0.00944505,0.0087111,0.00757155,0.006432,0.00573505,0.0050381,0.00462575,0.0042134,0.0048978,0.0055822
