crossplane_x_mm_at_y0,dose_gy,relative_to_80_percent_midpoint,percent_of_80_percent_midpoint,directly_measured,interpolation_method
-125.0,0.009402,0.004943143977197649,0.4943143977197649,0,vertical_offset_rows
-120.0,0.010024,0.005270163287324955,0.5270163287324955,1,direct
-115.0,0.011714,0.006158688422558313,0.6158688422558313,0,vertical_offset_rows
-110.0,0.013824,0.007268030455305285,0.7268030455305284,1,direct
-105.0,0.0148555,0.007810346240508368,0.7810346240508368,0,vertical_offset_rows
-100.0,0.015415,0.008104505893267576,0.8104505893267576,1,direct
-95.0,0.015467,0.008131845128197833,0.8131845128197833,0,vertical_offset_rows
-90.0,0.01708,0.008979887165553695,0.8979887165553695,1,direct
-85.0,0.0216095,0.01136129225433446,1.136129225433446,0,vertical_offset_rows
-80.0,0.027832,0.01463279974190225,1.463279974190225,1,direct
-75.0,0.0386865,0.020339602156334485,2.0339602156334484,0,vertical_offset_rows
-70.0,0.063328,0.03329498210891009,3.329498210891009,1,direct
-65.0,0.127835,0.06720982879441198,6.720982879441198,0,vertical_offset_rows
-60.0,0.30569,0.16071789857365978,16.071789857365978,1,direct
-55.0,0.7145600000000001,0.37568314830316446,37.568314830316446,0,vertical_offset_rows
-50.0,1.2791,0.6724926038325368,67.24926038325368,1,direct
-45.0,1.6496,0.867284652710619,86.7284652710619,0,vertical_offset_rows
-40.0,1.7978,0.945201472261852,94.5201472261852,1,direct
-35.0,1.85515,0.9753534938628183,97.53534938628184,0,vertical_offset_rows
-30.0,1.8838,0.9904163608003542,99.04163608003542,1,direct
-25.0,1.90215,1.0000639562036278,100.00639562036278,0,vertical_offset_rows
-20.0,1.9135,1.0060312699816742,100.60312699816743,1,direct
-15.0,1.9101,1.0042437046208497,100.42437046208497,0,vertical_offset_rows
-10.0,1.8772,0.9869463809822832,98.69463809822831,1,direct
-5.0,1.7261,0.9075048733291705,90.75048733291705,0,vertical_offset_rows
0.0,1.1105,0.583850392116357,58.3850392116357,1,direct
5.0,0.33157000000000003,0.17432442549664162,17.432442549664163,0,vertical_offset_rows
10.0,0.10747,0.056502838037591076,5.650283803759107,1,direct
15.0,0.047931,0.02519993979696453,2.5199939796964532,0,vertical_offset_rows
20.0,0.029002,0.015247932527833036,1.5247932527833037,1,direct
25.0,0.0224815,0.011819750193934157,1.1819750193934158,0,vertical_offset_rows
30.0,0.019364,0.010180710484413451,1.018071048441345,1,direct
35.0,0.017687,0.009299020157912658,0.9299020157912659,0,vertical_offset_rows
40.0,0.016206,0.00852037771691822,0.852037771691822,1,direct
45.0,0.014745000000000001,0.0077522503662815715,0.7752250366281571,0,vertical_offset_rows
50.0,0.013074,0.006873714566888115,0.6873714566888115,1,direct
55.0,0.00998225,0.0052482130362030656,0.5248213036203065,0,vertical_offset_rows
60.0,0.0078574,0.004131063548865434,0.4131063548865434,1,direct
65.0,0.00666515,0.0035042327249116046,0.35042327249116045,0,vertical_offset_rows
70.0,0.0061871,0.0032528957776345,0.32528957776345,1,direct
75.0,0.00615045,0.003233626874553848,0.3233626874553848,0,vertical_offset_rows
80.0,0.0057358,0.0030156227637109416,0.3015622763710942,1,direct
85.0,0.0056479,0.0029694089415884493,0.29694089415884495,0,vertical_offset_rows
90.0,0.0052329,0.0027512208166642817,0.27512208166642815,1,direct
95.0,0.00436615,0.002295523088283505,0.22955230882835048,0,vertical_offset_rows
100.0,0.0037601,0.001976889562716537,0.1976889562716537,1,direct
105.0,0.0045156,0.0023740971009820998,0.23740971009821,0,vertical_offset_rows
110.0,0.0062727,0.0032979003643658464,0.32979003643658467,1,direct
115.0,0.00678765,0.003568637653353076,0.3568637653353076,0,vertical_offset_rows
120.0,0.0072068,0.003789007659526485,0.3789007659526485,1,direct
125.0,0.0074697,0.003927228522279651,0.39272285222796505,0,vertical_offset_rows
