scan_number,inplane_y_mm,crossplane_x_mm,dose_gy
1,-130.0,-130.0,0.004051
1,-130.0,-120.0,0.0045759
1,-130.0,-110.0,0.0051656
1,-130.0,-100.0,0.0058001
1,-130.0,-90.0,0.0062197
1,-130.0,-80.0,0.0067262
1,-130.0,-70.0,0.0073037
1,-130.0,-60.0,0.0074249
1,-130.0,-50.0,0.00786
1,-130.0,-40.0,0.0083815
1,-130.0,-30.0,0.0086935
1,-130.0,-20.0,0.0088332
1,-130.0,-10.0,0.0090101
1,-130.0,0.0,0.0090001
1,-130.0,10.0,0.0089638
1,-130.0,20.0,0.0085932
1,-130.0,30.0,0.0086371
1,-130.0,40.0,0.0082284
1,-130.0,50.0,0.0079001
1,-130.0,60.0,0.0075008
1,-130.0,70.0,0.0072573
1,-130.0,80.0,0.0068675
1,-130.0,90.0,0.0062605
1,-130.0,100.0,0.0059422
1,-130.0,110.0,0.0052592
1,-130.0,120.0,0.0047134
1,-130.0,130.0,0.0043283
2,-125.0,-125.0,0.0043135
2,-125.0,-115.0,0.0050248
2,-125.0,-105.0,0.0055662
2,-125.0,-95.0,0.0059428
2,-125.0,-85.0,0.0063093
2,-125.0,-75.0,0.0067732
2,-125.0,-65.0,0.0066698
2,-125.0,-55.0,0.0075474
2,-125.0,-45.0,0.0076221
2,-125.0,-35.0,0.0080612
2,-125.0,-25.0,0.0083475
2,-125.0,-15.0,0.0086292
2,-125.0,-5.0,0.0085187
2,-125.0,5.0,0.0087547
2,-125.0,15.0,0.0084714
2,-125.0,25.0,0.0081237
2,-125.0,35.0,0.0079331
2,-125.0,45.0,0.0075615
2,-125.0,55.0,0.0073113
2,-125.0,65.0,0.0068103
2,-125.0,75.0,0.0066392
2,-125.0,85.0,0.0063943
2,-125.0,95.0,0.0059815
2,-125.0,105.0,0.0054179
2,-125.0,115.0,0.0047437
2,-125.0,125.0,0.0043368
3,-120.0,-130.0,0.0045015
3,-120.0,-120.0,0.0047768
3,-120.0,-110.0,0.0054924
3,-120.0,-100.0,0.0060785
3,-120.0,-90.0,0.0066865
3,-120.0,-80.0,0.0067408
3,-120.0,-70.0,0.0070366
3,-120.0,-60.0,0.0075191
3,-120.0,-50.0,0.0076456
3,-120.0,-40.0,0.0081732
3,-120.0,-30.0,0.0087943
3,-120.0,-20.0,0.0088429
3,-120.0,-10.0,0.0091528
3,-120.0,0.0,0.0089305
3,-120.0,10.0,0.0090184
3,-120.0,20.0,0.0088328
3,-120.0,30.0,0.0083769
3,-120.0,40.0,0.0079643
3,-120.0,50.0,0.0075387
3,-120.0,60.0,0.0071924
3,-120.0,70.0,0.0066884
3,-120.0,80.0,0.0066073
3,-120.0,90.0,0.0063534
3,-120.0,100.0,0.0059732
3,-120.0,110.0,0.0054297
3,-120.0,120.0,0.0047838
3,-120.0,130.0,0.0043544
4,-115.0,-125.0,0.0047496
4,-115.0,-115.0,0.0053397
4,-115.0,-105.0,0.0060883
4,-115.0,-95.0,0.0069835
4,-115.0,-85.0,0.0070633
4,-115.0,-75.0,0.0073653
4,-115.0,-65.0,0.0075305
4,-115.0,-55.0,0.0081081
4,-115.0,-45.0,0.0084776
4,-115.0,-35.0,0.008942
4,-115.0,-25.0,0.009465
4,-115.0,-15.0,0.0095911
4,-115.0,-5.0,0.009679
4,-115.0,5.0,0.0096353
4,-115.0,15.0,0.0096347
4,-115.0,25.0,0.0093272
4,-115.0,35.0,0.0089678
4,-115.0,45.0,0.0080233
4,-115.0,55.0,0.0076222
4,-115.0,65.0,0.0073613
4,-115.0,75.0,0.0072151
4,-115.0,85.0,0.0067978
4,-115.0,95.0,0.0065567
4,-115.0,105.0,0.005935
4,-115.0,115.0,0.0052861
4,-115.0,125.0,0.0047206
5,-110.0,-130.0,0.0046564
5,-110.0,-120.0,0.0053223
5,-110.0,-110.0,0.0063008
5,-110.0,-100.0,0.0070102
5,-110.0,-90.0,0.0073762
5,-110.0,-80.0,0.0080406
5,-110.0,-70.0,0.0081603
5,-110.0,-60.0,0.0083777
5,-110.0,-50.0,0.0089543
5,-110.0,-40.0,0.0095352
5,-110.0,-30.0,0.010215
5,-110.0,-20.0,0.010393
5,-110.0,-10.0,0.010485
5,-110.0,0.0,0.010651
5,-110.0,10.0,0.010567
5,-110.0,20.0,0.010408
5,-110.0,30.0,0.0097019
5,-110.0,40.0,0.0093241
5,-110.0,50.0,0.0085356
5,-110.0,60.0,0.0079138
5,-110.0,70.0,0.0077957
5,-110.0,80.0,0.0074222
5,-110.0,90.0,0.0071546
5,-110.0,100.0,0.006572
5,-110.0,110.0,0.0057867
5,-110.0,120.0,0.0054727
5,-110.0,130.0,0.0048454
6,-105.0,-125.0,0.0053889
6,-105.0,-115.0,0.0063289
6,-105.0,-105.0,0.0074107
6,-105.0,-95.0,0.0081788
6,-105.0,-85.0,0.008936
6,-105.0,-75.0,0.0091083
6,-105.0,-65.0,0.0097137
6,-105.0,-55.0,0.010093
6,-105.0,-45.0,0.010781
6,-105.0,-35.0,0.01145
6,-105.0,-25.0,0.011997
6,-105.0,-15.0,0.012127
6,-105.0,-5.0,0.012328
6,-105.0,5.0,0.012301
6,-105.0,15.0,0.011884
6,-105.0,25.0,0.011568
6,-105.0,35.0,0.010852
6,-105.0,45.0,0.01024
6,-105.0,55.0,0.0094949
6,-105.0,65.0,0.0089036
6,-105.0,75.0,0.0085114
6,-105.0,85.0,0.0083521
6,-105.0,95.0,0.0076585
6,-105.0,105.0,0.0070191
6,-105.0,115.0,0.0061746
6,-105.0,125.0,0.005323
7,-100.0,-130.0,0.0054359
7,-100.0,-120.0,0.0061763
7,-100.0,-110.0,0.0079934
7,-100.0,-100.0,0.0092785
7,-100.0,-90.0,0.010128
7,-100.0,-80.0,0.010598
7,-100.0,-70.0,0.011251
7,-100.0,-60.0,0.01166
