crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
-125,0.00104416,0.0012331,0.00136415,0.0014952,0.0015713,0.0016474,0.0018444,0.0020414,0.0022796,0.0025178,0.00262485,0.0027319,0.00286855,0.0030052,0.00336045,0.0037157,0.00381745,0.0039192,0.0040643,0.0042094,0.0045431,0.0048768,0.0048755,0.0048742,0.00489985,0.0049255,0.00508375,0.005242,0.0050206,0.0047992,0.0047852,0.0047712,0.0045503,0.0043294,0.0041034,0.0038774,0.00375385,0.0036303,0.00340695,0.0031836,0.00286335,0.0025431,0.0024112,0.0022793,0.00208955,0.0018998,0.0018222,0.0017446,0.0014963,0.001248,0.001070605,0.00089321,0.0011361
-120,0.0011845,0.00122265,0.0012608,0.0013723,0.0014838,0.0017529,0.002022,0.0021874,0.0023528,0.0024035,0.0024542,0.0028393,0.0032244,0.0034477,0.003671,0.00377315,0.0038753,0.00410855,0.0043418,0.0045028,0.0046638,0.0048272,0.0049906,0.00521435,0.0054381,0.00555745,0.0056768,0.0055085,0.0053402,0.00527205,0.0052039,0.0049942,0.0047845,0.00459835,0.0044122,0.0043159,0.0042196,0.00384055,0.0034615,0.00332135,0.0031812,0.00279845,0.0024157,0.00231225,0.0022088,0.0020844,0.00196,0.00163235,0.0013047,0.0011692,0.0010337,0.0011525,0.0012713
-115,0.00116115,0.0012282,0.00132025,0.0014123,0.00170015,0.001988,0.0021227,0.0022574,0.00242515,0.0025929,0.00281575,0.0030386,0.0032765,0.0035144,0.00378805,0.0040617,0.00433295,0.0046042,0.0047643,0.0049244,0.00509635,0.0052683,0.00545655,0.0056448,0.0058395,0.0060342,0.0061106,0.006187,0.00600445,0.0058219,0.0057156,0.0056093,0.00528275,0.0049562,0.00477115,0.0045861,0.004377,0.0041679,0.0038649,0.0035619,0.00329525,0.0030286,0.00292475,0.0028209,0.0023797,0.0019385,0.0017937,0.0016489,0.0015788,0.0015087,0.001206935,0.00090517,0.001097705
-110,0.0011378,0.00132795,0.0015181,0.00161315,0.0017082,0.00197245,0.0022367,0.0023386,0.0024405,0.0027566,0.0030727,0.0034314,0.0037901,0.00390485,0.0040196,0.00432695,0.0046343,0.0049773,0.0053203,0.00533955,0.0053588,0.0056986,0.0060384,0.0061562,0.006274,0.00639205,0.0065101,0.0065681,0.0066261,0.00628825,0.0059504,0.00586095,0.0057715,0.00559225,0.005413,0.0050489,0.0046848,0.0044293,0.0041738,0.0039572,0.0037406,0.00336555,0.0029905,0.00277185,0.0025532,0.00214775,0.0017423,0.0017318,0.0017213,0.0015723,0.0014233,0.001173705,0.00092411
-105,0.00116945,0.0014422,0.00149095,0.0015397,0.00172795,0.0019162,0.0022122,0.0025082,0.00270765,0.0029071,0.0032364,0.0035657,0.0039628,0.0043599,0.0045976,0.0048353,0.00519625,0.0055572,0.0057463,0.0059354,0.00610395,0.0062725,0.00649555,0.0067186,0.006864,0.0070094,0.00707585,0.0071423,0.0069165,0.0066907,0.0063834,0.0060761,0.0060071,0.0059381,0.0055827,0.0052273,0.004991,0.0047547,0.00456755,0.0043804,0.0038989,0.0034174,0.00320515,0.0029929,0.0026795,0.0023661,0.0021394,0.0019127,0.001612,0.0013113,0.00134565,0.00138,0.001069805
-100,0.0012011,0.0013827,0.0015643,0.00169455,0.0018248,0.00216625,0.0025077,0.00266645,0.0028252,0.0031994,0.0035736,0.0039125,0.0042514,0.00467625,0.0051011,0.00526145,0.0054218,0.005918,0.0064142,0.00651285,0.0066115,0.0068302,0.0070489,0.00740245,0.007756,0.00771415,0.0076723,0.00759605,0.0075198,0.00741535,0.0073109,0.0069823,0.0066537,0.0063836,0.0061135,0.005709,0.0053045,0.00501445,0.0047244,0.00449785,0.0042713,0.0038211,0.0033709,0.0031066,0.0028423,0.00256545,0.0022886,0.0019294,0.0015702,0.0016035,0.0016368,0.00142615,0.0012155
-95,0.0012442,0.0014266,0.00168635,0.0019461,0.0020478,0.0021495,0.0024157,0.0026819,0.0030415,0.0034011,0.00387225,0.0043434,0.00469625,0.0050491,0.00538945,0.0057298,0.00617265,0.0066155,0.0069466,0.0072777,0.00746785,0.007658,0.00789085,0.0081237,0.00816895,0.0082142,0.00815135,0.0080885,0.0081279,0.0081673,0.0078013,0.0074353,0.00706275,0.0066902,0.00649925,0.0063083,0.00592375,0.0055392,0.00522095,0.0049027,0.0045075,0.0041123,0.0036951,0.0032779,0.00307845,0.002879,0.00246085,0.0020427,0.00191195,0.0017812,0.0016712,0.0015612,0.00128625
-90,0.0012873,0.0015624,0.0018375,0.00184695,0.0018564,0.0021932,0.00253,0.00285645,0.0031829,0.0036377,0.0040925,0.00451675,0.004941,0.005542,0.006143,0.0066055,0.007068,0.00738185,0.0076957,0.0080506,0.0084055,0.00850965,0.0086138,0.00890665,0.0091995,0.0092332,0.0092669,0.00911055,0.0089542,0.00881525,0.0086763,0.0083711,0.0080659,0.00768545,0.007305,0.0069078,0.0065106,0.0060996,0.0056886,0.0052448,0.004801,0.0044068,0.0040126,0.00347785,0.0029431,0.00267685,0.0024106,0.00222105,0.0020315,0.00177925,0.001527,0.001442,0.001357
-85,0.00135885,0.0015502,0.001744,0.0019378,0.0022881,0.0026384,0.0028981,0.0031578,0.0035345,0.0039112,0.0045606,0.00521,0.00568375,0.0061575,0.0067933,0.0074291,0.00803285,0.0086366,0.00886085,0.0090851,0.0092319,0.0093787,0.00971935,0.01006,0.0101735,0.010287,0.01027,0.010253,0.01008435,0.0099157,0.0096105,0.0093053,0.0089294,0.0085535,0.00812305,0.0076926,0.00727705,0.0068615,0.00626295,0.0056644,0.00505635,0.0044483,0.00411765,0.003787,0.0033956,0.0030042,0.0026802,0.0023562,0.0021801,0.002004,0.0017958,0.0015876,0.00131465
-80,0.0014304,0.00167985,0.0019293,0.00220365,0.002478,0.002702,0.002926,0.0034297,0.0039334,0.00429155,0.0046497,0.0056792,0.0067087,0.0075168,0.0083249,0.00896555,0.0096062,0.0100001,0.010394,0.010685,0.010976,0.011354,0.011732,0.0118045,0.011877,0.011962,0.012047,0.012065,0.012083,0.0116925,0.011302,0.011041,0.01078,0.0103041,0.0098282,0.0093085,0.0087888,0.00811945,0.0074501,0.00676375,0.0060774,0.00538525,0.0046931,0.00412305,0.003553,0.0031385,0.002724,0.0026437,0.0025634,0.0022196,0.0018758,0.00157405,0.0012723
