scan_number,inplane_y_mm,crossplane_x_mm,dose_gy
1,-130.0,-130.0,0.00090382
1,-130.0,-120.0,0.0011845
1,-130.0,-110.0,0.0011378
1,-130.0,-100.0,0.0012011
1,-130.0,-90.0,0.0012873
1,-130.0,-80.0,0.0014304
1,-130.0,-70.0,0.0018836
1,-130.0,-60.0,0.0019886
1,-130.0,-50.0,0.0019944
1,-130.0,-40.0,0.0025607
1,-130.0,-30.0,0.002452
1,-130.0,-20.0,0.0024717
1,-130.0,-10.0,0.0026232
1,-130.0,0.0,0.0026484
1,-130.0,10.0,0.0024622
1,-130.0,20.0,0.0022448
1,-130.0,30.0,0.002552
1,-130.0,40.0,0.0024061
1,-130.0,50.0,0.0020244
1,-130.0,60.0,0.002051
1,-130.0,70.0,0.001945
1,-130.0,80.0,0.0016875
1,-130.0,90.0,0.0013327
1,-130.0,100.0,0.0014375
1,-130.0,110.0,0.0011698
1,-130.0,120.0,0.001285
1,-130.0,130.0,0.001134
2,-125.0,-125.0,0.0012331
2,-125.0,-115.0,0.0012282
2,-125.0,-105.0,0.0014422
2,-125.0,-95.0,0.0014266
2,-125.0,-85.0,0.0015502
2,-125.0,-75.0,0.0020843
2,-125.0,-65.0,0.0019836
2,-125.0,-55.0,0.0024106
2,-125.0,-45.0,0.0024213
2,-125.0,-35.0,0.0024899
2,-125.0,-25.0,0.0028088
2,-125.0,-15.0,0.0028251
2,-125.0,-5.0,0.0026839
2,-125.0,5.0,0.0029909
2,-125.0,15.0,0.0027697
2,-125.0,25.0,0.0024825
2,-125.0,35.0,0.0024852
2,-125.0,45.0,0.0024941
2,-125.0,55.0,0.0024539
2,-125.0,65.0,0.0022055
2,-125.0,75.0,0.0021068
2,-125.0,85.0,0.0017287
2,-125.0,95.0,0.0016457
2,-125.0,105.0,0.0013711
2,-125.0,115.0,0.0012495
2,-125.0,125.0,0.0010971
3,-120.0,-130.0,0.0013685
3,-120.0,-120.0,0.0012608
3,-120.0,-110.0,0.0015181
3,-120.0,-100.0,0.0015643
3,-120.0,-90.0,0.0018375
3,-120.0,-80.0,0.0019293
3,-120.0,-70.0,0.002086
3,-120.0,-60.0,0.0026008
3,-120.0,-50.0,0.0024775
3,-120.0,-40.0,0.0027388
3,-120.0,-30.0,0.003281
3,-120.0,-20.0,0.003234
3,-120.0,-10.0,0.0034799
3,-120.0,0.0,0.0031526
3,-120.0,10.0,0.0031708
3,-120.0,20.0,0.0030748
3,-120.0,30.0,0.002901
3,-120.0,40.0,0.0027232
3,-120.0,50.0,0.0026129
3,-120.0,60.0,0.0026054
3,-120.0,70.0,0.0019937
3,-120.0,80.0,0.0020059
3,-120.0,90.0,0.0019099
3,-120.0,100.0,0.0017874
3,-120.0,110.0,0.0015505
3,-120.0,120.0,0.0012933
3,-120.0,130.0,0.0014293
4,-115.0,-125.0,0.0014952
4,-115.0,-115.0,0.0014123
4,-115.0,-105.0,0.0015397
4,-115.0,-95.0,0.0019461
4,-115.0,-85.0,0.0019378
4,-115.0,-75.0,0.0022183
4,-115.0,-65.0,0.0023947
4,-115.0,-55.0,0.0028427
4,-115.0,-45.0,0.0032226
4,-115.0,-35.0,0.003438
4,-115.0,-25.0,0.0034359
4,-115.0,-15.0,0.0037351
4,-115.0,-5.0,0.0034914
4,-115.0,5.0,0.0035416
4,-115.0,15.0,0.0034903
4,-115.0,25.0,0.0035213
4,-115.0,35.0,0.0031923
4,-115.0,45.0,0.0028674
4,-115.0,55.0,0.0028189
4,-115.0,65.0,0.0024675
4,-115.0,75.0,0.0023922
4,-115.0,85.0,0.002194
4,-115.0,95.0,0.0020829
4,-115.0,105.0,0.0016206
4,-115.0,115.0,0.0017022
4,-115.0,125.0,0.0013137
5,-110.0,-130.0,0.0015137
5,-110.0,-120.0,0.0014838
5,-110.0,-110.0,0.0017082
5,-110.0,-100.0,0.0018248
5,-110.0,-90.0,0.0018564
5,-110.0,-80.0,0.002478
5,-110.0,-70.0,0.0028789
5,-110.0,-60.0,0.0028665
5,-110.0,-50.0,0.0032973
5,-110.0,-40.0,0.0034538
5,-110.0,-30.0,0.0037024
5,-110.0,-20.0,0.003924
5,-110.0,-10.0,0.003732
5,-110.0,0.0,0.0040086
5,-110.0,10.0,0.0037486
5,-110.0,20.0,0.0037978
5,-110.0,30.0,0.0033971
5,-110.0,40.0,0.0035789
5,-110.0,50.0,0.0031361
5,-110.0,60.0,0.0028108
5,-110.0,70.0,0.0029123
5,-110.0,80.0,0.002408
5,-110.0,90.0,0.0021214
5,-110.0,100.0,0.0018546
5,-110.0,110.0,0.0016512
5,-110.0,120.0,0.0016094
5,-110.0,130.0,0.0014671
6,-105.0,-125.0,0.0016474
6,-105.0,-115.0,0.001988
6,-105.0,-105.0,0.0019162
6,-105.0,-95.0,0.0021495
6,-105.0,-85.0,0.0026384
6,-105.0,-75.0,0.0027592
6,-105.0,-65.0,0.0033289
6,-105.0,-55.0,0.0036376
6,-105.0,-45.0,0.0038783
6,-105.0,-35.0,0.0040117
6,-105.0,-25.0,0.0043725
6,-105.0,-15.0,0.004306
6,-105.0,-5.0,0.0044646
6,-105.0,5.0,0.0043113
6,-105.0,15.0,0.0040806
6,-105.0,25.0,0.0039962
6,-105.0,35.0,0.0037371
6,-105.0,45.0,0.0037765
6,-105.0,55.0,0.0034496
6,-105.0,65.0,0.0032093
6,-105.0,75.0,0.0027143
6,-105.0,85.0,0.0026535
6,-105.0,95.0,0.0022545
6,-105.0,105.0,0.0020335
6,-105.0,115.0,0.0017179
6,-105.0,125.0,0.0018626
7,-100.0,-130.0,0.0018539
7,-100.0,-120.0,0.002022
7,-100.0,-110.0,0.0022367
7,-100.0,-100.0,0.0025077
7,-100.0,-90.0,0.00253
7,-100.0,-80.0,0.002926
7,-100.0,-70.0,0.003428
7,-100.0,-60.0,0.0037492
7,-100.0,-50.0,0.0041746
7,-100.0,-40.0,0.004606
7,-100.0,-30.0,0.0046045
7,-100.0,-20.0,0.0047654
7,-100.0,-10.0,0.0046701
7,-100.0,0.0,0.0047188
7,-100.0,10.0,0.0048435
7,-100.0,20.0,0.0047421
7,-100.0,30.0,0.0044427
7,-100.0,40.0,0.004105
7,-100.0,50.0,0.0039392
7,-100.0,60.0,0.0037224
7,-100.0,70.0,0.0031782
7,-100.0,80.0,0.0029967
7,-100.0,90.0,0.0025939
7,-100.0,100.0,0.0022949
7,-100.0,110.0,0.0020472
7,-100.0,120.0,0.001917
7,-100.0,130.0,0.0015902
8,-95.0,-125.0,0.0020414
8,-95.0,-115.0,0.0022574
8,-95.0,-105.0,0.0025082
8,-95.0,-95.0,0.0026819
8,-95.0,-85.0,0.0031578
8,-95.0,-75.0,0.0037602
8,-95.0,-65.0,0.00391
8,-95.0,-55.0,0.0047493
8,-95.0,-45.0,0.0049082
8,-95.0,-35.0,0.005185
8,-95.0,-25.0,0.0051832
8,-95.0,-15.0,0.0051258
8,-95.0,-5.0,0.0050515
8,-95.0,5.0,0.0052527
8,-95.0,15.0,0.0051534
8,-95.0,25.0,0.0049083
8,-95.0,35.0,0.0047483
8,-95.0,45.0,0.0043891
8,-95.0,55.0,0.0043569
8,-95.0,65.0,0.0040107
8,-95.0,75.0,0.0036168
8,-95.0,85.0,0.0028817
8,-95.0,95.0,0.0026091
8,-95.0,105.0,0.0022755
8,-95.0,115.0,0.0021663
8,-95.0,125.0,0.0017658
9,-90.0,-130.0,0.001968
9,-90.0,-120.0,0.0023528
9,-90.0,-110.0,0.0024405
9,-90.0,-100.0,0.0028252
9,-90.0,-90.0,0.0031829
9,-90.0,-80.0,0.0039334
9,-90.0,-70.0,0.0042902
9,-90.0,-60.0,0.0049625
9,-90.0,-50.0,0.0052737
9,-90.0,-40.0,0.0053868
9,-90.0,-30.0,0.0059199
9,-90.0,-20.0,0.0058676
9,-90.0,-10.0,0.0060829
9,-90.0,0.0,0.0057488
9,-90.0,10.0,0.0055542
9,-90.0,20.0,0.0054583
9,-90.0,30.0,0.0051607
9,-90.0,40.0,0.0050763
9,-90.0,50.0,0.0048591
9,-90.0,60.0,0.0043115
9,-90.0,70.0,0.0038838
9,-90.0,80.0,0.0037069
9,-90.0,90.0,0.0031964
9,-90.0,100.0,0.0028721
9,-90.0,110.0,0.0023235
9,-90.0,120.0,0.0024006
9,-90.0,130.0,0.0021629
10,-85.0,-125.0,0.0025178
10,-85.0,-115.0,0.0025929
10,-85.0,-105.0,0.0029071
10,-85.0,-95.0,0.0034011
10,-85.0,-85.0,0.0039112
10,-85.0,-75.0,0.0044428
10,-85.0,-65.0,0.0053169
10,-85.0,-55.0,0.0057433
10,-85.0,-45.0,0.0061515
10,-85.0,-35.0,0.0061223
10,-85.0,-25.0,0.0061768
10,-85.0,-15.0,0.0067088
10,-85.0,-5.0,0.006441
10,-85.0,5.0,0.0063395
10,-85.0,15.0,0.0061387
10,-85.0,25.0,0.0057648
10,-85.0,35.0,0.0055424
10,-85.0,45.0,0.0054356
10,-85.0,55.0,0.0053321
10,-85.0,65.0,0.0050321
10,-85.0,75.0,0.0042386
10,-85.0,85.0,0.0039476
10,-85.0,95.0,0.0034566
10,-85.0,105.0,0.002857
10,-85.0,115.0,0.0027816
10,-85.0,125.0,0.0021837
11,-80.0,-130.0,0.002571
11,-80.0,-120.0,0.0024542
11,-80.0,-110.0,0.0030727
11,-80.0,-100.0,0.0035736
11,-80.0,-90.0,0.0040925
11,-80.0,-80.0,0.0046497
11,-80.0,-70.0,0.0058581
11,-80.0,-60.0,0.0064905
11,-80.0,-50.0,0.0066415
11,-80.0,-40.0,0.0063804
11,-80.0,-30.0,0.0069156
11,-80.0,-20.0,0.0075045
11,-80.0,-10.0,0.0076895
11,-80.0,0.0,0.0075135
11,-80.0,10.0,0.007212
11,-80.0,20.0,0.0068667
11,-80.0,30.0,0.006442
11,-80.0,40.0,0.0062808
11,-80.0,50.0,0.006163
11,-80.0,60.0,0.0057691
11,-80.0,70.0,0.0055843
11,-80.0,80.0,0.0044605
11,-80.0,90.0,0.0036386
11,-80.0,100.0,0.0030448
11,-80.0,110.0,0.0028641
11,-80.0,120.0,0.0027015
11,-80.0,130.0,0.0025128
12,-75.0,-125.0,0.0027319
12,-75.0,-115.0,0.0030386
12,-75.0,-105.0,0.0035657
12,-75.0,-95.0,0.0043434
12,-75.0,-85.0,0.00521
12,-75.0,-75.0,0.0060634
12,-75.0,-65.0,0.0073863
12,-75.0,-55.0,0.0079697
12,-75.0,-45.0,0.007624
12,-75.0,-35.0,0.0081443
12,-75.0,-25.0,0.0088913
12,-75.0,-15.0,0.0096909
12,-75.0,-5.0,0.0096904
12,-75.0,5.0,0.0094743
12,-75.0,15.0,0.0088696
12,-75.0,25.0,0.0081164
12,-75.0,35.0,0.0070751
12,-75.0,45.0,0.0069294
12,-75.0,55.0,0.0070878
12,-75.0,65.0,0.0064979
12,-75.0,75.0,0.0053703
12,-75.0,85.0,0.004602
12,-75.0,95.0,0.0037959
12,-75.0,105.0,0.0033398
12,-75.0,115.0,0.0029502
12,-75.0,125.0,0.0028279
13,-70.0,-130.0,0.0026723
13,-70.0,-120.0,0.0032244
13,-70.0,-110.0,0.0037901
13,-70.0,-100.0,0.0042514
13,-70.0,-90.0,0.004941
13,-70.0,-80.0,0.0067087
13,-70.0,-70.0,0.008234
13,-70.0,-60.0,0.010302
13,-70.0,-50.0,0.010461
13,-70.0,-40.0,0.010931
13,-70.0,-30.0,0.011945
13,-70.0,-20.0,0.013402
13,-70.0,-10.0,0.013855
13,-70.0,0.0,0.013922
13,-70.0,10.0,0.01343
13,-70.0,20.0,0.012329
13,-70.0,30.0,0.010643
13,-70.0,40.0,0.0093848
13,-70.0,50.0,0.009157
13,-70.0,60.0,0.0090418
13,-70.0,70.0,0.0073796
13,-70.0,80.0,0.0071175
13,-70.0,90.0,0.0047412
13,-70.0,100.0,0.0038798
13,-70.0,110.0,0.0034945
13,-70.0,120.0,0.002882
13,-70.0,130.0,0.0026286
14,-65.0,-125.0,0.0030052
14,-65.0,-115.0,0.0035144
14,-65.0,-105.0,0.0043599
14,-65.0,-95.0,0.0050491
14,-65.0,-85.0,0.0061575
14,-65.0,-75.0,0.0095531
14,-65.0,-65.0,0.01082
14,-65.0,-55.0,0.011887
14,-65.0,-45.0,0.012302
14,-65.0,-35.0,0.014163
14,-65.0,-25.0,0.016015
14,-65.0,-15.0,0.017498
14,-65.0,-5.0,0.018024
14,-65.0,5.0,0.017425
14,-65.0,15.0,0.016132
14,-65.0,25.0,0.013474
14,-65.0,35.0,0.011942
14,-65.0,45.0,0.010332
14,-65.0,55.0,0.010225
14,-65.0,65.0,0.0096716
14,-65.0,75.0,0.0087407
14,-65.0,85.0,0.0056475
14,-65.0,95.0,0.0042919
14,-65.0,105.0,0.0037408
14,-65.0,115.0,0.0030717
14,-65.0,125.0,0.0028273
15,-60.0,-130.0,0.0031615
15,-60.0,-120.0,0.003671
15,-60.0,-110.0,0.0040196
15,-60.0,-100.0,0.0051011
15,-60.0,-90.0,0.006143
15,-60.0,-80.0,0.0083249
15,-60.0,-70.0,0.011039
15,-60.0,-60.0,0.012738
15,-60.0,-50.0,0.014094
15,-60.0,-40.0,0.015498
15,-60.0,-30.0,0.019832
15,-60.0,-20.0,0.022528
15,-60.0,-10.0,0.024838
15,-60.0,0.0,0.024375
15,-60.0,10.0,0.023547
15,-60.0,20.0,0.019146
15,-60.0,30.0,0.015056
15,-60.0,40.0,0.01099
15,-60.0,50.0,0.011342
15,-60.0,60.0,0.010579
15,-60.0,70.0,0.0091319
15,-60.0,80.0,0.0074148
15,-60.0,90.0,0.0050828
15,-60.0,100.0,0.0042277
15,-60.0,110.0,0.0033479
15,-60.0,120.0,0.0032372
15,-60.0,130.0,0.0029719
16,-55.0,-125.0,0.0037157
16,-55.0,-115.0,0.0040617
16,-55.0,-105.0,0.0048353
16,-55.0,-95.0,0.0057298
16,-55.0,-85.0,0.0074291
16,-55.0,-75.0,0.010696
16,-55.0,-65.0,0.012491
16,-55.0,-55.0,0.014429
16,-55.0,-45.0,0.017394
16,-55.0,-35.0,0.020753
16,-55.0,-25.0,0.028679
16,-55.0,-15.0,0.034113
16,-55.0,-5.0,0.036223
16,-55.0,5.0,0.034935
16,-55.0,15.0,0.029575
16,-55.0,25.0,0.020036
16,-55.0,35.0,0.01267
16,-55.0,45.0,0.010304
16,-55.0,55.0,0.011134
16,-55.0,65.0,0.0094049
