scan_number,inplane_y_mm,crossplane_x_mm,dose_gy
1,-130.0,-130.0,0.0014263
1,-130.0,-120.0,0.0015735
1,-130.0,-110.0,0.0016418
1,-130.0,-100.0,0.0017007
1,-130.0,-90.0,0.0019128
1,-130.0,-80.0,0.0019141
1,-130.0,-70.0,0.0024159
1,-130.0,-60.0,0.0025355
1,-130.0,-50.0,0.0024902
1,-130.0,-40.0,0.002934
1,-130.0,-30.0,0.0031327
1,-130.0,-20.0,0.0028525
1,-130.0,-10.0,0.0030578
1,-130.0,0.0,0.0032458
1,-130.0,10.0,0.0029097
1,-130.0,20.0,0.0027153
1,-130.0,30.0,0.0031064
1,-130.0,40.0,0.0030692
1,-130.0,50.0,0.0027399
1,-130.0,60.0,0.0025907
1,-130.0,70.0,0.0023941
1,-130.0,80.0,0.002163
1,-130.0,90.0,0.0018577
1,-130.0,100.0,0.0017797
1,-130.0,110.0,0.0019111
1,-130.0,120.0,0.0018698
1,-130.0,130.0,0.0016388
2,-125.0,-125.0,0.0015775
2,-125.0,-115.0,0.0018016
2,-125.0,-105.0,0.0018797
2,-125.0,-95.0,0.0020201
2,-125.0,-85.0,0.0021066
2,-125.0,-75.0,0.0024059
2,-125.0,-65.0,0.0023846
2,-125.0,-55.0,0.002898
2,-125.0,-45.0,0.002975
2,-125.0,-35.0,0.0032577
2,-125.0,-25.0,0.0031756
2,-125.0,-15.0,0.0033985
2,-125.0,-5.0,0.0031592
2,-125.0,5.0,0.0034909
2,-125.0,15.0,0.0032059
2,-125.0,25.0,0.0029921
2,-125.0,35.0,0.0030656
2,-125.0,45.0,0.0030649
2,-125.0,55.0,0.0028967
2,-125.0,65.0,0.0025924
2,-125.0,75.0,0.0024721
2,-125.0,85.0,0.0023424
2,-125.0,95.0,0.0020602
2,-125.0,105.0,0.0018057
2,-125.0,115.0,0.0016809
2,-125.0,125.0,0.0018858
3,-120.0,-130.0,0.0020098
3,-120.0,-120.0,0.0017305
3,-120.0,-110.0,0.0019161
3,-120.0,-100.0,0.0022166
3,-120.0,-90.0,0.0023151
3,-120.0,-80.0,0.0023259
3,-120.0,-70.0,0.0026974
3,-120.0,-60.0,0.0032404
3,-120.0,-50.0,0.0031327
3,-120.0,-40.0,0.0032463
3,-120.0,-30.0,0.0037011
3,-120.0,-20.0,0.0038844
3,-120.0,-10.0,0.0039664
3,-120.0,0.0,0.003709
3,-120.0,10.0,0.003687
3,-120.0,20.0,0.0036124
3,-120.0,30.0,0.0032704
3,-120.0,40.0,0.0030662
3,-120.0,50.0,0.0030223
3,-120.0,60.0,0.0029906
3,-120.0,70.0,0.0024201
3,-120.0,80.0,0.0024868
3,-120.0,90.0,0.0024446
3,-120.0,100.0,0.002176
3,-120.0,110.0,0.0020417
3,-120.0,120.0,0.0017912
3,-120.0,130.0,0.0018061
4,-115.0,-125.0,0.0018603
4,-115.0,-115.0,0.0020556
4,-115.0,-105.0,0.0020902
4,-115.0,-95.0,0.0025075
4,-115.0,-85.0,0.0023142
4,-115.0,-75.0,0.0028716
4,-115.0,-65.0,0.0030066
4,-115.0,-55.0,0.0034827
4,-115.0,-45.0,0.0037263
4,-115.0,-35.0,0.0037688
4,-115.0,-25.0,0.0039853
4,-115.0,-15.0,0.0040944
4,-115.0,-5.0,0.0040279
4,-115.0,5.0,0.003877
4,-115.0,15.0,0.004042
4,-115.0,25.0,0.0039367
4,-115.0,35.0,0.0037491
4,-115.0,45.0,0.0033823
4,-115.0,55.0,0.0032187
4,-115.0,65.0,0.0028983
4,-115.0,75.0,0.0028816
4,-115.0,85.0,0.002601
4,-115.0,95.0,0.0025326
4,-115.0,105.0,0.002104
4,-115.0,115.0,0.0020182
4,-115.0,125.0,0.0017462
5,-110.0,-130.0,0.0018007
5,-110.0,-120.0,0.002087
5,-110.0,-110.0,0.0023335
5,-110.0,-100.0,0.0023388
5,-110.0,-90.0,0.0022694
5,-110.0,-80.0,0.0031121
5,-110.0,-70.0,0.0032156
5,-110.0,-60.0,0.0034758
5,-110.0,-50.0,0.0038542
5,-110.0,-40.0,0.004086
5,-110.0,-30.0,0.0041974
5,-110.0,-20.0,0.0044458
5,-110.0,-10.0,0.0043128
5,-110.0,0.0,0.004498
5,-110.0,10.0,0.0042605
5,-110.0,20.0,0.0043501
5,-110.0,30.0,0.0039708
5,-110.0,40.0,0.0040664
5,-110.0,50.0,0.0035573
5,-110.0,60.0,0.0034587
5,-110.0,70.0,0.0033528
5,-110.0,80.0,0.0029523
5,-110.0,90.0,0.0027019
5,-110.0,100.0,0.0024554
5,-110.0,110.0,0.0019217
5,-110.0,120.0,0.0022253
5,-110.0,130.0,0.0020965
6,-105.0,-125.0,0.0021866
6,-105.0,-115.0,0.0024103
6,-105.0,-105.0,0.0023548
6,-105.0,-95.0,0.0025121
6,-105.0,-85.0,0.0030491
6,-105.0,-75.0,0.0031879
6,-105.0,-65.0,0.003873
6,-105.0,-55.0,0.0040256
6,-105.0,-45.0,0.0044943
6,-105.0,-35.0,0.0046385
6,-105.0,-25.0,0.0049477
6,-105.0,-15.0,0.0047794
6,-105.0,-5.0,0.0047664
6,-105.0,5.0,0.004875
6,-105.0,15.0,0.0044313
6,-105.0,25.0,0.0045473
6,-105.0,35.0,0.0042208
6,-105.0,45.0,0.0041444
6,-105.0,55.0,0.0040157
6,-105.0,65.0,0.0036126
6,-105.0,75.0,0.003433
6,-105.0,85.0,0.0030145
6,-105.0,95.0,0.0028378
6,-105.0,105.0,0.002519
6,-105.0,115.0,0.0023886
6,-105.0,125.0,0.0021358
7,-100.0,-130.0,0.0023385
7,-100.0,-120.0,0.002404
7,-100.0,-110.0,0.0027803
7,-100.0,-100.0,0.0028572
7,-100.0,-90.0,0.003061
7,-100.0,-80.0,0.0034907
7,-100.0,-70.0,0.0039638
7,-100.0,-60.0,0.0042177
7,-100.0,-50.0,0.0045873
7,-100.0,-40.0,0.00503
7,-100.0,-30.0,0.005325
7,-100.0,-20.0,0.0050768
7,-100.0,-10.0,0.005119
7,-100.0,0.0,0.0051614
7,-100.0,10.0,0.0052659
7,-100.0,20.0,0.0050388
7,-100.0,30.0,0.00485
7,-100.0,40.0,0.0048615
7,-100.0,50.0,0.0045053
7,-100.0,60.0,0.0042273
7,-100.0,70.0,0.0036205
7,-100.0,80.0,0.0035187
7,-100.0,90.0,0.0029632
7,-100.0,100.0,0.0027707
7,-100.0,110.0,0.0027195
7,-100.0,120.0,0.0024632
7,-100.0,130.0,0.0021706
8,-95.0,-125.0,0.0024122
8,-95.0,-115.0,0.0026826
8,-95.0,-105.0,0.0029671
8,-95.0,-95.0,0.0033456
8,-95.0,-85.0,0.0037562
8,-95.0,-75.0,0.0041502
8,-95.0,-65.0,0.0043364
8,-95.0,-55.0,0.0052657
8,-95.0,-45.0,0.0055172
8,-95.0,-35.0,0.0057416
8,-95.0,-25.0,0.0055413
8,-95.0,-15.0,0.0056865
8,-95.0,-5.0,0.0055064
8,-95.0,5.0,0.0055293
8,-95.0,15.0,0.0054603
8,-95.0,25.0,0.0053403
8,-95.0,35.0,0.0051534
8,-95.0,45.0,0.0049007
8,-95.0,55.0,0.0048918
8,-95.0,65.0,0.0043734
8,-95.0,75.0,0.003875
