crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
-125,0.0011165,0.0012677,0.00127185,0.001276,0.00154565,0.0018153,0.00197485,0.0021344,0.00223765,0.0023409,0.00262065,0.0029004,0.00306585,0.0032313,0.0033794,0.0035275,0.00379225,0.004057,0.00426155,0.0044661,0.00455065,0.0046352,0.0048173,0.0049994,0.0050435,0.0050876,0.00518125,0.0052749,0.0050657,0.0048565,0.00486645,0.0048764,0.004653,0.0044296,0.00414775,0.0038659,0.0038939,0.0039219,0.00363905,0.0033562,0.00289005,0.0024239,0.00241835,0.0024128,0.00225415,0.0020955,0.00183355,0.0015716,0.0014778,0.001384,0.0012535,0.001123,0.0011607
-120,0.0011156,0.00122715,0.0013387,0.0014712,0.0016037,0.00185125,0.0020988,0.0022096,0.0023204,0.00250425,0.0026881,0.00301775,0.0033474,0.00343555,0.0035237,0.0037708,0.0040179,0.00428785,0.0045578,0.0045776,0.0045974,0.0049138,0.0052302,0.00540935,0.0055885,0.0055286,0.0054687,0.00553015,0.0055916,0.00543135,0.0052711,0.0050228,0.0047745,0.0046339,0.0044933,0.00442975,0.0043662,0.0040024,0.0036386,0.0034508,0.003263,0.00291545,0.0025679,0.0024318,0.0022957,0.00211075,0.0019258,0.0017204,0.001515,0.00133875,0.0011625,0.0011574,0.0011523
-115,0.00118525,0.0013035,0.00142985,0.0015562,0.00168435,0.0018125,0.0020237,0.0022349,0.00250095,0.002767,0.00289605,0.0030251,0.0033356,0.0036461,0.0039723,0.0042985,0.00446125,0.004624,0.00480455,0.0049851,0.00522175,0.0054584,0.00563875,0.0058191,0.00595885,0.0060986,0.0061619,0.0062252,0.0060744,0.0059236,0.00576865,0.0056137,0.0052914,0.0049691,0.00481915,0.0046692,0.0043935,0.0041178,0.003893,0.0036682,0.0034111,0.003154,0.00295125,0.0027485,0.00236875,0.001989,0.0019035,0.001818,0.0016729,0.0015278,0.00127445,0.0010211,0.00108275
-110,0.0012549,0.00135795,0.001461,0.00164425,0.0018275,0.0020522,0.0022769,0.00240265,0.0025284,0.00284175,0.0031551,0.00343815,0.0037212,0.0039415,0.0041618,0.00442745,0.0046931,0.00497345,0.0052538,0.0053836,0.0055134,0.00581035,0.0061073,0.0061996,0.0062919,0.00653355,0.0067752,0.0067613,0.0067474,0.0064757,0.006204,0.006018,0.005832,0.005604,0.005376,0.005112,0.004848,0.0046008,0.0043536,0.00400895,0.0036643,0.0034201,0.0031759,0.00289875,0.0026216,0.00223445,0.0018473,0.00178965,0.001732,0.00163185,0.0015317,0.00127245,0.0010132
-105,0.00124925,0.0014679,0.0016,0.0017321,0.00190425,0.0020764,0.0022877,0.002499,0.00279535,0.0030917,0.0033913,0.0036909,0.0040464,0.0044019,0.00463655,0.0048712,0.00521125,0.0055513,0.0057873,0.0060233,0.0061579,0.0062925,0.0065714,0.0068503,0.00696995,0.0070896,0.00713225,0.0071749,0.00704865,0.0069224,0.00661365,0.0063049,0.0060958,0.0058867,0.0056455,0.0054043,0.00509415,0.004784,0.00454955,0.0043151,0.00391305,0.003511,0.0032715,0.003032,0.0027558,0.0024796,0.00219355,0.0019075,0.00172335,0.0015392,0.0015394,0.0015396,0.0011075
-100,0.0012436,0.0014765,0.0017094,0.0018202,0.001931,0.00218065,0.0024303,0.00268235,0.0029344,0.00326405,0.0035937,0.0039481,0.0043025,0.0047542,0.0052059,0.00544035,0.0056748,0.00608235,0.0064899,0.00658025,0.0066706,0.00692455,0.0071785,0.00750825,0.007838,0.0077434,0.0076488,0.00759725,0.0075457,0.00740185,0.007258,0.00696315,0.0066683,0.0064229,0.0061775,0.0058289,0.0054803,0.00513775,0.0047952,0.00452915,0.0042631,0.00387945,0.0034958,0.00323705,0.0029783,0.0026564,0.0023345,0.00201295,0.0016914,0.00170455,0.0017177,0.00145975,0.0012018
-95,0.0013294,0.0014719,0.0017617,0.0020515,0.00210985,0.0021682,0.0025104,0.0028526,0.00315255,0.0034525,0.003937,0.0044215,0.00475985,0.0050982,0.00550415,0.0059101,0.00631715,0.0067242,0.0070913,0.0074584,0.00758265,0.0077069,0.00799955,0.0082922,0.0082752,0.0082582,0.0082522,0.0082462,0.00821,0.0081738,0.00787245,0.0075711,0.0072276,0.0068841,0.0066385,0.0063929,0.0060383,0.0056837,0.00529545,0.0049072,0.00452205,0.0041369,0.00376245,0.003388,0.0031441,0.0029002,0.0025007,0.0021012,0.00197625,0.0018513,0.0016866,0.0015219,0.0013181
-90,0.0014152,0.0016212,0.0018272,0.00191055,0.0019939,0.00233335,0.0026728,0.00297055,0.0032683,0.0037819,0.0042955,0.00464565,0.0049958,0.0055802,0.0061646,0.0066603,0.007156,0.00739765,0.0076393,0.0081072,0.0085751,0.0087252,0.0088753,0.00899505,0.0091148,0.00918925,0.0092637,0.0091807,0.0090977,0.00886945,0.0086412,0.00830985,0.0079785,0.0077477,0.0075169,0.00709285,0.0066688,0.00615195,0.0056351,0.0053541,0.0050731,0.00454825,0.0040234,0.00348135,0.0029393,0.0027965,0.0026537,0.0024164,0.0021791,0.0017978,0.0014165,0.00142545,0.0014344
-85,0.0014551,0.0017716,0.00183335,0.0018951,0.00231555,0.002736,0.00301035,0.0032847,0.0035807,0.0038767,0.004483,0.0050893,0.00572095,0.0063526,0.0068899,0.0074272,0.00798475,0.0085423,0.0089259,0.0093095,0.009412,0.0095145,0.00977775,0.010041,0.0102595,0.010478,0.010442,0.010406,0.0101492,0.0098924,0.009684,0.0094756,0.0091662,0.0088568,0.008288,0.0077192,0.0073322,0.0069452,0.0064008,0.0058564,0.00518205,0.0045077,0.004154,0.0038003,0.0034707,0.0031411,0.0027961,0.0024511,0.0022309,0.0020107,0.0018487,0.0016867,0.0013952
-80,0.001495,0.00168485,0.0018747,0.00224065,0.0026066,0.0028169,0.0030272,0.00346185,0.0038965,0.00436785,0.0048392,0.0059505,0.0070618,0.00771535,0.0083689,0.00903375,0.0096986,0.0101718,0.010645,0.010887,0.011129,0.0114955,0.011862,0.012025,0.012188,0.012189,0.01219,0.0121365,0.012083,0.0117825,0.011482,0.0111805,0.010879,0.0103601,0.0098412,0.0093865,0.0089318,0.00827865,0.0076255,0.0068647,0.0061039,0.00541815,0.0047324,0.0042176,0.0037028,0.00319275,0.0026827,0.00267445,0.0026662,0.00230025,0.0019343,0.00164515,0.001356
