crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
-125,0.0059699,0.005698,0.00579645,0.0058949,0.00620305,0.0065112,0.00689175,0.0072723,0.0077656,0.0082589,0.0088332,0.0094075,0.00978825,0.010169,0.0107735,0.011378,0.0119805,0.012583,0.013269,0.013955,0.014483,0.015011,0.01535,0.015689,0.015881,0.016073,0.0162885,0.016504,0.01626,0.016016,0.015781,0.015546,0.0150305,0.014515,0.013723,0.012931,0.0124055,0.01188,0.0113425,0.010805,0.01001355,0.0092221,0.0088308,0.0084395,0.0079299,0.0074203,0.00689665,0.006373,0.00596635,0.0055597,0.00537805,0.0051964,0.0056301
-120,0.0063329,0.0060717,0.0058105,0.0060389,0.0062673,0.0067377,0.0072081,0.0076477,0.0080873,0.00851515,0.008943,0.009743,0.010543,0.011025,0.011507,0.0121175,0.012728,0.0135105,0.014293,0.014767,0.015241,0.01583,0.016419,0.016852,0.017285,0.0173365,0.017388,0.017468,0.017548,0.017277,0.017006,0.01638,0.015754,0.0151955,0.014637,0.0139655,0.013294,0.0123915,0.011489,0.0110275,0.010566,0.00981395,0.0090619,0.00847095,0.00788,0.00751895,0.0071579,0.00663855,0.0061192,0.0057506,0.005382,0.00566705,0.0059521
-115,0.0067818,0.0061944,0.0062442,0.006294,0.0066156,0.0069372,0.0075333,0.0081294,0.00863465,0.0091399,0.00976245,0.010385,0.0112345,0.012084,0.0128405,0.013597,0.014296,0.014995,0.0157635,0.016532,0.017113,0.017694,0.018051,0.018408,0.018809,0.01921,0.0194385,0.019667,0.019398,0.019129,0.018779,0.018429,0.0177165,0.017004,0.0161625,0.015321,0.014466,0.013611,0.0128635,0.012116,0.011453,0.01079,0.01001415,0.0092383,0.00846225,0.0076862,0.0072148,0.0067434,0.0063296,0.0059158,0.0056954,0.005475,0.00617345
-110,0.0072307,0.0067413,0.0062519,0.00651095,0.00677,0.0076917,0.0086134,0.00896155,0.0093097,0.01002585,0.010742,0.0119215,0.013101,0.013765,0.014429,0.015246,0.016063,0.0170095,0.017956,0.018537,0.019118,0.0198115,0.020505,0.02093,0.021355,0.0216415,0.021928,0.021966,0.022004,0.021556,0.021108,0.020668,0.020228,0.019415,0.018602,0.017548,0.016494,0.015657,0.01482,0.013931,0.013042,0.0119375,0.010833,0.01003075,0.0092285,0.00853385,0.0078392,0.00725145,0.0066637,0.00638295,0.0061022,0.0062485,0.0063948
-105,0.00760375,0.0067761,0.0066719,0.0065677,0.00714235,0.007717,0.00860475,0.0094925,0.01010275,0.010713,0.011704,0.012695,0.01355,0.014405,0.015099,0.015793,0.016831,0.017869,0.018815,0.019761,0.0204235,0.021086,0.021672,0.022258,0.0227035,0.023149,0.023301,0.023453,0.023128,0.022803,0.0222995,0.021796,0.021209,0.020622,0.019556,0.01849,0.017475,0.01646,0.015607,0.014754,0.0136335,0.012513,0.011465,0.010417,0.0097776,0.0091382,0.00831845,0.0074987,0.006837,0.0061753,0.0063242,0.0064731,0.00686105
-100,0.0079768,0.00740325,0.0068297,0.0070501,0.0072705,0.0082417,0.0092129,0.00990645,0.0106,0.011541,0.012482,0.0132595,0.014037,0.014801,0.015565,0.01629,0.017015,0.018204,0.019393,0.020218,0.021043,0.0216925,0.022342,0.0230965,0.023851,0.024042,0.024233,0.0241155,0.023998,0.023604,0.02321,0.0224885,0.021767,0.0210065,0.020246,0.0191355,0.018025,0.0169265,0.015828,0.01492,0.014012,0.013017,0.012022,0.0111645,0.010307,0.00963405,0.0089611,0.0078432,0.0067253,0.0066344,0.0065435,0.0069354,0.0073273
-95,0.00838465,0.0070395,0.0072172,0.0073949,0.00780515,0.0082154,0.0091847,0.010154,0.0109075,0.011661,0.0124565,0.013252,0.014064,0.014876,0.0155335,0.016191,0.0171465,0.018102,0.0191845,0.020267,0.021107,0.021947,0.0225895,0.023232,0.023517,0.023802,0.0239065,0.024011,0.0237795,0.023548,0.0227635,0.021979,0.021206,0.020433,0.019642,0.018851,0.0176825,0.016514,0.0155465,0.014579,0.013753,0.012927,0.011998,0.011069,0.01051685,0.0099647,0.00889865,0.0078326,0.0072874,0.0067422,0.00676985,0.0067975,0.0077215
-90,0.0087925,0.00795595,0.0071194,0.0072706,0.0074218,0.0085153,0.0096088,0.0103759,0.011143,0.012004,0.012865,0.0137135,0.014562,0.015632,0.016702,0.0174545,0.018207,0.019108,0.020009,0.0209625,0.021916,0.02263,0.023344,0.0239445,0.024545,0.0246265,0.024708,0.0246655,0.024623,0.0239195,0.023216,0.02234,0.021464,0.0207315,0.019999,0.0188525,0.017706,0.0165545,0.015403,0.0145805,0.013758,0.012971,0.012184,0.0112295,0.010275,0.00964075,0.0090065,0.0082077,0.0074089,0.0069665,0.0065241,0.0073199,0.0081157
-85,0.00912775,0.0076168,0.0074884,0.00736,0.00799125,0.0086225,0.00974825,0.010874,0.011782,0.01269,0.0138375,0.014985,0.0169215,0.018858,0.0195665,0.020275,0.021067,0.021859,0.023086,0.024313,0.02513,0.025947,0.0268995,0.027852,0.0284615,0.029071,0.0290665,0.029062,0.0283725,0.027683,0.026729,0.025775,0.0247255,0.023676,0.0223815,0.021087,0.019741,0.018395,0.017151,0.015907,0.0147245,0.013542,0.012726,0.01191,0.0111955,0.010481,0.00940855,0.0083361,0.00759505,0.006854,0.0070117,0.0071694,0.00838315
-80,0.009463,0.00831035,0.0071577,0.0077604,0.0083631,0.00927855,0.010194,0.0113385,0.012483,0.0133025,0.014122,0.0159895,0.017857,0.019463,0.021069,0.022414,0.023759,0.025686,0.027613,0.028993,0.030373,0.03159,0.032807,0.033824,0.034841,0.0352315,0.035622,0.0351325,0.034643,0.033598,0.032553,0.0313205,0.030088,0.0284575,0.026827,0.0249935,0.02316,0.0211115,0.019063,0.0173695,0.015676,0.0147335,0.013791,0.0129595,0.012128,0.01080655,0.0094851,0.0087809,0.0080767,0.00748515,0.0068936,0.0077721,0.0086506
